waterBody	reps
Cettina	13
Chao Phraya R.	12
Chappepeela Creek	1
Chetopa Creek	18
Chiani	67
Circondariale	13
Copper R. Basin; Fish Lake	9
Cowlitz R.	8
Cox Creek	11
Crowe River	2
Dayqah	1
De Wythmenerplas	6
Deer Creek	308
Disko Bay	22
Drainage: Carson Sink	1
Drainage: Little Pee Dee River; White Oak Creek	1
Drainage: Perak River	2
Drainage: RIO CHIRA (?)	1
Drainage: Russian River	1
Drainage: Tomales Bay	1
Driedmeat Lake	2
Eagle Fork	8
East Kettle Creek	7
Eastern Indian Ocean; Gulf of Mannar	22
Edna Bay	3
Elinor Lake	4
Elpe	178
England North Sea Minor Coastal (misc. creek tribs)	1
Essequibo R. basin; RUPUNUNI RIVER	6
FRESHWATER STREAMS	3
Ferrarola	8
GODAVARI RIVER ?	1
Giligili River	1
Glasbach;	24
Glingebach	96
Goodwater Creek	46
Gqunubie River	1
Große Wässerung	33
HWANG HO RIVER (= YELLOW)	46
Hashuqua Creek, unnamed tributary	13
Haw R.	2267
Henryetta City Lake	5
Horn Lake	13
Howe Sound	13
INDEPENDENT, BUT IN RIO P	4
INDO-PACIFIC OCEAN	12
Illinois - Lee	1
Indian Ocean; Dutch Bay	54
Indiana	3
Inland Water; Lake Victoria	2
Itacaiunas	113
Jaraguá	1
KASITSNA BAY	1
Kalapa R.	1
Kamo River	1
Kariega	71
Khabour	4
Kiedricher Bach	141
Koenigsbach	4
Kressenwasser	94
L. Apoyo	1
L. TITICACA	7
L. Titicaca	22
L.S/R.	2
LAGUNA CASTELLANO	2
Lac Bagsby	13
Lac Nord-Est	2
Lac Perché	5
Lac Portage	12
Lago El Engaño	1
Lago Torres	2
Laguna Cartagena	2
Lake Atitlan (Lago de Atitlan)	1
Lake Greeson	1
Lake Lagunita	6
Lake Plotki	6
Lake Taupu	1
Landerbach	28
Large tributary system	13
Leaf River, unnamed tributary	41
Lebangni	1
Lewis Swamp, unnamed bayou	3
Line Is - W Trop Pacific	11
Little Elk & Yaquina R.	1
Little Glasses Creek	37
Little Muddy Creel	10
Luombwa/Lukulu/Chambezi-Namipundu	1
Luxapallila River - Tombigbee River	14
MARINE	7
MAZELBEEK	34
MOTAGUA RIVER	18
MUNGO RIVER-GULF OF GUINE	1
Malesina	25
Mantaro R.	1
Melombo River (Nyong R. Sys.)	1
Mexico -  Baja CA Sur	1
Mississippi R. System; South Fork of Holston R.	6
Moehne	25
Moldova R.	1
Mutzbach	93
Médio Paranapanema	4955
Nganjore	1
North Atlantic Ocean, Caribbean Sea, Trellis Bay	1
North Atlantic Ocean, Gulf Of Mexico, Aransas Bay	52
North Atlantic Ocean, Gulf Of Mexico, East Matagorda Bay	1
North Atlantic Ocean, Gulf Of Mexico, North Bay	2
North Atlantic Ocean, Gulf of Mexico, Tampa Bay	32
North Atlantic Ocean, Raritan Bay	28
North Fork Cowichee River	2
North Pacific Ocean, Formosa Strait	4
North Pacific Ocean, Gulf Of California, Sargento Bay	1
North Pacific Ocean, Gulf of Dulce	41
North Pacific Ocean, Puget Sound	243
North Pacific Ocean, Santa Clara Gulf	1
North Sea, Southern Bight, west of Noordhinder	1
Ntem R. Basin; Mfiande R.	8
Nyabogati River	1
Obed Creek	4
Ogowe; Abanga	3
Ohio - Medina	1
Otikuwane spring	12
Ottersgraben	59
PEGASUS BAY-WESTERN SOUTH	1
Pacific Ocean; Gulf of Tartary	1
Pacific, Independencia Bay	3
Paramaka Creek - Marowijne (Maroni) River	31
Phongolo	3
Pinepound Creek	3
Planitzbach	10
Posina	12
Prether Bach	67
Pui Pui	1
Quebrada Palo Blanco	1
Quebrada de la Ropero	1
R. Amazonas basin; Cano del Chancho	18
R. Amazonas basin; L. do Maica	8
R. Atrato basin; R. Quito into Rio Atrato	6
R. Guayas Drainage; R. Vinces	17
R. MOCORITO	1
RIO POSTRER-CARIBBEAN SEA	1
Rabbit Creek	9
Red Bird R.	4
Rhone River	1
Rio Cuareim	2
Rio Cuaro - Rio Cuareim - Rio Uruguay	1
Rio Guatape - Rio Magdalena	2
Rio Mendoza	4
