verbatimSRS	reps
WGS1952	1
WGS1990	1
WGS2399	1
WGS2779	1
WGS2988	1
WGS3035	1
WGS3073	1
WGS319	1
WGS357	1
WGS395	1
WGS528	1
WGS566	1
WGS737	1
WGS775	1
WGS908	1
WGS946	1
WGS984	1
EPSG:23030	421
WGS1117	1
WGS1155	1
WGS1193	1
WGS1326	1
WGS1364	1
WGS149	3
WGS1535	1
WGS1573	1
WGS1706	1
WGS1744	1
WGS1782	1
WGS187	3
WGS1915	1
WGS1953	1
WGS1991	1
WGS2000	1
WGS2989	1
WGS3036	1
WGS3074	1
WGS358	1
WGS396	1
WGS529	1
WGS567	1
WGS738	1
WGS776	1
WGS909	1
WGS947	1
WGS985	1
EPSG:23031	15
WGS1118	1
WGS1156	1
WGS1194	1
WGS1327	1
WGS1365	1
WGS1536	1
WGS1574	1
WGS1707	1
WGS1745	1
WGS1783	1
WGS188	3
WGS1916	1
WGS1954	1
WGS1992	1
WGS2001	1
WGS2210	1
WGS3037	1
WGS3075	1
WGS359	1
WGS397	1
WGS568	1
WGS739	1
WGS777	1
WGS948	1
WGS986	1
WGS1119	1
WGS1157	1
WGS1195	1
WGS1328	1
WGS1366	1
WGS1537	1
WGS1575	1
WGS1708	1
WGS1746	1
WGS1784	1
WGS189	3
WGS1917	1
WGS1955	1
WGS1993	1
WGS2002	1
WGS2040	1
WGS2211	1
WGS2420	1
WGS2800	1
WGS3038	1
WGS3076	1
WGS398	1
WGS569	1
WGS778	1
WGS949	1
WGS987	1
WGS1158	1
WGS1196	1
WGS1329	1
WGS1367	1
WGS1538	1
WGS1576	1
WGS1709	1
WGS1747	1
WGS1785	1
WGS1918	1
WGS1956	1
WGS1994	1
WGS2003	1
WGS2041	1
WGS2212	1
WGS2250	1
WGS2421	1
WGS2630	1
WGS2801	1
WGS3039	1
WGS3077	1
WGS399	1
WGS779	1
WGS988	1
WGS1159	1
WGS1197	1
WGS1368	1
WGS1539	1
WGS1577	1
WGS1748	1
WGS1786	1
WGS1919	1
WGS1957	1
WGS1995	1
WGS2004	1
WGS2042	1
WGS2080	1
WGS2213	1
WGS2251	1
WGS2422	1
WGS2460	1
WGS2631	1
WGS2802	1
WGS2840	1
WGS3078	1
WGS989	1
WGS1198	1
WGS1369	1
WGS1578	1
WGS1749	1
WGS1787	1
WGS1958	1
WGS1996	1
WGS2005	1
WGS2043	1
WGS2081	1
WGS210	3
WGS2214	1
WGS2252	1
WGS2290	1
WGS2423	1
WGS2461	1
WGS2632	1
WGS2670	1
WGS2803	1
WGS2841	1
WGS3079	1
Graus decimais	74
WGS1199	1
WGS1579	1
WGS1788	1
WGS1959	1
WGS1997	1
WGS2006	1
WGS2044	1
WGS2082	1
WGS211	3
WGS2215	1
WGS2253	1
WGS2291	1
WGS2424	1
WGS2462	1
WGS2633	1
WGS2671	1
WGS2804	1
WGS2842	1
WGS2880	1
WGS420	1
WGS800	1
WGS84	2191198
WGS1789	1
WGS1998	1
WGS2007	1
WGS2045	1
WGS2083	1
WGS212	3
WGS2216	1
WGS2254	1
WGS2292	1
WGS2425	1
WGS2463	1
WGS250	2
WGS2634	1
WGS2672	1
WGS2805	1
WGS2843	1
WGS2881	1
WGS421	1
WGS630	1
WGS801	1
WGS85	5
34.13280 N	1
WGS 84	1383
WGS1010	1
WGS1999	1
WGS2008	1
WGS2046	1
WGS2084	1
WGS213	3
WGS2217	1
WGS2255	1
WGS2293	1
WGS2426	1
WGS2464	1
WGS251	2
WGS2635	1
WGS2673	1
WGS2806	1
WGS2844	1
WGS2882	1
WGS422	1
WGS460	1
WGS631	1
WGS802	1
WGS840	1
WGS86	5
WGS1011	1
WGS1220	1
WGS1600	1
WGS2009	1
WGS2047	1
WGS2085	1
WGS214	3
WGS2218	1
WGS2256	1
WGS2294	1
WGS2427	1
WGS2465	1
WGS252	2
WGS2636	1
WGS2674	1
WGS2807	1
WGS2845	1
WGS2883	1
WGS290	2
WGS423	1
WGS461	1
WGS632	1
WGS670	1
WGS803	1
WGS841	1
WGS87	5
WGS1012	1
WGS1050	1
WGS1221	1
WGS1430	1
WGS1601	1
WGS1810	1
WGS2048	1
WGS2086	1
WGS215	3
WGS2219	1
WGS2257	1
WGS2295	1
WGS2428	1
WGS2466	1
WGS253	2
WGS2637	1
WGS2675	1
WGS2808	1
WGS2846	1
WGS2884	1
WGS291	2
WGS424	1
WGS462	1
WGS633	1
WGS671	1
WGS804	1
WGS842	1
WGS88	4
WGS880	1
WGS1013	1
WGS1051	1
WGS1222	1
WGS1260	1
WGS1431	1
WGS1602	1
WGS1640	1
WGS1811	1
WGS2049	1
WGS2087	1
WGS216	3
WGS2258	1
WGS2296	1
WGS2429	1
WGS2467	1
WGS254	2
WGS2638	1
WGS2676	1
WGS2809	1
WGS2847	1
WGS2885	1
WGS292	2
WGS425	1
WGS463	1
WGS634	1
WGS672	1
WGS805	1
WGS843	1
WGS881	1
WGS89	3
WGS1014	1
WGS1052	1
WGS1090	1
WGS1223	1
WGS1261	1
WGS1432	1
WGS1470	1
WGS1603	1
WGS1641	1
WGS1812	1
WGS1850	1
WGS2088	1
WGS217	3
WGS2259	1
WGS2297	1
WGS2468	1
WGS255	2
WGS2639	1
WGS2677	1
WGS2848	1
WGS2886	1
WGS293	2
WGS426	1
WGS464	1
WGS635	1
WGS673	1
WGS806	1
WGS844	1
WGS882	1
not recorded	9
WGS1015	1
WGS1053	1
WGS1091	1
WGS1224	1
WGS1262	1
WGS1433	1
WGS1471	1
WGS1604	1
WGS1642	1
WGS1680	1
WGS1813	1
WGS1851	1
WGS2089	1
WGS218	3
WGS2298	1
WGS2469	1
WGS256	2
WGS2678	1
WGS2849	1
WGS2887	1
WGS294	2
WGS427	1
WGS465	1
WGS636	1
WGS674	1
WGS807	1
WGS845	1
WGS883	1
NA	212302
WGS1016	1
WGS1054	1
WGS1092	1
WGS1225	1
WGS1263	1
WGS1434	1
WGS1472	1
WGS1605	1
WGS1643	1
WGS1681	1
WGS1814	1
WGS1852	1
WGS1890	1
WGS219	3
WGS2299	1
