taxonRank	reps
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Percomorpharia;Perciformes;Cottioidei;Zoarcales;Anarhichadidae;Anarrhichthys	1
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Percomorpharia;Perciformes;Trachinoidei;Trichodontidae;Arctoscopus	1
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Neoteleostei;Acanthomorphata;Percomorpharia;Spariformes;Sparidae;Polysteganus	16
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Characiformes;Citharinoidei;Distichodontidae;Hemigrammocharax	2
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Cypriniformes;Cyprinidae;Anematichthys	2
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Gymnotiformes;Sternopygoidei;Sternopygidae;Sternopygus	6
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Siluriformes;Ariidae;Bagre	17
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Amphibia;Batrachia;Anura;Neobatrachia;Hyloidea;Hylidae;Hylinae;Hylini;Ecnomiohyla	11
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Amphibia;Batrachia;Caudata;Salamandroidea;Plethodontidae;Hemidactyliinae;Bolitoglossa;Eladinea	6
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Mammalia;Eutheria;Laurasiatheria;Chiroptera;Megachiroptera;Pteropodidae;Pteropodinae;Balionycteris	17
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Testudines + Archosauria group;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Anseriformes;Anatidae;Callonetta	8
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Testudines + Archosauria group;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Cuculiformes;Neomorphidae;Dromococcyx	1
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Testudines + Archosauria group;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Falconiformes;Accipitridae;Accipitrinae;Aquila	177488
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Testudines + Archosauria group;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Passeriformes;Passeroidea;Parulidae;Oporornis	2
Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Testudines + Archosauria group;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Passeriformes;Tyrannidae;Rhytipterna	5
Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Alcyonacea;Calcaxonia;Chrysogorgiidae;Chrysogorgia	27
Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroida;Anthomedusae;Zancleidae;Zanclea	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Astigmata;Psoroptidia;Pterolichoidea;Pterolichidae;Pterolichinae;Grallobia	5
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Brachypylina;Oppioidea;Quadroppiidae;Quadroppia	17
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Brachypylina;Oribatelloidea;Oribatellidae;Oribatella	9
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Agelenidae;Novalena	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Araneoidea;Nesticidae;Nesticus	5
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Araneoidea;Theridiidae;Keijia	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Deinopoidea;Uloboridae;Tangaroa	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Dionycha;Salticidae;Salticoida;Euophryinae;Euryattus	7
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Araneae;Mygalomorphae;Migidae;Poecilomigas	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Pycnogonida;Pantopoda;Tanystylum	10
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Brachyura;Eubrachyura;Bythograeoidea;Bythograeidae;Segonzacia	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Brachyura;Eubrachyura;Trichodactyloidea;Trichodactylidae;Trichodactylus	14
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Brachyura;Eubrachyura;Xanthoidea;Pseudorhombilidae;Oediplax	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Caridea;Crangonoidea;Crangonidae;Crangon	166
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Calanidae;Undinula	16
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Candaciidae;Candacia	20
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Euchaetidae;Paraeuchaeta	75
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Siphonostomatoida;Caligidae;Caligus	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Ostracoda;Myodocopa;Halocyprida;Halocypridina;Halocypridoidea;Halocyprididae;Conchoecetta	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Ostracoda;Podocopa;Podocopida;Cytherocopina;Cytheroidea;Cytherideidae;Romecytheridea	63
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Coleoptera;Adephaga;Caraboidea;Carabidae;Rhysodinae;Omoglymmius	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Cerambycidae;Cerambycinae;Hylotrupini;Hylotrupes	768
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionidae;Entiminae;Omiini;Omias	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Tenebrionidae;Tenebrionidae incertae sedis;Graecopachys	65
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Staphyliniformia;Histeridae;Saprininae;Tomogenius	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Asiloidea;Asilidae;Asilinae;Neoitamus	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Oestroidea;Tachinidae;Thelairodoriopsis	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Tephritoidea;Tephritidae;Blepharoneura	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Chironomoidea;Chironomidae;Thienemanniella	20
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicoidea;Culicidae;Culicinae;Uranotaeniini;Uranotaenia;Uranotaenia	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Ichneumonoidea;Ichneumonidae;Campopleginae;unclassified Campopleginae;Campopleginae gen. GenusRR	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Ichneumonoidea;Ichneumonidae;Ichneumoninae;Patroclus	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Hymenoptera;Tenthredinoidea;Tenthredinidae;Heterarthrinae;Hinatara	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Bombycoidea;Lasiocampidae;Lasiocampidae incertae sedis;Arpema	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Bombycoidea;Saturniidae;Ceratocampinae;Dryocampa	20
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Bombycoidea;Sphingidae;Smerinthinae;Smerinthini;Poliodes	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Bombycoidea;Sphingidae;Sphinginae;Sphingini;Neogene	8
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Drepanoidea;Drepanidae;Drepaninae;Sabra	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Gelechioidea;Blastobasidae;Blastobasis;environmental samples	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Gelechioidea;Gelechiidae;Gelechiinae;Agnippe	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Gelechioidea;Gelechiidae;Gelechiinae;Iulota	8
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Gelechioidea;Oecophoridae;Oecophorinae;Chezala	32
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Gelechioidea;Oecophoridae;unclassified Oecophoridae;Oecophoridae gen. oecophor01	8
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Ennominae;Aphantes	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Ennominae;Hypagyrtis;environmental samples	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Ennominae;Pachycnemia	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Ennominae;Pygmaena	13
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Ennominae;Thinopteryx	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Geometrinae;Iulops	5
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Geometrinae;Neagathia	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Geometrinae;Thetidia	11
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Larentiinae;Lobophora	57
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Larentiinae;Sibatania	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Larentiinae;Spargania	181
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Geometroidea;Geometridae;Sterrhinae;Zythos	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Arctiidae;Pompiliodes	22
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Erebidae;Eutrogia	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Acontiinae;Ipanephis	4
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Amphipyrinae;Spodoptera	265
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Catocalinae;Calyptra	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Catocalinae;Massala	17
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Catocalinae;Spiloloma	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Herminiinae;Simplicia	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Noctuinae;Axylia	5
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Noctuidae;Xyleninae;Crypsedra	4
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Noctuoidea;Notodontidae;Dottia	23
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Papilionoidea;Lycaenidae;Polyommatinae;Pseudozizeeria	13
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Papilionoidea;Nymphalidae;Apaturinae;Doxocopa	50
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Papilionoidea;Pieridae;Coliadinae;Aphrissa	28
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Pyraloidea;Pyralidae;Chrysauginae;Galasa	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Pyraloidea;Pyralidae;Phycitinae;Magiria	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Pyraloidea;Pyralidae;Phycitinae;Symphonistis	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Pyraloidea;Thyrididae;Thyrididae incertae sedis;Calindoea	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Tineoidea;Gracillariidae;Conopomorpha	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Tineoidea;Psychidae;Clania	3
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Tortricoidea;Tortricidae;Chlidanotinae;Leurogyia	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Yponomeutoidea;Yponomeutidae;Yponomeutinae;Klausius	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Lepidoptera;Glossata;Ditrysia;Zygaenoidea;Limacodidae;Prolimacodes	4
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Endopterygota;Trichoptera;Integripalpia;Sericostomatoidea;Calocidae;Pliocaloca	24
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Orthopteroidea;Orthoptera;Caelifera;Acridomorpha;Acridoidea;Acrididae;Oedipodinae;Aiolopus	4
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Paraneoptera;Hemiptera;Euhemiptera;Heteroptera;Panheteroptera;Cimicomorpha;Miridae;Dicyphina;Dicyphus	10
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidiformes;Aphidoidea;Aphididae;Macrosiphini;Cryptomyzus	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidiformes;Aphidoidea;Aphididae;Stegophylla	2
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidiformes;Aphidoidea;Pemphigidae;Eriosomatinae;Eriosomatini;Byrsocryptoides	1
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Palaeoptera;Odonata;Zygoptera;Lestidae;Lestes	16
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Palaeoptera;Odonata;Zygoptera;Platycnemididae;Torrenticnemis	6
Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Protura;Acerentomata;Acerentomidae;Acerentulus	2
Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Spirurida;Filarioidea;Onchocercidae;Cercopithifilaria	44
Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Ophiuridea;Ophiurida;Ophiurina;Chilophiurina;Ophiuridae;Ophiura	11
Eukaryota;Metazoa;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Antedonidae;Annametra	4
Eukaryota;Metazoa;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Pentametrocrinidae;Thaumatocrinus	4
Eukaryota;Metazoa;Lophotrochozoa;Annelida;Clitellata;Hirudinida;Hirudinea;Arhynchobdellida;Hirudiniformes;Hirudinidae;Hirudo	5
Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heteroconchia;Veneroida;Lucinoidea;Lucinidae;Elliptiolucina	2
Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heteroconchia;Veneroida;Lucinoidea;Lucinidae;Leucosphaera	3
Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda;Hypsogastropoda;Neogastropoda;Muricoidea;Muricidae;Drupella	4
Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Eupulmonata;Stylommatophora;Sigmurethra;Clausilioidea;Clausiliidae;Alopiinae;Mauritanica	1
Eukaryota;Metazoa;Lophotrochozoa;Rotifera;Monogononta;Ploimida;Brachionidae;Keratella	30
Eukaryota;Metazoa;Porifera;Demospongiae;Halichondrida;Axinellidae;Dragmacidon	6
Eukaryota;Rhizaria;Acantharea;Arthracanthida;Sphaenacanthida;Acanthometridae;Amphilonche	14
Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Hydrodictyaceae;Pediastrum	16
Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus	4
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Asparagales;Asparagaceae;Nolinoideae;Polygonatum	9
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Pandanales;Cyclanthaceae;Carludovica	9
