countryCode	reps
EU-NL-FR	29
EU-NL-ZH	1471
GAB	361
US-NM	1
UY	14119
hn	78
th	5047
BE	7620772
BE-VWV	7
EU-IT-IM	2
GB-CAM	1
PEN	1
UZ	10529
ho	9
pk	59
AR-Z	1
BF	8336
DOM	58
IND-KE	1
MDA	1297
MOZ	30
UA-12	13
pl	913
tj	172
BG	36679
NA	21923
PYF	108
TKL	3
pm	103
tk	54
BH	71
BRN	5
EU-CH	9
EU-CH-VS	30
GIB	2
Ma	5
NL-GR	11
NPL	684
OM-SH	1
TGO	41
TKM	3919
ZA-WC	10
hr	133
pn	38
tl	326
BI	7767
DE-BW	35
EU-FR-23	1
GR-M	1
JE	168
NC	39210
PER	3849
po	7
tm	190
xk	26
AFG	365
BJ	7603
CO:86219	2
DE-RP	39
EU-DE-MV	14
GB-KEN	43
GMB	19
JP-30	5
ht	277
lr	1007
tn	6665
AND	26
BE-WHT	2
DE-BY	75
EU-FR-63	5
EU-PL-SZ	2
FI	139894
HUN	1886
IS-0	1
IT-VI	7
NE	9339
TON	27
VA	4
hu	3535
ls	649
to	60
AU-TS	48
BL	193
BR-SP	12
COD	48
EU-FR-64	1
EU-HU-PE	1
FJ	13488
FR-32	420
LSO	7
MDG	628
NF	637
lt	5
pr	2111
tp	2
1	3
AS-PK-IS	1
Al	1
BM	1958
EU-BG-02	12
EU-FR-65	5
EU-SE	8
FK	1809
FR-33	2090
FR-71	3
IND	2470
JP-33	1
NG	36612
RE	4122
SCG	4
VC	2542
ZA	214135
lu	126
ps	60
ARE	2
BN	2545
EG-BA	408
EU-FR-66	29
FR-34	2
IL-D	1
dz	22492
lv	4
pt	3526
tr	8446
BO	409830
CA-QC	4
COG	48
DE-NW	1877
EU-DE-BB	16
FM	2280
FR-73	5
IS-4	1
NI	176541
PH-MDC	1
RG	1
TWN	25167
VE	258472
ts	7
ARG	1191
CY-03	2
FR-36	1
FR-74	4
NL-OV	92
PE-TUM	2
RH	11
US-NY	1
lx	5
tt	707
BE-VLI	310
BE-WLX	7
BG-12	2
BQ	2131
CZ-JM	2
EU-SI	4
FO	3721
FR-37	72
JM	67615
PL-MA	2
Paris	2
US-CA	128
VG	1528
ly	647
pw	44
tu	811
AZE	2726
BR	1654077
EU-DE-BE	22
GUF	899
IS-7	1
MLI	11
NL	11806155
RO-HD	96
TR-01	6
"FRA-FR;SPA-SP"	37
7	29
AS-JP	2
Ar	2
BS	19013
COK	2
ETH	961
EU-SK	13
FR-77	1118
GEO	3802
JO	8161
JP-39	4
MHL	8
Philippines	264
US-GA	3
VI	4231
py	6862
tw	4309
BG-15	1
BT	3413
CL-MA	1
COL	964
EU-GR	14
FR	26384611
FR-78	1192
FRA-FR	524
GB-LND	50
GIN	22
IT-VR	19
ITA-IT	6
JP	194488
AUT-AU	2
At	1
BG-16	1
COM	18
CSK	158
DK-050	1
ES-MA	103
FR-79	1
GUI	68
Magnoliopsida	1
NO	91167
SWE	8255
TR-42	1
ad	72
ARM	1620
BV	47
EU-NL-GE	1034
EU-SE-H	1
Es	7
GER	319
NP	23408
ae	20
ec	6305
tz	6257
BGD	28
BW	11903
IN-KL	1
IRL	65
MZ-I	2
RO	11248
af	407
ABW	2
DK-015	2
DO-SM	3
EU-FR-2B	4
NR	21
SGP	101
UY-RO	3
VN	52983
ag	23
ee	24
ic	4
ma	32153
BY	2221
EU-ES-TE	2
GR-81	1
GUM	1
IRN	2485
PT-08	498
SOM	4
SWI	1291
THA	6294
ZM	25300
id	9610
BZ	54411
ES-AL	3
EU-CZ	4
FX	50
NIC	456
ZN	1
ai	2
eg	2396
ie	322
mc	23
?	4031
ANT	9
GB-GSY	1
ID-KB	1
MDV	17
NU	690
RS	3090
SGS	1
US-SC	13
US-WA	23
eh	51
md	24
??	941
AGE-TF	2
AZO	1
BWA	1
EU-DE-NI	8
HND	43
IRQ	148
KOR	107
NZ-BOP	5
me	73
ua	349
EU-BE-WLG	30
FAL	1
MLT	18
RU	112459
al	365
mf	2
BR-PE	2
EU-CH-GR	9
FI-ES	1
GB-WSX	57
IT-GE	1
Japan	1153
MTQ	48
US-OH	9
Us	1
ZR	20
am	234
mg	126089
CH-TI	4
DO-ST	348
LEE-SM	10
MY-B	1
PH-NEC	1
RW	4539
VU	11745
an	51
mh	11
CA	258447
EU-IT-RE	1
EU-SK-KI	2
GB-NSM	10
KGZ	4408
MX-SON	6
MY-C	1
NAM	2
NL-LI	9190
NZ	1877635
RWA	14
ao	2527
ik	5
mi	2
CL-AT	2
CR-G	2
DE-SH	15
LEE-GU	4
PNG	1931
RO-TM	5
il	609
AU-QL	128
CC	147
EU-CZ-JC	6
EU-IT-BO	7
GA	43898
ID-KI	1
IT-82	1
SB-CE	1
aq	190
mk	66
ug	570
ye	1159
"FRA-FR;GER"	1
BOL	1044
CD	45991
EU-NL-GR	6
FIN	11834
GB	159485
ZW	26349
ar	3599
in	18632
ml	7344
"POR;SPA-SP"	3
EU-DE	87
EU-DE-BW	231
US-CT	1
as	27
eq	4
io	5
mm	501
ui	3
BGR	1979
CF	18560
EU-DE-RP	51
EU-FR-30	9
GD	919
GUY	106
IT-CN	52
MAC	1
MX-BCN	2
NL-DR	3
PH-SOR	5
PRI	225
TGN: 1000047	1
VEN	757
at	3737
er	125
mn	217
CA-BC	10
CG	10878
CR-L	166
EU-DE-BY	161
GE	14583
PH-BOH	9
SE-AB	12
TH-83	4
ZWE	24
ZZ	2222
au	11923
es	261254
iq	550
mo	162
uk	20
CH	40469
DE-SN	58
GF	43848
HR-17	1
NER	2
PRK	22
et	9601
ir	6120
mp	64
CHE	2598
CI	32101
EU-BE-WHT	4
GB-SFK	1
GG	278
HR-18	4
IT-88	1
IT-GO	1
IT-SI	269
JP-01	3
KE	94320
ROM	2637
SA	4140
aw	1
eu	1
is	153
mq	2465
unknown	1
43	14
EU-FR-34	1
FR-02	1502
FR-40	1245
GH	14811
HU-FE	213
OD	5
SB	11696
ax	3
it	9319
mr	1082
"IND-KT;IND-KE"	1
CK	5974
CR-P	8
EU-DE-NW	22
FR-03	2
FR-41	206
GI	173
KG	3479
MX-BCS	4
PL-MZ	115
SC	10636
SWZ	21
ms	12
83	2152
ASC	1
AU-NSW	1
CL	85231
ESP?	10
EU-NL-OV	78
EUA	12
FR-04	4
FR-80	1
Fi	6
GRB	179
IT-GR	1
JOR	34
JP-42	1
KH	10004
RU-AMU	3
SD	13783
SLB	14
SN-FK	1
VIR	1
az	297
mt	52
CM	92618
EU-CZ-JM	22
FR-05	3
GRC	670
HN-OL	1
KI	1718
MA-ERR	1
NIU	1
NZ-HKB	9
SE	703192
mu	3724
CN	1280372
DE-ST	7
DK-83	52
EU-IT-BZ	5
FR-06	2
FR-44	973
GL	6583
GRD	17
IT-KR	63
PH-MAD	4
TLS	3
TTO	227
US-KY	2
mv	3
86	614
CO	1427250
EU-BE-VLI	125
EU-BE-WLX	9
FR-83	3
GM	7968
NZ-STL	33
RU-KRS	1
SG	6429
SLE	25
mw	698
us	23734
BE-VAN	250
CHL	317
DK-85	40
FR-08	15
GN	25720
IT-OR	1
JP-08	27
MX-VER	1
SH	798
UY-CO	3
WF	534
mx	17622
EU-ES-MA	57
FR-85	2
GB-GLS	7
HRV	254
JP-47	3
KM	3966
Korea	15
PRT	373
PT-10	1
ROU	60
SI	7081
T	1
my	2579
AGO	94
CHN	1463
CR	4158335
CZ-OL	7
GP	2735
HU-VE	207
IE-CE	1
KN	655
LTU	1467
PT-11	3
SJ	673
ba	49
mz	850
yt	7252
CS	259
FR-49	1
FR-87	1
GQ	27434
KHM	45
MX-NAY	1
OM	2397
SK	10832
WI	190
bb	795
yu	1588
FR-88	1
GB-ESS	12
GBR	2043
GR	49747
KP	2153
SDN	28
SL	7516
VUT	165
CU	48612
DE-HB	3
FR-89	1
GB-HAM	364
GS	1341
MAR	4757
SB-GU	6
SM	41
US-LA	2
bd	75
uy	2363
ASM	13
CL-BI	4
CV	2995
GRL	820
GT	120862
IT-SV	129
KR	23445
PRY	116
SHN	1
SN	27767
be	1518
uz	188
CW	1014
DMA	11
DZ-16	2
EU-HU	6
GU	2162
ISL	375
KS	1
SO	5193
US-PA	1
YUG, SVN	1
bf	2850
CX	488
DE-HE	14
HU-BU	8
MAU	3
RDC	2525
SP	2
bg	585
fe	1
na	287
BE-WNA	155
CY	9698
CZE-CZ	2
DO-PP	29
GW	8468
bh	2
AT-1	6
BDI	12
CZ	15647
FRA	3745
GR-92	29
MX-CHP	1
SR	32018
VE-I	95
bi	240
fg	1
je	23
nc	50641
AT-2	1
DE-HH	2
ES-A	1
EU-CH-TI	8
GY	61536
KW	2026
LIE	4
MMR	27
PH-EAS	1
SS	188
US-HI	47
bj	594
AT-3	122
ES-B	3
EU-NL-LI	16192
GR-94	8
ID-PA	3
MG-D	2
ST	2752
bk	1
fi	617
ne	821
va	2
886	3653
AT-4	3
CA-NS	1
HKG	9
HU-BZ	218
ID-PB	8
IN-TN	24
IOT	10
ISR	801
KY	2523
MEX	2249
Madagascar	252
PG-NIK	1
PH-MAS	1
SU	498
WS	3581
ZA-EC	16
bl	4
fj	1133
nf	9
AT-5	60
BR-AM	1
CPV	2
FJI	88
KZ	17878
MG-F	1
STP	7
SV	45208
bm	39
fk	437
ng	1199
re	7514
vc	83
za	30415
AT-6	22
NZ-MBH	24
^p	2
bn	14
fl	3
nh	1
rf	1
AS-SY	1
AT-7	103
DEN	2
IT-LE	8
IT-PC	205
MUS	22
NFK	14
SLV	8
SX	294
VE-O	133
bo	5189
c	1
fm	36
ni	327
ve	5232
AT-8	44
AU-VI	478
DE-TH	36
EU-EE-51	1
EU-NL-DR	30
LAO	284
PSE	8
SY	23965
d	1
"GER;POL;CZE-CZ"	5
AT-9	16
ES-H	186
MYS	7148
NZ-CAN	210
SZ	1924
bq	125
e	3
fo	14
jm	998
vg	15
EC-M	1
ES-BU	5
EU-CH-LU	1
EU-DE-SN	2
EU-HR-17	16
MX-MEX	2
MYT	41
br	70839
f	8
nl	367
DE	489770
EU-HR-18	1
IT-PG	6
LA	23796
SO-BN	1
bs	155
g	2
jo	30
vi	847
CAF	166
EU-HR-19	1
LB	6364
SA-PY	1
UA-32	2
bt	302
fr	244263
jp	15965
ALB	39
BHS	42
BR-ES	6
CZ-PA	21
HT-OU	1
IT-PI	24
LC	1509
PA	283532
PH-SLU	8
PL-ZP	13
POL	1914
PRT?	10
US-TN	64
bu	4
no	1956
363	127
AU-NS	4
BLR	656
BTN	18
DEU	10392
EU-FR-04	328
FR-10	7
JPN	1196
LU-D	31
TCS-GR	5
np	1196
AU-NT	8
EU-FR-05	7
FRO	6
LE	90
PC	1
VNM	401
YE-MU	1
bw	103
ro	1322
vm	1
ATA	1
DJ	554
DO-MC	205
ER-SK	2
EU-DE-ST	3
EU-FR-06	30
FR-12	1
FR-50	227
JP-12	136
NSW-NS	2
l	1
nr	8
vn	31709
CL-VS	1
DK	669873
EU-FR-07	12
EU-FR-83	9
FR-13	7
FR-51	1243
GM-B	1
JP-13	1
LU-G	2
NZ-WGN	257
PE	602537
PH-CEB	17
PH-DAS	10
TC	1425
WIN-MA	1
by	3
zm	384
93	304
CAL	4
CUB	303
EU-FR-84	98
FR-14	2
GB-CON	2
HU-KE	36
ITA	3372
JP-14	3
NZL	1171
PF	17343
TD	4758
bz	72
DM	2381
EU-FR-09	11
FR-15	4
FR-91	1
HK	8018
JP-15	2
LI	104
MG-T	1
PG	88092
SIE	1
TUN	173
nu	7
rs	48
""	5
AS-JP-13	1
CAN	3208
EC-W	2
ES-S	1
EU-CZ-OL	2
FR-16	9
IT-TN	43
JP-16	2
MG-U	7
MNE	13
PH	106495
TF	4918
nv	1
ATF	4
Bolívia	2
DO	28447
ES-CA	9
EU-CH-AG	10
EU-MK	10
FR-17	3
FR-55	2
HM	9
IE-WW	1
IT-TO	95
JP-17	42
KAM	13
KR-49	1
LK	22815
PI	54
Russia	19
TG	6970
ru	5490
ATG	17
BLZ	20
EC-Y	1
FR-56	2
FR-94	1
HN	90829
IT-PR	196
LU-L	6
MNG	607
NL-UT	127
TAAF	34
TH	52089
r	1
vt	12
zr	3718
"SWE;FIN"	1
CH-BE	11
ES-V	1
FR-57	115
FR-95	643
HO	41
IDN	2767
IT-LU	1
NRU	2
PA-3	346
PK	28182
TUR	1466
US-TX	45
rw	337
vu	2647
BR-BA	7
ERI	13
EU-AT	9
IT-TR	1
KEN	146
PL	24520
TJ	7672
ca	3960
nz	1677
CLS-MG	3
EU-ES	13
FR-59	1
IT-TS	1
MH-KWA	1
PM	50
SI-08	2
SR-PM	1
SYC	220
TK	16
TN-13	1
US-IA	1
UZB	2420
BE-VBR	91
EU-DE-HE	1
EU-HU-BU	2
HR	10397
IT-PV	189
Não informado	2
PN	620
SEN	144
TL	158
cc	14
ga	9421
rz	1
DK-070	1
ES-GE	1
EU-GR-15	6
LUX	34
MNL	1
NP-GA	1
PH-LEY	1
RS-05	5
TM	7829
TUV	3
XK	1
cd	1053
gb	3179
zw	509
EU-IT	17
HT	11361
KE-300	1
LR	11114
NGA	201
PA-8	5
TN	18696
AU-SA	108
EU-BE-WNA	29
EU-GR-55	14
HU	31405
LS	5877
PA-9	3
TO	5588
cf	4171
gd	81
