verbatimCoordinateSystem	reps
1°29'20,6''N,75°24'17,6''W	7
1°42'54''N,75°17'22''W	14
1°26'73''N,75°31'27,9''W	1
1°36,34''N,75°36,45''W	2
1°42'32,4''N,75°42'92''W	1
5°37'31,6''N,70°15'16,8''W	1
UTM	953363
0°4'27''N,72°27'05''W	1
0°9'20''N,74°46'40''W	3
grados, minutos, segundos	12637
1°25'32,9''N,75°30'45,1''W	2
1°29'20,56''N,75°24'17,64''W	2
1°44'7,6''N,75°40'26,8''	1
1°12'27,2''N,76°43'70,2''W	1
1°20'42,7''N,75°49'17,5''W	2
1°36'35,9''N,75°36'45,3''W	1
1°4'89,4''N,76°4'0,47''W	4
1°5,152''N,75°28,22''W	9
1°21'11''N,75°55'99,1''W	2
1°37,83''N,75°35,045''W	1
1°42,68N,75°42,86''W	1
1°44,464'N,75°35,073'W	1
1°37'138''N,75°39'434''W	5
1°54'N,76°05'W	5
9°51'33''N,75°6'38''W	1
"Grados, minutos y segundos"	674
1°20'44,6''N,75°49'9,8''W	1
1°29'59,3''N,75°39'21,9''W	1
1°29'77,62''N,75°39'382''W	2
1°36'38,7''N,76°06'06,2''W	1
2°18'8,57''N,75°22'42,6''W	1
1°32'54''N,75°28'47''W	15
1°36'23,3''N,35°39'6,2W	1
1°40'03''N,75°40'19''W	2
1°12'58,3''N,76°42'20''W	2
5°30'46''N,70°16'13,1''W	1
9°51'33'N,75°6'38''W	1
Rijksdriehoeksmeeting	220
1°37'830''N,75°35'008''W	5
Belgium Lambert 72	499973
Grados, Minutos, Segundos	3920
1°29,97''N,75°39,41''W	5
1°35,865'N,75°22,429'W	1
1°37'N,76°36'W	3
1°38'06,1''N,75°34'57,9''W	1
1°44'464''N,75°35,073'W	1
2°56'30,6''N,69°46'56,9''W	1
Decimal degrees	155604
Degrees minutes	4
Grados	1
Grados, minutos, segundo	2753
OSGB 1936	42517
1°26'23,5''N,75°53'24,5''W	4
1°44'133''N,75°38'4870''W	2
Gerlach Quad	1
1°15'23,9''N,74°48'49,8''W	4
1°25'246''N,75°30'741''W	1
Degrees decimal minDegrees minutes secondsutes	2
degrees dec. minutes	95117
unknown	531
0°12'48''N,72°25'25''W	1
1°33'52''N,75°19'55''W	1
grados minutos	1252
1°23'23,9''N,75°32'36,1''W	2
1°37'138''N,76°39'434''W	2
1°39'909''N,75°37'019''W	4
Decimal Degrees	12158
1°29,96'N,75°39,407'W	1
1°44'133''N,75°38'487''W	11
1°5,011''N,75°,27,36''W	1
2°53'30,6''N,69°46'56,9''W	1
0°50'37,7''N,75°15'26,1''W	6
1°25'56,49''N,1°27'34,48''W	2
1°25,27''N,75°30,23''W	2
1°29'59,9''N,75°39'22,6''W	1
1°36'23''N,75°39'65''	1
1°37'549''N,79°34'245''W	1
1°38,097''N ,75°35,0311''W	3
Unknown	1107
1°27'0,8''N,75°31'51''W	5
1°36'23,3''N,35°39'6,2''W	2
1°39,133''N,75°36,128''W	1
Grados decimal	284
degrees, minutes, seconds	310
1°35'37,7''N,75°38'55''W	1
1°36'45''N,75°39'02,59''W	1
1°44'56,9'N,75°59'27''W	1
5°35'45,4''N,70°16'8,9''W	1
1°26'23,5N,75°53'24,5''W	1
1°27'3,5''N,75°31'47,1''W	2
1°43,324''N,75°42,926''W	1
Grados, minutos	1
S	3
degrees decimal minutes	29737
"grados, minutos decimales"	2676
1°21,011''N,75°55,991''W	2
01°25'5,75''N,75°30'9,72''W	1
1°25'55,6''N,75°31'48''W	3
1°35'17,8''N,75°33'39,3''W	7
1°37'18,3''N,75°39'434''W	1
1°29'967''N,75°39'407''W	1
1°37,14''N,75°39,34''W	1
2°34'0''N,70°12'46''W	3
UTM 1km	6278
1°39'543''N,75°36'128''W	1
1°39,543'N,75°36,128'W	1
1°54'23,6''N,75°60'5,9''W	1
YKJ	28967
1°39'26,49''N,75°35'50,63''W	1
1°19,56'5''N,75°48,36'7''W	1
1°36'21,6''N,75°36'27''W	1
1°37'1''N,75°37'3''W	1
1°42'32''N,75°42'926''W	10
5°26'09''N,72°41'67''W	4
UTM 15N	49
1°36'359''N,75°36'453''W	1
1°44'7,6''N,75°40'26,8''W	1
1°5,011''N,75°21,36''W	1
ETRS89	1
Grados minutos	870
Grados, minutos y segundo	173
04°36'33''N,67°51'52''W	1
1°26'44,8''N,75°41'12,2''W	1
1°36'23,4''N,75°39'2,59''W	1
1°37'28''N,75°36'15''N	1
1°39,133'N,75°36,128''W	1
1°25'27''N,72°30'58''W	3
1°30,76''N,75°39,76''W	2
1°36'23,5''N,75°39,02'59''W	2
1°36'9,8''N,75°39'1,4''W	4
1°37'23,9''N,75°40'19,9''W	2
6°09'54''N,73°08'15''W	3
Degrees Minutes Seconds	919905
1°21'11''N,75°55'991''W	1
1°25'28,9''N,75°32'5,6''W	6
1°25,058'N,75°30,827'W	1
1°26'16''N,75°30'42''W	6
1°29'59,8''N,75°38'22,6''W	1
1°38'6,1''N,75°34'57,9''W	6
1°38'707''N,75°36'978''W	1
1°44'464''N,75°35'073''W	2
1°47'50,6'N',75°42'59,4''W	1
2°14,53''N,74°48,326''W	2
0°09'20''S,74°43'40''W	2
1°20'25,7''N,75°48'46,7''W	2
1°29'86''N,75°39'51,8''W	1
DMS and UTM	1
1°05,753'N,75°27,607'W	2
1°39'102''N,75°34'473''W	1
1°39'909''N,75°37'19''W	1
1°43,492''N,75°39,981''W	1
05°36'06,3''N,70°16'20,9''W	1
1°36'59''N,76°6'16''W	1
1°36,359'N,75°36,453'W	3
1°39'350''N,75°34'473''W	1
1°39,543'N,75°35,258'W	1
4°3'49,7''N,73°21'54,3''W	1
Degrees decimal minuDecimal degreestes	1
Degrees decimal minutes	3111
Township Range	4888
0°09'20''S,74°46'40''W	5
1°25'17,8''N,75°33'39,3''W	2
1°37'56,9''N,75°35'00,''W	1
1°43'495''N,75°38'264''W	6
2°18'1,67''N,75°23'12,6''W	2
1°23'8,1''N,75°32'51,4''W	2
1°25'5,75''N,75°30'9,72''W	11
1°38'37''N,75°41'27,6''W	5
1°38,1''N,75°35,03''W	1
1°39'909''N,75°37'119''W	1
1°5,011''N,75°27,36''W	7
Dutch RD coordinate system	19505
Latitud, Longitud	8
deg. min. sec.	508277
1°19'56,5''N,75°48'36,7''W	2
1°25'27''N,75°30'58W	2
Graus minutos e segundos	283
YKJ; degrees minutes seconds	24
degrees minutes seconds; YKJ	1
1°25'75''N,75°30'72''W	2
1°37'28''N,75°36'15''W	1
1°47'50,1''N,75°42'59,4''W	2
1°25'189''N,75°30'730''W	1
1°26'46,9''N,75°41'18,5''W	1
1°29'59,8''N,75°36'22,6''W	1
1°37'N,75°36''W	4
1°39,846'N,75°36,391'W	2
4°36'33''N,67°51'52''W	4
DD	84394
decimal degress	117
1°20'42,7N,75°49'17,5W	1
1°36'23''N,75°39'6,5''W	2
Dutch Grid (Amersfoort Rijksdriehoekstelsel)	7745
0°30'11,4''N,73°18'38,5''	1
1°20'55,6''N,75°31'48''W	1
1°27'3,5''N,75°31'47''W	1
1°35'17,8''N,75°51'49,1''W	1
1°35'865''N,75°22'429''W	7
1°42,684'N,75°42,865W	1
grados, minutos decimales	373
1°43,75''N,75°40,39''W	1
9334	1
0°30'0''N,72°37'50''w	1
1°36,36''N,75°38,49''W	1
1°37,549'N,75°34,245'W	2
1°42,684N,75°42,865'W	1
Graus e minutos	277
1°39,13''N,75°36,13''W	2
1°42'43,33''N,75°17'37''W	4
1°43'751''N,75°40'391''W	2
1°44,46''N,75°35,07''W	1
0°10'2''N,72°36'35''W	1
DMS	54747
04°03'49,7''N,73°21'54,3''W	1
0°30,24''N,75°39,83''W	1
1°29'56,8''N,75°39'14,2''W	1
1°36'56,9''N,75°35'0''W	1
1°36'5701''N,76°6'8''W	1
1°54'21,7''N,75°15'40,4''W	2
QUAD	21
1°21'11''N,75°55,991'W	1
1°25'28''N,75°52'11''W	9
1°45'49,9''N,75°46'38,7N	1
1°47'50,6''N,75°42'59,4''W	14
4°33'32''N,68°11'51''W	11
EPSG:4258	2896
QUAD Forum	2
1°13'54,9''N,75°29'30,36''W	1
1°37''N,75°36''W	1
1°39,91''N,75°37'19''W	1
DM	5003
Dutch Grid	497081
Geographic coordinates	2466
grados, minutos y segundos	308
"grados, minutos, segundos"	278
05°36'16,9''N,70°12'54,5''W	2
1°19'43,4''N,75°48'44,0''W	2
1°37'56,5''N,75°41'49,9''W	1
2°18'8,566''N,75°22'42,57''W	1
5°36'6,3''N,70°16'20,9''W	2
Grados, minutos, segundos	52058
1°21'011''N,75°55'99,1''W	3
1°37,55''N,75°34,25''W	5
1°43'20,6''N,75°17'31,9W	1
DutchGrid	149455
0°37'14''N,75°37'41,2''W	2
1°4''89,4''N,79°4'0,47''W	1
Sexagesimales	4939
1°29'7762''N,75°39'382''W	1
2°36'9''N,72°32'1,4''W	1
2°07'N,74°33'W	5
EUREF-FIN	10
1°25'0,75''N,75°30'9,72''W	2
1°42'43,3''N,75°17'37''W	3
1°47'50,60''N,75°42'59,35''W	5
UTM ED50	933208
0°4'27''N,72°27'5''W	1
1°21'00''N,74°50'24''W	1
2°33'29,7''N,70°10'28,2''W	1
2°7'N,74°33'W	1
1°05,152''N,75°28,219'W	1
1°18'53,3''N,75°38'58,4''W	2
1°21'0''N,75°39'23''W	2
1°37'3''N,75°37'3''W	8
utm	1752
00°14'32''N,72°56'15''W	1
1°05,011'N,75°27,363''W	1
1°36'8,6''N,75°51'49,1''W	3
