disposition	reps
Loaned to M. Blackwell 7/71	1
Missing parts, see Availability Remarks In collection Missing parts, see Inventory Remarks	32
Na coleção| Caixa Romaleidae (Bactrophorinae (Trybliophorini (Trybliophorus 2)))	111
Physcia aipolia var. subincisa	2
Physcia stellaris f. arrecta	1
Presented to Boston Children's Museum, 13 Jan 1953	1
Received from Bronx Park	1
Sent in exchange to Bishop Museum , April 19, 1928	1
Sent in exchange to the Bishop Museum, Apr 1928	1
Sent to S. Australian Mus., Aug 1982	1
Taken by Dr. Sanford to Europe, June 29, 1929	1
Tombado em 1905-06-25/in collection	10
Tombado em 1980-09-21/in collection	1
Tombado em 2001-10-11/in collection	6
Tombado em 2008-05-23/in collection	2
deaccessioned	2
6 Duplicados en la misma colección	1
Collection Besairie n°1930-7	28
Collection Beyrouthy n°1990-4	2
Collection CIST	70
Collection Decorse n°1900-14	2
Collection Depré	4
Collection Deyrolle n°lot 1 ?	46
Collection Durand n°1895-9	1
Collection ENS-1939	1
Collection Fourtau n°19002-4	1
Collection Guéranger	2
Collection Keller	1
Collection Kouriatchy n°2006-18	41
Collection Lapparent	10
Collection Mattauer	2
Collection Noulet n°1902-16	2
Collection RIKS MUSEUM STOCKOLM	4
Collection Sénesse	22
Collection Voltz	1
Collection de Ferry	18
Collection de Puygaudeau et Senones n°1938-11	8
Collection de Saporta n°1906-23	1
Destroyed 3/2006	3
Destroyed 9/1993	1
Duplicate of V35635, sent to V 2012 Aug	1
Duplicate of V55288, sent to V 2012 Aug	1
Ex. with Cleveland mus, Feb 1[illeg][illeg][illeg]	1
Ex. with Dr. L.C. Sanford Sept 1917	1
Exch with Imp. Col. Agr. Japan, Oct 190[illeg]	1
Exch. to Phelps, Aug 1949	4
Exch. with British Mus., Sept 1927	1
Exch. with Imp.Col.Agr. Japan Oct.'08	26
Exch. with O. Banks Sept 20, 1918	1
Exchange to Museo de Zoologia Univ. Nac. Aut de Me	2
Exchange to U.S. National Museum Sept 1930	1
Exchange with Tring Mus., July 9, 1928	4
Exchanged with Ashby Hine, Baniff, alberta July 31	1
Exchanged with Geo. Hollister for Hawk, 29 Nov 191	1
Exchanged with Mr. Outram Bangs, March 20, 1914	1
Exchanged; 16 Dec 1939 with Princeton Musuem of Zo	2
Gift to Dr. Hermidt Sick, Museo Nacional, Rio de J	1
Gift to Rutgers University Collection, Mar 1964	2
Given in exchange to Acad. Natl. Sciences, May 193	1
Given in exchange to Berlin Mus. Sept 1937	1
Given to R. Boulton in exchange	1
Kaappi 110b, laatikko 5	1
Kaappi 127b, laatikko Tenebrionidae 158	5
Kaappi 75b, laatikko 14	1
Na coleÁ„o | Buprestidae (16) (1125)	300
Na coleÁ„o | Caixa Dermaptera Dermaptera Labriidae 9	87
Na coleção | Buprestidae (13) (1119)	104
No data, discarded 9 Apr 1941	1
O,D	61
ON LOAN TO DAVE LAMPE, DUQUESNE 2008	1
Physcia cycloselis	7
Presented to Cornell University April 1921	13
Pterygium conferciens	4
Sent Exch. Royal N.H. Museum, Sweden, Gyldenstalpe	1
Sent in exchange to Colonel Meinertzhagin, Decembe	1
Sent in exchange to Tring Museum, 9 Jul 1928	1
Sent to S. Tucker for review	3
To Berlin Museum, Jan 1956	21
To Field Museum, July, 1919	2
Tombado em 2008-05-08/in collection	2
Tombado em 2009-03-09/in collection	13
Tombado em 2013-03-19/in collection	10
Collection Arambourg n°1922-1	3
Collection Aymard n°1890-5	3
Collection Basse n°1944-5	30
Collection Caire	1
Collection Carteron	1
Collection Colcanap n°1909-3	17
Collection Danguy Paul	434
Collection Dautzenberg (ex coll. Stuer)	1
Collection Demaizières	1
Collection Hilly	7
Collection Louis P.	6
Collection Mari n°1991-4	4
Collection SERLES	12
Collection Semenoff-Tian-Chansky	2
Collection Sennier n°1966-5	1
Collection Sigal	570
Collection Spitzberg	994
Collection THOMAS	4
Collection de Lisle	1
Destroyed by insects, Discarded: 1920	5
Duplicate of A2066 sent on exchange to the University of California (UC) 2009	1
Duplicate of A6886; sent on exchange to University of California (UC) 2009	1
Duplicate of V235094, sent to V 2012 Aug	1
Duplicate of V25640, sent to V 2012 Aug	1
Duplicate sent to Bombay Nat. Soc., March 1938	3
Ex. with Brown Univ.,Oct.7/90	1
Ex. with G.Kohn Nov29/90	1
Ex. with Imp.Col.Agr. Japan Oct.'08	1
Ex. with R. Mainerznagen June 1924	1
Ex. with [illeg].[illeg]. Southwick	1
Exch. Geo. Mason, Jul 1922	1
Exch. sent to Berlin Zool. Mus., Jan 8 1932	1
Exch. to National Mus.-Kenya, Africa, 2/14/82	1
Exch. to Rothschild and renumbered AMNH #655355 wh	1
Exch. to Su.S. National Museum Jan 1932	1
Exch. to U.S. National Museum, Sept. 1930	13
Exch. with C.B. Cory	4
Exch. with H.K. Coale-Dec 4, 1924	1
Exch. with Stockholm N.H. Museum, May 1927	18
Exch. with U.S.N.M. - Aug 1961	1
Exchange to Paterson Museum, N.J.	53
Exchange with Mr. Henry K. Coale III. Dec. 4, 1924	1
Exchanged U. Fla. (Fla. St. Univ.) 19 Jul 1963	2
Exchanged to Rolf Grantsa[illeg], Parque Terranova	1
Exchanged with Louis Fuertes, 1909	17
Exhibit - Sanford Hall	1
Exhibits	208
Gift to Pan-merican Union, Washington,D.C.	1
Given in exchange to Museo Argentino de Ciencias N	6
Given in exchange to Phila,Acad,Sciences, November	1
Given in exchange to Princeton Museum of Zoology,	1
Na coleÁ„o | Caixa Enantia - Seg(5) Mod(6) (3)	68
Na coleção |Buprestidae (25) (1131)	248
Na coleção| Romaleidae (Romaleidae (Romaleinae- Romaleini- Xyleus- leguini- Legua)	79
O,E	1
Ommexechidae (Descampsacris-Ommexecha)	296
Peltigera rufescens var. palmata	4
Pertusaria amara	12
Pertusaria leioplaca f. octospora	2
Presented to Dept. of Education 7/29/63	5
Presented to M[illeg]. Crauford H. Green[illeg]alt	1
Rehan	11
Sent in exchange to Academy of Natural Sciences, P	1
Sent in exchange to the Paris Museum, 2 Apr 1928	1
Sent to Barro, Colorado 1926	5
This duplicate was sent on exchange to Oregon State University (OSC) in summer 2008.	1
This specimen was damaged beyond repair and discarded Two duplicates remain in the collection	1
Tombado em 1998-11-07/in collection	1
Tombado em 1999-07-25/in collection	1
Tombado em 2015-01-27/in collection	4
Tombado em 23-09-2015/in collection	32
Triplicate of V62901, V62900, sent to CAN 2012 Aug	1
specimen missing	178
vitriini	568
4 in collection at ZMUC	31
A duplicate of this specimen was sent on exchange to the National Museum of Nature and Science (TNS)	1
Collection Arnaud & Gaudry	20
Collection BOROMEO	5
Collection Bührer n°1912-16	5
Collection Cocozza T. & Debrenne F. & M.	7
Collection Contet n°1909-24	1
Collection Coty	2
Collection Doumergue	2
Collection Gagnaison	2
Collection HAIDINGER	1
Collection HOGARD	1
Collection Hermann n°1975-9	2
Collection LECOZ	1
Collection Lacroix n°1896-4	1
Collection Latyr N'Diaye	1
Collection Le Mesle	40
Collection Lenglet	5
Collection McMahon	1
Collection PERROTET	5
Collection Platel & Roger	22
Collection Puzos	16
Collection Quiévreux	4
Collection Soc. min. St.Pétersbourg	2
Collection Tournouër n°1899-10	7
Collection Voigt	3
Collection d'Archiac n°2012-12	1
Collection de Gerville	1
Collection ex Laboratoire d'Anatomie Comparée n°1909-40	1
Destroyed by insects, Discarded: 1921	1
Duplicado en colección; Duplicado en otra colección biológica	159
Exch with Imp.Col.Agr. Japan Oct.'08	2
Exch. Brit. Mus.,Sept 1927	1
Exch. BritMus. Sept. 1927	1
Exch. Deleware Museum N.H.	1
Exch. to Carnegie Museum Jan 1932	17
Exch. to Nat. Mus. Kenya, Aug 1983	1
Exch. to Prince Hans of Liechtenstein, 1952	8
Exch.-Dr. Stresemann-Berlin Museum-May 1927	1
Exchange A.M. Peklo-Rossia [?]	1
Exchange Field Mus., Nov 1922	1
Exchange dwith Phila Academy Nat. Sci., July 1928	1
Exchange to Bishop Museum, April 1928	2
Exchanged to S. Austral Museum, 20 Nov. 1974	2
Exchanged to Tahiti Museum 1928	1
Exchanged with H.K. Coale, Mar 1910	3
Exchanges with Prof. Wm. W. Marshall, Univ. of Min	1
Found -95,85890,	1
Given in exchange to Academy Natl Sciences, May 19	1
Given in exchange to Field Museum of Nat. Hist. Ju	1
Given in exchange to University of Michigan, Ann A	1
Kaappi 110b, laatikko 7	4
Kaappi 114b, laatikko Histeridae 9	3
Kaappi 121b, laatikko Cryptophagidae 10	5
Kaappi 81b, laatikko Staphylinidae 78	3
Kaappi 95a, laatikko Chrysomelidae 1	2
Miriam	19
Mounted - Sanford Hall	25
Na coleÁ„o| Caixa Romaleidae (Romaleinae (Romaleini (Xyleus))) 1	80
Na coleção| Caixa Romaleidae (Romaleinae (Romaleini (Tropidacris))	27
Peltigera malacea	59
Physcia pulverulenta var. detersa	6
Presented to Dr. Ruschi, Braz. Nat. Museum, 11/22/	2
Psorotichia furfurella	2
Psorotichia furfurella var. leptospora	1
Sent in Exch. Zoolobisches, Museum, Amsterdam, Mar	1
Tettigonioidea (Phaneropteridae)	206
Thin Section collections	25
This duplicate was sent on exchange to Utah State University (UTC) in summer 2008.	2
This duplicate was sent on exchange to the University of Alaska Museum of the North Herbarium (ALA) 2008	115
To Berlin, Jan 1956	2
Tombado em 18-07-2016/in collection	12
Transferred to Cornell Univ, 28 Oct 1943	1
U.S. Nat.Mus. in exchange 1886	139
ZMB	15
oversize Gallery	2
Collection Arambourg n°1939-12	262
Collection BOISNEL	1
Collection Biberson	5
Collection Bourgeois n°1944-11	1
Collection Faullummel n°2002-1	791
Collection Fischer n°1894-10	1
Collection Geay n°1909-33	44
Collection Grebel n°1912-27	1
Collection Hollande n°1999-8	1
Collection Lessard	16
Collection Mohanti n°2007-4	5
Collection Morlet n°1892-20	339
Collection O'GORMAN	1
Collection Orbigny Charles (d')	2
Collection Poignant	2
Collection ROUVILLE (de)	15
Collection Requin	5
Collection Riou n°1979-8	1
Collection SCHEFSCHIME	1
Duplicate of A19304 and A19302 sent on exchange to National Museum of Nature and Science (TNS) 2009	1
Duplicate of A23285 sent on exchange to the University of California (UC) 2009	1
Duplicate of V158398	1
Duplicate of V25495. Sent on exchange to Oregon State University (OSC) 2009	1
Duplicate of V30321, sent to V 2012 Aug	1
Exch. Louisiana State Univ. Mus, March 1975	1
Exch. sent to Cleveland Mus., 6 Jan 1932	94
Exch. to Nat. Mus. Bulawayo, Zimbabwe, Sep 1982	1
Exch. to U. Cincinnati, 12/19/69	1
Exch. to U.S. National Museum Sept 1930	6
Exch. to U.S. National Museum,   Sept 1930	1
Exch. with Imp.Col.Agr., Japan, Dec.'09	2
Exch. with Mr. E.T. Seton, May 24,1928	9
Exch. with U.S. Natl. Museum, Feb 18, 1925	2
Exchange with Cleveland Feb 1926	1
Exchange with Louis A. Fuertes, Nov. 30, 1899 (+th	6
Exchange with Tring Mus., July 1928	1
Exchanged to San Diego State College-4/69 L.L.S.	1
Exchanged to Storrs Olson, March 1967	1
Exchanged with H.K. Coale, March 10	5
Gift-SWRS, Portal, Ariz.	21
Given in exchange to Mr. Paul Engle, April 9, 1929	1
Given in exchange to Philadelphia Academy of Scien	2
Given in exchange to Zoologist Museum, Amsterdam,	1
Given to Dept. of Public Istruction 1905	1
Given to Louisiana State University, Jan 1981	2
Kaappi 123b, laatikko Anthicidae 8	2
Kaappi 80a, laatikko Staphylinidae 77	1
Missing - during AMCC inventory	2
Na coleÁ„o | Buprestidae (15) (1123)	185
Na coleÁ„o | Caixa Dermaptera Labriidae 3	101
Na coleÁ„o| Caixa Romaleidae (Romaleinae (Romaleini (Xyleus))) 2	95
Na coleção | Caixa Dismorphia - Seg(5) Mod(6) (5)	45
Na coleção |Buprestidae (17) (1127)	89
Na coleção |Espécime: Caixa Hemiptera (2), Lâmina: Caixa Hemiptera (3)	3
Nephroma	3
O,G	43
Placynthium subradiosum	1
Pres. to Dr. Stanley C. Ball by Dr. L.C. Sanford,	11
Presented to Dr. Helmut Sick, Nov 1970	1
Romaleidae (Romaleinae (Antiphon-Callonotacris-Elacochlora))	106
Sent in exchange to Dr. Stresemann-Berlin Museum,	1
Sent in exchange to U.S. Nat. Mus., March 1928	1
Sent in exchange to the Australian Museum - 23 Sep	6
Sent to Swedish Nat. Hist. Museum, Oct. 16, 1928	1
Stratigraphic Collections	147
Thin Section Lab collections	30
This duplicate was sent on exchange to the University of California (UC) 2008	1
Tombado em /in collection	46
Tombado em 1999-01-05/in collection	2
Tombado em 27-06-2016/in collection	2
Triplicate of V26119, V26118, sent to V 2012 Aug	1
systematic collection	107
voucher elsewhere	1736
Biatora uliginosa	4
Collection Arambourg n°1939-13	392
Collection Barbillat	1
Collection Basse n°1932-1	6
Collection Bonnet n°1909-43	1
Collection Buehot n°1928-5	1
Collection Colcanap n°1909-6	1
Collection Cotteau	245
Collection Delamette	1
Collection Demarcq	3
Collection Frager n°1900-34	1
Collection GIROU de BUSAREIGNES	3
Collection Garilli n°2008-17	2
Collection Gouget & Lelièvre n°2000-3	1
Collection Hollande	1
Collection Michelin n°1902-3	14
Collection NILSON	3
Collection PICHON	1
Collection PREVOST	1
Collection Pervinquière	198
Collection ROUSSEL	2
Collection Routhier n°1975.9	16
Collection Rovasenda	17
Collection Stuer n°1902-27	2
Collection Teilhard de Chardin	2
Collection Vésignié (Colonel) n°1955-1	23
Collection Zbyszewski n°1979-5	1
Collection de Boury n°2004-22	1
DNA/Tissue voucher only	5277
Duplicate of A4070; sent on exchange to University of California (UC) 2009	1
Duplicate of V22820, sent to V 2012 Aug	1
Duplicate of V83965	1
Ex. with Louis Molnar, Sept 10,1890	1
Ex. with S.I. Nov. 27,1889; Return  [illeg.] -as w	1
Exch. Birdcraft Sanctuary, Fairfield, Conn.	1
Exch. W.F. Rosenberg, Sept 1921	1
Exch. W.F.H. Rosenberg Sept 1921	2
Exch. with A.C. O'Connor, June 14,1929	1
Exch. with Dr. L.C. Sanford Feb. 1919	1
Exch. with H.B. Conover, Field Mus., 7 Oct 1929	2
Exch. with O. Bangs Sept. 20, 1918	1
Exch. with O.Bangs Sept 20, 1918	1
Exch. with U.S. National Museum, 18 Feb 1925	11
Exch: Delaware Museum N.H.	35
Exchange - Fla. State Museum - 7/22/74	1
Exchanged to Goeldi Museum Belém, Brazil June 1989	1
Exchanged to Rolf Gra[illeg]ts[illeg][illeg], Parq	5
Exchanged with Berlin Museum, July 1935	1
Exchanged with Phila. Acad. Nat. Sci., Jul 1928	4
Found - uncataloged in collection	717
Gift Calif., Academy Science	1
Given in exchange to U.S. National Museum, Decembe	1
Kaappi 123b, laatikko Anthicidae 9	1
Kaappi 89a, laatikko Nitidulidae 1	1
Na coleÁ„o | Caixa Phoebis - Seg(5) Mod(6) (24)	44
Na coleÁ„o| Caixa Romaleidae (Romaleinae (Romaleini (Chromacris)))	102
Na coleção| Caixa Romaleidae (Romaleinae (Romaleini (Gurneyacris - Diponthus)) (Eurostacrini (Eurostacris - Pseudoeurostacris))	161
Norhtern Arizona University Colo	1
Pertusaria dactylina	8
Physcia obscura f. orbicularis	1
Presented to Dept. of Education	1
Presented to Iraq Natural History Museum, 1951	2
Quintuplet of V63420, V62601, V112706, V31626, sent to TBC	1
Sent in exchange to Cleveland Museum, Jun 1927	4
Sent in exchange to J. Berlioz, Oct 26, 1932	1
Sent in exchange to the Australian Museum, 23 Sept	14
Sent in exchange to the Museum Alexander Koenig, B	1
Tombado em 1905-06-26/in collection	1
Tombado em 1983-12-14/in collection	1
Tombado em 2000-10-20/in collection	1
Tombado em 2001-07-10/in collection	4
Tombado em 2001-09-01/in collection	1
Tombado em 2008-05-24/in collection	4
Triplicate of V65072, V182502, sent to CAN 2012 Aug	1
Whitaker	402
Collection Alloiteau	51
Collection Aubert de la Rüe n°2007-16	362
Collection BAILAY	1
Collection Besairie	275
Collection Bonnet	10
Collection DECAZEVILLE	1
Collection Daydé n°1906-3	3
Collection Descloizeaux n°1886-8	1
Collection FLOUEST	11
Collection Fromaget Jacques n°1958-7	132
Collection GRAFF	53
Collection JODOT	2
Collection LEVACHER	1
Collection Lafuste	2
Collection Ledon n°2004-7	3
Collection Lemoine n°1928-6	16
Collection Meyer	184
Collection Tallois n°2000-5	1
Collection Taquet Philippe n°1970-10	6
Collection de Drée	120
Collection de Saporta n°1906-28	1
Destroyed by insects, Discarded	2
Duplicado en otras colecciones	3753
Ex. with R. Meinernagen June 1924	1
Ex. with R. Meinerznagen June [illeg. ?]	1
Exch. Birdcraft Sanctuary, Fairfield Conn., March	1
Exch. Geo. E. Mason 1922	1
Exch. Geo.E.Mason, July 1922	1
Exch. Phil.Acad.Nat.Sci.	22
Exch. U.S. Mus. July 1921	1
Exch. to U.S. National Museum, Jan 10, 1932	1
Exch. with Carlos Reed, Mendoza Feb 9, 1917	1
Exch. with Dr. L.C. Sanford, Sep 1917	7
Exch. with Imp.Col.Agr. Dec.'09	2
Exch. with Louis Molnar, Sept 10,1890	1
Exch.-Stockholm Nat. Hist. Museum, May 1927	1
Exchange to Oklahoma Univ., Dr. G.E. Sutton, March	1
Exchange to Peterson Museum, N.J.	4
Exchange to R.S. Crossin Museum, 18 Dec 1968-L.L.	1
Exchange with Tring Museum, July 9, 1928	2
Exchanged to Queensland Museum, May 1985	12
Exchanged to S. Austral Mus., 20 Nov 1974	30
Exchanged to San Diego State College, Apr 1969, L.	1
Exchanged with Berlin Museum, July 1936	108
Exchanged with D.A. Cohn Oct. 20,'03	1
Exchanged with Dr. Wm. Catvery [illeg.]	1
Given in Exchange to Mr. Allan R. Phillips, 10 May	2
Given to Dr. Sanford, Dec 24, 1932	7
Kaappi 75b, laatikko 19	1
Kaappi 83b, laatikko Staphylinidae 192	1
Kaappi 89a, laatikko Nitidulidae 2	2
Na coleção | Caixa Dismorphia - Seg(5) Mod(6) (9)	58
Na coleção| Caixa Romaleidae (Romaleinae (Romaleini (Aeolacris - Xomacris - Munatia - Prorhacris)))	77
Na coleção| Romaleidae (Romaleinae (Hisychiini))	26
Open exchange with National Wildlife Fed.	1
Physcia muscigena f. kotiluotoënsis	4
Presented to Roosevelt Memorial Assoc. Juyly 1924	1
Sent in exchange Alexander Koenig Mus. Bokn, Germa	1
Sent to Barro, Colorado, 1926	1
To LSU, April 1967	7
Tombado em 2000-02-19/in collection	25
Tombado em 2008-05-09/in collection	5
Tombado em 2008-06-28/in collection	3
Tombado em 2014-07-24/in collection	3
pseudofossils collections	2
sent to Tahiti Museum, 1928	1
systematic collections; &	9
500	1
Bahia skin to LSU, 4/67	2
Collection Abbé Vidal	1
Collection Braillon	21
Collection Bureau n°1923-14	1
Collection Coquand n°1904-32	6
Collection DICKSON	6
Collection Decary n°1944-4	2
Collection Dollfus	34
Collection EMERIC	1
Collection Gazola n°1976-01	1
Collection Lauriat-Rage n°2006-8	1
Collection Pattedoie	6
Collection Renaux	2
Collection Saglio	1
Collection Sougy	94
Duplicate of A90247	1
Duplicate of V178265	1
Duplicate specimen from Royal British Columbia Museum, Victoria, B.C. Accession # V173372	1
Ex. Tackapausha Museum	1
Exch. - Dr. Streseman - Berlin Museum - May 1927	1
Exch. E. Lehn Schiöler Jan. 1927	2
Exch. sent to Berlin Zool. Jan 8, 1932	3
Exch. with Dr. Rusly 7/8/96	2
Exch. with E.T. Seton, April 1918	7
Exch. with Mus. Paulista Brazil, March 1917	2
Exchange Delaware Mus. N.H.	1
Exchange to Occidental College Calif., Oct 14, 196	1
Exchange to Rolf Grantsau, Parque Terranova, SB ca	1
Exchange with Dr. G.M. Sutton, U. Oklahoma, Feb 7,	1
Exchange with F.S. Hersey, Taunton, Mass.	1
Exchange with Princeton Mus., Jan 1926	1
Exchanged for Cuban birds - Nos. 57177, 57273, 572	4
Exchanged; Museum of Comparative Zoology, Oct 20,	1
Given in exchange to Allen Brooks, Aug 6, 1935	1
Given to Kansas Univ. Jan 1954	1
Na coleÁ„o | Caixa Phoebis - Seg(5) Mod(6) (28)	48
Na coleção| Romaleidae (Romaleinae (Romaleini (Agriacris (Staleochlora))))	86
Physcia caesia var. dubia	5
Physcia, Phaeophyscia	1
Presented to British Museum by T. Gilliard, Oct. 2	1
Purchased of John H. Wise	1
Sent in exchange to Nat. Mus., New Zealand, 6 Feb	3
Sent to Berlin Museum, Jan 1956	1
This duplicate was sent on exchange to Jagiellonian University (KRA) 2008.	1
Tombado em 2014-03-27/in collection	1
Tombado em 2014-05-01/in collection	17
Tombado em 2014-08-28/in collection	15
Triplicate of V7956 and V7955, sent to V 2012 Aug	1
30 in collection at ZMUC	1
Collection BEGLEY	1
Collection Babeau	2
Collection Braun n°2004	1
Collection CASTELINI	1
Collection Corroy	2
Collection Courtessole-Griffe ex Université de Toulouse n°1989-3	134
Collection Dordonat n°2008-8	1
Collection Gaspard	20
Collection HEYLER Daniel	431
Collection Korotchenski	1
Collection Le Mesle n°1891-1	4
Collection MEILLET	5
Collection Perrier de la Bathie n°1913-30	3
Collection Roche n°1879-27	1
Collection Vrinat	1
Duplicate of A27728; sent on exchange to University of California (UC) 2009	1
Ex. with P.L. Sclater, Sep 1893	114
Ex. with R. Meinerzhagen, Jun 1[illeg][illeg]4	1
Exch. Birdcraft Sanctuary, Fairfield, Conn., Mar 1	3
Exch. Field Mus., Nov 1922	1
Exch. Imp.Col.Agr.,Japan Dec.'09	1
Exch. Museo Nacional, Argentina, Sept '17	36
Exch. sent to Cleveland Mus. Jan. 6, 1932	1
Exch. to U.S. National Museum, Sep 1930	74
