"data.dwc:disposition","reps"
"25",418
"30",418
"09",418
"1965",416
"1637alexgregg12may2016",416
"0557kaseymiller9apr2015",409
"grekoff",409
"vouchered",409
"apostolescu",408
"fromentel",407
"whitaker",402
"fischer",401
"yc",400
"oversize",392
"0471alexgregg5may2016",389
"ariz",388
"goret",388
"2000",386
"toucas",380
"f",379
"arnaud",378
"d061",377
"royal",377
"01375",376
"constantin",376
"ettingshausen",376
"von",376
"2005",375
"0533",372
"romaggi",370
"jean",369
"d0060",367
"aubert",362
"d020",362
"rüe",362
"22",358
"landriot",356
"0303juan",355
"vela30mar2015",355
"pareyn",350
"0662",346
"rm",346
"sorbonne",344
"gift",341
"1892",339
"d032",339
"morlet",339
"saemann",339
"04",338
"69",337
"0037_01508",336
"debrenne",335
"82",334
"watelet",334
"loaned",333
"galerie",332
"0599kaseymiller25mar2015",331
"14_cokendolpher",331
"figured",331
"zoologie",331
"28",330
"0548kaseymiller23mar2015",330
"41",328
"1512cokendolpher1june2016",328
"dleps",328
"morgan",327
"0527",325
"thomas",324
"00544",323
"1652cokendolpher25ap2016",323
"ktha",323
"radioactive",321
"0042",320
"00618",319
"chrisgross12.10.201",319
"mounted",319
"42",318
"68",318
"1967",317
"1658alexgregg5may2016",317
"apr",310
"1669alexgregg12may2016",307
"he",306
"1514c.gross12.11.2015",302
"lamarck",300
"78",299
"128",297
"2006",297
"32",296
"72",296
"avaliable",296
"31",295
"cuvillier",294
"herbarium",291
"maire",291
"absent",290
"d009",290
"k",290
"127",289
"hébert",289
"1648alexgregg12may2016",288
"1659cokendolpher5may2016",288
"field",286
"1975",285
"botanical",285
"brooklyn",284
"gardens",284
"0029_00669",283
"boisse",283
"0547kaseymiller25mar2015",282
"1053cokendolpher20ap2016",282
"91",281
"0556kaseymiller21apr2015",281
"34",279
"1650cokendolpher5may2016",279
"1922",278
"0029_01465",277
"berthelin",274
"di",272
"1993",271
"1961",268
"1966",268
"petter",268
"pinned",268
"gorodiski",266
"38",265
"0605kaseymiller1apr2015",265
"1656cokendolpher16may2016",265
"byu",265
"christian",265
"het",264
"margerel",264
"michel",264
"1068adrianrodriguez3june2016",263
"1628alexgregg12may2016",263
"ginies",261
"93",259
"chrisgross11.23.201",258
"gazola",258
"tournouër",258
"inventory",257
"missg",257
"befre",256
"77",253
"0597",253
"0547kaseymiller24mar2015",251
"1654cokendolpher5may2016",251
"01",248
"0344sushmachiluvuri15jun201",248
"exchange",248
"1643alexgregg23ap2016",247
"cotteau",247
"0541adrianrodriguez10june2016",246
"0298kaseymiller30mar2015",243
"1905",242
"richard",242
"ohio",241
"state",241
"vasseur",241
"1663alexgregg5may2016",239
"et",239
"90",238
"1670alexgregg12may2016",238
"basse",237
"0209",236
"1671alexgregg12may2016",236
"hollard",236
"106",234
"d017",233
"0671",230
"gaudant",230
"1646alexgreeg12may2016",229
"merle",227
"jouvin",226
"rey",226
"1460kaseymiller25mar2015",225
"breton",225
"brock",223
"dutuit",219
"ploëg",219
"105",218
"dbg",218
"1904",217
"1962",217
"00763",217
"chevalier",217
"oudard",217
"vollosovitch",217
"1884",216
"requien",216
"riou",215
"1924",214
"1271alexgregg6jun2016",214
"esprit",213
"1418margo22ap2016",212
"g",212
"1866",211
"0215alexgregg27ap2016",210
"exhibits",208
"decary",207
"1645alexgregg27ap2016",206
"d019",206
"d033",206
"gregg",206
"remount",206
"nmc",201
"0836",198
"1673cokendolpher25ap2016",198
"rouault",198
"0633",197
"brisac",197
"0029_00317",196
"meneguzzo",196
"ledon",195
"from",194
"108",193
"1552",193
"66",192
"romo",192
"specimens",192
"0934cokendolpher20ap2016",191
"1668alexgregg12may2016",190
"1667alexgregg5may2016",189
"1890",187
"waterlot",186
"0029_00309",185
"1675alexgregg23ap2016",185
"schtrock",185
"74",184
"meyer",184
"vizcaïno",184
"76",183
"langlois",183
"meurinne",183
"0523",182
"0032_00936",181
"chalmas",180
"d038",179
"j",179
"munier",179
"bry",178
"occurrenceremarks",177
"80",176
"0031_00625",175
"deyrolle",175
"giovanni",175
"unam",175
"4a",174
"ferry",174
"na",174
"0032_00480",173
"0615kaseymiller30mar2015",173
"koninck",172
"0605kaseymiller9apr2015",171
"nava",171
"1931",169
"0485",169
"0601kaseymiller9apr2015",169
"617c.gross12.14.2015",169
"cokendolpher18dec2026",169
"saint",169
"111",168
"0031_00453",168
"hes",168
"209",167
"0635cokendolpher2jun2016",167
"1647alexgregg27ap2016",167
"chrisgross12.04.201",166
"vibraye",165
"0420cokendolpher16may2016",164
"lot",164
"00717",163
"krantz",162
"117",161
"00784",161
"dollfus",161
"pons",161
"175",160
"1308kaseymiller23mar2015",159
"jacques",159
"0939kaseymiller23mar2015",158
"cre",158
"moy",158
"planc",158
"0033_00223",157
"81",156
"wm",156
"0034_01499",155
"0342kaseymiller1apr2015",153
"catalog",153
"tessier",153
"0556kaseymiller9apr2015",152
"adam",151
"august",151
"110",150
"tank",149
"unassigned",148
"void",148
"172",147
"1929",146
"montenat",146
"1588",144
"170",143
"termier",143
"0031_00614",142
"brébion",142
"178",141
"1883",141
"0031_00247",141
"0303kaseymiller30mar2015",140
"0561kaseymiller30mar2015",140
"8a",140
"112",139
"180",139
"amard",139
"sushma.chiluvur",139
"smithsonian",138
"toulouse",138
"98",137
"exn",137
"0033_00198",136
"124a",135
"lst",135
"33",134
"59",134
"université",134
"208",133
"1920",133
"1997",133
"braillon",133
"damotte",133
"drée",133
"medha",133
"vemla",133
"1620",132
"1934",132
"0060",132
"a",132
"cokendolpher14dec201",132
"0031_00656",131
"1633cokendolpher25ap2016",130
"186",129
"lartet",129
"mna",129
"slide",129
"99",128
"2010",126
"1587alexgregg6jun2016",126
"1589alexgregg10jun2016",126
"koby",126
"navajo",126
"nm",126
"plaziat",126
"0037_01438",125
"cokendolpher17dec2026",125
"drawer",125
"183",124
"0596",124
"0656sushmachiluvuri18may201",124
"919c.gross12.14.2015",124
"0033_00227",123
"crépin",123
"210",122
"0611kaseymiller30mar2015",122
"chrisgross12.02.201",122
"gervais",122
"1988",121
"208a",121
"viaud",120
"181",119
"1899",119
"1909",119
"0606kaseymiller1apr2015",119
"0635cokendolpher27may2016",119
"0657sushmachiluvuri21may201",119
"1a",119
"chartron",119
"1928",118
"0040",117
"chrisgross11.20.201",117
"177",116
"1942",116
"0037_01511",116
"0661",116
"125",115
"763c.gross11.23.2015",115
"184",114
"0005_00365",113
"0819margoprewitt17may2016",113
"leleu",113
"fld",111
"254",110
"administration",110
"russie",110
"65",109
"163",109
"0031_00587",109
"petitclerc",109
"roche",109
"2009",108
"301c.gross12.16.2015",108
"christol",108
"piveteau",108
"0005_01548",107
"auguste",107
"dubertret",107
"0031_00659",106
"bravard",106
"menchikoff",106
"0305kaseymiller6mar2013",105
"0819margoprewitt10may2016",105
"0819margoprewitt11may2016",105
"126a",105
"martin",105
"collected",104
"79",102
"1981",102
"0029_00297",102
"1639alexgregg15may2016",102
"22a",102
"education",102
"uc",102
"101",101
"gras",101
"154",100
"248",100
"0029_00612",100
"scipion",100
"157",99
"hourcq",99
"211",98
"0819margoprewitt9may2016",98
"chrisgross11.30.201",98
"0005_01547",97
"chrisgross12.01.201",97
"debey",97
"1900",96
"1634cokendolpher25ap2016",96
"1651alexgregg23ap2016",96
"blain",96
"exhibit",96
"legrand",96
"64",95
"1903",95
"1972",95
"braun",95
"nhp",95
"reference",95
"1582adrianrodriguez10june2016",94
"brit",94
"sougy",94
"75",93
"113",93
"2004",93
"1418margopruitt22ap2016",93
"cu",93
"153",92
"1895",92
"1912",92
"1959",92
"0568",92
"fred",92
"sarazin",92
"63",91
"224",91
"1635cokendolpher27ap2016",91
"604c.gross12.14.2015",91
"168",90
"nonvasc",90
"102",89
"1983",89
"621c.gross12.14.2015",89
"0033_00344",88
"msc",88
"126",87
"221",87
"1896",87
"0770sushmachiluvuri9jul2015",87
"fourtau",87
"pierre",87
"d'aoust",86
"gauthier",86
"gcnra",86
"geay",86
"théodore",86
"virlet",86
"149",85
"cup",85
"54",84
"92",84
"173",84
"182",84
"1881",84
"0031_00613",84
"0033_01446",84
"lecointre",84
"0652",83
"houzay",83
"100",82
"1867",82
"67",81
"barthoux",81
"cs",81
"pl",81
"tchihatcheff",81
"158",80
"2003",80
"0660sushmachiluvuri21may201",80
"calvez",80
"151",79
"1889",79
"lesquereux",79
"mission",79
"160",78
"251",78
"jaubert",78
"31a",77
"hutton",77
"salla",77
"utc",77
"207",76
"1958",76
"00757",76
"0188margoprewitt5may2016",76
"c",76
"161",75
"1395alexgregg23ap2016",75
"changarnier",75
"choubert",75
"cibnor",75
"218",74
"247a",74
"herbaria",74
"249",73
"0032_00637",73
"grossouvre",73
"l'ile",73
"parcheminey",73
"253",72
"1649cokendolpher26ap2016",72
"catalogue",72
"huefs",72
"id",72
"simpson",72
"196",71
"0843alexgregg28ap2016",71
"desnoyers",71
"strougo",71
"1427alexgregg5may2016",70
"cist",70
"dereims",70
"124",69
"0032_00583",69
"0549kaseymiller23mar2015",69
"1636alexgregg23ap2016",69
"raynaud",69
"weddell",69
"wva",69
"109",68
"206",68
"1973",68
"00444",68
"bathie",68
"perrier",68
"roissy",68
"00274",67
"r",67
"ven",67
"62",66
"bories",66
"fromaget",66
"moreau",66
"214",65
"1898",65
"0548kaseymiller24mar2015",65
"deshayes",65
"lacroix",65
"56",64
"187",64
"0034_01322",64
"0421",64
"bucket",64
"h",64
"loubiere",64
"pautet",64
"pomel",64
"transferred",64
"umo",64
"55",63
"150",63
"0605kaseymiller8apr2015",63
"1331sushmachiluvuri8jul2015",63
"being",63
"ckendlph",63
"ctes",63
"family",63
"hua",63
"processed",63
"40",62
"96",62
"212",62
"215",62
"0659sushmachiluvuri13may201",62
"0_0",62
"115b",62
"cokendolpher15dec2026",62
"osc",62
"shumpreeth.bezaw",62
"0005_01553",61
"0569",61
"616c.gross12.11.2015",61
"carriol",61
"crosnier",61
"for",61
"43",60
"195",60
"247",60
"1911",60
"dournay",60
"dso",60
"du",60
"nnhp3",60
"qcne",60
"ben",59
"lauriat",59
"moussa",59
"rage",59
"received",59
"restricted",59
"yet",59
"250",58
"1994",58
"0034_00821",58
"1574adrianrodriguez3june2016",58
"bastard",58
"castelnau",58
"delaware",58
"tillier",58
"219",57
"abbé",57
"clariond",57
"pillola",57
"57",56
"155",56
"165",56
"216",56
"226",56
"0449kaseymiller23mar2015",56
"210a",56
"delanoue",56
"mo",56
"o'gorman",56
"0238adrianrodriguez10june2016",55
"193b",55
"and",55
"britton",55
"chaire",55
"franceschi",55
"hatzeg",55
"luc",55
"no",55
"popovici",55
"pure",55
"schmitz",55
"staadt",55
"114",54
"2001",54
"00938",54
"1662alexgregg15may2016",54
"abadie",54
"applied",54
"centre",54
"d013",54
"dree",54
"geology",54
"pakistan",54
"tp",54
"unlv",54
"70",53
"241",53
"0993alexgregg10jun2016",53
"graff",53
"hubbell",53
"marcou",53
"rsa",53
"107",52
"205",52
"alloiteau",52
"nuli",52
"piette",52
"sd",52
"ucr",52
"1510c.gross12.11.2015",51
"1584margopruitt10jun2016",51
"241b",51
"bourcart",51
"lemoine",51
"94",50
"222",50
"1143",50
"feki",50
"156",49
"1894",49
"0034_00164",49
"1660cokendolpher5may2016",49
"bührer",49
"d'entomologie",49
"musée",49
"46",48
"71",48
"1590",48
"mesle",48
"sampling",48
"sent",48
"0824sushmachiluvuri21may201",47
"31b",47
"eymar",47
"gilet",47
"laumont",47
"mayer",47
"0029_00299",46
"0029_00680",46
"0032_01406",46
"1490kaseymiller30mar2015",46
"charbonnier",46
"charles",46
"sismonda",46
"152",45
"204",45
"227",45
"0029_01398",45
"00411",45
"blanchard",45
"croizet",45
"photographic",45
"us",45
"37",44
"60",44
"89",44
"202",44
"203",44
"229",44
"0033_00792",44
"arnould",44
"brard",44
"gay",44
"gruner",44
"piroutet",44
"york",44
"137",43
"01440",43
"0656sushmachiluvuri21may201",43
"0819margoprewitt12may2016",43
"1014alexgreeg5may2016",43
"hildreth",43
"institution",43
"nnhp2",43
"speciment",43
"tournal",43
"167",42
"00818",42
"beyrouthy",42
"brimaud",42
"canb",42
"durand",42
"meunier",42
"vachard",42
"étallon",42
"213",41
"1876",41
"0254",41
"127a",41
"kouriatchy",41
"147",40
"240",40
"beauvais",40
"chardin",40
"davreux",40
"horticulture",40
"mantell",40
"os",40
"p",40
"teilhard",40
"williamson",40
"200",39
"0032_00934",39
"0602kaseymiller25mar2015",39
"245a",39
"gaudin",39
"ids",39
"ne",39
"théophile",39
"50",38
"86",38
"0034_00772",38
"0275margoprewitt3may2016",38
"193a",38
"gouvernement",38
"135",37
"191",37
"192",37
"0032_00626",37
"339c.gross12.16.2015",37
"by",37
"d0042",37
"isc",37
"jourdy",37
"jusserand",37
"mbm",37
"murray",37
"müller",37
"section",37
"sornay",37
"stuer",37
"thin",37
"87",36
"242",36
"252",36
"1976",36
"0031_00653",36
"delga",36
"e.m.p",36
"el",36
"grossard",36
"jacquet",36
"jullien",36
"schlumberger",36
"47",35
"83",35
"85",35
"220",35
"0031_00658",35
"0819",35
"11a",35
"alvaro",35
"catallo",35
"gorceix",35
"hajjaji",35
"hel",35
"j.j",35
"lapparent",35
"lavocat",35
"padone",35
"1930",34
"1944",34
"0033_00559",34
"0603kaseymiller23mar2015",34
"casanova",34
"henrotay",34
"jacquemont",34
"jordan",34
"jules",34
"pleininger",34
"88",33
"134",33
"194",33
"1886",33
"1925",33
"1984",33
"0039_01334",33
"1073cokendolopher1june2016",33
"215a",33
"deslongchamps",33
"jenkins",33
"novak",33
"thurmann",33
"tombeck",33
"58",32
"166",32
"245",32
"avias",32
"bertrand",32
"gill",32
"pisani",32
"reynès",32
"vaillant",32
"103",31
"104",31
"0033_00814",31
"0809sushmachiluvuri12jun201",31
"237a",31
"destombes",31
"encb",31
"eudes",31
"marceaux",31
"nicolaï",31
"vaslet",31
"verneuil",31
"199",30
"1947",30
"1955",30
"2017",30
"00276",30
"1er",30
"badillet",30
"balavoine",30
"bondon",30
"colonel",30
"dumas",30
"jacob",30
"lefebvre",30
"monaco",30
"vésignié",30
"139",29
"0005_01546",29
"0034_01377",29
"0037_01397",29
"1640alexgregg23ap2016",29
"boussac",29
"dr",29
"elouard",29
"klipstein",29
"roger",29
"133",28
"223",28
"1913",28
"00771",28
"1584adrianrodriquez10june2016",28
"37a",28
"cuif",28
"decorse",28
"ephr",28
"footprints",28
"hupé",28
"losh",28
"léveillé",28
"marchand",28
"russel",28
"service",28
"tesson",28
"vadet",28
"voltz",28
"73",27
"132",27
"230",27
"236",27
"0493cokendolpher5may2016",27
"0920sushmachiluvuri15jun201",27
"1073cokendolpher2june2016",27
"goeppert",27
"kozlowski",27
"lmnra",27
"marin",27
"pallary",27
"seunes",27
"0005_01034",26
"0923margoprewitt3may2016",26
"baugier",26
"buckland",26
"given",26
"grandin",26
"griswold",26
"hutr",26
"rosset",26
"routhier",26
"terry",26
"usu",26
"zumoffen",26
"141",25
"146",25
"162",25
"190",25
"217",25
"231",25
"1878",25
"1923",25
"0034_00988",25
"1053cokendolpher21ap2016",25
"chouquet",25
"deynoux",25
"dupérier",25
"harlan",25
"minier",25
"reich",25
"rigaux",25
"roman",25
"1879",24
"1996",24
"060",24
"544c.gross12.03.2015",24
"andréeff",24
"bockholtz",24
"chaix",24
"chanlon",24
"cornuel",24
"engel",24
"foureau",24
"gravenhorst",24
"leroy",24
"michael",24
"photograph",24
"queensland",24
"saull",24
"soc",24
"t",24
"upmc",24
"uvsc",24
"vacant",24
"61",23
"0223sushmachiluvuri2jul2015",23
"1529alexgregg6jun2016",23
"accession",23
"buchinger",23
"d'york",23
"dubar",23
"gautier",23
"illisible",23
"linder",23
"marmora",23
"moule",23
"nybg",23
"platel",23
"silliman",23
"sénesse",23
"tonkin",23
"vaulx",23
"44",22
"130",22
"201",22
"244",22
"0029_01420",22
"1478c.gross12.14.2015",22
"audouin",22
"boussard",22
"cahuzac",22
"caire",22
"hericart",22
"l",22
"lefèvre",22
"margerie",22
"muséum",22
"obi",22
"phil",22
"rasetti",22
"wall",22
"198",21
"243",21
"1341",21
"1861",21
"1990",21
"0656sushmachiluvuri20may201",21
"221a",21
"274c.gross12.01.2015",21
"brousmiche",21
"courtin",21
"cr",21
"d'agincourt",21
"dartevelle",21
"delalot",21
"dolin",21
"inb",21
"matheron",21
"neltner",21
"nicol",21
"quatrefage",21
"ters",21
"usj",21
"118",20
"1872",20
"1888",20
"0039_01470",20
"0600kaseymiller23mar2015",20
"212a",20
"bh",20
"dmas",20
"faujas",20
"fernand",20
"flick",20
"fond",20
"gaspard",20
"locard",20
"main",20
"manivit",20
"me",20
"néraudeau",20
"schoelcher",20
"serres",20
"thury",20
"vaquez",20
"142",19
"143",19
"1885",19
"1906",19
"00461",19
"0372",19
"1053cokendolpher20ap2015",19
"ansm",19
"bpi",19
"burat",19
"ca",19
"caze",19
"charmasse",19
"combaut",19
"legendre",19
"leyrit",19
"lombard",19
"miriam",19
"moissette",19
"photovoucher",19
"riks",19
"robert",19
"tex",19
"towson",19
"villeneuve",19
"1927",18
"1992",18
"curet",18
"d'archiac",18
"dieni",18
"faure",18
"grandidier",18
"hoeninghaus",18
"houdas",18
"jiang",18
"joly",18
"newberry",18
"pentland",18
"wen",18
"zhi",18
"228",17
"237",17
"1868",17
"0005_01550",17
"0032_01349",17
"0039_00264",17
"1616alexgregg5may2016",17
"22b",17
"619c.gross12.15.2015",17
"652c.gross12.16.2015",17
"beaumont",17
"buvignier",17
"carion",17
"coquand",17
"duval",17
"georges",17
"graves",17
"hastings",17
"laboratoire",17
"langsdorf",17
"nsw",17
"paterson",17
"ravergie",17
"rovasenda",17
"rudel",17
"simthsonian",17
"soret",17
"ut",17
"weddel",17
"138",16
"239",16
"1880",16
"1956",16
"0033_00638",16
"0034_01332",16
"1975.9",16
"achats",16
"bonnet",16
"bouchard",16
"caratini",16
"castany",16
"chudeau",16
"condamy",16
"lessard",16
"lortet",16
"muret",16
"peliot",16
"pinar",16
"pomier",16
"puzos",16
"riviere",16
"salvan",16
"schlotheim",16
"selligue",16
"valenciennes",16
"yates",16
"136",15
"140",15
"255",15
"1998",15
"0034_00292",15
"0034_00781",15
"0659sushmachiluvuri11may201",15
"1014cokendolpher5may2016",15
"115a",15
"190a",15
"bouillé",15
"boulanger",15
"brown",15
"cottreau",15
"cubaynes",15
"glaziou",15
"gueranger",15
"imoff",15
"lachkhem",15
"lapierre",15
"pergens",15
"rené",15
"rouville",15
"roux",15
"s.a.p",15
"sacher",15
"stockholm",15
"strasbourg",15
"tambareau",15
"triger",15
"wouters",15
"yvette",15
"131",14
"145",14
"148",14
"1847",14
"1921",14
"0037_00783",14
"1638cokendolpher17may2016",14
"239c",14
"24a",14
"animale",14
"cloué",14
"cnp",14
"d'angers",14
"dissection",14
"dru",14
"genitalia",14
"giret",14
"général",14
"hitchckock",14
"lardeux",14
"m'coy",14
"macmadoux",14
"madagascar",14
"meyrat",14
"paleontologie",14
"petit",14
"roudaire",14
"51",13
"1982",13
"0033_00166",13
"0034_00805",13
"0034_01594",13
"0315",13
"0596margoprewitt18may2016",13
"619c.gross12.16.2015",13
"allou",13
"cotta",13
"couraud",13
"d'orbigny",13
"daom",13
"destructive",13
"galloni",13
"gentil",13
"gerard",13
"kilian",13
"klasz",13
"matrion",13
"muizon",13
"nouiouat",13
"oehlert",13
"partial",13
"peabody",13
"périer",13
"quaggiotto",13
"srp",13
"uliczny",13
"vignal",13
"1891",12
"01338",12
"0231sushmachiluvuri9jun2015",12
"148a",12
"239d",12
"b",12
"bigot",12
"c.gross",12
"chaput",12
"colegno",12
"dalloni",12
"debourle",12
"depape",12
"dubus",12
"dumortier",12
"follot",12
"freez",12
"gandin",12
"legallois",12
"leichhardt",12
"ludwig",12
"lörenthey",12
"marcomini",12
"marty",12
"mascaroux",12
"mazet",12
"mexu",12
"mossier",12
"murchisson",12
"of",12
"ohlert",12
"risso",12
"rousseau",12
"schonlein",12
"serles",12
"stockes",12
"tchihatchef",12
"u",12
"univ",12
"varone",12
"very",12
"273",11
"1869",11
"1910",11
"1935",11
"0034_00767",11
"239a",11
"239b",11
"amédro",11
"bazerque",11
"boule",11
"bouloumier",11
"candolle",11
"cedp",11
"cid",11
"commune",11
"conil",11
"d'aveillans",11
"filhol",11
"flouest",11
"fournet",11
"gil",11
"gogun",11
"henri",11
"hibbert",11
"karche",11
"lyon",11
"mathieu",11
"md",11
"motte",11
"neuville",11
"oustalet",11
"rehan",11
"renard",11
"roch",11
"réquien",11
"weisrock",11
"116",10
"144",10
"1995",10
"0630sushmachiluvuri15jun201",10
"0653sushmachiluvuri7may2015",10
"17_cokendolpher",10
"241a",10
"also",10
"ballot",10
"buchet",10
"ciry",10
"comparée",10
"decaisne",10
"dercourt",10
"ellis",10
"gignoux",10
"grillo",10
"guyot",10
"hollande",10
"hoteissier",10
"j.b",10
"joubert",10
"larkin",10
"legay",10
"lewy",10
"lucas",10
"martinez",10
"maubeuge",10
"montjamont",10
"rabot",10
"raulin",10
"rioult",10
"rouchy",10
"stahl",10
"stchepinsky",10
"verreaux",10
"vilanova",10
"1938",9
"1974",9
"2012",9
"0031_01399",9
"0033_00408",9
"0033_00565",9
"0033_01491",9
"0034_01477",9
"0346",9
"0754sushmachiluvuri10jul201",9
"0791sushmachiluvuri9jul2015",9
"0819juanvela05",9
"0819margoprewitt5may2016",9
"ameghino",9
"atrops",9
"barfely",9
"bat",9
"baudouin",9
"bergouhnious",9
"buckinger",9
"cart",9
"cfp",9
"cie",9
"coutin",9
"depontaillier",9
"dutheil",9
"farchad",9
"faurie",9
"franzin",9
"furon",9
"gc",9
"geslin",9
"hbg",9
"heybroek",9
"laffitte",9
"loriere",9
"smith",9
"trévisan",9
"ts",9
"villemur",9
"vogel",9
"1932",8
"1950",8
"0032_01457",8
"0037_00804",8
"01328",8
"0553",8
"0659sushmachiluvuri12may201",8
"0932",8
"ala",8
"amnh",8
"anatomie",8
"blanchet",8
"bonneau",8
"boucault",8
"bourgin",8
"bowman",8
"calas",8
"cavelier",8
"cessac",8
"chautard",8
"cnf",8
"cocozza",8
"cone",8
"couffon",8
"decandolle",8
"depontailler",8
"enlc",8
"flas",8
"fremenger",8
"friry",8
"glaçon",8
"jager",8
"lebedeff",8
"lee",8
"malacologie",8
"manchester",8
"molot",8
"monod",8
"pajaud",8
"pilastre",8
"puygaudeau",8
"retained",8
"révoil",8
"senones",8
"tissot",8
"uk",8
"viguier",8
"villarroel",8
"ws",8
"189",7
"1887",7
"1953",7
"1970",7
"0032_00231",7
"0034_00815",7
"0040_00377",7
"0570",7
"0610sushmachiluvuri30apr201",7
"0656sushmachiluvuri15may201",7
"1403adrianrodriguez3june2016",7
"audibert",7
"botta",7
"charpentier",7
"chevandier",7
"cmnc",7
"cooke",7
"daguin",7
"dmns",7
"douvillé",7
"dresnay",7
"erentöz",7
"erünal",7
"feneon",7
"foray",7
"haime",7
"herb",7
"hilly",7
"istc",7
"kier",7
"lanquine",7
"lebesconte",7
"marçais",7
"millet",7
"mony",7
"moret",7
"nicklès",7
"north",7
"palain",7
"pareto",7
"part",7
"pattedoie",7
"paulian",7
"planchon",7
"portail",7
"registered",7
"rotschild",7
"royer",7
"savi",7
"sgo",7
"smithsoinian",7
"teaching",7
"ub",7
"uni",7
"usnm",7
"vibray",7
"wagner",7
"wallich",7
"workshop",7
"wtu",7
"zigno",7
"1919",6
"1933",6
"1978",6
"0034_00848",6
"alta",6
"baudin",6
"bayle",6
"bignot",6
"boucher",6
"brice",6
"brisswalter",6
"canevet",6
"capus",6
"cas",6
"chanteraux",6
"cheretes",6
"cllectin",6
"cloue",6
"clément",6
"dav",6
