"data.dwc:sex","reps"
"56m",4
"57u",4
"5x",4
"60.5",4
"61.5",4
"61w",4
"62w",4
"63w",4
"64.5",4
"65.0",4
"66.0",4
"66u",4
"6dq",4
"6q",4
"71.5",4
"71m",4
"75w",4
"7dq",4
"82.0",4
"8dq",4
"anterior",4
"araújo",4
"arias",4
"black",4
"casal",4
"collected",4
"destroyed",4
"dos",4
"erg",4
"f2",4
"fat",4
"fl",4
"hand",4
"imm",4
"indefinido",4
"inguinal",4
"jovem",4
"junior",4
"malefemale",4
"mandible",4
"material",4
"missouri",4
"one",4
"ovada",4
"penny",4
"peralta",4
"present",4
"prob",4
"ratcliffe",4
"sacs",4
"santos",4
"side",4
"slides",4
"steril",4
"subadult",4
"subm",4
"synoicous",4
"thru",4
"u.s.a",4
"waldez",4
"127",3
"144",3
"147",3
"163",3
"197",3
"198",3
"202",3
"212",3
"213",3
"217",3
"232",3
"236",3
"253",3
"256",3
"265",3
"283",3
"307",3
"337",3
"651",3
"001",3
"002",3
"0f",3
"0m",3
"10.4",3
"10.7",3
"105.0",3
"105w",3
"10dq",3
"11.4",3
"11.7",3
"11mi",3
"12dq",3
"13.3",3
"13.4",3
"13.5",3
"14.4",3
"148w",3
"15.8",3
"150m",3
"15mi",3
"16.5",3
"16.7",3
"16.8",3
"16aq",3
"17mi",3
"18.1",3
"18.9",3
"19.0",3
"19.5",3
"19.6",3
"19.8",3
"19mi",3
"1dm",3
"1es",3
"1exuvia",3
"1jf",3
"1male",3
"20.0",3
"20.2",3
"20.3",3
"20.5",3
"21.1",3
"21.8",3
"21mi",3
"22.3",3
"22.4",3
"23.1",3
"23.8",3
"24.1",3
"24.4",3
"24.9",3
"24mi",3
"25.4",3
"25.5",3
"25p",3
"26.2",3
"26.3",3
"26.4",3
"27.1",3
"27.2",3
"27.4",3
"28.2",3
"28.4",3
"29.1",3
"29.9",3
"2adult",3
"2pupa",3
"31.0",3
"31.4",3
"32.4",3
"32.5",3
"33.3",3
"34.8",3
"35.1",3
"35mi",3
"36.2",3
"36.8",3
"36m",3
"37.0",3
"37.3",3
"37.4",3
"37.7",3
"37.8",3
"38.6",3
"38.7",3
"39.0",3
"39.5",3
"3qp",3
"40p",3
"41f",3
"43f",3
"44.1",3
"44.2",3
"44.3",3
"45.1",3
"45.5",3
"46.1",3
"46.7",3
"47.0",3
"47f",3
"48.1",3
"48u",3
"50.7",3
"51.1",3
"52.5",3
"52u",3
"53.4",3
"53u",3
"54.0",3
"54.1",3
"54.4",3
"54.9",3
"54m",3
"55m",3
"55u",3
"56.4",3
"56.6",3
"56u",3
"56w",3
"57.0",3
"57f",3
"57w",3
"58f",3
"59.5",3
"59.6",3
"59.8",3
"5wp",3
"6.4",3
"60f",3
"63.5",3
"63f",3
"64.0",3
"64w",3
"65m",3
"67.5",3
"67m",3
"70.1",3
"72u",3
"72w",3
"73w",3
"74.0",3
"75.0",3
"76w",3
"77.0",3
"77.2",3
"78.0",3
"79.8",3
"7ma",3
"82w",3
"85w",3
"9.1",3
"90u",3
"90w",3
"91.0",3
"91m",3
"94.0",3
"95.0",3
"9l",3
"aberrant",3
"acari",3
"adulto",3
"alc",3
"antenna",3
"apterous",3
"are",3
"asexual",3
"atol",3
"augsburgs",3
"aus",3
"baiatune",3
"batch",3
"broken",3
"ca",3
"callow",3
"captured",3
"cognitae",3
"dakota",3
"damaged",3
"der",3
"detatched",3
"developmental",3
"europaei",3
"flowers",3
"formalin",3
"gosner",3
"hermaphrodites",3
"hung",3
"hungarici",3
"jesus",3
"leandro",3
"limeira",3
"lo",3
"loose",3
"m5",3
"man",3
"media",3
"monoicous",3
"paroecious",3
"pasture",3
"pharate",3
"pins",3
"plantae",3
"ploidy",3
"prepupa",3
"prepupae",3
"quen",3
"regni",3
"rjgf",3
"series",3
"shells",3
"silva",3
"south",3
"spider",3
"tied",3
"tissue",3
"total",3
"universalis",3
"unripe",3
"vapor",3
"133",2
"138",2
"158",2
"159",2
"164",2
"177",2
"182",2
"184",2
"186",2
"189",2
"204",2
"205",2
"214",2
"216",2
"218",2
"223",2
"228",2
"244",2
"254",2
"257",2
"263",2
"264",2
"269",2
"277",2
"279",2
"282",2
"285",2
"295",2
"296",2
"297",2
"305",2
"315",2
"316",2
"330",2
"346",2
"347",2
"361",2
"378",2
"384",2
"555",2
"560",2
"621",2
"800",2
"1360",2
"1524",2
"1540",2
"1614",2
"1640",2
"1645",2
"1711",2
"1720",2
"1964",2
"1970",2
"1980",2
"2018",2
"2118",2
"2172",2
"206510",2
"01",2
"10.2",2
"10.3",2
"102u",2
"105u",2
"109.0",2
"10s",2
"11.3",2
"11.6",2
"113.0",2
"115.0",2
"117.0",2
"117u",2
"11l",2
"11ma",2
"12.7",2
"120.0",2
"124.0",2
"13.0",2
"13.1",2
"13.8",2
"136u",2
"139w",2
"13l",2
"13ma",2
"13p",2
"13s",2
"13x",2
"14.0",2
"14.7",2
"14.9",2
"14l",2
"15.0",2
"15.4",2
"155w",2
"15aq",2
"16.0",2
"16.3",2
"17.2",2
"17.5",2
"17.6",2
"18.0",2
"18.4",2
"180m",2
"18mi",2
"19.4",2
"19aq",2
"19ma",2
"1dw",2
"1larva",2
"1major",2
"1mc",2
"1st",2
"1teneral",2
"1wc",2
"21ma",2
"22.1",2
"22.8",2
"23.0",2
"23.2",2
"23.4",2
"24.2",2
"24.6",2
"24aq",2
"24ma",2
"25.2",2
"25.3",2
"25.8",2
"25.9",2
"250w",2
"25aq",2
"25mi",2
"26.8",2
"26mi",2
"27.3",2
"27.8",2
"28.1",2
"29.3",2
"29.4",2
"29.5",2
"29.6",2
"2larvae",2
"2microgynes",2
"2pupas",2
"30.1",2
"30.2",2
"30.3",2
"30.4",2
"30.7",2
"30.9",2
"31.3",2
"31.5",2
"32.7",2
"32.8",2
"33.0",2
"33.4",2
"33.5",2
"33.6",2
"333w",2
"34.4",2
"34.6",2
"35.8",2
"35.9",2
"35f",2
"36.0",2
"36.7",2
"37.1",2
"37.5",2
"37f",2
"38.8",2
"38.9",2
"38mi",2
"39.2",2
"39.3",2
"39.8",2
"39mi",2
"3adult",2
"3eq",2
"3juv",2
"3wc",2
"40.1",2
"40.2",2
"40.4",2
"40.9",2
"41.0",2
"41.4",2
"41.5",2
"41.7",2
"42.0",2
"42.6",2
"42.9",2
"42f",2
"43.1",2
"43.3",2
"43.4",2
"43mi",2
"44.0",2
"44.6",2
"44.7",2
"44m",2
"45.2",2
"45.7",2
"45.9",2
"46.2",2
"47.4",2
"47.6",2
"48.5",2
"48.8",2
"48f",2
"48m",2
"49.3",2
"49.4",2
"49mi",2
"4juveniles",2
"4s",2
"50.0",2
"50.3",2
"51.0",2
"51.4",2
"51.5",2
"51.6",2
"51.8",2
"51f",2
"52.4",2
"52.6",2
"52.8",2
"52m",2
"53.0",2
"53.6",2
"53.8",2
"53.9",2
"53m",2
"53w",2
"54.3",2
"54.7",2
"54f",2
"54mi",2
"55.1",2
"55.4",2
"55.7",2
"55.8",2
"55.9",2
"56.3",2
"56.8",2
"56f",2
"57.2",2
"57.7",2
"58.0",2
"58.5",2
"58m",2
"59.0",2
"59m",2
"59u",2
"60.0",2
"60.4",2
"61.0",2
"61.1",2
"61.7",2
"62.1",2
"62.7",2
"63.8",2
"63u",2
"64.2",2
"64.9",2
"64u",2
"65u",2
"67.3",2
"67.8",2
"67f",2
"67w",2
"68.0",2
"68.8",2
"68m",2
"68mi",2
"69.8",2
"69m",2
"69u",2
"69w",2
"6juveniles",2
"70.5",2
"70.6",2
"70u",2
"72.2",2
"72.7",2
"73.0",2
"73.5",2
"74u",2
"75m",2
"75u",2
"76.0",2
"78.5",2
"79.1",2
"79m",2
"7x",2
"80.0",2
"80.5",2
"80u",2
"81.5",2
"83m",2
"84.0",2
"86w",2
"87.0",2
"8ma",2
"8wp",2
"9.2",2
"90.0",2
"91.5",2
"92.0",2
"96.0",2
"98.0",2
"9aq",2
"9p",2
"a6m",2
"americae",2
"antennae",2
"aquino",2
"bisexué",2
"born",2
"brasil",2
"bükkenses",2
"c.fr",2
"case",2
"costa",2
"deformed",2
"developed",2
"disarticulated",2
"domatia",2
"early",2
"ed",2
"er",2
"eragatoid",2
"ergatandromorph",2
"europas",2
"exiccatae",2
"exsiccacti",2
"f3",2
"fem",2
"femael",2
"few",2
"flechten",2
"forearms",2
"form",2
"fragment",2
"fragments",2
"frozen",2
"fêma",2
"gallici",2
"ggb",2
"godoi",2
"gut",2
"headcapsule",2
"hungarica",2
"incandescent",2
"indicates",2
"japonica",2
"jaw",2
"june",2
"juvenis",2
"karyotyped",2
"laying",2
"licens",2
"lights",2
"m6",2
"m7",2
"magnusson",2
"may",2
"mercury",2
"mesosoma",2
"mf",2
"ml",2
"morphs",2
"mostly",2
"none",2
"organs",2
"ovaries",2
"packed",2
"plant",2
"pm",2
"possible",2
"post.vert",2
"rainha",2
"repletes",2
"run",2
"saved",2
"scale",2
"see",2
"sep",2
"septentrionales",2
"several",2
"shed",2
"shelf",2
"specified",2
"spent",2
"stomach",2
"tightly",2
"tuburculate",2
"very",2
"virginia",2
"were",2
"wing",2
"wm",2
"york",2
"zuanon",2
"124",1
"167",1
"169",1
"172",1
"174",1
"179",1
"183",1
"192",1
"194",1
"199",1
"203",1
"206",1
"207",1
"209",1
"219",1
"227",1
"229",1
"233",1
"234",1
"243",1
"247",1
"255",1
"259",1
"272",1
"273",1
"274",1
"278",1
"286",1
"288",1
"289",1
"292",1
"293",1
"298",1
"299",1
"303",1
"304",1
"308",1
"309",1
"311",1
"312",1
"322",1
"332",1
"333",1
"335",1
"343",1
"352",1
"357",1
"364",1
"370",1
"381",1
"386",1
"389",1
"392",1
"395",1
"404",1
"405",1
"409",1
"412",1
"420",1
"430",1
"431",1
"436",1
"438",1
"439",1
"440",1
"447",1
"455",1
"461",1
"488",1
"495",1
"512",1
"513",1
"521",1
"528",1
"529",1
"530",1
"531",1
"537",1
"539",1
"559",1
"563",1
"564",1
"565",1
"573",1
"577",1
"581",1
"583",1
"584",1
"599",1
"600",1
"603",1
"611",1
"620",1
"630",1
"633",1
"642",1
"648",1
"650",1
"652",1
"654",1
"655",1
"660",1
"662",1
"673",1
"674",1
"675",1
"682",1
"688",1
"689",1
"698",1
"699",1
"700",1
"706",1
"714",1
"719",1
"725",1
"729",1
"765",1
"783",1
"785",1
"793",1
"794",1
"796",1
"797",1
"801",1
"805",1
"807",1
"808",1
"816",1
"840",1
"844",1
"850",1
"858",1
"864",1
"900",1
"916",1
"949",1
"999",1
"1006",1
"1018",1
"1029",1
"1046",1
"1104",1
"1118",1
"1175",1
"1190",1
"1197",1
"1250",1
"1252",1
"1257",1
"1290",1
"1303",1
"1314",1
"1315",1
"1323",1
"1324",1
"1342",1
"1415",1
"1420",1
"1427",1
"1434",1
"1435",1
"1463",1
"1490",1
"1506",1
"1518",1
"1520",1
"1525",1
"1530",1
"1534",1
"1541",1
"1544",1
"1559",1
"1560",1
"1566",1
"1587",1
"1589",1
"1590",1
"1612",1
"1615",1
"1620",1
"1625",1
"1636",1
"1650",1
"1665",1
"1667",1
"1680",1
"1682",1
"1683",1
