"establishmentMeans","reps"
"bought in feather-dealer's in Mexico City",2
"bought in flesh at Hamilton, Ont, game shop in Dec 1883",1
"bought in flesh locally",1
"bought in Georgetown",1
"bought in Jamestown",1
"bought in Leadenhall market, in London",4
"bought in Leadenhall market, in London, in teaching collection",1
"bought in Leadenhall Market, London",3
"bought in Leadenhall Market, London, 17 December 1885",1
"bought in Leadenhall Market, London, 20 Nov 1886",1
"bought in Leadenhall Market, London, England",1
"bought in Leadenhall Market, London, England by E S Elliot, 1 January 1891",1
"bought in Leadenhall Market, London, England, December 10 1890",1
"bought in Liverpool, England",3
"bought in London",1
"bought in London, 1890",1
"bought in London, 1898",1
"bought in London, England",1
"bought in London, England, 1890",1
"bought in London, May 1895",1
"bought in London, Ontario market",1
"bought in London, Ontario market Jan 29, 1887",1
"bought in Madras market",9
"bought in market",11
"bought in Montreal market from taxidermist",1
"bought in Montreal Market, Jan 1909",1
"bought in Ottawa Market, Ottawa",1
"bought in Reykjavik, Iceland",1
"bought in San Francisco, CA, in 1903 - no date - JHF",1
"bought in sidewalk sale, June, 1904",1
"bought in store (shot at Rondeau) by J E Keays",2
"bought in Toronto",2
"breeding colony",1
"building kill",239
"building kill, collided with grain elevator during storm",1
"building kill?",1
"came on board ship",1
"cannon net casualty",6
"cannon netted",4
"captive",15030
"captive at Can Nat Exhib",2
"captive at Experimental Farm for 3 year or more",1
"captive at Forestry Nursery, Midhurst, Ontario",2
"captive at Henley-on-Thames, Oxfordshire, England",2
"captive bird bred in 1933 at Vineland, Ontario",1
"captive bird from Germany",1
"captive bred",22
"captive bred on Quail Breeding Farm, Mono-Amaranth Twp, Dufferin County, Ontario",2
"captive bred, died from overeating?",1
"captive bred, found dead in nest",1
"captive bred, killed and eaten by Raccoon",1
"captive bred, Pennsylvania State Game Farm",1
"captive bred, Terra Fauna Environmental Consulting Ltd., Surrey, British Columbia",2
"captive ca 1933 Oct 15",1
"captive ca 4 days",1
"captive for 1 day",3
"captive for 1 yr",1
"captive for 10 days",2
"captive for 11 days",1
"captive for 12 days",1
"captive for 12 hrs",2
"captive for 14 days",2
"captive for 17 days",1
"captive for 18 months",1
"captive for 2 days",5
"captive for 20 days",1
"captive for 21 yrs",1
"captive for 24 days",1
"captive for 25 yrs",1
"captive for 26 days",1
"captive for 3 days",4
"captive for 3 months",1
"captive for 3 yrs in Sydney, New South Wales",1
"captive for 4 days",1
"captive for 5 yrs",2
"captive for 6 yrs, caught as wild young",1
"captive for 7 days",1
"captive for 7 yrs",1
"captive for 8 days",1
"captive for 8 yrs",1
"captive for 9-16 days",1
"captive for a few hrs",6
"captive for ca 1 day",1
"captive for ca 1 yr",2
"captive for ca 1.5 months",1
"captive for ca 1.5 yrs",1
"captive for ca 10 hrs",1
"captive for ca 11 days",1
"captive for ca 14 months",1
"captive for ca 18 months",1
"captive for ca 2 days",1
"captive for ca 2 days, captured 1941 August 9",1
"captive for ca 2 months",1
"captive for ca 2 plus years",1
"captive for ca 2 yrs",2
"captive for ca 2.5 yrs",1
"captive for ca 20 days",1
"captive for ca 25 days",2
"captive for ca 3 days",2
"captive for ca 3 yrs",1
"captive for ca 35 days",1
"captive for ca 4 days",1
"captive for ca 6 months",1
"captive for ca 6.5 yrs",1
"captive for ca 6-8 months",2
"captive for ca 74 days",1
"captive for ca 8 days",2
"captive for ca 8 days, taken when 1 day old",1
"captive for ca 9 days",2
"captive for four days",2
"captive for four yrs",1
"captive for one day",2
"captive for short time",1
"captive fotr ca 1 yr",1
"captive from 1923-1944",1
"captive from birth",4
"captive from London, Ontario",1
"captive from wild",5
"captive from wild, for ca 11 days",1
"captive in England",2
"captive in Ontario",1
"captive in Toronto",1
"captive less than 1 year",1
"captive raised-1979",1
"captive since 1930",1
"captive since 1946 June 23",1
"captive since 1950 May 10",1
"captive since 1963-64",1
"captive since 1979",1
"captive since 1983 March 23",1
"captive since 1984",1
"captive since 1984 June 11",1
"captive since 1985",1
"captive since 1988, road kill 1988 September",1
"captive since 1990 November, died in egg laying",1
"captive since 1992 December, died of stress with younger male",1
"captive since 1992 November",1
"captive since 1993 May, injured by car, accidentally strangled",1
"captive since birth",3
"captive, 1 month",1
"captive, 10 months",1
"captive, 1934 June 27, taken from nest",1
"captive, 2 days",1
"captive, 3 days",1
"captive, 3 months",1
"captive, 3 yrs",1
"captive, 32 days",1
"captive, 3-4 days",1
"captive, 4 days",1
