"islandGroup","reps"
"Raja Ampat Islands",58
"Cotabato Prov.",57
"Faeroe Islands",57
"Marquesas",57
"Queensland",57
"Schouten Islands",57
"Anguilla Cays",56
"Comoro Islands",56
"Cuyo Archipelago",56
"Diomede Islands",56
"Duke of York Islands",56
"Japan*",56
"Northeastern Australia",56
"Acklins Island Group",55
"Austral Ids.",55
"Songkhla Prov.",55
"Truk [Chuuk] Is.",55
"Tuamotu Ids.",55
"Bismarck Ids.",54
"Cocos-Keeling Islands",54
"Canary Ids.",53
"comores",53
"Lighthouse Reef Atoll",53
"Turks Islands",53
"Surigao Prov.",52
"Withheld",52
"British West Indies",51
"Chimbu Dist.",51
"Male Atoll",51
"Archipelago Los Roques",50
"Archipielago de Las Perlas",50
"Cagayan Ids.",50
"Chuuk Atoll",50
"Jolo Islands",50
"PAPUA NEW GUINEA",50
"Vanua Levu Ids.",50
"Biak Islands",49
"Cape Verde Is.",49
"Loyalty Ids.",49
"Moluccas Ids.",49
"Wallabi Islands",49
"Yap",49
"Andaman Islands [India]",48
"Corn Islands",48
"Snares Islands",48
"Tonga Islands",48
"Catanduanes Island",47
"Mergui Arch.",47
"Palmer Archipelago",47
"Solomon",47
"South Orkney",47
"Green Islands",46
"Kai Islands [Kepelauan Kai]",46
"Pangutaran Group",46
"Peros Banhos",46
"presumed Hawaii",46
"Islas Los Coronados",45
"Lobos Islands",45
"Novaya Zemlya",45
"Barrier Islands",44
"Gilbert",44
"Lower Cook Isalnds",44
"Bass Islands",43
"des tuamotu",43
"Virgin Is. (U.S.)",43
"Amami Islands",42
"Banka Islands",42
"Canary Is",42
"Semidi Islands",42
"Wolf Islands",42
"Belcher Islands",41
"East Frisian Islands",41
"Mortlock Ids.",41
"Tawitawi",41
"Volcano Islands",41
"Caroline Island",40
"Iles les Saintes",40
"Macau",40
"Norfolk Ridge",40
"Sulawesi Islands",40
"Tuvalu",40
"Chelbacheb Is.",39
"Ninigo Islands",39
"Perlis State",39
"Simpson Islands",39
"Thousand Is.",39
"Abau",38
"Austral Is.",38
"Bardswell Group",38
"Cayos de San Jacinto (Cayos de Cana Gorda)",38
"Sakishima Is.",38
"Tokelau Islands (Union Group)",38
"Yasawa Ids.",38
"Kai Islands",37
"Marble Islands",37
"Phatthalung Prov.",37
"bismarck",36
"��les de la Madeleine",36
"Kuril Islands",36
"Madagascar",36
"Magdalena Islands",36
"Qatar",36
"Titi Island Group",36
"Bismark Archipelago",35
"Cuba",35
"Cyclades Ids.",35
"Islas Los Gemelitos",35
"Juan Fernandez Is.",35
"Khammouane Prov.",35
"Koaw Island",35
"Ohio",35
"Sakishima Islands",35
"Solomon Sea Islands",35
"St. Helena",35
"Torres Strait Islands",35
"Truk Islands",35
"Glorieuses Islands",34
"Kadavu Ids.",34
"Mayotte Islands",34
"Pohnpei",34
"Sea Islands",34
"Turtle Island Group",34
"Greater Sunda Ids.",33
"Hurd Islands",33
"Islas Secas",33
"Morant Cays",33
"seychelles",33
"Belaric Islands",32
"Gulf of Oman",32
"����les des Saintes",32
"Kelantan State",32
"Puerto Rico",32
"Vava`u Ids.",32
"Andaman and Nicobar Islands",31
"Archipi��lago de los Canarreos",31
"Cape Breton Islands",31
"Chou-shan Ids.",31
"Comoro Ids.",31
"fidji",31
"Michigan",31
"Suwarrow Atoll",31
"Cumbraes, The",30
"petites antilles",30
"Pitcairn Is.",30
"San Salvador Bank",30
"Dentrecasteaux Islands",29
"Northern Territory",29
"Ross Archipelago",29
"Rum Cay Bank",29
"Belize",28
"Cayos de San Jacinto",28
"Espiritu Santo Ids.",28
"Farallon Is.",28
"Georgian Bay Islands",28
"Illes Balears",28
"Kosrae State",28
"Northern Mariana Ids.",28
"Phangnga Prov.",28
"South Orkney Islands",28
"Chilo�� Archipelago",27
"Chuuk Ids.",27
"Conception Bank",27
"Galapagos",27
"Mamanuca Group",27
"Marquesas Ids.",27
"Osumi Is.",27
"Palumbanes Islands",27
"Ross Island Group",27
"Shortland Islands",27
"South Sandwich Islands",27
"Alaska",26
"Great Bahama Bank",26
"Shag Rocks",26
"Viti Levu",26
"Caroline Is.",25
"Cayos Zapatilla",25
"Cosmoledo Group",25
"Falkland Is",25
