"basisOfRecord","reps"
"Achaearanea tingo",12
"Alpaida truncata",12
"Anelosimus",12
"Argyrodes",12
"Ariamnes",12
"Clubionidae",12
"Dipoena duodecimpunctata",12
"Methesis",12
"Micrathena pungens",12
"Micrathena triangularis",12
"Misumenops",12
"Onofre",12
"Phoneutria fera",12
"Pseudosparianthis",12
"Scytodes auricula",12
"Scytodes eleonorae",12
"Scytodes fusca",12
"Synema",12
"Teminius",12
"Trinella",12
"Aschnaoonops",11
"Ctenus taeniatus",11
"Dossenus",11
"Gasteracantha cancriformis",11
"Gen.n.",11
"Manogea porracea",11
"Micrathena clypeata",11
"Opopaea",11
"Otoniela",11
"Sadala?",11
"Scytodes itapevi",11
"Sicarius",11
"Simonestus",11
"Titidius rubescens",11
"Verrucosa",11
"aff. Neoxyphinus",10
"Aglaoctenus lagotis",10
"Alpaida simla",10
"cf. Nerudia",10
"Corythalia",10
"Dipluridae",10
"Dipoena tingo",10
"Episinus immundus",10
"Ischnocolinae",10
"Maraca",10
"Nephila",10
"Ochyroceratidae",10
"Oxyopes hemorrhous",10
"Oxyopes rubrosignatus",10
"Philoponella",10
"Rhoicinus urucu",10
"Sparianthis",10
"Stenostygnus pusio",10
"Thaumasia  annulipes",10
"Ummidia",10
"Zodariidae",10
"Alpaida urucuca",9
"Amycinae",9
"Aphantochilus taurifrons",9
"cf. Dipoena",9
"cf. Habronattus",9
"Chinoscopus",9
"Chira",9
"Cybaeodamus",9
"Cyclosa",9
"Dendryphantes",9
"Eilica",9
"Isigonia limbata",9
"Lyssomanes tenuis",9
"Mangora chao",9
"Micrathena acuta",9
"Micrathena plana",9
"Neocteniza",9
"Pachylinae",9
"Phiale",9
"Protimesius trocaraincola",9
"Selenops maranhensis",9
"Synemosyna",9
"Synotaxus siolii",9
"Thallumetus",9
"Zimiromus hortenciae",9
"Acanthoscurria ferina",8
"Anelosimus eximius",8
"Breda",8
"cf. Mesabolivar aurantiacus",8
"Chrysometa nubigena",8
"Chrysometa petrasierwaldae",8
"com Gustavo",8
"Deinopidae",8
"Dolichognatha",8
"Enna  bonaldoi",8
"Episinus nebulosus",8
"Fluda",8
"Gonyleptidae",8
"Hasarius adansoni",8
"Helvibis rossi",8
"Hypognatha scutata",8
"Hytanis",8
"Ibotyporanga  naideae",8
"Metazygia laticeps",8
"Parawixia",8
"Phycosoma altum",8
"Prolycosides amblygyna",8
"Radulphius laticeps",8
"Romitia",8
"Selenops",8
"Symphytognathidae",8
"Titanoecidae",8
"Uloborus",8
"Vectius niger",8
"Xeropigo tridentiger",8
"Apopyllus silvestrii",7
"Azilia histrio",7
"Bertrana elinguis",7
"Brignolia cubana",7
"cf. Hahnia",7
"Chaetacis picta",7
"Cheiracanthium inclusum",7
"Chira trivittata",7
"Chrysometa",7
"Ctenus nigritus",7
"Cynorta valida",7
"Envia moleque",7
"Freya",7
"Helvibis",7
"Lyssomanes unicolor",7
"Mangora brokopondo",7
"Micrathena excavata",7
"Onocolus pentagonois",7
"Otiothops puraquequara",7
"Plexippus paykulli",7
"PresvervedSpecimne",7
"Pronous intus",7
"Quemedice piracuruca",7
"Samoidae",7
"Segestriidae",7
"Selenopidae",7
"Senoculidae",7
"Sicarius tropicus",7
"Simonestus separatus",7
"Soesilarishius excentricus",7
"Stephanopoides simoni",7
"Theridion soaresi",7
"Wulfila",7
"Zimiromus beni",7
"Actinosoma pentacanthum",6
"Aglaoctenus",6
"Amycus flavicomis",6
"Anapis",6
"Araneae",6
"Architis spinipes",6
"cf. Phoroncidia",6
"Cocholla simoni",6
"Ctenus maculisternis",6
"Ctenus manauara",6
"Dipoena cordiformis",6
"Episinus juarezi",6
"Freyinae",6
"Glenognatha",6
"Hentziectypus rafaeli",6
"Hubardiidae",6
"Illustration",6
"Litoporus dimona",6
"Micrathena sexspinosa",6
"Nycerella",6
"Onocolus echinatus",6
"Oonopoides",6
"Parachemmis",6
"Protimesius longipalpis",6
"Pselligmus",6
"Scytodes cotopitoka",6
"Scytodes iara",6
"Sickesia tremembe",6
"Speocera",6
"Stemmops",6
"Tupirinna rosae",6
"Wagneriana",6
"Abapeba taruma",5
"aff. Otoniela adisi",5
"Aglaoctenus castaneus",5
"Allocosa",5
"Architis",5
"Architis maturaca",5
"Carapoia",5
"Chaetacis cornuta",5
"Cithaeron praedonius",5
"Cotinusa",5
"Discocyrtus",5
"Enna  igarape",5
"Erica",5
"Fissiphalius",5
"Fufius albovittatus",5
"Gladicosa gulosa",5
"Lygromma",5
"Mangora ikuruwa",5
"Mangora melanocephala",5
"Micrathena saccata",5
"Misumininae",5
"Miturgidae",5
"Nolavia",5
"Onocolus",5
"Oxyopes carvalhoi",5
"Philodromidae",5
"Sampaiosia",5
"Sitticus",5
"Stygnus laevis",5
"Synotaxidae",5
"Syntrechalea",5
"Syntrechalea syntrechaloides",5
"Tupirinna",5
"Wagneriana  acrosomoides",5
"Ypypuera crucifera",5
"Abapeba lacertosa",4
"Acanthoscurria geniculata",4
"Aculepeira",4
"Alpaida tayos",4
"Amazonepeira callaria",4
"Anapistula",4
"Avicularia versicolor",4
"Beata maccuni",4
"Cerocida strigosa",4
"Chrosiothes",4
"Coleosoma acutiventer",4
"Creugas gulosus",4
"Ctenus inaja",4
"Ctenus minor",4
"Dipoena bryantae",4
"Dipoena donaldi",4
"Enacrosoma anomalum",4
"Hersiliidae",4
"Hypaeus miles",4
"Isoctenus cachimbo",4
"Janula",4
"Latonigena",4
"Martella",4
"Metazygia yobena",4
"Micrathena perigrinatorum",4
"Micrepeira pachitea",4
"Myrmarachne",4
"Mysmenidae",4
"Naatlo",4
"Oecobius concinnus",4
"Oxyopes argyrotrichius",4
"Parabatinga brevipes",4
"Pavocosa",4
"Pavocosa nordenskjoldi",4
"Pronous tuberculifer",4
"Protimesius laevis",4
"Reticulatus?",4
"Sarinda",4
"Scoloderus",4
"Scytodes mapinguari",4
"Setaphis",4
"Sphecotypus",4
"Strophaeus",4
"Tapinauchenius",4
"Tapponia",4
"Thaumasia  velox",4
"Theridion metabolum",4
"Theridion positivum",4
"Trachelopachys sericeus",4
"Xylethrus superbus",4
"Zimiris doriai",4
"Abapeba grassima",3
"Achaearanea migrans",3
"Alpaida bicornuta",3
"Amazonepeira herrera",3
"Amycus",3
"Araneus guttatus",3
"Architis tenuipes",3
"Barychelidae",3
"Breda apicalis",3
"Capeta cachimbo",3
"Ceraarachne",3
"cf. Ariamnes",3
"cf. Chrysso",3
"cf. Coleosoma",3
"cf. Thwaitesia",3
"Chaetacis",3
"Chira spinosa",3
"Chrysometa waikoxi",3
"Crossopriza lyoni",3
"Cupiennius",3
"Cyclosa caroli",3
"Dendryphantinae",3
"Dictynidae",3
"Dipoena rubella",3
"Drymusa",3
"Dubiaranea",3
"Dysderina urucu",3
"Eriophora",3
"Eriophora ravilla",3
"Escaphiella cachimbo",3
"Eupoecilaema perducens",3
