"data.dwc:typeStatus","reps"
"kang",82
"luteiventris",82
"mammuthus",82
"nanus",82
"phryganeidae",82
"pratti",82
"scabra",82
"venusta",82
"vollenhovia",82
"xanthoparmelia",82
"42",81
"anatis",81
"brusse",81
"cerithium",81
"cotypes",81
"draco",81
"empoasca",81
"erroneous",81
"galerucella",81
"garay",81
"guettarda",81
"harry",81
"hemidactylus",81
"huancabambae",81
"humbert",81
"lucifotychus",81
"mali",81
"nymphaeae",81
"paepalanthus",81
"paradoxicus",81
"parnassius",81
"paspalum",81
"pauciflora",81
"platythyrea",81
"sericea",81
"spondylurus",81
"59",80
"1919",80
"10001787",80
"10004784",80
"10005477",80
"aurea",80
"bothriomyrmex",80
"chrysops",80
"cicadellidae",80
"comanthus",80
"dubia",80
"enixus",80
"kinosternon",80
"laticeps",80
"leptoceridae",80
"macrocirrosa",80
"minima",80
"nigriceps",80
"ovibos",80
"ramey",80
"sahlin",80
"setosus",80
"socialis",80
"tipulidae",80
"trinitatus",80
"vestita",80
"violacea",80
"wang",80
"willd",80
"126",79
"10006255",79
"10006486",79
"angulata",79
"arctos",79
"bargetto",79
"biimpressus",79
"boric",79
"brevispinosa",79
"congregatus",79
"evans",79
"eximius",79
"fay",79
"hydroporus",79
"leaflets",79
"litv",79
"nutt",79
"ochthephilus",79
"ovalis",79
"oxytropis",79
"pedicularis",79
"polita",79
"reithrodontomys",79
"sprucei",79
"vulgaris",79
"wimm",79
"117",78
"133",78
"1412",78
"4347",78
"10004951",78
"10006278",78
"10006301",78
"anomala",78
"arnoldi",78
"brachypterum",78
"brevinodis",78
"cliffortia",78
"corydalis",78
"crassus",78
"gangloff",78
"holûtipo",78
"lucida",78
"macrophylla",78
"nematocera",78
"pilosella",78
"preblei",78
"sida",78
"unicolor",78
"urichi",78
"with",78
"álvarez",78
"67",77
"105",77
"149",77
"225",77
"256",77
"1932",77
"1943",77
"allium",77
"alyssum",77
"begonia",77
"bipunctata",77
"boliviana",77
"borneensis",77
"cladopora",77
"descriptions",77
"draba",77
"esterh",77
"euponera",77
"fiorillo",77
"goldberg",77
"holothuria",77
"hoplocampaoskinaross",77
"inga",77
"laxa",77
"morphotype",77
"nitens",77
"obovata",77
"parkes",77
"trentonensis",77
"1995",76
"10000359",76
"castanea",76
"colorado",76
"comp",76
"dysderina",76
"glandulosa",76
"interstinctus",76
"john",76
"krause",76
"lippia",76
"murr",76
"patens",76
"rollinia",76
"sciences",76
"spinifera",76
"thylamys",76
"trachymyrmex",76
"1220",75
"1877",75
"1936",75
"boliviensis",75
"brand",75
"brevipes",75
"brunner",75
"burtt",75
"comactinia",75
"dinematocricus",75
"formosa",75
"glauca",75
"gregaria",75
"heliotropium",75
"inornatus",75
"iocrinus",75
"johnson",75
"leptodeira",75
"mcvaugh",75
"myrmelachista",75
"neivamyrmex",75
"northwest",75
"paniculata",75
"paraneotype",75
"pilosa",75
"plants",75
"pleurothallis",75
"rumex",75
"sapromyza",75
"soest",75
"spilogale",75
"tseng",75
"tuberculata",75
"vaucheri",75
"velutina",75
"130",74
"388",74
"argentea",74
"clypeatus",74
"colias",74
"conus",74
"danforthi",74
"daorum",74
"densiflora",74
"ferruginea",74
"lemniscatus",74
"onychomys",74
"pallescens",74
"pelargonium",74
"polycentropus",74
"purpurascens",74
"pygmaea",74
"rattus",74
"scutellatus",74
"strahmi",74
"zebrilus",74
"76",73
"204",73
"600",73
"1933",73
"10001764",73
"adalia",73
"amazonica",73
"aspera",73
"combretum",73
"coriacea",73
"diacamma",73
"ditylus",73
"empria",73
"erikacuellarae",73
"flint",73
"lasiurus",73
"nectandra",73
"nord",73
"phyracaces",73
"scopula",73
"stenophylla",73
"stuntz",73
"wrightii",73
"1913",72
"aquaticus",72
"asper",72
"autalia",72
"baill",72
"blechnum",72
"butteli",72
"ciliata",72
"costata",72
"exilis",72
"floribunda",72
"fulva",72
"hemsl",72
"hirtella",72
"histriophoca",72
"lecanora",72
"locality",72
"manni",72
"mccranie",72
"murray",72
"oxypoda",72
"peruviana",72
"pipunculus",72
"proteus",72
"pullmani",72
"revision",72
"rhopalothrix",72
"saintpaulensis",72
"tetraponera",72
"truncatula",72
"turdus",72
"zeyher",72
"48",71
"782",71
"1891",71
"10005434",71
"amaral",71
"ansonia",71
"barbarus",71
"becker",71
"casearia",71
"cham",71
"complex",71
"cubana",71
"cyphomyrmex",71
"dubius",71
"flava",71
"glabrescens",71
"gnamptogenys",71
"lapponica",71
"mayri",71
"monochamus",71
"neuwiedi",71
"olenellus",71
"opaca",71
"paradoxides",71
"pectoralis",71
"pheidologeton",71
"potamon",71
"prionopelta",71
"pteris",71
"rangifer",71
"reid",71
"rudbeckiae",71
"rufocanus",71
"secessa",71
"society",71
"surinamensis",71
"taedatus",71
"tigris",71
"trichobilharzia",71
"wolff",71
"194",70
"325",70
"1830",70
"1949",70
"1952",70
"10004862",70
"akodon",70
"antivenin",70
"boletus",70
"cambrian",70
"cortinarius",70
"crypticus",70
"cuneata",70
"echinoptera",70
"epling",70
"furcyensis",70
"gambeli",70
"gigantea",70
"hydrocotyle",70
"ips",70
"killip",70
"lygosoma",70
"magellanicus",70
"mesoveliidae",70
"muhlenbergia",70
"ophioglypha",70
"or",70
"perplexa",70
"phacophorus",70
"planorbis",70
"preissii",70
"publications",70
"stachys",70
"vigors",70
"walker",70
"10005474",69
"10007176",69
"10007253",69
"acrostichum",69
"anthemis",69
"apterus",69
"berns",69
"coniophanes",69
"cyrtopogon",69
"dendryphantes",69
"emeryi",69
"epeolus",69
"glaucoreius",69
"kelson",69
"lampropeltis",69
"latus",69
"leptachatina",69
"leucopogon",69
"magna",69
"morse",69
"oregona",69
"personata",69
"pisonia",69
"polygraphus",69
"psoralea",69
"racemosa",69
"trichilia",69
"tropidophis",69
"vincentii",69
"vireo",69
"wilsoni",69
"zygodontomys",69
"62",68
"89",68
"1956",68
"10004311",68
"alexandri",68
"allolectotype",68
"anthony",68
"brevifrons",68
"coryndon",68
"denticulata",68
"elasmostethus",68
"fedde",68
"formosus",68
"hypolithus",68
"indet",68
"kärnefelt",68
"lepidoblepharis",68
"leptocella",68
"lindmanii",68
"maire",68
"october",68
"opisthosiphon",68
"peck",68
"picturatus",68
"podarcis",68
"pupa",68
"setosa",68
"shawnee",68
"subtilis",68
"terataner",68
"triangulum",68
"uromacer",68
"vitex",68
"44",67
"199",67
"1985",67
"10005421",67
"10006482",67
"anyphaena",67
"bunge",67
"carpodacus",67
"corax",67
"corymbitodes",67
"desmopachria",67
"don",67
"friesii",67
"gabriellae",67
"griseus",67
"imperialis",67
"lacustris",67
"limnephilidae",67
"macrocarpa",67
"markgr",67
"maxim",67
"meachen",67
"palicourea",67
"parvula",67
"pictus",67
"poecile",67
"richardsoni",67
"samuels",67
"scribn",67
"shapiro",67
"spellman",67
"splendens",67
"tenella",67
"thanatophilus",67
"trachypachus",67
"valkenburgh",67
"35",66
"326",66
"364",66
"1964",66
"10006601",66
"amoena",66
"bahorucoensis",66
"breviceps",66
"caudata",66
"cincinnaticrinus",66
"clubiona",66
"cuphea",66
"dendrobium",66
"filiformis",66
"flavigaster",66
"forma",66
"grubbs",66
"hanelt",66
"hudsonicus",66
"kimsey",66
"licania",66
"mett",66
"microcarpa",66
"modestus",66
"photoparatype",66
"platysaurus",66
"pogus",66
"primula",66
"proctotrupoidea",66
"psilopus",66
"repens",66
"schult",66
"scott",66
"sigmodon",66
"subspecies",66
"swallen",66
"talbot",66
"tanytarsus",66
"vahl",66
"varibrachialus",66
"36",65
"65",65
"146",65
"altasierrae",65
"anceps",65
"antedon",65
"brachymyrmex",65
"brevifolia",65
"campestris",65
"cheirotype",65
"clarus",65
"clavipes",65
"cordata",65
"exsul",65
"fagara",65
"gesneria",65
"henrard",65
"horni",65
"hydriomena",65
"kondr",65
"leucolepis",65
"majolgris",65
"melanurus",65
"mosenii",65
"mystrium",65
"natalus",65
"notropis",65
"overbecki",65
"paragehyra",65
"pentremites",65
"thamnotettix",65
"vezda",65
"warm",65
"111",64
"318",64
"887",64
"1066",64
"1946",64
"1978",64
"1000097",64
"10000245",64
"10004776",64
"10006542",64
"bramei",64
"choisy",64
"cleome",64
"cucujus",64
"delia",64
"heliophila",64
"hirta",64
"itzarum",64
"korth",64
"magnifica",64
"serjania",64
"symbol",64
"32",63
"51",63
"331",63
"1394",63
"1906",63
"10005428",63
"arcticus",63
"as",63
"bell",63
"chloralictus",63
"coroniceras",63
"dorytomus",63
"eig",63
"galium",63
"giarla",63
"gracilipes",63
"ithomia",63
"latifolium",63
"leiolopisma",63
"leptogorgia",63
"loxia",63
"lutea",63
"macrurus",63
"neotropical",63
"nov",63
"ophiura",63
"passerina",63
"polygonum",63
"polygyra",63
"serrano",63
"spilogona",63
"syrphus",63
"tristis",63
"tropidophorus",63
"vochysia",63
"64",62
"134",62
"672",62
"10004785",62
"10006291",62
"acari",62
"albicans",62
"auk",62
"campyla",62
"celestus",62
"conica",62
"crataegus",62
"cuanis",62
"desiradei",62
"deyeuxia",62
"diaphus",62
"elmeri",62
"geophis",62
"girafus",62
"h.h",62
"loker",62
"magn",62
"maslin",62
"maytenus",62
"micrandrena",62
"paludina",62
"paraparatrechina",62
"proechimys",62
"reticulatus",62
"rivularis",62
"scalopus",62
"scymnus",62
"silvaticum",62
"stark",62
"taylori",62
"tejedor",62
"triglyphothrix",62
"verbena",62
"56",61
"165",61
"187",61
"1455",61
"1944",61
"1000078",61
"10000348",61
"adenandra",61
"aethiops",61
"ansorgei",61
"atra",61
"augochlora",61
"baleatus",61
"berggr",61
"blarina",61
"brunnescens",61
"bullia",61
"cressonii",61
"disa",61
"exsicatus",61
"fedorov",61
"garden",61
"gymnopternus",61
"hassleri",61
"hedges",61
"jubatus",61
"kom",61
"late",61
"leptonema",61
"nebulosa",61
"obtusa",61
"olophrum",61
"ophiactis",61
"pachynematus",61
"papers",61
"phlaeopterus",61
"polyipnus",61
"protea",61
"prudhoensis",61
"rodriguez",61
"spectabilis",61
"triana",61
"ugyunak",61
"vascular",61
"60",60
"673",60
"1922",60
"1971",60
"10004777",60
"acropyga",60
"albiflora",60
"alexeev",60
"amiantus",60
"angulatus",60
"angustus",60
"attenuata",60
"belmar",60
"biology",60
"buddleja",60
"bulinus",60
"cleidogona",60
"curculionidae",60
"curvirostra",60
"eileenae",60
"elata",60
"eurema",60
"font",60
"guthrie",60
"hibiscus",60
"kirschner",60
"lucero",60
"mandonii",60
"morulus",60
"mucronata",60
"pellenes",60
"phoradendron",60
"pretiosa",60
"psammodromus",60
"pseudobranchus",60
"scaevola",60
"schliebenii",60
"tabebuia",60
"uline",60
"vicia",60
"275",59
"1898",59
"10004859",59
"albida",59
"aristolochia",59
"athripsodes",59
"autographus",59
"biological",59
"bremek",59
"byrsonima",59
"celastrus",59
"chlorops",59
"dolichocephalus",59
"dregeana",59
"hetricki",59
"matocq",59
"mcdunnough",59
"melica",59
"mystica",59
"oabius",59
"oblongifolia",59
"obscurum",59
"oregoni",59
"platymantis",59
"pseudotremia",59
"rhynchosia",59
"ruficeps",59
"salacia",59
"spicata",59
"tenuifolia",59
"turneri",59
"72",58
"74",58
"358",58
"1017",58
"10000154",58
"10001844",58
"ambigua",58
"ames",58
"arizonensis",58
"arnioceras",58
"bombylius",58
"boreas",58
"caliginosa",58
"cf",58
"cuspidata",58
"dentata",58
"diarsia",58
"distans",58
"divaricata",58
"gordius",58
"guadalupensis",58
"hypotypes",58
"longidigita",58
"malacosteus",58
"melophorus",58
"murinus",58
"occidentale",58
"peucedanum",58
"rostrata",58
"rotundifolia",58
"southerlandi",58
"sphegigaster",58
"suess",58
"turritella",58
"255",57
"345",57
"349",57
"1986",57
"10006256",57
"alótipo",57
"brevipalpus",57
"centropogon",57
"chelanops",57
"clenchi",57
"contributions",57
"dispar",57
"domingensis",57
"fantasticus",57
"goeldii",57
"graminicola",57
"heterophylla",57
"hydrobiidae",57
"incisa",57
"inductata",57
"intermedium",57
"june",57
"laevigata",57
"lepida",57
"lindsaea",57
"macromischa",57
"macrophya",57
"metazygia",57
"naturalist",57
"neuman",57
"oberholseri",57
"ochracea",57
"ophidion",57
"ovatus",57
"passiflora",57
"phrynosoma",57
"quer",57
"rufus",57
"science",57
"semaprochilodus",57
"seorsus",57
"stansburiana",57
"vanidicus",57
"versatus",57
"websteri",57
"40",56
"68",56
"101",56
"160",56
"169",56
"171",56
"370",56
"373",56
"555",56
"1773",56
"10006558",56
"abutilon",56
"agarodes",56
"angusticeps",56
"antillarum",56
"apicalis",56
"banks",56
"drosophila",56
"ehrharta",56
"eumetopias",56
"euphronides",56
"findley",56
"gymnodactylus",56
"heteromys",56
"hypoplectrus",56
"lane",56
"lepidoptera",56
"malpighia",56
"mcalpine",56
"murex",56
"orchis",56
"oxyethira",56
"pacificus",56
"parus",56
"persimilis",56
"pterobrachys",56
"ramsdeni",56
"rudis",56
"salomonis",56
"sciomyzidae",56
"sciureus",56
"scleria",56
"siphocampylus",56
"stevia",56
"teredo",56
"trifolium",56
"tropaeolum",56
"109",55
"196",55
"677",55
"980",55
"1007",55
"1926",55
"1000106",55
"10006898",55
"10007233",55
"abbreviata",55
"abbreviatus",55
"alata",55
"anthrax",55
"barbata",55
"becc",55
"catesbyi",55
"caurinus",55
"chloromelaena",55
"clepsis",55
"conanti",55
"curimatus",55
"daphne",55
"dietrich",55
"diffusa",55
"floyd",55
"granti",55
"gratiosum",55
"guatemalensis",55
"hassleriana",55
"helicostyla",55
"holochilus",55
"kunze",55
"lancifolia",55
"lectotypus",55
"lepidodactylus",55
"mecistocephalus",55
"melanoseps",55
"mossambica",55
"mycol",55
"neospongodes",55
"notoglossa",55
"oblonga",55
"ophiomusium",55
"ordii",55
"persicana",55
"piaggio",55
"prosopis",55
"puma",55
"rapanea",55
"rhadinaea",55
"salinei",55
"schistosomatidae",55
"schweinf",55
"scoparia",55
"siphonophora",55
"sitiens",55
"squarrosa",55
"strid",55
"texanus",55
"warb",55
"xylopia",55
"676",54
"1897",54
"10006622",54
"10006882",54
"affaber",54
"africanus",54
"albipes",54
"anodonta",54
"antistrophus",54
"artibeus",54
"asperula",54
"baumann",54
"boylii",54
"buchenau",54
"calomys",54
"conn",54
"coult",54
"crocuta",54
"ephemerella",54
"eurois",54
"excelsa",54
"ferruginosus",54
"flavida",54
"geissorhiza",54
"gekko",54
"gnaphalium",54
"gnidia",54
"gracilior",54
"grandifolia",54
"isotelus",54
"ixodes",54
"japonica",54
"lineata",54
"marmosa",54
"megalops",54
"melastoma",54
"micrasema",54
"miers",54
"pachiridis",54
"paraensis",54
"planch",54
"quadrivittatus",54
"rusticus",54
"spruceana",54
"thecla",54
"vittatus",54
"werdenda",54
"zacapensis",54
"113",53
"274",53
"519",53
"1910",53
"1000152",53
"abdominalis",53
"apiculata",53
"ater",53
"august",53
"bangs",53
"bathyphantes",53
"caffra",53
"carollia",53
"cataplexis",53
"cerastium",53
"chloris",53
"clokey",53
"dyschirius",53
"fries",53
"gladiolus",53
"homolechis",53
"hoplophryne",53
"hyperborea",53
"leistus",53
"lycauges",53
"macrantha",53
"marginella",53
"mattogrossensis",53
"mycetophilidae",53
"neodiprionnanuluscontortaeross",53
"orophocrinus",53
"perkins",53
"praomys",53
"resplendens",53
"rickeri",53
"schreibersi",53
"sennen",53
"sherff",53
"snogerup",53
"spilogaster",53
"spix",53
"terminalis",53
"tetrapterys",53
"truncatella",53
"vernoniana",53
"189",52
"372",52
"635",52
"1780",52
"1988",52
"10000112",52
"april",52
"asaphidion",52
"aspidoscelis",52
"barbatus",52
"basiliscus",52
"brown",52
"bupleurum",52
"collina",52
"cristatus",52
"culture",52
"fulleborni",52
"gabrieli",52
"herbarium",52
"hibbertia",52
"hyptis",52
"kern",52
"kohli",52
"leucadendron",52
"lineolata",52
"longilabris",52
"longipilis",52
"micropus",52
"myrtus",52
"neavesi",52
"opalina",52
"pallens",52
"philiris",52
"pontania",52
"pseudoponceleti",52
"sandwith",52
"scalaris",52
"stenodactylus",52
"sulcata",52
"tribolonotus",52
"tricolor",52
"tumida",52
"viguiera",52
"welw",52
"yukonense",52
"71",51
"185",51
"198",51
"366",51
"571",51
"1230",51
"1895",51
"1902",51
"1930",51
"1980",51
"10007651",51
"03",51
"anculosa",51
"archilochus",51
"boeckeler",51
"brunnea",51
"bryologist",51
"chicago",51
"clidemia",51
"cymindis",51
"desmodium",51
"epuraea",51
"evolvulus",51
"flexuosa",51
"frontalis",51
"fusconiger",51
"geluso",51
"geminata",51
"gracile",51
"helicopsyche",51
"inornata",51
"lineatus",51
"lunaris",51
"lycaeides",51
"mansf",51
"melochia",51
"metequi",51
"nassa",51
"natriciteres",51
"nigripes",51
"ornithogalum",51
"parchman",51
"petenensis",51
"phacelia",51
"phascolosoma",51
"phidippus",51
"pittier",51
"plana",51
"procera",51
"propinqua",51
"puccinellia",51
"punctulata",51
"regilla",51
"rehder",51
"rugosum",51
"ruhland",51
"saxicola",51
"schumach",51
"scrophularia",51
"serratus",51
"utahensis",51
"vaccinium",51
"webb",51
"zweifel",51
"129",50
"131",50
"192",50
"610",50
"1909",50
"1990",50
"10004850",50
"10005408",50
"10007666",50
"alternatus",50
"amphelictogon",50
"angustata",50
"aresch",50
"bahamensis",50
"bothroponera",50
"campanula",50
"cheilanthes",50
"duguetia",50
"elgonis",50
"erebia",50
"erysimum",50
"eulithis",50
"eustomias",50
"glandulifera",50
"goulet",50
"hesperinus",50
"irwin",50
"juniperus",50
"kobuski",50
"körn",50
"lata",50
"lewisi",50
"longitibialis",50
"malmeana",50
"malmei",50
"manducus",50
"margemina",50
"maxima",50
"mimulus",50
"mitra",50
"nachman",50
"neocomatella",50
"neritina",50
"ossaea",50
"pachydactylus",50
"pallidum",50
"pectinata",50
"perlesta",50
"phytologia",50
"piceatus",50
"pierre",50
"prance",50
"proxima",50
"rothneyi",50
"sarver",50
"simillima",50
"study",50
"tillandsia",50
"vasey",50
"wlasiuk",50
"88",49
"1903",49
"1912",49
"1957",49
"1961",49
"10006358",49
"aglaia",49
"alascensis",49
"angustifolium",49
"aubl",49
"brookesia",49
"calliostoma",49
"capparis",49
"cernotina",49
"chaetodipus",49
"chirindia",49
"cystiphyllum",49
"decoratus",49
"erythroxylum",49
"gomphrena",49
"granulosus",49
"grewia",49
"halácsy",49
"lividus",49
"melissa",49
"necromys",49
"nipensis",49
"notatus",49
"occas",49
"oreistes",49
"pandanus",49
"pilsbryi",49
"pithecellobium",49
"podocarpus",49
"punctulatus",49
"rhamnus",49
"rissoa",49
"sagax",49
"sanderson",49
"septentrionalis",49
"smaragdina",49
"specuum",49
"stejnegeri",49
"topótipo",49
"troglodytes",49
"valida",49
"ventricosus",49
"weed",49
"yucatanensis",49
"295",48
"362",48
"378",48
"1925",48
"1931",48
"1000045",48
"alveolites",48
"anniella",48
"arenarius",48
"aulacopleura",48
"bouseman",48
"cabrera",48
"calea",48
"capitata",48
"chrysemys",48
"communis",48
"coss",48
"cotoneaster",48
"cryptocarya",48
"cryptops",48
"eques",48
"fisch",48
"grisea",48
"howell",48
"ixia",48
"kelso",48
"kjellbergii",48
"koryschisma",48
"la",48
"lophocarenum",48
"magnus",48
"melozone",48
"mem",48
"mendax",48
"mexiae",48
"missouri",48
"modulator",48
"murorum",48
"mycotaxon",48
"nivea",48
"ocrepeira",48
"orientale",48
"pectis",48
"pennisetum",48
"philodromus",48
"rhizopogon",48
"rourke",48
"räsänen",48
"scabiosa",48
"schinz",48
"seticosta",48
"striatulus",48
"swartzia",48
"thoracochaeta",48
"tmeticus",48
"truncata",48
"tyler",48
"wight",48
"80",47
"359",47
"10000453",47
"10006323",47
"10006364",47
"adjacent",47
"aequalis",47
"agilis",47
"alexander",47
"alternata",47
"ando",47
"androsace",47
"arborea",47
"arimensis",47
"athysanella",47
"blothrophyllum",47
"bulbophyllum",47
"chironomus",47
"coloradensis",47
"columbella",47
"defodiens",47
"dentatus",47
"distincta",47
"elaphrus",47
"emarginata",47
"ennea",47
"erecta",47
"esenbeckia",47
"fraterna",47
"gill",47
"glomerata",47
"glyphopsyche",47
"grayi",47
"guttata",47
"krukovii",47
"lateralis",47
"leucophyllus",47
"lightfootia",47
"lobata",47
"luzula",47
"lyssomanes",47
"maderensis",47
"may",47
"melaleuca",47
"memoirs",47
"metalasia",47
"microgyna",47
"mittermeieri",47
"montanum",47
"nesomorus",47
"notata",47
"november",47
"paraguariensis",47
"paramormyrops",47
"pellucida",47
"percina",47
"peruvianus",47
"phloeostiba",47
"pumilum",47
"qualea",47
"radiata",47
"raja",47
"rectispina",47
"remarks",47
"rupr",47
"sanctae",47
"sirj",47
"stannard",47
"stimpsoni",47
"thonn",47
"twitty",47
"vespula",47
"weber",47
"xylina",47
"xysticus",47
"zahlbr",47
"142",46
"7497",46
"10005427",46
"05",46
"altus",46
"ampla",46
"arbogast",46
"atrata",46
"balansae",46
"bruchi",46
"caelius",46
"campi",46
"clematis",46
"copeia",46
"corrugata",46
"costarina",46
"crocidura",46
"cynomya",46
"dammer",46
"decussata",46
"flavens",46
"frisoni",46
"grobman",46
"hashim",46
"hayek",46
"indica",46
"its",46
"keck",46
"krugii",46
"lacerta",46
"laevigatus",46
"linneaus",46
"macroceramus",46
"metcalf",46
"michigan",46
"mogollonensis",46
"moq",46
"mortuorum",46
"nectophrynoides",46
"nicholsi",46
"notoncus",46
"occulta",46
"ocymyrmex",46
"orconectes",46
"patricia",46
"ph.d",46
"psidium",46
"quadrata",46
"ricordii",46
"riegel",46
"saarsoo",46
"saltator",46
"sanguinea",46
"seattle",46
"senaria",46
"sisyrinchium",46
"sloanea",46
"spiralis",46
"stigmacros",46
"stylidium",46
"symphurus",46
"tibouchina",46
"timm",46
"valeriana",46
"valeton",46
"vandykei",46
"verbesina",46
"verrucosa",46
"voss",46
"walp",46
"wendl",46
"wild",46
"woodson",46
"zootaxa",46
"360",45
"ab",45
"acaena",45
"acestrorhynchus",45
"alma",45
"angulifera",45
"annona",45
"apamea",45
"argyrolobium",45
"avena",45
"beers",45
"bromus",45
"bulimulus",45
"calumma",45
"copernicia",45
"cornutus",45
"cribricollis",45
"culebrae",45
"cuscuta",45
"eddingsaas",45
"fasciculata",45
"genotype",45
"girault",45
"hamata",45
"harlani",45
"holland",45
"imbricata",45
"inflata",45
"inigoi",45
"jabl",45
"kotschyi",45
"latifrons",45
"less",45
"linaria",45
"lioligus",45
"luciae",45
"megacephala",45
"mitis",45
"nomada",45
"nuda",45
"ochrotrichia",45
"omiltemi",45
"oribatella",45
"partula",45
"pendula",45
"proceratium",45
"procryptocerus",45
"pseudoscopelus",45
"pulla",45
"pygmaeus",45
"raymondi",45
"sacki",45
"sarg",45
"saurauia",45
"seymour",45
"sonoriensis",45
"southern",45
"spinifer",45
"staphylinus",45
"stenoonops",45
"swenson",45
"tenuinode",45
"timorensis",45
"trichalophus",45
"tulane",45
"vazimba",45
"yuanshan",45
"152",44
"226",44
"581",44
"1924",44
"3013",44
"10006280",44
"10006851",44
"acuminatum",44
"allies",44
"anisca",44
"annulata",44
"armatus",44
"atlantis",44
"brehmer",44
"bryaxis",44
"calymene",44
"carraway",44
"chinensis",44
"cicognanii",44
"cistudo",44
"clarki",44
"coprinus",44
"crataegi",44
"curtus",44
"cylindrica",44
"decumbens",44
"dendrophthora",44
"dinter",44
"drymaeus",44
"eastern",44
"epinotia",44
"feria",44
"fulgens",44
"geomys",44
"glutinosa",44
"graybeal",44
"heptagenia",44
"hexacrinus",44
"hoarea",44
"homalium",44
"hottes",44
"hypoclinea",44
"idahoensis",44
"kiaersk",44
"laselva",44
"leptanilla",44
"logana",44
"longinoi",44
"lutescens",44
"maritima",44
"munificus",44
"neomexicanus",44
"neoparatype",44
"nitidolimonius",44
"notaris",44
"nutans",44
"oedipina",44
"officinalis",44
"parenthesis",44
"patula",44
"pelusios",44
"popov",44
"poteriocrinus",44
"properus",44
"pultenaea",44
"robt",44
"rupicola",44
"schellenb",44
"scutellaria",44
"selatosomus",44
"sonsthagen",44
"tate",44
"taxonus",44
"tridentata",44
"turnerae",44
"uintacrinus",44
"ulbr",44
"varia",44
"xenodactyloides",44
"50",43
"155",43
"161",43
"182",43
"215",43
"251",43
"531",43
"918",43
"1524",43
"1945",43
"1955",43
"1987",43
"10006543",43
"10006604",43
"aberrans",43
"aculeata",43
"aestuarinus",43
"annectens",43
"apios",43
"apocrita",43
"arcuata",43
"astyanax",43
"atopsyche",43
"baptiste",43
"clonotype",43
"crassa",43
"cuneifolia",43
"d.e",43
"d.r",43
"den",43
"enyo",43
"epilobium",43
"eriosema",43
"euphrasia",43
"euryops",43
"filicis",43
"flammulata",43
"garcía",43
"geomelania",43
"glaucescens",43
"gracillima",43
"grandipennis",43
"guentheri",43
"herzog",43
"herzogii",43
"hmongorum",43
"hutch",43
"impressa",43
"inclinatus",43
"johnsoni",43
"kylin",43
"lack",43
"lapponicus",43
"latridiidae",43
"latum",43
"lindeb",43
"lonchocarpus",43
"madrepora",43
"n.sp",43
"nom",43
"nymphalis",43
"ocellatus",43
"panthera",43
"paulsoni",43
"perrine",43
"physicae",43
"pilosus",43
"pinetorum",43
"politus",43
"prostherapis",43
"pruinosa",43
"purari",43
"quenseli",43
"ramosissima",43
"rotunda",43
"salicifolia",43
"santschii",43
"satyrium",43
"schoutedenella",43
"schreber",43
"tanagra",43
"tanjaka",43
"tetragonia",43
"thomasi",43
"trisetum",43
"variegata",43
"webster",43
"49",42
"79",42
"138",42
"352",42
"868",42
"1958",42
"10004325",42
"10004888",42
"10006707",42
"acantholepis",42
"achaearanea",42
"allomerus",42
"antiopa",42
"apanteles",42
"assimilis",42
"brachypodella",42
"capense",42
"chimarrha",42
"chlaenius",42
"chrysogorgia",42
"compacta",42
"constance",42
"cowan",42
"critical",42
"dentalium",42
"dieneroceras",42
"dolichopodidae",42
"domin",42
"emiliae",42
"epicrates",42
"euspondylus",42
"exiguus",42
"fimbriata",42
"foliosa",42
"fototipo",42
"furtiva",42
"guaranitica",42
"guttatus",42
"hakea",42
"helios",42
"hippocratea",42
"if",42
"illinois",42
"interior",42
"jacq",42
"klugii",42
"lam",42
"legrand",42
"linearifolia",42
"livida",42
"machaerium",42
"marsdenia",42
"memecylon",42
"metapedias",42
"muell",42
"muricea",42
"national",42
"nemesis",42
"neophylax",42
"nettingi",42
"nobilis",42
"nocomis",42
"norl",42
"olivacea",42
"oribata",42
"orsodacne",42
"ovalifolia",42
"poecilozonites",42
"pourtalesi",42
"pouteria",42
"pronous",42
"prostrata",42
"pseudoculus",42
"pungens",42
"rabbi",42
"regnelliana",42
"rhodora",42
"riopa",42
"sauteri",42
"silvai",42
"singularis",42
"solandriana",42
"speciosus",42
"specularis",42
"sterictiphora",42
"stictogaster",42
"stockbridge",42
"triepeolus",42
"trochomorpha",42
"vieites",42
"wissadula",42
"xerophila",42
"xestia",42
"151",41
"338",41
"923",41
"1776",41
"10005039",41
"aellen",41
"aeneus",41
"ajax",41
"andersoni",41
"angolensis",41
"atomyia",41
"bembidium",41
"bigote",41
"blickle",41
"botanische",41
"bryograptus",41
"campbell",41
"candida",41
"catabrosa",41
"chrysophyllum",41
"clerodendrum",41
"cryptus",41
"cupressocrinus",41
"cursor",41
"cyclosa",41
"decorata",41
"draeculacephala",41
"echinopla",41
"edwards",41
"elgonensis",41
"epeira",41
"ertter",41
"eutrochatella",41
"falcata",41
"frenata",41
"fruticosa",41
"garmani",41
"gnathacmaeops",41
"granulosa",41
"greyi",41
"griffin",41
"haetiana",41
"hartwegii",41
"hastata",41
"hend",41
"ingens",41
"jasminum",41
"lantana",41
"leptopelis",41
"microceramus",41
"micrurapteryx",41
"mortigera",41
"myrmeciza",41
"novon",41
"opisthius",41
"papuina",41
"parham",41
"pentasyringos",41
