"data.dcterms:license","reps"
"alabamensis",3
"australis",3
"chimango",3
"exilis",3
"flavirostris",3
"gambelli",3
"grantii",3
"iliaca",3
"malouinus",3
"nearctica",3
"nivalis",3
"ochracea",3
"ornatus",3
"pollicaris",3
"sandalina",3
"semiatra",3
"specularioides",3
"strepera",3
"ultimus",3
"alba",2
"amphibia",2
"arkansasensis",2
"bakeri",2
"blatteus",2
"campestris",2
"conspectus",2
"elucus",2
"gramineus",2
"hudsonicus",2
"hybrida",2
"inesperatus",2
"leucophaeus",2
"longus",2
"marginella",2
"migratorius",2
"monoplacophora",2
"niger",2
"pertenuis",2
"phoeniceus",2
"praticola",2
"princeps",2
"purpureus",2
"purpuroptera",2
"pyrope",2
"recurrens",2
"stolidus",2
"suahelicus",2
"superbus",2
"surcularis",2
"swainsoni",2
"texensis",2
"thermophila",2
"trentonensis",2
"trichas",2
"umbellus",2
"unicolor",2
"vociferus",2
"5445",1
"265391",1
"004489",1
"005659",1
"abbreviatus",1
"acuflavidus",1
"acutus",1
"aestiva",1
"alle",1
"ant",1
"antpa",1
"aranea",1
"arizonae",1
"asio",1
"assamense",1
"athinus",1
"atriceps",1
"biangulatus",1
"bicolor",1
"bipatens",1
"brachyrhynchus",1
"brasilianus",1
"bromia",1
"callavei",1
"calyptoptomatida",1
"candida",1
"caribou",1
"cinnamominus",1
"compta",1
"consobrinus",1
"coronata",1
"cricoconarida",1
"crissalis",1
"demospongiae",1
"derbianus",1
"dinemelli",1
"domesticus",1
"dominicanus",1
"egretta",1
"erythrophthalmus",1
"exilipes",1
"fedoa",1
"flavinucha",1
"flexuosus",1
"fretensis",1
"guatemalensis",1
"holothuroidea",1
"humii",1
"hypochrysea",1
"hypoleucos",1
"hypospodius",1
"imitata",1
"incisus",1
"insectiformis",1
"laevigata",1
"latus",1
"leucogaster",1
"leucopterus",1
"levipes",1
"limbata",1
"lomvia",1
"louisianensis",1
"lunata",1
"luteus",1
"magna",1
"magnus",1
"major",1
"marinus",1
"maximo",1
"melanopis",1
"mexicanus",1
"minor",1
"miserabilis",1
"obscurus",1
"olivaceus",1
"palliatus",1
"pallidiceps",1
"palmeri",1
"pinnatus",1
"planus",1
"polyosoma",1
"pygmaeus",1
"rubescens",1
"rufa",1
"rufescens",1
"ruficollis",1
"rufipennis",1
"sadai",1
"senex",1
"sonoriensis",1
"splendens",1
"stenostoma",1
"talpoides",1
"texanus",1
"transient",1
"transients",1
"tristis",1
"velox",1
"vulgatus",1
"xanthetraea",1
"yucatanicus",1
