"data.dwc:identificationQualifier","reps"
"ferriticola",22
"filiformisf",22
"fruticulosa",22
"fuscaneura",22
"gardneri",22
"glaucum",22
"glomerata",22
"graminifolium",22
"guachos",22
"hipposideros",22
"huisinga",22
"hypericoides",22
"krempelhuberi",22
"lafontaine",22
"longicauda",22
"longiflora",22
"los",22
"minutissima",22
"minutula",22
"neglecta",22
"niger",22
"nummularia",22
"nycteis",22
"obtusiflora",22
"ochroma",22
"parviflorus",22
"periptychus",22
"phellinus",22
"pollexfenia",22
"prolificans",22
"ramaria",22
"rugosum",22
"sayi",22
"siderophloia",22
"striatum",22
"subhyracodon",22
"subtilissima",22
"tenax",22
"tristichum",22
"xanthoparmelia",22
"acuta",21
"adsurgens",21
"amansia",21
"annulata",21
"apheliscus",21
"arachne",21
"aus2",21
"brevisepala",21
"calcareana",21
"calophyllum",21
"chlorantha",21
"cinnabarina",21
"cleistogamum",21
"crenata",21
"cristata",21
"dissimulata",21
"ecad",21
"echo",21
"elongata",21
"entoloma",21
"eumys",21
"fibrosa",21
"flava",21
"foenea",21
"frutetorum",21
"gelidium",21
"gonatogenia",21
"herposiphonia",21
"hypoxylon",21
"identified",21
"inornata",21
"interrupta",21
"isotype",21
"kingsmillii",21
"laciniata",21
"lepidozia",21
"lindleyi",21
"menapia",21
"myx",21
"nivalis",21
"palaeosyops",21
"paramys",21
"polyanthemos",21
"pristoidea",21
"quadriloculatum",21
"ramosa",21
"recurvifolia",21
"rhodophyllis",21
"sagittatum",21
"schizopora",21
"sclerophylla",21
"sericeocybe",21
"sieberi",21
"skinneri",21
"stibarus",21
"syrrhopodon",21
"thebais",21
"thyridioides",21
"trapelia",21
"umbricola",21
"verruculosum",21
"zelandiae",21
"agglomerata",20
"albens",20
"album",20
"amanita",20
"angulata",20
"beckham",20
"broth",20
"browningi",20
"capillare",20
"carinata",20
"catenata",20
"cazier",20
"cephalozia",20
"ceratodon",20
"compacta",20
"corniculata",20
"crenulata",20
"dactyloides",20
"depressa",20
"diacantha",20
"dictyota",20
"dillon",20
"dirinaria",20
"dolichochilum",20
"duperreyi",20
"echinocarpa",20
"elatus",20
"erinacea",20
"exasperata",20
"expansa",20
"farinosa",20
"fimbriatum",20
"formicifera",20
"gasterosteus",20
"genuina",20
"globulus",20
"granitica",20
"halopteris",20
"heim",20
"interior",20
"leptocladus",20
"like",20
"likely",20
"longicornis",20
"m.s",20
"macilentum",20
"manglesianus",20
"melanoxylon",20
"mutabilis",20
"neesii",20
"o",20
"olympiana",20
"petilum",20
"pleuridium",20
"pocillum",20
"point",20
"polychroma",20
"pottia",20
"protensum",20
"pseudohipparion",20
"punctatum",20
"racomitrium",20
"retrorsum",20
"rubiginosa",20
"rugata",20
"sclerolaena",20
"solanderi",20
"squamosa",20
"strigosa",20
"ternifolia",20
"triandra",20
"tumidifructa",20
"verrucosum",20
"acritoparamys",19
"acrociliata",19
"armeniacus",19
"barnesi",19
"blandii",19
