"identificationQualifier","reps"
"nom prov",6
"\North\",6
"N. sp.",6
"Nyanzachoerus",6
"or L. saccharina?",6
"oro",6
"Ovis",6
"Palaeictops ?",6
"Parahippus",6
"Paralophiodon",6
"perhaps",6
"persimilis or aurata",6
"Polypore",6
"P.P.",6
"pr.;",6
"pr��x.",6
"(probably)",6
"Propalaeohoplophorus ?",6
"Pseudhipparion",6
"Puffball",6
"pulverulentara",6
"\purpurea form\",6
"pyrenaica",6
"(red genotype)",6
"Reid Moran",6
"R Kirby",6
"Saghatherium",6
"S.A. Stockwell",6
"sensu Kauff.",6
"sensu Lange",6
"sensu North American authors",6
"= S. eriocephala var. famelica (USDA Plant List)",6
"shastaensis",6
"SJI sp 2",6
"sp.a",6
"species undetermined",6
"sp. incerta",6
"S. s. megapallidum",6
"ssp. arbuscula",6
"S. s. putnami",6
"(s. str).",6
"(\stairs\)",6
"stat. nov.",6
"Stirling Range Fm",6
"stirps",6
"Strymon calanus",6
"Strymon cecrops",6
"subgenus",6
"T. calanus",6
"Tetonius ?",6
"Thelephoraceae",6
"theonus",6
"threatfuli",6
"T. Johnson",6
"T. melinus",6
"Toxodon",6
"Tremarctos ?",6
"turbata",6
"unknown",6
"(var. pauciflora)",6
"var. pinnata f. foliolosa",6
"var. racemosa",6
"vel valde aff.",6
"venefica",6
"verified by Barnes, W.",6
"verified by Schmidt, B. C. (2001)",6
"viola",6
"viridicornis",6
"Word Fm",6
"x Agave chrysantha",6
"x christina",6
"yessoensis",6
"Acroporium erythropodium",5
"Adelpha bredowi eulalia",5
"aegeus",5
"Aerobryopsis subdivergens",5
"Alces ?",5
"Amblystegium adnatum",5
"amica",5
"Anacodon",5
"apache",5
"appalachia",5
"Apternodus",5
"Archaeomys",5
"A. sara reakirti",5
"asterias",5
"Astomum crispum (Hedw.) Hamp.",5
"Atoka Fm",5
"aus9",5
"australmontana",5
"autolycus",5
"avicula",5
"= barbulatum",5
"batesii",5
"B. Glover",5
"Bison?",5
"Bos ?",5
"Breidleria homaliacea (Besch.) Broth.",5
"caesariata sensu CH Kauffman var. caesariata",5
"caesariata sensu CH Kauffman var. cylindrocystis",5
"Cainotherium",5
"Campylopus siamensis",5
"Campylopus stenopelma",5
"C. augustata",5
"Centetodon",5
"Cervalces",5
"cf.,",5
"cf. coosae",5
"cf. sanguinea",5
"cf. silvicola",5
"cf.; s.l.",5
"cf. swaini",5
"cf thaxteri",5
"cf. viridula",5
"cf. vitreum",5
"Chuckanut Fm",5
"Clade",5
"clara",5
"clemens complex",5
"/ Clitocybe",5
"David J. Bogler",5
"deserti",5
"Diacodon",5
"Didelphodon",5
"distincta",5
"Ditrichum rufescens",5
"douglassii",5
"Drepanocladus aduncus var. kneiffii",5
"Drepanocladus aduncus var. polycarpus fo. gracilescens",5
"E. anicia windi",5
"(\Ecad\)",5
"(ECAD)",5
"Ectoganus",5
"E. enoptes ancilla",5
"English Head Fm",5
"Eubalaena?",5
"female",5
"Floridachoerus",5
"(form)",5
"form indet.",5
"form nabokovi",5
"formosana",5
"franki",5
