"data.dwc:reproductiveCondition","reps"
"subadult",46
"71",45
"1956",45
"12x4",45
"5x3.5",45
"females",45
"nest",45
"petits",45
"purple",45
"steril",45
"1975",44
"19x11",44
"2.5x2.5",44
"4x1.5",44
"cm",44
"emgd",44
"r1",44
"2x5",43
"archb",43
"larger",43
"massachusetts",43
"measured",43
"pa",43
"peu",43
"preflowering",43
"pyrus",43
"semiscrotal",43
"69",42
"1971",42
"2791",42
"002879",42
"7.0",42
"edges",42
"leg",42
"nov",42
"obvious",42
"several",42
"vas",42
"vascularized",42
"1979",41
"16x11",41
"deferens",41
"descended",41
"field",41
"formed",41
"l1",41
"missing",41
"38",40
"13x5",40
"20x15",40
"7x9",40
"conspicuous",40
"dissection",40
"phellos",40
"plugged",40
"s",40
"sibling",40
"side",40
"1972",39
"1.5x0.5",39
"12.5",39
"15x6",39
"2.5mm",39
"a81",39
"area",39
"développé",39
"internuptial",39
"teats",39
"36",38
"45",38
"1973",38
"2004",38
"15x12",38
"19x10",38
"1x3mm",38
"22x12",38
"4x6mm",38
"discarded",38
"light",38
"smaller",38
"svl",38
"78",37
"1967",37
"19x12",37
"2.5x1",37
"clear",37
"hamden",37
"rejected",37
"vascular",37
"73",36
"0.2",36
"2x5mm",36
"3x4mm",36
"6r",36
"6x1",36
"7x10",36
"fetuses",36
"foliage",36
"internally",36
"par",36
"pods",36
"sa",36
"sketched",36
"vegatative",36
"72",35
"79",35
"13.5",35
"18x12",35
"21x12",35
"6l",35
"distended",35
"em",35
"mate",35
"nonparous",35
"opened",35
"rigida",35
"1955",34
"1966",34
"15x11",34
"2rt",34
"2x2.5",34
"4.5x3",34
"4x7mm",34
"6x2.5",34
"6x3.5",34
"6x7",34
"absent",34
"bien",34
"decreasing",34
"edge",34
"forming",34
"nesting",34
"oaks",34
"saved",34
"straight",34
"yes",34
"107",33
"1992",33
"2779",33
"002867",33
"01",33
"11x3",33
"12x12",33
"1ts",33
"1x4",33
"2.3",33
"6x4mm",33
"7a",33
"grappe",33
"jaunâtres",33
"juv",33
"mating",33
