"waterBody","reps"
"Pacific, Gulf of California",567
"Coppename River",566
"Lusk Creek",566
"North Atlantic Ocean, Sargasso Sea",564
"Indian, Red Sea, Strait of Jubal",563
"Delaware R.",562
"Manila Bay",561
"Norwegian Sea",558
"South Pacific Ocean, Tasman Sea",556
"Java Sea",554
"North Atlantic Ocean, Bay Of Biscay",554
"Madeira",553
"Orange/Vaal river",553
"Chattahoochee River",548
"Maranon",547
"itenez",546
"NW Atlantic Ocean",546
"Duck R.",544
"Concho River",542
"nil",541
"Altamaha River",540
"Chandalash River",540
"North Pacific Ocean, Sea of Okhotsk",539
"Gulf of Panama",537
"Salt Fork of Red River",535
"Indian Ocean, Arabian Sea, Persian Gulf",530
"Lake Michigan",520
"Potomac R.",518
"Xingu",515
"Great Australian Bight",514
"North Pacific Ocean, Molucca Sea",512
"Otoucalofa Creek",509
"Rio Grande",505
"volta",505
"Black Warrior River - Tombigbee River - Mobile Bay",504
"Milne Bay",503
"North Atlantic Ocean, Cape Cod Bay",495
"Irish Sea",494
"North Platte River",494
"seine",494
"North Fork New R.",492
"Unknown Ocean",492
"Kunene River",491
"East Fork White River",488
"Poteau River",486
"Spring River",486
"Conasauga R.",479
"Baron Fork",478
"Trinity River",478
"First Broad R.",475
"Pacific, Sea of Japan",473
"North Pacific Ocean, Samar Sea",472
"Indian, Arabian Sea",470
"Indian Ocean, Bay of Bengal",470
"James R.",469
"Indian, Arabian Sea - Gulf of Aden",463
"Wolf Creek",462
"Black River",461
"Indian, Bay of Bengal",460
"Ohio R.",460
"R��o Soto la Marina",459
"Indo-Pacific",457
"Persian Gulf",457
"R��o Mara����n",457
"Honey Creek",456
"Brazos River drainage",454
"Osage",454
"Hurricane Creek",452
"Arctic Ocean, Baffin Bay",451
"Augusta Creek",450
"North Atlantic Ocean, Mediterranean Sea, Gulf of Gabes",450
"Buck Creek",449
"Chowan R.",448
"Little R. (NC)",445
"Kansas",442
"Namekagon River",442
"Walker Creek",441
"Salt Creek",439
"Homochitto River",437
"Savannah River",437
"Eagles Nest Lake",436
"Unnamed Creek",436
"bandama",434
"East Pascagoula River",433
"Pacific, Tallabassi Bay",429
"kapuas",428
"Gibbons Creek",426
"Green R.",426
"Hudson River",422
"Coosa R.",421
"konkoure",421
"R. Tocantins basin",421
"Rio Sao Francisco",420
"Pigeon River",419
"North Pacific Ocean, San Francisco Bay",417
"Yellow Creek",417
"Bree river",415
"Red Creek",414
"Sandy Creek",414
"approuague",413
"Beaver River",413
"Atlantic, Straits of Florida",409
"kouilou",408
"Salt Fork of Arkansas River",406
"Southwestern Indian Ocean",406
"Bluff Creek",405
"Bull Mountain Creek",405
"Cache River",405
"Cultus Lake",405
"Meherrin R.",405
"Coosa River",404
"Atlantic, Sargasso Sea",403
"Glover River",403
"Pacific, Manila Bay",403
"Tallapoosa River",403
"Flint R.",401
"Deer Creek",400
"Atlantic, Bay of Fundy",398
"Ikizyak River",398
"Pacific, Sulu Sea, Balabac Strait",395
"Strait of Georgia",394
"Bismarck Sea",393
"Little Tallahatchie River",393
"Smith R.",392
"Southeast Pacific Ocean",392
"Waukegan River",392
"Indian Ocean, Red Sea, Gulf of Aqaba",391
"Clear Boggy Creek",390
"Indian, Persian Gulf",389
"Saluda R.",388
"Devils River",387
"Cahaba River",386
"Elkhorn River",386
"Horse Creek",381
"Sybille Creek",381
"Crooked Creek",380
"Bohol Sea",379
"Pacific, Ragay Gulf",376
"Uphapee Creek - Tallapoosa River - Alabama River",375
"Grand Bay",374
"Little Wabash River",371
"Mekong basin",368
"Strong River",368
"Umvoti River",368
"Suwannee River",367
"Bullawa Creek",366
"Eagle Lake",365
"Mills R.",365
"sanaga",365
"Southwest Pacific Ocean",365
"Neosho R.",363
"Chikaskia River",361
"Meramec River",361
"Siparuni River",360
"Lee Creek",359
"Atlantic Ocean, Mediterranean Sea",358
"Coldwater River",356
"Galway Bay",356
"Southern Atlantic Ocean",356
"Atlantic Ocean; Buzzard's Bay",355
"Bayou Pierre",355
"Buffalo Creek",354
"Tallapoosa River - Mobile Bay",353
"Saginaw Bay",352
"South Pacific Ocean, Ceram Sea",352
"Knob Creek",350
"kolente",350
"Ararat R.",349
"Atlantic Ocean; Mediterranean Sea",349
"Big Sunflower River",349
"[Lake Michigan]",349
"R��o Lacantun",349
"San Felipe Creek",347
"White Oak R.",347
"Sabine River",346
"Guayas",345
"Rio Branco - Rio Negro - Rio Amazonas",345
"Tributary Drury Creek",345
"Duck River - Tennessee River",343
"mana",343
"Pacific, Gulf of Fonseca",339
"[Kankakee River]",338
"Lukfata Creek",338
"Watauga R.",337
"Wisconsin River",337
"Black Creek",336
"S. Fork Solomon River",336
"West Okaw River",336
"rio mamore",335
"Atlantic Ocean; Buzzards Bay",334
"Mud Creek",334
"Lake Tahoe",330
"Pacific, Malampaya Sound",330
"Elk R.",328
"North Atlantic Ocean, Bristol Channel",328
"wadi running east of date palm orchard",328
"Golfo de Panama",327
"Rio Nanay",327
"Upper Eulah Creek",327
"Foster Creek",326
"Gulf of Oman",326
"Rio Usumacinta",326
"Straits of Florida",326
"Silver Creek",325
"Guadalupe River",324
"Papetoai Bay",323
"Caney Creek",322
"Little Pee Dee R.",322
"rhone",318
"Sary-Dzhaz River",318
"Atlantic, Gulf of Mexico, Bay of Campeche",317
"Panther Creek",316
"Kaskaskia River",315
"Pacific, Celebes Sea",315
"R��o Beni - R��o Madeira",315
"Academy Bay",314
"Coal Creek",314
"Rattlesnake Creek",313
"North Atlantic Ocean, Mediterranean Sea, Gulf of Tunis",312
"South Fork of Roanoke River",312
"Salish Sea",311
"loire",310
"Pacific, China Sea, Varadero Bay",308
"Village Creek",308
"St. Croix River",307
"English Channel",305
"North Pacific Ocean, Gulf of Chiriqui",302
"Gulf of Nicoya",300
"Lake Superior",300
"Ayeyarwaddy (=Irrawaddy) R.",299
"R��o Paran���",299
"Barren River - Green River - Ohio River - Mississippi River",298
"North Pacific Ocean, San Lucas Bay",297
"South Yadkin R.",297
"Drainage: SACRAMENTO",296
"Alabama River - Mobile River",295
"Smoky Hill River",295
"Swannanoa R.",295
"Gull Lake",294
"Lower Arkansas",294
"North Pacific Ocean, Alaska Canada Coastal Waters",294
"Lick Creek",293
"Nueces River",293
"Johns R.",292
"North Atlantic Ocean, Gulf Stream",292
"Pacific, South China Sea, Ulugan Bay",292
"Rio Apure",290
"Pecos River",288
"Sipsey Creek",288
"North Saskatchewan River",287
"R. Ampiyacu",286
"Split Rock Brook",284
"Old Fort Bayou",283
"North Pacific Ocean, Balayan Bay",282
"Cypress Creek",280
"Elk River",280
"Second Broad R.",280
"Hiwassee River - Tennessee River - Mississippi River",279
"Plum Creek",279
"Rainbow Springs, Trout Springs",279
"Santee River",279
"West Fork Shoal Creek",278
"Sundays",277
"yang tse k.",276
"Atlantic Ocean; Gulf of Mexico; Pine Island Sound",275
"orenoque",275
"Atlantic Ocean; Gulf of Maine; Massachusetts Bay",273
"Tombigbee River - Mobile Bay",273
"Horseshoe Lake",272
"Pacific, Bismarck Sea",272
"North Pacific Ocean, Celebes Sea, Darvel Bay",271
"Biloxi River",270
"Elm Creek",270
"North Pacific Ocean, Monterey Bay",270
"Sarapiqui River drainage",270
"McMurdo Sound",269
"NORTH ATLANTIC",268
"North Atlantic Ocean or North Pacific Ocean",268
"Simmons Bayou, tributary",268
"Indian Ocean, Banda Sea",267
"North Atlantic Ocean, Baltic Sea",267
"North Atlantic Ocean, Irish Sea",267
"Ouachita River",266
"Umhlali River",266
"Atlantic Ocean; Narragansett Bay",265
"Essequibo R. basin",265
"Rio Pastaza",265
"R��o Caroni",264
"Tomales Bay",264
"Mountain Lake",263
"Yazoo River",263
"Des Plaines River",262
"Formosa Strait",262
"Indian Ocean, Arabian Sea, Gulf of Oman",262
"North Pacific Ocean, Gulf Of California",262
"Atlantic, Gulf of Guinea",261
"yata",261
"Gardner Bay",258
"Spring R.",258
"Trout Lake",258
"Appomattox R.",257
"Niobrara River Basin",257
"Grove Lake",256
"Mozambique Channel",256
"Strait of Juan de Fuca",256
"Yellow River",256
"Butler Creek",255
"Eagle Creek",255
"danube",254
"Hutchins Creek",254
"R. Amazonas basin; Lago Grande",254
"Roaring R.",254
"Walnut Creek",254
"Western Atlantic Ocean",254
"Blaylock Creek",253
"Rupununi River",253
"W Pacific Ocean",252
"Bird Creek",251
"Marais des Cygnes",251
"Stinking Creek",251
"Hatchie River",249
"South River",249
"Great Fish River",248
"Illinois",248
"Saganaga Lake",248
"Sea of Okhotsk",247
"Tamarack Bog",247
"Pacific, Darvel Bay",246
"Powell R.",246
"Hickory Creek",245
"Indo-W Pacific Ocean",245
"Mitchell Creek",245
"Valley R.",245
"Pacific, Cataingan Bay",244
"Pacific, Gulf of Tomini",244
"Pee Dee River",244
"R. Negro basin",244
"Taiwan Strait",244
"Mobile River - Gulf of Mexico",243
"North Pacific Ocean, Puget Sound",243
"me nam",242
"Stevens Creek",242
"Deep Fork River",241
"Rio Negro",241
"Sacramento R.",241
"Tambopata River",241
"Eerste River",240
"Pacific, Molucca Sea",240
"16",239
"Black Sea",239
"North Pacific Ocean, Gulf of Panay",239
"Arapiuns",238
"North Pacific Ocean, Suruga Gulf",238
"Le Conte Creek",237
"Robinson Bayou-tributary",237
"Tributary of Brushy Creek",237
"Long Creek",236
"Pacific, East China Sea",236
"Costello Lake",234
"Quiver Creek",234
"Solomon River",233
"Cove Creek",232
"Neosho River",232
"Rio Paraguay",232
"Atlantic Ocean; Harrington Sound",231
"comoe",230
"Mayo R.",230
"sassandra",230
"West Cache Creek",230
"Shoal Creek",229
"Tippecanoe River",229
"Cano del Chancho",228
"Kishwaukee River",228
"Congo River - Atlantic Ocean",227
"Pacific, Arafura Sea",227
"Timor Sea",227
"West Fork R.",227
"Bitter Creek",226
"Dry Creek",226
"Mun River - Mekong River",226
"South Fork Catawba R.",226
"White Oak Creek",226
"Local Ponds and Marshes",225
"Northwest Atlantic Ocean",225
"Simmons Bayou",225
"Bagley Creek",224
"Camotes Sea",224
"Gamtoos river",224
"South Concho River",224
"23",223
"Tuckasegee R.",223
"Pacific, Gulf of Panama",222
"Pacific, Tayabas Bay",222
"Rifle River",222
"Bayou Cumbest",221
"Cahaba River - Alabama River",221
"Coon Creek",221
"Frio River",221
"Prairie Creek",221
"S. Fork Ninnescah River",220
"N. Fork Solomon River",219
"Robinson Creek",219
"Deep Creek",218
"Arctic Ocean, Bering Sea",217
"Flint River",217
"Kuribrong River - Potaro River - Essequibo River",217
"Nottoway R.",217
"Pacific, Philippine Sea, Lagonoy Gulf",217
"Thompson River",217
"Cold Lake",216
"[Logan River]",216
"Winona Lake",216
"zambeze",216
"Crutcho Creek",215
"Pacific, China Sea, Pagapas Bay",215
"Pacific, Gulf of Califonia",215
"Dove Creek",214
"St. Joseph River",214
"Lake Huron",213
"mamor��",213
"Beaverdam Creek",212
"Escambia River",212
"Long Island Sound",212
"Kapuas R. Basin",210
"Cow Creek",209
"Pacific, Illana Bay",209
"Bogue Phalia",208
"North Atlantic Ocean, Gulf of St. Lawrence",208
"Dead River",207
"Fourteenmile Creek",207
"North Atlantic Ocean, Caribbean Sea, Gulf of San Blas",207
"Lockwood Folly R.",206
"Loup Basin",206
"GULF OF CALIFORNIA",205
"mississippi",205
"South Toe R.",205
"North Pacific Ocean, Gulf of Ragay",204
"6",203
"Alabama R.",203
"R. Amazonas basin; R. Negro",203
"Tombigbee R.",203
"Black Warrior River - Tombigbee River",202
"Great Slave Lake",202
"Volta R.",202
"Nordsj����n",201
"Grouse Creek",200
"No Pacific Ocean",200
"Sugar River",200
"Tributary Sugar Creek",200
"Tyrrhenian Sea",200
"Bass Strait",199
"Douglas Lake",199
"Gaines Creek",199
"gambie",199
"Pacific, Galera Bay",199
"South Pacific Ocean, Arafura Sea",199
"Sulphur River",199
"Atlantic Ocean; Sargasso Sea",198
"Golfo de Nicoya",198
"Grand River",198
"Loup",198
"North Pacific Ocean, Sibuyan Sea",198
"Cebu Strait",197
"Ouachita R.",197
"29",196
"Barber Lake",196
"mono",196
"North Pacific Ocean, Gulf of Leyte",196
"North Pacific Ocean, Halmahera Sea",196
"Pacific, Ragay Gulf, Canmahala Bay",196
"Bah��a de los Angeles",195
"Choctawhatchee River",195
"Rocky Branch",195
"South Atlantic Ocean, Gulf of Guinea",195
"Caney River",194
"North Pacific Ocean, Gulf Of Alaska",194
"San Marcos River",194
"South Creek",194
"Atlantic, Gulf of Maine, Orrs Cove",193
"fleuve rouge",192
"Indian Ocean, Gulf of Aden",192
"North Atlantic Ocean, Black Sea",192
"Smith Creek",192
"Grand Battures",191
"Kissimmee R.",191
"Choccolocco Creek - Coosa River - Alabama River",190
