"data.dwc:preparations","reps"
"pathological",490
"calcaneus",489
"live",489
"mince",486
"nests",483
"sss",480
"es",476
"73",472
"pinnned",470
"talon",468
"uc",467
"foto",466
"hvci",466
"taken",466
"paraffin",465
"synsacrum",465
"ribs",464
"74",463
"formalina",463
"ectocuneiform",462
"separated",462
"72",461
"76",460
"hind",456
"schmidt",456
"russia",455
"mgso4",453
"usnm",452
"101",451
"rm3",449
"parietal",447
"pterygoid",445
"images",442
"bac",441
"o",441
"pisiform",441
"specified",440
"embryos",438
"freeze",438
"furcula",437
"cheektooth",436
"skinnlagd",434
"angular",428
"colonies",428
"jugal",421
"clear",420
"1more",419
"z",416
"mcmannama",414
"booth",412
"molars",412
"shed",412
"parasites",411
"soil",411
"piotrowski",410
"seawater",410
"78",408
"81",407
"dissection",407
"79",405
"very",403
"flight",401
"reprint",399
"trackway",398
"pelt",397
"ossified",396
"skinned",396
"incisors",395
"77",394
"200",393
"2more",392
"never",392
"intercept",389
"metapodials",389
"carbon",388
"dust",388
"gauze",388
"impression",387
"probably",387
"tendon",387
"manual",384
"83",381
"dp2",381
"endoparasites",381
"national",381
"glycol",380
"number",380
"propylene",380
"medial",378
"mid",376
"scutes",376
"cannon",375
"history",375
"podials",374
"diaphragm",373
"ischium",370
"82",364
"periotic",362
"um",362
"1or2",361
"84",360
"ix",360
"microfuge",359
"ultralow",359
"3more",356
"tibiofibula",356
"86",355
"ne",354
"ypm",352
"hyoplastron",349
"lp",349
"transfer",346
"sacral",345
"vii",344
"micr",342
"midden",342
"genitalic",339
"mummified",338
"marginal",336
"mummy",336
"subfossil",336
"glued",335
"na",335
"subopercule",335
"mooi",332
"88",331
"bórax",331
"com",331
"neutralizada",331
"proporção",331
"93",326
"89",325
"cheney",321
"barnacle",320
"over",320
"inominate",319
"pelvic",319
"plastic",316
"rp",316
"organer",315
"spines",315
"glue",314
"pad",314
"knutson",313
"margin",313
"97",312
"clavicle",312
"preopercule",311
"funnel",308
"lindgren",308
"87",305
"skulls",305
"tympanic",305
"as",303
"150",302
"c1",301
"ph",301
