"island","reps"
"Kayangel Atoll",379
"Chesterfield Islands",378
"Matuku Island",375
"Catanduanes",374
"Kosrae Island",374
"Siquijor Id.",373
"South Georgia",373
"Pratas Reef",372
"Rimatara",372
"North Male Atoll",371
"Bahrain",369
"Puerto Rico Id.",367
"Aitutaki",366
"Jolo Id.",366
"Nias Island",366
"Westham Island",365
"Santa Maria I.",362
"Isla Socorro",361
"Jolo",361
"Looe Key",360
"Guana",357
"New Ireland Island",356
"Rose Atoll",356
"Large Island",355
"Maricaban I.",354
"Maumere Bay",354
"Santa Catalina",354
"Panay Id.",353
"Charity",352
"Samar I.",352
"Saaremaa",349
"Lisianski",347
"Big Razorback Island",345
"Eleuthera",345
"Zanzibar",345
"Isabel Island",344
"Montserrat Island",344
"Anatom",343
"Marthas Vineyard",343
"Cocos Island",342
"Atiu",341
"Manus Island",341
"Emira Island",338
"Tinian Island",338
"Maria Madre Id.",335
"Phuket Island",335
"San Salvador Id.",335
"Tara Island",335
"Heceta Island",334
"Banks Island",333
"Coron Island",333
"Kayangel I.",333
"Viti Levu Id.",333
"Saint Paul",332
"Duke Island",330
"Seram Island",327
"Isla Margarita",326
"Sulu Archipelago, Basilan Island",325
"Floreana",324
"Zarembo Island",324
"Jolo I.",323
"Ngerekebesang Id.",323
"Disko",322
"Nevis Island",322
"Tiburon Island",321
"Angel de la Guarda Id.",320
"Canton Island",319
"Eilat",318
"Espanola I.",318
"Isla San Cristobal",318
"Isla Cedros",317
"Kao Island",317
"santo",317
"Busuanga",315
"Hinchinbrook Island",315
"Fatuhiva",314
"Saturna Island",314
"Isla Colon",313
"Manus",313
"luzon",312
"Raphael Island",312
"Spitsbergen",311
"Tsushima Id.",311
"Camiguin Norte Island",310
"Santiago",310
"Vanua Balavu I.",309
"Canton (=Kanton)",308
"Basilan I.",307
"Mauritius Island",307
"Hispaniola I.",306
"Ifaluk Atoll",306
"Mactan Island",305
"Gardner Pinnacles",302
"Isla de los Estados",302
"Minami Tori Shima",301
"Victoria Island",301
"Tonowas Island",299
"Tumbagaan I.",299
"Hatutaa",298
"Kosrae (=Kusaie)",298
"Culion I.",297
"Isla Hoste",297
"Mangaia",297
"Anegada I.",296
"Flores Island",296
"Graham",296
"Shetland",296
"San Salvador I.",295
"amsterdam",294
"Tofua Island",294
"Nevis",293
"Polillo Id.",290
"Seram",290
"Sulawesi [Celebes]",289
"Great Islands",288
"Puerto Rico I.",288
"Samoa Islands",288
"Tortuga Id.",288
"Saint Martin",286
"Biliran Island",285
"Halmahera Island",285
"Curlew Cay",284
"Isla San Esteban",284
"James Island",284
"Marajo Island",284
"Isla Magdalena",283
"Umnak",282
"Kos",281
"Sumatra I.",281
"Bimini",280
"Cumberland",278
"Sariguan Island",277
"Basse-Terre Island",276
"Dog Island",276
"East Falkland",276
"Hong Kong",276
"Lombok",276
"Anvers Island",275
"Corsica",275
"Tern",275
"Devon Island",273
"Great Island of Valen",273
"Teraina Island",272
"Aguiguan",271
"Content Keys",271
"Asuncion Island",270
"Romblon Island",270
"Bioko Island",269
"Fernandina Id.",269
"South Georgia Island",269
"Great Exuma",265
"Ifalik (Ifaluk) Atoll",264
"Lifuka Island",264
