"geodeticDatum","reps"
"18 42' 24.0 N 109 52' 55.5 E",10
"18 43' 29.5 N 109 52' 07.4 E",2
"18 43' 46.6 N 109 52' 34.2 E",47
"18 44' 01.4 N 109 32' 54.0 E",8
"18 50' 24.4 N 109 38' 45.7 E",1
"18 54' 20.2 N 109 40' 48.6 E",22
"18.8951340000",2
"1800",5
"1816",3
"1821",14
"1823",1
"1859",31
"1863",1
"1865",2
"1880",1
"1883",1
"19 06' 55.3 N 109 05' 52.5 E",18
"19 56' 15.4 N 110 14' 38.9 E",7
"19.471",1
"1902",6
"1912",3
"1917",1
"192",2
"1923",8
"1927",5200
"1929",1
"1948",1
"1959",14
"196",1
"1962 American Samoa",9
"1981",26
"1982",4
"1983",12
"1984",13
"1985",1
"1986",6
"1990",1
"1991",1
"1996",2
"20",1
"20 03 00.0  N 110 19 11.0 E",1
"200",2
"2001",2
"201",34
"2012",2
"2014",8
"2015",1
"2027",4
"2029",3
"2035",1
"2045",5
"2047",5
"2054",5
"2060",5
"2061",9
"2063",6
"206593 E 429666 N",1
"20699",2
"2078",1
"2084",3
"20N",1
"21",2
"21.1",1
"21.111823",1
"210",2
"212",7
"2132",14
"2141",4
"2158",9
"2172",4
"22",1
"22.211654",1
"2200",1
"2201",1
"222222222222222222222222222222222222222222222222",1
"2228",3
"2252",11
"2253",6
"2265",8
"2267.192",2
"227",1
"2289",19
"229",2
"23",1
"2308",1
"2309",1
"2310",1
"2311",1
"2320",3
"2331",1
"238",1
"239747 E 4416782 N",2
"24",3
"2417",5
"242",1
"2485",1
"249",1
"249764 E 4355486 N",1
"2576",1
"26.0595700000",1
"260",2
"2600 ft",1
"2636",3
"2670",1
"27",93
"270ft",1
"2735",4
"2739",2
"274",5
"2742",1
"278",1
"2829",9
"2880",1
"288971 E 4324136 N",1
"293",3
"298147 E 4348377 N",1
"299",6
"29966",249
"2km",1
"3",1942
"30",1
"3000",1
"3000 m",1
"301",3
"3036",9
"3050",1
"3066300_388600",1
"308",1
"308923E 4974800 N",1
"3120",1
"312350 4454924",1
"314991 4483946",1
"3150",1
"316",1
"3184",1
"319824E, 4255333N",1
"320",10
"329",17
"335",2
"336467E, 4984392N",1
"338",3
"34.6819",1
"347",9
"347493E, 4246995N",1
"3483",2
"348518E 425170N",1
"3486824E 4249512N",1
"35",1
"-35.8594444",1
"351",1
"357",2
"3635.192",3
"366",30
"37",3
"376",1
"38",1
"-38.8963889",1
"380017 E 4351684 N",2
"380913 E 4301750 N",2
"383279E 4484281N",1
"384175 E 4316100 N",1
"3861820",1
"3881783",1
"-40.1997222",1
"401",11
"4015544N 620640E",1
"402",1
"4082.78N 382.29E",1
"-41.0497222",1
"4171",1
"419",8
"425",1
"4346703.13mN 301121.42mE",1
"439",1
"44.987847",1
"441170 E. 4370662 N. 12 T UTM",1
"4424993 N, 285385 E",1
"4425130 N 286231 E",2
"4425431 N 284927 E",1
"4425461 N 284654 E",1
"4425734 N 284799 E",1
"4425976 N 285002 E",1
"4426240 N 285121 E",1
"4444669N 680257E",1
"4444669N 680257E, NAD 83",1
"4463",4
"45",1
"457",1
"-46.8205556",1
"-47,55",1
"4700 ft.",1
"479909E 4933086N",1
"-48,62",1
"4800 ft",1
"-49,35",1
"5",11
"5.59m",1
"5000",7
"50000",1
"507773E 4415328N",1
"-51,70",2
"-51,73",2
"512",2
"518",1
"-53,58",1
"5320",1
"538978E 4578744N",1
"-54,13",1
"-54,43",1
"-54.3164060000",4
"549",2
"-55,88",1
"-55.0355833",1
"-55.5225833",1
"5500ft",1
"550847E, 4317913N",1
"550910E, 4317975N",2
"5547",1
"558299E, 4321688N",1
"56",1
"561995E 4029466N",1
"57",1
"-58.4651330000",1
"-58.7000000000",41
"584769E 4005377N",1
"585021, 4483922",1
"-59,97",1
"-59.1641670000",71
"-59.2657694",2
"-59.9163889",1
"-59.9195722",4
"-59.9209778",2
"-59.9223806",18
"-59.9237861",8
"-59.9251083",10
"-59.9265111",8
"-59.9279139",2
"-59.9284944",6
"-59.9298972",6
"-59.9313028",5
"-59.9326222",4
"-59.9340278",14
"-59.9354306",2
"-59.9374139",8
"-59.9401389",3
"-59.9412139",4
"-59.9415417",9
"-59.9425333",3
"-59.9428639",5
"-59.9442694",15
"-59.9463333",2
"-59.9476556",8
"-59.9490583",4
"-59.9499667",6
"-59.9503806",8
"-59.9513722",12
"-59.9517833",8
"-59.9531056",15
"-59.9551694",6
"-59.9554833",6
"-59.9565750",15
"-59.9578972",3
"-59.9588861",4
"-59.9593000",1
"-59.9603528",5
"-59.9606222",8
"-59.9620250",7
"-59.9691944",4
"-59.9877778",1
"5950 ft.",1
"6",3
"6 km",1
"-60.3569444",1
"-60.4459083",1
"-60.7032778",1
"600",1
"-61.4465250",2
"-61.4465417",3
"-61.4554861",2
"-61.4555083",1
"-61.4555222",1
"-61.4555472",3
"-61.4644944",1
"-61.4645222",3
"-61.4645500",4
"-61.4735167",1
"-61.4735444",1
"-61.4824944",2
"-61.4825194",1
"-61.4825361",1
"-61.4825444",1
"-61.5594500",1
"-61.5630000",2
"-61.5655833",1
"-61.5736000",1
"-61.5875000",4
"-61.9296667",1
"-61.9359500",1
"618120E 4013340N",1
"-62,42",1
"-62,80",1
"-62.2627778",2
"-62.3050000",2
"624840E 4013891N",1
"-63,00",1
"-63,28",1
"-63.8841389",3
"631719 4243010 11 N",1
"632768E 3971034N",1
"640242E, 3983038N",1
"645754E 4890603N",1
"647494E 4150083N UTM Z11",1
"-65.3036111",2
"651679E 4887106N",1
"651679E, 4887106N",1
"6558",16
"657077E 4248624N",1
"-66,17",1
"-66,42",1
"674128E 4250715N",1
"674201E 4250720N",1
"674298E 4250672N",1
"684761 4335933",1
"687853 4611211",1
"694923, 4608596",1
"7",779
"-70.2321620000",1
"700",1
"7067633E 406452N",1
"712065 5068143",1
"715",6
"73",5
"-73.0902778",2
"-73.2911680000",3
"-73.7251280000",1
"-73.7313490000",2
"-73.7666700000",1
"-73.8264060000",1
"-73.8849000000",2
"730336E 4020656N",2
"732",2
"735200E 4313600N",1
"-74.0847060000",10
"-74.4375780000",1
"-74.4543450000",1
"-74.5257570000",2
"-74.8401810000",2
"750",7
"-76.5944050000",1
"763",5
"77",1
"-77.3515620000",1
"-77.7392580000",1
"-78.943648",1
"7800",1
"7844",21
"8",1
"80",16
"-80.5704980000",1
"-80.6173320000",1
"-80.6852800000",1
"-80.7151000000",1
"-80.7352030000",2
"-80.7413600000",1
"-80.7418750000",1
"-80.7487280000",1
"-80.7647040000",1
"-80.7900000000",22
"-80.8243940000",5
"800",1
"8000",68
"-82.9789360000",1
"83",2
"8300 ft.",1
"84",2
"865",5
"9",3
"9.60",1
"-94.8997200000",1
"-95.1205540000",1
"-95.2028850000",5
"-95.2886100000",1
"-95.3080600000",2
"-95.4369170000",1
"-95.5688900000",2
"-95.6475750000",1
"-95.6644400000",4
"-95.6979870000",1
"-95.8265360000",4
"-95.9557800000",1
"-95.9795010000",1
"950",1
"-96.1701220000",1
"-96.2537380000",2
"-96.3298970000",1
"-96.3528490000",2
"-96.4153940000",3
"-96.4231060000",5
"-96.8712780000",2
"-96.9333300000",2
"-96.9830740000",1
"-97.0869230000",4
"-97.1186840000",4
"-97.1302750000",4
"-97.1790270000",2
"-97.2218370000",1
"-97.2535970000",1
"-97.2580150000",1
"-97.2785380000",2
"-97.3036420000",5
"-97.3111950000",1
"-97.3961100000",12
"-97.7427800000",1
"-97.7434670000",1
"-97.8599500000",1
"-98.0462510000",2
"-98.1518550000",1
"-98.2836910000",1
"-98.5522640000",1
"-98.6830930000",1
"-98.7623540000",1
"-98.9761980000",1
"-98.9784700000",1
"-99.1080620000",1
"-99.1302800000",1
"-99.1331570000",1
"-99.2670740000",1
"-99.2836070000",2
"-99.2967680000",1
"-99.2975000000",1
"-99.3339200000",4
"-99.3671670000",1
"-99.3841700000",1
"-99.3887980000",1
"-99.4176160000",1
"-99.4214750000",1
"-99.5134170000",1
"-99.6139830000",1
"-99.6425090000",7
"-99.7320930000",4
"-99.7636790000",1
"-99.7703830000",1
"-99.8204420000",1
"-99.8415400000",1
"-99.8566910000",1
"-99.8629840000",1
"-99.9327130000",1
"-99.9643410000",1
"-99.9700930000",2
"a",1
"ADG 66",3
"AGD 66",18783
"AGD66",49796
"AGD84",1
"Ain el Abd 1970",20
"American Samoa 1962",43
"Amersfoort",317
"Antigua Island Astro 1943",3
"approx",4
"approx.",7
"Arc 1950",1
"Arc 1960",229
"Astronomic Station Ponape (1951)",4
"Atl. Fl. Eur.",1
"Atlas Fl. Eur.: NH1",1
"AUS84",15
"Australian Geodetic 1966",1858
"Australian Geodetic 1984",1019
"Australian Geodetic Datum 1966",122
"Australian Geodetic Datum 1984",1
"Balanus Seamount",3
"Benkovac",4
"BerkeleyMapper",1
"BerkeleyMapper (copied from UC101086)",1
"Berkshire, Wellington College",3
"Bogota Observatory",2057
"Butovice",1
"Buttrill Ranch",1
"C3",12
