"sex","reps"
"4 females, 2 males",99
"1w (gaster detached)",98
"2w major, 1w",98
"male; male; female; female; female",98
"1 macho",97
"5M",97
"adult queen, adult workers",97
"many w, brood",97
"O",97
"20w",96
"2w, 1aq",96
"18",95
"9w",95
"Lichens in Lotharingia",95
"male, worker, brood",95
"4 females, 4 males",94
"5 males, 2 females",94
"dealate queen and worker",94
"2w, 1dq",92
"4 specimens",92
"7f",92
"1 dealate queen, 2 workers",91
"3F",91
"[female?]",91
"11 sex not recorded",90
"4 females, 1 males",90
"6f",90
"f + m",90
"2M 1F",89
"2w, 1s",89
"Araujo, J. S.",89
"15w",88
"2 males, 5 females",88
"31 undetermined",88
"[male?]",88
"M��le ?",88
"+ skull",88
"Unable to determine",88
"4m,1f",87
"5 males, 5 females",87
"1s, 2w",86
">20w",86
"Lichenes Rariores Et Critici Exsiccati",86
"32 undetermined",85
"5W",85
"2dQ",84
"13u",83
"38 adults",83
"8m",83
"Museo Botanico Berolinensi Editi",83
"13 females",82
"2 Males, 1 Female",82
"female 1",82
"1 male, 6 females",81
"1w, 1dq",81
"kastrerad hane",81
"11w",80
"2 females, 5 males",80
"3 females, 5 males",80
"5 specimens",80
"30 females",79
"34 adults",79
"34 undetermined",78
"36 undetermined",78
"14 males",77
"1w, 1aq",77
"33 undetermined",77
"4 male; 1 female",77
"15u",76
"1M 2F",76
"1 tritoninfa",76
"4 males, 4 females",76
"3 male; 2 female",75
"Lichens of the West Indies",75
"# males: 1; # females: 1",75
"worker/alate/brood",75
"12w",74
">15w",73
"16",73
"1 dealate queen, 1 worker",73
"male; male; female;;",73
"skull",73
"12 sex not recorded",72
"16 males",72
"1m (missing gaster)",72
"2m,3f",72
"36 adults",72
"37 undetermined",72
"17",71
"1F, 2M",71
"1 females, 5 males",71
"Hermaphrodite",71
"male, female",71
"male; male; female; male",71
"33 adults",70
"35 undetermined",70
"38 undetermined",70
"3 males, 4 females",70
"Lichenes Nov�� Angli��",70
"M*",70
