"data.dwc:basisOfRecord","reps"
"maturaca",5
"melanocephala",5
"micrepeira",5
"misumininae",5
"miturgidae",5
"myrmarachne",5
"naatlo",5
"nolavia",5
"nordenskjoldi",5
"pachitea",5
"philodromidae",5
"praedonius",5
"saccata",5
"sampaiosia",5
"scoloderus",5
"sitticus",5
"synotaxidae",5
"syntrechaloides",5
"tapinauchenius",5
"trachelopachys",5
"xylethrus",5
"ypypuera",5
"aculepeira",4
"acutiventer",4
"amatorculus",4
"anapistula",4
"and",4
"anomalum",4
"argyrotrichius",4
"banks",4
"brevipes",4
"bryantae",4
"callaria",4
"chrosiothes",4
"concinnus",4
"doriai",4
"enacrosoma",4
"geniculata",4
"gulosus",4
"hersiliidae",4
"inaja",4
"lacertosa",4
"latonigena",4
"maccuni",4
"macrinus",4
"mapinguari",4
"martella",4
"metabolum",4
"minor",4
"mysmenidae",4
"oecobius",4
"parabatinga",4
"pennai",4
"perigrinatorum",4
"positivum",4
"sarinda",4
"sericeus",4
"setaphis",4
"sphecotypus",4
"spintharus",4
"strigosa",4
"strophaeus",4
"strotarchus",4
"superbus",4
"tapponia",4
"tayos",4
"tuberculifer",4
"uaiuara",4
"versicolor",4
"yobena",4
"zimiris",4
"zygoballus",4
"apicalis",3
"barychelidae",3
"bicornuta",3
"brescovit",3
"cafofo",3
"canaruna",3
"capeta",3
"capim",3
"caporiacco",3
"caroli",3
"ceraarachne",3
"cotijuba",3
"crossopriza",3
"dendryphantinae",3
"dichrura",3
"dictynidae",3
"discolor",3
"dubiaranea",3
"eupoecilaema",3
"grassima",3
"guaralycosa",3
"guttatus",3
"herbariumrecord",3
"herrera",3
"huambisa",3
"ianduba",3
"inpae",3
"ischnothyreus",3
"itabaiana",3
"jaegeri",3
"kambiwa",3
"kapogea",3
"lasiodora",3
"leptopholcus",3
"linothele",3
"living",3
"longicornis",3
"lyoni",3
"merretti",3
"migrans",3
"misumenoides",3
"neoctenus",3
"neodiplothele",3
"neotama",3
"neotropica",3
"neozimiris",3
"nhandu",3
"other",3
"pachomius",3
"peckorum",3
"perducens",3
"peucetia",3
"pups",3
"ravilla",3
"reservado",3
"rubella",3
"sillus",3
"stenoonops",3
"tenuipes",3
"vindullus",3
"vinocurae",3
"volucripes",3
"waikoxi",3
"yacui",3
"1980",2
"1993",2
"abaporu",2
"acanthoctenus",2
"adis",2
"akela",2
"al",2
"alta",2
"amaurobiidae",2
"amazonicus",2
"ameridium",2
"ami",2
"apochinomma",2
"araucaria",2
"armigera",2
"arnolisei",2
"bellota",2
"berner",2
"bivittatus",2
"bryantella",2
"candidoi",2
"canhemabae",2
"caninde",2
"canionis",2
"caponina",2
"castianeirinae",2
"cearensis",2
"cerrado",2
"chaplini",2
"chirothecia",2
"ciliatus",2
"coca",2
"colligata",2
"comosus",2
"cristinae",2
"crocea",2
"culicinus",2
"cyrtaucheniidae",2
"dacetoniforme",2
"deserticola",2
"diamantina",2
"dubiepeira",2
"dubitata",2
"duodecimspinosa",2
"echinotheridion",2
"edax",2
"epeirotypus",2
"eresiformes",2
"erissus",2
"erratica",2
"et",2
"euophrys",2
"eustiromastix",2
"exsiccati",2
"fageia",2
"fidelis",2
"flagellator",2
"flaveola",2
"flavidus",2
"fulvocristatus",2
"garciai",2
"garoa",2
"gastromicans",2
"guyruita",2
"hamadryas",2
"hebariumspecimen",2
"heterogaster",2
"horrida",2
"illicita",2
"jacaza",2
"kuryi",2
"lagiana",2
"lagoas",2
"lapsamita",2
"leucogramma",2
"macrochelis",2
"macrophyes",2
"maddisoni",2
"manaus",2
"marma",2
"marmoratus",2
"mccafferty",2
"menemerus",2
"modisimus",2
"myrmeciaeformis",2
"nautica",2
"neblina",2
"neodrassex",2
"neoscona",2
"nesticodes",2
"nigrovittata",2
"nitens",2
"niveomarginatus",2
"nogueirai",2
"nosferattus",2
"ochyrocera",2
"of",2
"ouro",2
"pachistopelma",2
"papamanga",2
"paraensis",2
"paraluederwaltia",2
"patruelis",2
"paxiuba",2
"peckhamia",2
"pelicinus",2
"photo",2
"photocopy",2
"published",2
"pulcherrima",2
"report",2
"rufipes",2
"rufonigrum",2
"ruricola",2
"santinezia",2
"schenkeli",2
"semiatra",2
"similaris",2
"sp",2
"spelunca",2
"stenoterommata",2
"stygnoplus",2
"taeniata",2
"tanybelus",2
"tapirapeco",2
"tmesiphantes",2
"trachelinae",2
"trilineatus",2
"trinidensis",2
"trochosa",2
"vaccula",2
"velutina",2
"veniliae",2
"ward",2
"xenonemesia",2
"zosis",2
"zuniga",2
"1",1
"14",1
"1905",1
"1908",1
"1911",1
"1924",1
"1925",1
"1938",1
"1942",1
"1996",1
"2km",1
"abara",1
"acragas",1
"actinopodidae",1
"aemulatus",1
"affinis",1
"agoristenidae",1
"aillutticus",1
"alayoi",1
"alinahui",1
"allocosinae",1
"along",1
"alopecosa",1
"also",1
"amapari",1
"ammoxenus",1
"annulatus",1
"antonio",1
"anyphaenoides",1
"aprica",1
"arator",1
"area",1
"artema",1
"ashtabula",1
"aspidolasius",1
"at",1
"atlanticus",1
"auriculata",1
"aviculariinae",1
"balmaceda",1
"bandeirante",1
"banksi",1
"barrisca",1
"base",1
"belem",1
"belemulus",1
"beno",1
"bicincta",1
"bicrescens",1
"biocellatus",1
"birabeni",1
"bistriata",1
"blakei",1
"bodanus",1
"branicki",1
"brasiliana",1
"brasiliensis",1
"brevispina",1
"ca",1
"caatinga",1
"camilae",1
"camp",1
"canarana",1
"capito",1
"caponiidae",1
"carlosprestesi",1
"carranca",1
"castaneoscutata",1
"chibchea",1
"chloridusa",1
"chromatus",1
"colombo",1
"compactilis",1
"concavus",1
"concolor",1
"cordatus",1
"corinnoma",1
"coxapopha",1
"cryptocephala",1
"crysus",1
"cuyabeno",1
"cyanospina",1
"cymatilis",1
"cyrtophoroides",1
"dalama",1
"de",1
"dense",1
"dentrichelis",1
"diaea",1
"dodds",1
"dybowskii",1
"elongatus",1
"embira",1
"enabla",1
"encolpius",1
"epilineutes",1
"estação",1
"euryopis",1
"euticurine",1
"evergreen",1
"fall",1
"filidentatus",1
"fissispina",1
"forest",1
"franganilloi",1
"freynae",1
"from",1
"galbanatus",1
"gaujoni",1
"globulosa",1
"grandicornis",1
"graptartia",1
"habronatha",1
"hadrotarsinae",1
"hahniinae",1
"hanson",1
"hassleri",1
"heidrunea",1
"helvetia",1
"hesperoides",1
"hirta",1
"hisaw",1
"homoeomma",1
"humbom",1
"hypocrita",1
"ibitipoca",1
"igarapés",1
"ika",1
"ilha",1
"in",1
"incertissimum",1
"irregularis",1
"island",1
"lajuma",1
"less",1
"levii",1
"lineata",1
"locksae",1
"longistylus",1
"loque",1
"lower",1
"lubomirskii",1
"luederwaldti",1
"lurio",1
"lutescens",1
"macconelli",1
"magna",1
"malachinus",1
"maracá",1
"material",1
"matiapa",1
"matiotia",1
"mazax",1
"mecynogea",1
"mecynometa",1
"metaltella",1
"mexicana",1
"mocamboensis",1
"moesta",1
"monoblemma",1
"mugunza",1
"muiratinga",1
"multispinosus",1
"nancyae",1
"natalis",1
"navio",1
"negro",1
"nemesiidae",1
"nigricans",1
"north",1
"novafrontina",1
"obscura",1
"oecobiidae",1
"oligoxystre",1
"olivenca",1
"on",1
"open",1
"opiculatus",1
"opiparis",1
"p",1
"pallens",1
"pallidus",1
"paquisha",1
"paraphysa",1
"perene",1
"peruana",1
"philomatica",1
"photographs",1
"phrurolithinae",1
"picada",1
"polybetes",1
"pozonia",1
"preparationskeleton",1
"prodidomidae",1
"prodysderina",1
"prorachias",1
"proshapalopus",1
"pusilla",1
"recurva",1
"remotus",1
"retiro",1
"rhoicininae",1
"rhomboidalis",1
"rhopalocranaus",1
"rishaschia",1
"roraima",1
"ross",1
"rubonigra",1
"rubrepeira",1
"scan",1
"seasonal",1
"sebastira",1
"selis",1
"sema",1
"semiglabrum",1
"semirufa",1
"sexmaculata",1
"side",1
"sinop",1
"slide",1
"sosippinae",1
"south",1
"sparianthina",1
"sparianthinae",1
"spintharidius",1
"spp",1
"steadoda",1
"striolata",1
"stygnidae",1
"sub",1
"subtilis",1
"sulcata",1
"sumampattus",1
"sunny",1
"syenus",1
"symphytognatha",1
"synaemops",1
"synagelinae",1
"tabernarius",1
"tabula",1
"tacaca",1
"tapinillus",1
"tarsilae",1
"tatarendensis",1
"tatepeira",1
"tesselata",1
"tetrablemmidae",1
"tha",1
"thelyphonidae",1
"thomasettia",1
"thomisinae",1
"tiro",1
"tobyi",1
"tree",1
"três",1
"tucurui",1
"ucayali",1
"uiriri",1
"unsexed",1
"uraarachne",1
"uraricoera",1
"utaca",1
"utiariti",1
"utibile",1
"varia",1
"variegata",1
"vellardi",1
"vendaphaea",1
"vitalius",1
"wulfilopsis",1
"ygapema",1
"zloty",1
"zyngierae",1
