"typestatus","reps"
"voucher of <a href=""http://arctos.database.museum/name/amara obesa"">amara obesa</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/amara obesa"">amara obesa</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>",379
"voucher of <a href=""http://arctos.database.museum/name/bombus"">bombus</a> in <a href=""http://arctos.database.museum/publication/10007148"">pampell et al. 2015</a>",377
"voucher of <a href=""http://arctos.database.museum/name/lemmus trimucronatus"">lemmus trimucronatus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",376
"voucher of <a href=""http://arctos.database.museum/name/coccinella transversoguttata"">coccinella transversoguttata</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",369
"voucher of <a href=""http://arctos.database.museum/name/calathus ingratus"">calathus ingratus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/calathus ingratus"">calathus ingratus</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>",367
"lectotype; syntype",365
"type specimen (basionym and status not recorded).",363
"voucher of <a href=""http://arctos.database.museum/name/planorbidae"">planorbidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/planorbidae"">planorbidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",357
"co-type",354
"voucher of <a href=""http://arctos.database.museum/name/dicheirotrichus cognatus"">dicheirotrichus cognatus</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>; voucher of <a href=""http://arctos.database.museum/name/dicheirotrichus cognatus"">dicheirotrichus cognatus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",352
"holotype?",348
"isotype; isotype",348
"voucher of <a href=""http://arctos.database.museum/name/cychrus tuberculatus"">cychrus tuberculatus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",347
"voucher of <a href=""http://arctos.database.museum/name/corixidae"">corixidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/corixidae"">corixidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",343
"voucher of <a href=""http://arctos.database.museum/name/diptera"">diptera</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/diptera"">diptera</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",341
"lectotipo",340
"voucher of <a href=""http://arctos.database.museum/name/pterostichus amethystinus"">pterostichus amethystinus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",336
"voucher of <a href=""http://arctos.database.museum/name/coenagrionidae"">coenagrionidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/coenagrionidae"">coenagrionidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",335
"voucher of <a href=""http://arctos.database.museum/name/pterostichus castaneus"">pterostichus castaneus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",334
"paratype?",322
"voucher of <a href=""http://arctos.database.museum/name/tachinus basalis"">tachinus basalis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",322
"figuré(s) + cité(s)",317
"paratype of sphenomorphus tanneri",317
