"data.dwc:geodeticDatum","reps"
"62.3050000",2
"65.3036111",2
"651679e",2
"680257e",2
"73.0902778",2
"73.7313490000",2
"73.8849000000",2
"74.5257570000",2
"80.7352030000",2
"95.3080600000",2
"95.5688900000",2
"95.6644400000",2
"96.2537380000",2
"96.3528490000",2
"96.8712780000",2
"96.9333300000",2
"97.2785380000",2
"98.0462510000",2
"99.2836070000",2
"99.7774860000",2
"99.9700930000",2
"agm",2
"ags66",2
"berkeleymapper",2
"chorrillos",2
"copied",2
"county",2
"da94",2
"den",2
"dga94",2
"fc",2
"friday",2
"from",2
"gap",2
"gd84",2
"gd94",2
"gdaq94",2
"gnis",2
"googleearth",2
"gps_loran",2
"harbor",2
"label",2
"lh1",2
"ln",2
"meters",2
"min",2
"nad103",2
"nad108",2
"nad112",2
"nad113",2
"nad114",2
"nad115",2
"nad116",2
"nad117",2
"nad119",2
"nad27conus",2
"nad35",2
"nad36",2
"nad7",2
"nadd27",2
"nas27",2
"nd83",2
"off",2
"piep",2
"pomeroy",2
"qfa84",2
"qgs84",2
"quad",2
"romoland",2
"s84",2
"solitario",2
"street",2
"sw",2
"t1s",2
"uknown",2
"unkown",2
"usa",2
"used",2
"utm:zone",2
"va",2
"wfs84",2
"wgs129",2
"wgs1966",2
"wgs64",2
"wgs84f",2
"wgs84q",2
"wgs93",2
"wgs99",2
"with",2
"wolf",2
"wp",2
"wp333",2
"wp44",2
"wv",2
"8",1
"15",1
"22",1
"23",1
"28",1
"31",1
"33",1
"35",1
"45",1
"47",1
"51",1
"57",1
"63",1
"77",1
"87",1
"119",1
"124",1
"151",1
"155",1
"156",1
"160",1
"165",1
"175",1
"176",1
"190",1
"217",1
"221",1
"227",1
"238",1
"242",1
"249",1
"266",1
"271",1
"278",1
"294",1
"300",1
"308",1
"316",1
"318",1
"321",1
"322",1
"324",1
"325",1
"326",1
"327",1
"328",1
"330",1
"331",1
"332",1
"333",1
"334",1
"351",1
"376",1
"378",1
"400",1
"402",1
"410",1
"425",1
"427",1
"428",1
"431",1
"439",1
"457",1
"518",1
"556",1
"600",1
"699",1
"700",1
"800",1
"891",1
"894",1
"905",1
"950",1
"1130",1
"1132",1
"1146",1
"1157",1
"1190",1
"1262",1
"1322",1
"1330",1
"1336",1
"1355",1
"1364",1
"1390",1
"1430",1
"1468",1
"1522",1
"1559",1
"1563",1
"1600",1
"1635",1
"1674",1
"1681",1
"1689",1
"1690",1
"1713",1
"1728",1
"1745",1
"1753",1
"1762",1
"1776",1
"1792",1
"1823",1
"1863",1
"1880",1
"1883",1
"1917",1
"1924",1
"1929",1
"1980",1
"1985",1
"1990",1
"1991",1
"2015",1
"2035",1
"2078",1
"2200",1
"2201",1
"2308",1
"2309",1
"2310",1
"2311",1
"2331",1
"2485",1
"2576",1
"2580",1
"2600",1
"2670",1
"2742",1
"2880",1
"3050",1
"3120",1
"3150",1
"3184",1
"4171",1
"4700",1
"4800",1
"5320",1
"5547",1
"5950",1
"7800",1
"8300",1
"29055",1
"30980",1
"36980",1
"50000",1
"206593",1
"241154",1
"249764",1
"284654",1
"284799",1
"284927",1
"285002",1
"285121",1
"285385",1
"288971",1
"298147",1
"312350",1
"314991",1
"325200",1
"384175",1
"429666",1
"441170",1
"526410",1
"585021",1
"618000",1
"631719",1
"684761",1
"687853",1
"694923",1
"712065",1
"751700",1
"807785",1
"818180",1
"820170",1
"850552",1
"3861820",1
"3881783",1
"4243010",1
"4316100",1
"4324136",1
"4335933",1
"4348377",1
"4355486",1
"4370662",1
"4424993",1
"4425431",1
"4425461",1
"4425734",1
"4425976",1
"4426240",1
"4454924",1
"4483922",1
"4483946",1
"4608596",1
"4611211",1
"4657296",1
"4974800",1
"5068143",1
"5178800",1
"5811500",1
"5837400",1
"5967600",1
"00.0",1
"00227",1
"010",1
"03",1
"0588664e",1
"0602338e",1
"0602368e",1
"0623918e",1
"0731100",1
"10,41",1
"100.0523890000",1
"100.1067760000",1
"100.1163970000",1
"100.1239010000",1
"100.1767680000",1
"100.1940350000",1
"100.1955150000",1
"100.2188700000",1
"100.2242780000",1
"100.2276710000",1
"100.2457280000",1
"100.2769700000",1
"100.2784180000",1
"100.2855830000",1
"100.2859750000",1
"100.2913440000",1
"100.3072200000",1
"100.3093480000",1
"100.3235860000",1
"100.3263710000",1
"100.3270940000",1
"100.3313900000",1
"100.3385270000",1
"100.3503050000",1
"100.3564520000",1
"100.3585330000",1
"100.3593780000",1
"100.3687850000",1
"100.3720080000",1
"100.3766310000",1
"100.4157260000",1
"100.4298040000",1
"100.4370130000",1
"100.4383870000",1
"100.4429780000",1
"100.4480520000",1
"100.4501020000",1
"100.4573610000",1
"100.4637170000",1
"100.4656110000",1
"100.4700280000",1
"100.4805390000",1
"100.4812460000",1
"100.4826160000",1
"100.4832860000",1
"100.4844400000",1
"100.4864650000",1
"100.4874000000",1
"100.4937810000",1
"100.4961210000",1
"100.4977400000",1
"100.4979530000",1
"100.4989970000",1
"100.4994440000",1
"100.5002410000",1
"100.5007350000",1
"100.5008770000",1
"100.5018860000",1
"100.5019010000",1
"100.5027220000",1
"100.5054180000",1
"100.5094550000",1
"100.5108550000",1
"100.5113260000",1
"100.5115470000",1
"100.5119010000",1
"100.5122350000",1
"100.5134960000",1
"100.5136300000",1
"100.5143470000",1
"100.5144930000",1
"100.5172630000",1
"100.5189310000",1
"100.5201820000",1
"100.5203040000",1
"100.5207520000",1
"100.5222470000",1
"100.5235090000",1
"100.5271560000",1
"100.5271810000",1
"100.5287640000",1
"100.5296880000",1
"100.5331420000",1
"100.5348450000",1
"100.5350200000",1
"100.5372930000",1
"100.5387380000",1
"100.5390840000",1
"100.5395840000",1
"100.5398660000",1
"100.5427720000",1
"100.5455620000",1
"100.5463180000",1
"100.5463810000",1
"100.5484110000",1
"100.5563470000",1
"100.5611380000",1
"100.5817340000",1
"100.6080330000",1
"100.6204170000",1
"100.6218400000",1
"100.6227800000",1
"100.6383290000",1
"100.6392300000",1
"100.6410460000",1
"100.6458690000",1
"100.6507850000",1
"100.6820940000",1
"100.6881980000",1
"100.6963350000",1
"100.7015960000",1
"100.7080390000",1
"100.7106100000",1
"100.7119960000",1
"100.7304030000",1
"100.7307110000",1
"100.7327290000",1
"100.7344410000",1
"100.7408070000",1
"100.7790150000",1
"100.7857490000",1
"100.7897450000",1
"100.8020050000",1
"100.8112310000",1
"100.8185240000",1
"100.8282420000",1
"100.8382340000",1
"100.8841750000",1
"100.9753420000",1
"101.0333900000",1
"101.0410180000",1
"101.0522570000",1
"101.1914420000",1
"101.3638100000",1
"101.3849660000",1
"101.4156150000",1
"101.4395140000",1
"101.4501770000",1
"101.4586000000",1
"101.4808300000",1
"101.4848530000",1
"101.6946600000",1
"101.6962310000",1
"101.8000950000",1
"101.8222200000",1
"101.8291290000",1
"101.8375960000",1
"101.8394400000",1
"101.8595660000",1
"101.8709700000",1
"101.9215670000",1
"101.9285820000",1
"101.9569090000",1
"101.9747200000",1
"101.9828190000",1
"102.0271740000",1
"102.0777510000",1
"102.0805900000",1
"102.0995520000",1
"102.2573200000",1
"102.2744390000",1
"102.3437030000",1
"102.4434380000",1
"102.5454390000",1
"102.6192010000",1
"102.6350560000",1
"102.6953890000",1
"102.7441410000",1
"103.0682370000",1
"103.0982890000",1
"103.5715270000",1
"103.6605600000",1
"103.7472600000",1
"103.7795220000",1
"103.7850550000",1
"103.8638720000",1
"103.8866810000",1
"103.8907690000",1
"103.9180360000",1
"103.9259940000",1
"103.9278910000",1
"103.9389290000",1
"103.9509890000",1
"103.9667830000",1
"103.9803760000",1
"103.9899460000",1
"103.9982360000",1
"104.0029510000",1
"104.0448970000",1
"104.0638540000",1
"104.0719910000",1
"104.1729790000",1
"104.4367490000",1
