year,reps
2893,1
70,1
8896,1
971,1
18961897,1
19851986,1
20008,1
2940,1
31356,1
2033,1
19581960,1
2392,1
577,1
105,1
3118,1
2054,1
2081,1
95,1
3112013,1
22019,1
21367,1
18758,1
25596,1
24763,1
196?,1
23113,1
23138,1
24687,1
23936,1
29075,1
29607,1
24565,1
-186,1
26179,1
27222,1
24299,1
25313,1
24905,1
24533,1
24541,1
22719,1
1089,1
5195,1
1078,1
1531,1
1744,1
1565,1
28256,1
1039,1
1061,1
2989,1
2034,1
2048,1
19551963,1
19561963,1
19601963,1
1738,1
1402,1
-192,1
9130,1
24551,1
894,1
883,1
975,1
24278,1
24573,1
743,1
19921994,1
164,1
2966,1
1632,1
2719,1
23906,1
1696,1
2118,1
1314,1
19801981,1
2110,1
2084,1
8112,1
7008,1
2993,1
37746,1
2952,1
2961,1
22839,1
19931994,1
1547,1
1777,1
2200,1
182,1
93,1
961,1
186X,1
2887,1
1172,1
7932,1
9139,1
990,1
20112,1
1595,1
1095,1
2068,1
2105,1
2047,1
23937,1
20649,1
1500,1
24955,1
21744,1
24368,1
28276,1
23905,1
21995,1
24697,1
1020,1
1578,1
1575,1
222,1
2106,1
2937,1
1190,1
1054,1
185,1
19967,1
88,1
6940,1
19761988,1
19201921,1
7931,1
20005,1
1062,1
1088,1
2043,1
1765,1
2031,1
209,1
887,1
2189,1
888,1
9736,1
1479,1
889,1
25385,1
1604,1
2368,1
26342,1
21718,1
28277,1
7978,1
1058,1
1641,1
1652,1
1682,1
24495,1
1258,1
1647,1
1519,1
891,1
19??,1
1028,1
22043,1
1091,1
2191,1
1187,1
19321937,1
1709,1
1605,1
1680,1
25120,1
22029,1
23234,1
1123,1
6567,1
23987,1
974,1
1040,1
25405,1
24722,1
22798,1
24805,1
20394,1
22443,1
