sex,reps
sv 31; c&s,2
m; sv 44.5; c&s,2
2f + 5m,2
f; ser-sec ?,2
m; sv 20.7; c&s,2
b,2
winter,2
stage v; c&s,2
ripe male,2
1m et 5f,2
12f + 1m,2
f; sv 51.4; c&s,2
m; juv; c&s,2
4f + 3m,2
(female)male,2
f; sv 34; c&s,2
probably female,2
1 male; 2 female,2
f; sv 32.9; c&s,2
m; sv 64.9; c&s,2
2 male; 2 female,2
"01 macho, 01 fêmea (exemplares",2
stage 27 larvae,2
1m,2
"[male], [female]",2
2adults,2
n/a,2
m; sv 95.0; skel,2
one newborn,2
1 female,2
q,2
m; sv 68.8; c&s,2
f;  + c&s skull,2
stage 44 larvae,2
"skel, f sv 81.5",2
changed,2
tuburculate male,2
organs,2
2 immatures,2
juv. male,2
m; sv 49.6; c&s,2
male circled,2
sv 52; c&s,2
f; sv 42; c&s,2
female 23,2
"m; shell, skull",2
m;  + ser-sec skull,2
m; sv 55.8; c&s,2
m; sv 30.0; c&s,2
+head +post.vert. +l hemipenis,2
original data specifies a mix of male and female specimens,2
shed skin,2
embryos; c&s,2
with,2
sv 37; c&s,2
f; sv 27.5; c&s,2
"f; , ser-sec skull",2
age 69 days,2
+head +vertebrae,2
f; sv 43.7; c&s,2
f; sv 31.0; c&s,2
m; sv 82.0; c&s;  + skull,2
"stage 62, from batch of ku 206510",2
sv 132; c&s,2
this,2
tag tied to fish specifies sex is female.,2
"03 machos, 01 fêmea",2
stage 33 larvae,2
m; sv 23.0; c&s,2
"c&s, f",2
f; sv 33.7; c&s,2
"larva, ser-sec",2
stage 34 larvae,2
m; sv 45.5; c&s,2
by plumage only,2
f; sv 26.0; c&s,2
f; sv 25.0; c&s;  + skin,2
f(?),2
f; sv 59.8; c&s,2
m; sv 26.9; c&s,2
f; sv 55.0 ; skel,2
shell + soft-parts,2
probable adult,2
m; sv 55.3; c&s,2
02 fêmeas,2
m; sv 23.8; c&s,2
f; sv 77.2; c&s,2
"f; skel, skull",2
70% ethanol,2
m; sv 23.3; c&s,2
subadult,2
sv 48,2
bisexué,2
4f + 7m,2
shell parts,2
m; sv 24.4; c&s,2
stage i; c&s,2
original data specifies sex as female,2
some adults,2
f; sv 109.0; skel,2
5 adults,2
by plumage,2
f; sv 54; c&s,2
f; sv 27; c&s,2
"m; skel,shell",2
the,2
sv 48; c&s,2
f; sv 49.0; c&s,2
age 61 days,2
ser-sec skull,2
m; sv 22.7; c&s,2
age 102 days,2
1m + 3f,2
m; sv 34.4; c&s,2
m; sv 51.6; c&s,2
by plumage.,2
f; sv 62.0; c&s;  + skull,2
3f + 7m,2
2f + 4m,2
original data tag on fish specifies sex as female.,2
head only,2
f; 2n,2
4f + 4m,2
4f + 6m,2
1m et 2f,2
m; sv 41.7; c&s,2
male ?; male,2
male  m,2
m; sv 43.6; c&s,2
m; sv 30.8; c&s,2
f; sv 44.5; c&s,2
c&s f; sv 18.9,2
stage 31 larvae,2
see tape notes,2
"skel, shell  + head , soft-parts (wet)",2
mature male,2
f; sv 30.0; c&s,2
20 adults,2
m; sv 91.0; skel,2
m; sv 53.4; c&s,2
"hatchling, egg shell",2
f; sv 35.0; c&s,2
sv 23; c&s,2
age 50 days,2
f; sv 22.5; c&s,2
4f + 2m,2
5f + 2m,2
f; sv 37.8; c&s,2
m; sv 28.0; c&s,2
f; sv 21.4; c&s  + skin,2
females full of eggs,2
characteristics. photographed.,2
25,2
female 2,2
f; sv 44; c&s,2
ad,2
01 fêmea,2
f; sv 35; c&s,2
gen. habitat,2
m; sv 45.6; c&s,2
_,2
listed,2
stage 37 larvae,2
by,2
m; sv 45.7; c&s,2
stage 43 larvae,2
f; sv 23.3; c&s,2
m; sv 19.6; c&s,2
cover density,2
m; sv 32.7; c&s,2
"1 female,",2
f; sv 38.0; c&s,2
m; sv 47.5; c&s,2
m; sv 70.0; c&s,2
"m; skull, skin",2
"f, prob",2
a,2
macho ovado,2
possible,2
"larvae; c&s, stage 34",2
f; sv 38.5; c&s,2
sv 35; c&s,2
f;m,2
questionable.,2
f; sv 35.9; c&s,1
f; sv 21.0; c&s,1
f; sv 51.0; skel,1
7 juv,1
stage 34 larvae; sv 19.3 tl 37.2; c&s,1
m; sv 23.1; c&s,1
"02 machos, 09 fêmeas",1
stage 41 larvae; sv 24.5 tl 62.1; c&s,1
macho grande,1
f; sv 49.2; c&s,1
sv 41.0; c&s,1
sv 32.0; c&s,1
sv 39; c&s,1
stage 35 larvae; sv 21.6 tl 40.0; c&s,1
m; sv 107.0; c&s;  + skull,1
6m e 6f,1
m; sv 45.9; c&s;  + skin,1
f; sv 56.0; c&s,1
f; sv 64.3; skel,1
m; sv 29.0; c&s,1
f; sv 54.55; c&s,1
larvae; back riding tads of ku 221838,1
m; sv 53.9; skel,1
f; sv 63.5; skel,1
m; sv 42.6; skel,1
m; sv 94.0; c&s;  + skull,1
f; sv 42.0; c&s,1
spawning males(17)/females(6),1
3 male; 2 female,1
f; sv 52.6; skel,1
f; sv 27.3; c&s,1
18 hatchlings,1
"male, small testes present",1
ml,1
"larvae, stage 39, sv 12.8, tl 42.7; c&s",1
also,1
male; hermaphrodite,1
"neonates, skins",1
cover den,1
"m; tl 1360 , t 250",1
at,1
of this bird,1
1 male with spawning colours,1
sv 26.5,1
"c&s, 28.5 mm svl",1
"f; with 31 embryos, tl 1836 t 228, skin",1
original data tag on fish specifies sex as male.,1
#816 - female,1
"f; tl 1720 t 190, skin;  + skull",1
"f; skin, skel, tl 1970 , t 300 , karyotyped",1
"f; tl 1640 , 220 , 18 embryos",1
f; karyotyped,1
f; 4 eggs,1
"larvae, stage 41, sv 22.8; c&s",1
sv 106.0; c&s;  + skull,1
"larvae, stage 38, sv 33.6; c&s",1
sv 27.0; c&s,1
two large males,1
m; sv 79.1; c&s,1
female;few eggs,1
m; sv 20.1; c&s  + skin,1
f; sv 71.5; skel,1
"f; tl 1970 , t 275",1
f; sv 102.5; skel,1
"larvae, stage 46, sv 17.2; c&s",1
2f + 1m?,1
5f + 9m,1
1m + 4f,1
male; female ?,1
m; sv 88.6; skel,1
f; sv 51.8; c&s,1
stage 25 larvae; sv 10.2 tl 21.7; c&s,1
sv 45; c&s,1
2 fledglings,1
006,1
tl 1525  t 256,1
+  alc. skull; f;,1
large females full of loose eggs,1
m; sv 21.9; c&s,1
"+ skull , vertebrae",1
f; sv 61.5; c&s;  + skull,1
"larvae, day 15",1
m; sv 31.3; c&s,1
"larvae, day 2",1
c&s m; sv 28.2,1
m; sv 16.0; c&s,1
f; sv 61.0; skel,1
f; sv 28.44; c&s,1
larvae;  + ser-sec skull,1
f; sv 31.4; c&s,1
m; sv 32.9  + ser-sec 4th right toe,1
stage 30 larvae,1
+ head + maxillary + misc. parts + colon contents,1
f; sv 53.5; c&s,1
f; sv 17.7; c&s;  + skin,1
"f; sv 94.3; skel;  + eggs , hyoid",1
sv 78.3 f; skel; c&s hyoid pectoral,1
f; sv 20.7; c&s,1
sv 47.6; c&s,1
judged from behavior,1
one female,1
presumed pair habitat,1
m; sv 69; skel,1
f; sv 20.0; c&s  + skin,1
f; sv 19.9; c&s,1
m; sv 39.0; skel,1
"eggs, embryo; c&s",1
presumed,1
"skull , shell",1
m; sv 69.5; c&s,1
adult? internal notes,1
male 9; females 25,1
f; sv 70.0; skel,1
m; sv 22.6; c&s,1
f; sv 19.8; c&s  + skin,1
macho jovem,1
4 male; 4 female,1
8850,1
female w/,1
m; sv 25.3; c&s,1
"f; skull, shell",1
downy,1
m; sv 55.4; skel,1
"head , rattles",1
f; sv 37; c&s,1
re,1
"larvae, stage 44, sv 23.7 tl 33.7; c&s",1
7m + 3f,1
fêmea.,1
on label,1
3 wk larvae,1
3 egg masses,1
4m+5f+3j,1
"larvae, 10 days",1
5m+2f+1j,1
9f + 1m,1
f; sv 64.5;  + skull,1
"original data indicates a mix of male, female and immature specimens",1
2 mature males,1
"male, 16.8 mm sl; female, 14.0 mm sl",1
"2 specimens male, 1 specimens female, 1 specimens ?",1
"+ skull, hemipenes",1
males have tubercles,1
"original data lists a mix of male, female and immature specimens",1
"machos, fêmeas ?",1
m; sv 44.7; c&s,1
11362,1
f; sv 34.2; c&s,1
20.7mm sl.,1
m<,1
c&s f; sv 30.7,1
20 juv,1
male male?,1
f; sv 17.1; c&s,1
m; sv 55.7 ; skel,1
m; sv 95.0; c&s;  + skull,1
f; sv 66.0 ; skel,1
m; sv 80.0; c&s;  + skull,1
.,1
"stage 55, sv 48.7; c&s",1
f; sv 46.0; c&s,1
m; sv 61.7; c&s,1
m; sv 52.2; c&s,1
f; sv 58.5; c&s;  + skull,1
m; sv 46.0; c&s,1
c&s f; sv 21.4,1
f; sv 80.5; c&s,1
"juv; skel,shell,skull",1
ad.,1
possible f,1
"larvae, stage 36, sv 19.4 tl 46.1; c&s",1
"larvae, stage 39, sv 24.2 tl 55.3; c&s",1
bur. l. 10,1
"larvae, stage 39, sv 22.5 tl 54.9; c&s",1
"larvae, stage 36, sv 25.0 tl 56.4; c&s",1
not det.,1
were,1
"larvae, stage 38, sv 24.1 tl 57.0; c&s",1
f; sv 21.5; c&s,1
"skel, shell  + soft-parts, head (wet)",1
symbol,1
f; sv 46.9; c&s,1
degraded,1
juv; c&s; sv 29.0,1
bursa thick,1
f; sv 82.0; c&s,1
j,1
bursa present,1
m; sv 26.8; c&s,1
m; sv 96.0; c&s,1
male? soc. contact,1
them,1
f; sv 28.1; c&s,1
than,1
presumed male,1
m; sv 37.3; c&s,1
sv 21.3; c&s  + skin,1
"c&s f, sv 35.1",1
m; sv 30.0  + ser-sec 4th right toe,1
f;  + embryos,1
tl 2070,1
f; tl 2292 + 235,1
f; sv 86.83; c&s,1
m; sv 69.8; c&s,1
m; tl 1824 + 370,1
the associates,1
f; skel;  + skin only,1
c&s f; sv 25.4,1
f; sv 104; skel,1
m; sv 56.9; c&s,1
m; sv 46.70; c&s,1
m; sv 46.7; skel,1
f; sv 27.9; c&s,1
m; sv 60.4; skel,1
"juv, sv 24.9; c&s",1
m; sv 14.7; c&s;  + skin,1
f; sv 25.8; c&s,1
f; sv 62.7 ; skel,1
"larvae, stage 58",1
rattle only,1
m; sv 28.3; c&s,1
f; sv 45.3; c&s,1
m; skel;  + skin,1
"male, 2; female, 1",1
"f; with 26 + 11 eggs; tl 1735, t 230",1
m; tl 2110 + 290,1
age 68 days,1
m; sv 33.8; c&s,1
5 male,1
m; sv 96.5; c&s;  + skull,1
"m; tl 1427 , t 214",1
m; sv 47.6; c&s,1
m; sv 14.0; c&s,1
lots of adults,1
"larvae, stage 39, sv 29.4; c&s",1
m; sv 44.7; skel,1
f; sv 86.0; c&s,1
f; sv 40.7; c&s,1
sv 30.0; c&s,1
macroconch male,1
adult male,1
f; sv 15.9; c&s;  + skin,1
locality,1
"f; c&s h,s, feet, hyoid; skel",1
25 adults,1
m; sv 50.3; c&s,1
f; sv 37.3; c&s,1
f; sv 39.0 ; c&s,1
f; sv 79.0; c&s;  + skull,1
on data form,1
"skull, caudal vert, skin",1
"stage 27, sv 4.1 tl 9.3; c&s",1
m; sv 32.4; c&s,1
"stage 42, tl 16.3, sv 7.6; c&s",1
"larvae, stage 46, sv 21.3; c&s",1
m; sv 25.9; c&s,1
and size data,1
sv 70.3; c&s,1
m; sv 64.6; c&s,1
m; c&s; sv 55.7,1
varies. length,1
sv 34.0; skel,1
m; sv 61.6; c&s,1
"f; tl 1850 , t 222",1
m; sv 59.1; c&s,1
400,1
male/female female,1
apparent family group,1
"female,male?",1
f; sv 47.3; c&s,1
f; sv 36.7; c&s,1
f; sv 66.9; c&s,1
"c&s, 21.6 mm svl",1
"c&s, 15.1 mm svl",1
"larvae, stage 35, sv 24.9 tl 56.8; c&s",1
"larvae, stage 44, sv 13.5 tl 15.9; c&s",1
"larvae, stage 40, sv 21.7 tl 57.0; c&s",1
"larvae, stage 38, sv 20.1 tl 51.2; c&s",1
"larvae, stage 45, sv 15.0; c&s",1
"larvae, stage 30, sv 11.4 tl 24.4; c&s",1
"larvae, stage 36, sv 17.5 tl 37.5; c&s",1
"larvae, stage 34, sv 14.4 tl 33.0; c&s",1
"larvae, stage 36, sv 21.3 tl 53.5; c&s",1
shell (upper) only,1
f; sv 40.0; skel,1
f; sv 17.0; c&s,1
m; sv 28.1; c&s,1
vl 34.8; c&s,1
"m; sv 50,c&s",1
f; sv 32; c&s,1
f; sv 22.0; c&s,1
m; sv 41.4; c&s,1
84 hr larvae,1
46 day larvae,1
m; sv 51.5; c&s,1
m; sv 49.4; c&s,1
f; sv 30.4; c&s,1
m; sv 70.0; c&s;  + skull,1
m; sv 37.7; c&s,1
m; sv 29.8; c&s,1
"f; skull, skin",1
female; male ?,1
"4 females full of loose eggs, 8 males with prominent tubercles",1
original data specifies sex as male,1
bill like m,1
macho escuro,1
01 macho terminal,1
"03 fêmeas, 01 juvenil, 01 recé",1
"05 machos, 03 fêmeas, 01 juven",1
mark,1
male 1; female 2,1
female ?; female ?,1
1 male; 3 female,1
3 male; 3 female,1
m/f,1
spawning male,1
female body shape,1
m; sv 21.5; c&s  + skin,1
fêmeaa,1
femele,1
fêema,1
roadkill,1
skull oss,1
01.02.2002,1
imm. female,1
f; sv 33.4; c&s,1
m; sv 59.0; c&s;  + skull,1
holotype of anolis duellmani,1
"egg , embryo",1
"larvae; c&s, stage 31",1
sv 90; c&s,1
f; juv; sv 34.0; c&s,1
m; sv 46.0; skel,1
m; tl 1620 + 343,1
tl 196,1
dried,1
m; sv 73.8; c&s,1
m; sv 73.0; c&s,1
sv 34.5;  + ser-sec 4th right toe,1
m; sv 60.41; c&s,1
stage 65 larvae; ser-sec,1
f; tl 1772 + 166,1
"larvae, stage 27, sv 26.4; c&s",1
f; sv 20.5; c&s,1
f; sv 47.8; skel,1
stage 31 larvae; sv 11.8 tl 23.5; c&s,1
stage 25 larvae; sv 9.1 tl 19.3; c&s,1
m; sv 47.0; skel,1
f; tl 1614 + 346,1
f; sv 53.0; skel,1
f; sv 30.34; c&s,1
"larvae, day 1",1
"larvae, day 18",1
"larvae, stage 56",1
f; sv 63; skel,1
m; sv 60.5  + ser-sec 4th right toe,1
"juv, sv 15.8; c&s",1
m; sv 29.9; c&s;  + skin & guts,1
age 30 days,1
026,1
bird,1
male 1?,1
300,1
pair at nest,1
"stage 26, sv 3.8 tl 9.2; c&s",1
"juv, sv 65.0; skel",1
m; sv 37.1; c&s,1
m; sv 22.4; c&s;  + skin,1
m; sv 26.4; c&s,1
"larvae, stage 41, sv 44.1; c&s",1
"larvae, stage 42, sv 38.5; c&s",1
m; sv 113.0; skel,1
m; skel; c&s hyoid,1
m; sv 66.0; c&s;  + skull,1
"f; tl 1541 , t 158 +  , 9 embryos",1
"f; tl 1303 , t 205",1
f; sv 63.9; skel,1
sv 307; c&s,1
f; sv 55.0; skel,1
m?; sv 31.4; c&s,1
fe ?,1
"larvae, stage 36, sv 10.4, tl 34.6; c&s",1
m; sv 21.8; c&s,1
"m; tl 2195 , t 330",1
"f; tl 1640 , t 220 , 7 embryos",1
m; sv 70.5; c&s,1
sv 44; c&s,1
+  alc. skull; f; sv 59.6,1
m; sv 30.2; c&s,1
f; sv 44.0; skel,1
m; sv 71; skel,1
f; sv ca 43; skel,1
m; sv 58.8; c&s,1
f; sv 60.0 ; skel,1
stage 42 larvae; sv 19.5 tl 35.8; c&s,1
yg,1
f; sv 29.0; c&s,1
m; sv 19.3; c&s,1
sv 19.2; c&s,1
m; sv 35.8; c&s,1
f; sv 86.9; c&s,1
complete neotene; c&s,1
f; sv 122.0; skel,1
m; sv 89.0; skel,1
"larvae, stage 42, sv 44.3; c&s",1
"larvae, stage 38, sv 43.1; c&s",1
m; c&s; sv 53.3  +  guts,1
f; sv 54.9; c&s,1
m; sv 68.0; skel,1
m; sv 117.0; skel,1
3 day larvae,1
m; sv 83.0; c&s,1
m; sv 46.7  + ser-sec 4th right toe,1
f; sv 92.0; c&s;  + skull,1
"larva, stage 42, sv 27.1 tl 60.5; c&s",1
c&s f; sv 18.2,1
"f; tl 1897 , t 290",1
"f; tl 1702 , t 257 , 12 embryos",1
"f; tl 1589 , t 270 , ca 19 embryos",1
"larvae, stage 46, sv 18.1; c&s",1
f; sv 29.6; c&s,1
"larvae, stage 45, sv 17.6, tl 11.7; c&s",1
"larvae, stage 42, sv 12.7, tl 38.0; c&s",1
sv 25; c&s,1
m; sv 48.4; c&s,1
c&s; m; sv 34.7,1
skin only;  + skel,1
"larvae, stage 33, sv 13.4 tl 23.6; c&s",1
smashed.,1
"juv,  skull",1
m; sv 64.0; c&s,1
c&s f sv 56.7,1
"c&s f, sv 24.5",1
m; sv 38.1 ; skel,1
m; sv 56.0 ; skel,1
f;  + ser-sec,1
m; sv 115.0; c&s;  + skull,1
m; sv 53.3; skel,1
f; sv 25.2; c&s,1
sv 42; c&s,1
f; sv 40.9;  +  head c&s,1
"c&s, 20.1 mm svl",1
stage 32 larvae,1
"m; tl 1342 , t 225",1
"larvae, stage 44, sv 18.0 tl 34.0; c&s",1
"larvae, stage 45, sv 13.4 tl 15.9; c&s",1
