typestatus,reps
"""voucher of <a href=""http://arctos.database.museum/name/Neotoma albigula"">Neotoma albigula</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",78
"""voucher of <a href=""http://arctos.database.museum/name/Pandion haliaetus carolinensis"">Pandion haliaetus carolinensis</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",76
"""voucher of <a href=""http://arctos.database.museum/name/Falco sparverius sparverius"">Falco sparverius sparverius</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",76
"""voucher of <a href=""http://arctos.database.museum/name/Aphelocoma californica californica"">Aphelocoma californica californica</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",76
"""voucher of <a href=""http://arctos.database.museum/name/Gulo gulo"">Gulo gulo</a>, page 396 in <a href=""http://arctos.database.museum/publication/197"">Tomasik and Cook 2005</a>""",75
"""paratopotype of <a href=""http://arctos.database.museum/name/Bolitoglossa meliana"">Bolitoglossa meliana</a>, page 258 in <a href=""http://arctos.database.museum/publication/10000236"">Wake 1982</a>""",74
"""voucher of <a href=""http://arctos.database.museum/name/Oceanodroma leucorhoa beali"">Oceanodroma leucorhoa beali</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",74
"""voucher of <a href=""http://arctos.database.museum/name/Rallus longirostris obsoletus"">Rallus longirostris obsoletus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",74
Paratype of Odorrana daorum,73
Paratypes MS,73
"Syntype, Voucher",73
Types,72
"""voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 7 in <a href=""http://arctos.database.museum/publication/10005395"">Weckworth et al. 2011</a>""",72
"""voucher of <a href=""http://arctos.database.museum/name/Phrynosoma douglassi"">Phrynosoma douglassi</a>, page 35 in <a href=""http://arctos.database.museum/publication/10007633"">Holman 1970</a>""",71
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus maniculatus"">Peromyscus maniculatus</a> in <a href=""http://arctos.database.museum/publication/1000062"">Dragoo et al. 2006</a>; voucher of <a href=""http://arctos.database.museum/name/Peromyscus maniculatus"">Peromyscus maniculatus</a>, page 55 in <a href=""http://arctos.database.museum/publication/10006489"">Kalkvik et al. 2012</a>; voucher of <a href=""http://arctos.database.museum/name/Peromyscus maniculatus"">Peromyscus maniculatus</a>, page 227 in <a href=""http://arctos.database.museum/publication/10006640"">Gering et. al.</a>""",69
plastoholotype,69
"""voucher of <a href=""http://arctos.database.museum/name/Campylorhynchus brunneicapillus couesi"">Campylorhynchus brunneicapillus couesi</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",68
"""voucher of <a href=""http://arctos.database.museum/name/Zonotrichia leucophrys nuttalli"">Zonotrichia leucophrys nuttalli</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",68
PARATYPE OF AMBYSTOMA BARBOURI,67
"""voucher of <a href=""http://arctos.database.museum/name/Podarcis vaucheri"">Podarcis vaucheri</a>, page 256 in <a href=""http://arctos.database.museum/publication/10004311"">Busack et al. 2005</a>""",67
"""voucher of <a href=""http://arctos.database.museum/name/Microtus californicus sanctidiegi"">Microtus californicus sanctidiegi</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005436"">Conroy and Gupta 2011</a>""",67
MS Paratype(s),66
"""voucher of <a href=""http://arctos.database.museum/name/Thamnophis"">Thamnophis sp.</a> sp., page 37 in <a href=""http://arctos.database.museum/publication/10007633"">Holman 1970</a>""",66
"Lectotype, Syntype",66
"""voucher of <a href=""http://arctos.database.museum/name/Actitis macularia"">Actitis macularia</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",65
"""voucher of <a href=""http://arctos.database.museum/name/Falco mexicanus"">Falco mexicanus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",64
"""voucher of <a href=""http://arctos.database.museum/name/Poecile gambeli"">Poecile gambeli</a>, page 1066 in <a href=""http://arctos.database.museum/publication/10004776"">Spellman et al. 2007</a>""",64
"""voucher of <a href=""http://arctos.database.museum/name/Ursus americanus"">Ursus americanus</a>, page 1220 in <a href=""http://arctos.database.museum/publication/53"">Stone and Cook 2000</a>""",64
Holótipo,64
"""voucher of <a href=""http://arctos.database.museum/name/Fulica americana americana"">Fulica americana americana</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",63
Paralectotype*,63
"""paratopotype of <a href=""http://arctos.database.museum/name/Pseudoeurycea longicauda"">Pseudoeurycea longicauda</a>, page 887 in <a href=""http://arctos.database.museum/publication/10000245"">Yang 1983</a>""",63
"""voucher of <a href=""http://arctos.database.museum/name/Agelaius tricolor"">Agelaius tricolor</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",63
Paratopotype,62
"""paratype of <a href=""http://arctos.database.museum/name/Aneides flavipunctatus niger"">Aneides flavipunctatus niger</a>, page 132 in <a href=""http://arctos.database.museum/publication/10000359"">Myers 1948</a>""",62
paratype of Goniurosaurus murphyi,62
"""voucher of <a href=""http://arctos.database.museum/name/Zapus princeps"">Zapus princeps</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>""",61
MS Paratype,61
"""voucher of <a href=""http://arctos.database.museum/name/Elanus leucurus majusculus"">Elanus leucurus majusculus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",61
Paratype**,61
"Holotype, Additional Material",61
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus ?</a> ?, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",61
"""voucher of <a href=""http://arctos.database.museum/name/Petrochelidon pyrrhonota pyrrhonota"">Petrochelidon pyrrhonota pyrrhonota</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",60
"""voucher of <a href=""http://arctos.database.museum/name/Chaerephon ansorgei"">Chaerephon ansorgei</a> in <a href=""http://arctos.database.museum/publication/10007066"">Van Cakenberghe et al 1999.</a>""",60
"""voucher of <a href=""http://arctos.database.museum/name/Melospiza lincolnii alticola"">Melospiza lincolnii alticola</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",60
type?,59
"""voucher of <a href=""http://arctos.database.museum/name/Larus glaucescens"">Larus glaucescens</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",59
"""voucher of <a href=""http://arctos.database.museum/name/Agelaius phoeniceus mailliardorum"">Agelaius phoeniceus mailliardorum</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",59
paratopotype,58
"""paratype of <a href=""http://arctos.database.museum/name/Batrachoseps robustus"">Batrachoseps robustus</a>, page 1017 in <a href=""http://arctos.database.museum/publication/10001844"">Wake et al. 2002</a>""",57
"""voucher of <a href=""http://arctos.database.museum/name/Natalus"">Natalus</a>, page 117 in <a href=""http://arctos.database.museum/publication/10006291"">Tejedor 2011</a>""",57
"""voucher of <a href=""http://arctos.database.museum/name/Catharus ustulatus ustulatus"">Catharus ustulatus ustulatus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",57
"""voucher of <a href=""http://arctos.database.museum/name/Lanius ludovicianus gambeli"">Lanius ludovicianus gambeli</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",57
"""voucher of <a href=""http://arctos.database.museum/name/Uria aalge californica"">Uria aalge californica</a>, page 62 in <a href=""http://arctos.database.museum/publication/10007338"">Junya et al. 2016</a>""",56
"""voucher of <a href=""http://arctos.database.museum/name/Melospiza melodia gouldii"">Melospiza melodia gouldii</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",56
"""voucher of <a href=""http://arctos.database.museum/name/Zenaida macroura marginella"">Zenaida macroura marginella</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",56
"""voucher of <a href=""http://arctos.database.museum/name/Ochotona collaris"">Ochotona collaris</a>, page 2 in <a href=""http://arctos.database.museum/publication/10006623"">Lanier et al. 2013</a>""",56
"""voucher of <a href=""http://arctos.database.museum/name/Onychomys arenicola"">Onychomys arenicola</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",55
"""voucher of <a href=""http://arctos.database.museum/name/Lepus othus"">Lepus othus</a>, page 600 in <a href=""http://arctos.database.museum/publication/184"">Waltari et al. 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Lepus othus"">Lepus othus</a> in <a href=""http://arctos.database.museum/publication/10007489"">Cason et al. 2016</a>""",55
"""voucher of <a href=""http://arctos.database.museum/name/Pica nuttalli"">Pica nuttalli</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",55
"""voucher of <a href=""http://arctos.database.museum/name/Oligoryzomys longicaudatus"">Oligoryzomys longicaudatus</a>, page 2 in <a href=""http://arctos.database.museum/publication/10005431"">Torres-Perez et al. 2010</a>""",54
"""voucher of <a href=""http://arctos.database.museum/name/Colaptes auratus collaris"">Colaptes auratus collaris</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",54
"""basis of illustration of <a href=""http://arctos.database.museum/name/Rangifer"">Rangifer</a> in <a href=""http://arctos.database.museum/publication/10006666"">Mann et al. 2013</a>""",54
"""voucher of <a href=""http://arctos.database.museum/name/Odobenus rosmarus divergens"">Odobenus rosmarus divergens</a> in <a href=""http://arctos.database.museum/publication/10007710"">Winer et al. 2016</a>""",53
"""voucher of <a href=""http://arctos.database.museum/name/Troglodytes aedon parkmanii"">Troglodytes aedon parkmanii</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",53
"""voucher of <a href=""http://arctos.database.museum/name/Fratercula cirrhata"">Fratercula cirrhata</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",53
"""voucher of <a href=""http://arctos.database.museum/name/Sturnella neglecta"">Sturnella neglecta</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",53
"Genetic Voucher, Genetic voucher",52
"""voucher of <a href=""http://arctos.database.museum/name/Toxostoma bendirei"">Toxostoma bendirei</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",52
"""voucher of <a href=""http://arctos.database.museum/name/Loxia curvirostra"">Loxia curvirostra</a> in <a href=""http://arctos.database.museum/publication/10007651"">Parchman et al. 2006</a>""",51
"""paratopotype of <a href=""http://arctos.database.museum/name/Batrachoseps gabrieli"">Batrachoseps gabrieli</a>, page 1 in <a href=""http://arctos.database.museum/publication/10000112"">Wake 1996</a>""",51
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius"">Zapus hudsonius</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>""",51
"""voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a> in <a href=""http://arctos.database.museum/publication/10004757"">Carmichael et al. 2007</a>; voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a> in <a href=""http://arctos.database.museum/publication/10006898"">Carmichael et al. 2007</a>""",51
Paratype MS,50
"Paratype, Voucher",50
"""voucher of <a href=""http://arctos.database.museum/name/Ctenomys erikacuellarae"">Ctenomys erikacuellarae</a>, page 12 in <a href=""http://arctos.database.museum/publication/10007028"">Ctenomys from Bolivia</a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Pheucticus melanocephalus maculatus"">Pheucticus melanocephalus maculatus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Psaltriparus minimus minimus"">Psaltriparus minimus minimus</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Sorex vagrans vagrans"">Sorex vagrans vagrans</a>, page 102 in <a href=""http://arctos.database.museum/publication/10007989"">Rickart et al. 2011</a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Holochilus sciureus"">Holochilus sciureus</a>, page 14 in <a href=""http://arctos.database.museum/publication/10007127"">Rosa et al., 2005 Hantaviruses in Northern Brazil</a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Nycticorax nycticorax hoactli"">Nycticorax nycticorax hoactli</a> in <a href=""http://arctos.database.museum/publication/10007940"">Stoddard et al. 2017. </a>""",49
