waterbody,reps
"Atlantic, Mediterranean Sea, St. George Bay",886
Saline River,857
Black R.,857
Neches River,830
North Fork of Red River,826
Unknown,818
Bristol Bay,817
Brier Creek,817
1962,806
oyapock,803
1961,790
"Pacific, Verde Island Passage",780
New R.,772
"Pacific, Gulf of Carpentaria",767
Yukon-Kuskokwim Delta,767
Blue River,766
Iwayama Bay,746
Orinoco R. basin,743
West Indian Ocean,743
Eno R.,729
Republican River,716
Western North Pacific Ocean,708
"Pacific, Bohol Sea",707
Broad R.,706
"Indian, Andaman Sea",704
Verdigris River,703
Hudson River,696
Milne Bay,685
Washita River,680
Rio Ventuari - Rio Orinoco,677
Monterey Bay,674
North Toe R.,671
1967,670
Delaware River,665
mekong,662
senegal,660
South Fork New R.,659
"Pacific, China Sea",659
Ross Sea,654
Mountain Fork,647
2004,645
Little Tennessee R.,639
ogooue,633
Takutu River - Rio Branco - Rio Negro - Rio Amazonas,622
Skagerack Strait,619
Mekong Basin,618
Colorado River drainage,612
Trent R.,604
Alabama River - Mobile Bay,603
2003,603
Columbia River,594
San Joaquin R.,594
Rio Amazonas,593
Pigeon R.,589
Cane R.,586
Brazos River,582
Lake Tenkiller,582
sinnamary,578
South R.,571
Muddy Boggy Creek,568
"Pacific, Gulf of California",567
San Gabriel River,563
Missouri River,561
"Indian, Red Sea, Strait of Jubal",561
Coppename River,554
Madeira,551
Delaware R.,549
Maranon,547
2008,546
Adriatic Sea,546
itenez,546
Rock Creek,543
Hiwassee R.,542
Kansas River,542
Concho River,542
nil,541
Missouri,540
Salt Fork of Red River,535
Chattahoochee River,535
Sulu Sea,530
Altamaha River,529
1965,528
Lynches R.,520
Mill Creek,519
Sand Creek,512
Tombigbee River,512
volta,505
Black Warrior River - Tombigbee River - Mobile Bay,504
Uwharrie R.,498
Rio Grande,494
Manila Bay,485
Red Sea,483
seine,483
1963,480
First Broad R.,474
"Pacific, Sea of Japan",472
"Indian, Arabian Sea",467
Poteau River,467
North Fork New R.,466
"Indian, Arabian Sea - Gulf of Aden",463
Pailolo Channel,462
Baron Fork,462
Río Soto la Marina,459
Indo-Pacific,458
Río Marañón,457
"Indian, Bay of Bengal",456
Øvre Heimdalsvatn,456
Trinity River,455
Brazos River drainage,454
Western North Atlantic Ocean,452
Celebes Sea,449
Otter Creek,448
Potomac R.,438
Arctic Ocean,437
Unnamed Creek,436
Little R. (NC),435
bandama,434
"Pacific, Tallabassi Bay",428
kapuas,428
Locality Unknown,427
R. Tocantins basin,421
konkoure,421
Rio Sao Francisco,420
Walker Creek,417
approuague,413
Spring River,413
Augusta Creek,412
"Atlantic, Straits of Florida",409
1966,408
kouilou,408
Salt Fork of Arkansas River,406
Gulf of Aqaba,405
Coosa River,404
"Atlantic, Sargasso Sea",403
Ohio R.,402
"Pacific, Manila Bay",396
Savannah River,394
Southeast Pacific Ocean,393
James R.,392
Spring Creek,392
Smith R.,391
"Pacific, Sulu Sea, Balabac Strait",390
Clear Boggy Creek,390
White River,388
"Indian, Persian Gulf",387
Beaver River,386
South Atlantic,383
Glover River,383
Coral  Sea,381
Strait of Georgia,378
Uphapee Creek - Tallapoosa River - Alabama River,375
"Pacific, Ragay Gulf",372
Tallapoosa River,371
Mekong basin,368
Suwannee River,367
Savannah R.,366
sanaga,365
Turkey Creek,364
Lake Michigan,363
Green R.,362
Chikaskia River,361
Siparuni River,360
Mills R.,358
Tallapoosa River - Mobile Bay,353
Saginaw Bay,352
kolente,350
Río Lacantun,349
San Felipe Creek,346
Southwest Pacific Ocean,345
Sabine River,345
Guayas,345
Rio Branco - Rio Negro - Rio Amazonas,345
Chowan R.,344
Meherrin R.,344
Knob Creek,343
mana,343
Duck River - Tennessee River,343
Mississippi River,343
Devils River,342
"Pacific, Gulf of Fonseca",338
Saluda R.,338
S. Fork Solomon River,336
Persian Gulf,336
rio mamore,335
Ararat R.,335
Amazonas,333
Elkhorn River,333
Brushy Creek,333
Cumberland River,331
"Pacific, Malampaya Sound",330
Rio Nanay,327
"North Sea, Southern Bight, Zandwingebied Maasvlakte 2",326
Rio Usumacinta,326
Papetoai Bay,323
rhone,318
"Atlantic, Gulf of Mexico, Bay of Campeche",316
Cedar Creek,315
Río Beni - Río Madeira,315
"Pacific, Celebes Sea",314
Lukfata Creek,313
Watauga R.,313
South Fork of Roanoke River,312
Pigeon River,310
Academy Bay,310
White Oak R.,308
Little Pee Dee R.,308
"Pacific, China Sea, Varadero Bay",307
Lake Tahoe,305
North Platte River,305
Guadalupe River,304
Ayeyarwaddy (=Irrawaddy) R.,299
loire,299
R°o Paran†,299
Big Creek,298
Barren River - Green River - Ohio River - Mississippi River,298
Caney Creek,298
Alabama River - Mobile River,295
Smoky Hill River,295
Drainage: SACRAMENTO,293
Clear Creek,292
Swannanoa R.,291
Rio Apure,290
"Pacific, South China Sea, Ulugan Bay",290
R. Ampiyacu,286
Bismarck Sea,283
Rattlesnake Creek,283
South Yadkin R.,280
Hiwassee River - Tennessee River - Mississippi River,279
Honey Creek,277
Buffalo Creek,277
yang tse k.,276
Salt Creek,276
Second Broad R.,276
Santee River,275
orenoque,275
Tombigbee River - Mobile Bay,273
NORTH ATLANTIC,271
Sarapiqui River drainage,270
North Saskatchewan River,270
Village Creek,269
Kansas,269
Elm Creek,267
Johns R.,266
Essequibo R. basin,265
Rio Pastaza,265
Río Caroni,264
Tomales Bay,264
Nueces River,262
Formosa Strait,261
yata,261
McMurdo Sound,259
Gardner Bay,259
"Atlantic, Gulf of Guinea",259
Appomattox R.,257
Niobrara River Basin,257
2002,256
Marais des Cygnes,256
Western Pacific Ocean,255
Atlantic Ocean; Long Island Sound,254
R. Amazonas basin; Lago Grande,254
danube,254
Indian Creek,254
Blaylock Creek,253
Rupununi River,253
"Pacific, Bismarck Sea",251
Stinking Creek,251
2006,251
Crooked Creek,250
Illinois,246
"Pacific, Darvel Bay",245
Pee Dee River,244
"Pacific, Cataingan Bay",243
R. Negro basin,243
Mobile River - Gulf of Mexico,243
Neosho R.,243
me nam,242
Rio Negro,241
Tambopata River,241
Deep Fork River,241
"Pacific, Molucca Sea",241
"Pacific, Gulf of Tomini",240
Sandy Creek,239
English Channel,238
Tributary of Brushy Creek,237
Cahaba River,236
"Pacific, East China Sea",236
Elk R.,235
Clinch R.,235
Wolf Creek,233
Solomon River,233
Neosho River,232
Rio Paraguay,232
Bird Creek,231
Sacramento R.,231
Valley R.,230
comoe,230
sassandra,230
Cano del Chancho,228
West Fork R.,227
Osage,227
"Pacific, Arafura Sea",227
Congo River - Atlantic Ocean,227
Roaring R.,227
Bitter Creek,226
Mun River - Mekong River,226
"Pacific, Tayabas Bay",224
South Concho River,224
Northwest Atlantic Ocean,223
Mayo R.,221
Platte River,221
Cahaba River - Alabama River,221
S. Fork Ninnescah River,220
N. Fork Solomon River,219
"Pacific, Gulf of Panama",218
Kuribrong River - Potaro River - Essequibo River,217
zambeze,216
Cold Lake,216
"Pacific, Philippine Sea, Lagonoy Gulf",216
Tuckasegee R.,216
1960,215
Crutcho Creek,215
"Pacific, Gulf of Califonia",215
Dove Creek,214
"Pacific, China Sea, Pagapas Bay",213
mamoré,213
Lower Arkansas,213
"North Sea, Southern Bight, west of Brown Bank",212
South Fork Catawba R.,212
Frio River,212
Escambia River,211
West Cache Creek,211
Pecos River,211
Kapuas R. Basin,210
Gulf of Panama,209
"Arctic Ocean, Beaufort Sea",208
Loup Basin,206
Stevens Creek,206
mississippi,205
Lockwood Folly R.,204
R. Amazonas basin; R. Negro,203
GULF OF CALIFORNIA,203
Volta R.,202
Cow Creek,202
Black Warrior River - Tombigbee River,202
Grouse Creek,200
Sulphur River,199
Gaines Creek,199
Elk River,199
gambie,199
South Toe R.,199
1959,199
Loup,198
Lake Victoria,197
mono,196
Choctawhatchee River,195
Bahía de los Angeles,195
"Pacific, Ragay Gulf, Canmahala Bay",195
"Pacific, Galera Bay",195
Walnut Creek,194
Yellow River,194
Caney River,194
Coal Creek,193
fleuve rouge,192
Mud Creek,191
Pacific Ocean; Gulf of California,190
Choccolocco Creek - Coosa River - Alabama River,190
Beaver Creek,189
Navasota River,189
Elm Fork of Red River,188
"Pacific, Camotes Sea",188
Bay of Nhatrang,188
Tombigbee,186
Gulf of Carpentaria,186
Deep Fork,186
Lake Lansing,186
"North Sea, Southern Bight, Brown Bank",185
Sipsey Fork - Black Warrior River - Tombigbee River - Mobile Bay,184
Strait of Juan de Fuca,184
Takutu River - Rio Branco - Rio Negro,184
Pedernales River drainage,183
Sea of Okhotsk,182
"Pacific, Mansalay Bay",182
kaw,182
"Pacific, Alimango Bay",181
Sagami Nada,181
"Pacific, Basun Channel",181
Rio Manapiare - Rio Ventuari - Rio Orinoco,180
Shoal Creek - Tennessee River,180
"Pacific, Illana Bay",179
Atlantic Ocean; Sargasso Sea,179
Rio Ventuari,178
2005,178
Ouachita R.,177
Lake Huron,176
ntem,176
Alligator R.,175
Ouachita River,175
Caraquez Bay,175
"Pacific, Gulf of Papua",175
madeira,173
Greenbrier R.,173
"Pacific, Mindoro Strait",172
Balayan Bay,172
Nemaha River Basin,172
Mekong River,172
Fisher R.,171
Mullica R.,171
Pakowki Lake,170
cavally,170
Rio Grande de Santiago,169
Río Apure - Río Orinoco,168
Upper Little R.,167
Northwest Passages,167
Niobrara,167
"Pacific, Gulf of Boni",166
"Pacific, Biri Channel",165
"Pacific, Samar Sea",165
Big Sandy Creek,164
Nottoway R.,164
"North Atlantic Ocean, Gulf Of Mexico",164
Milk River,164
oueme,163
"Pacific, Philippine Sea",162
"South Atlantic Ocean, Weddell Sea",162
"Pacific, Teluk Bay",162
Ninnescah River,160
pte scarcies,160
Río Negro - Amazon River,160
Niger River,159
Batangas Bay,159
R. Magdalena basin,159
South Fork Edisto R.,158
Cashie R.,158
"Indian, Persian Gulf, Tarut Bay",158
"Pacific, Sea of Okhotsk",158
Rio Solimoes,158
"North Atlantic Ocean, Chesapeake Bay",158
Lake Thunderbird,158
"Pacific, Pujada Bay",158
"Pacific, Surigao Strait",157
"Atlantic, Mediterranean Sea  - Tyrrhenian Sea, Bay of Naples",157
Coon Creek,157
North Fork Catawba R.,157
"Atlantic, Mediterranean Sea, Gulf of Tunis",156
Bluff Creek,156
rhin,156
1948,155
San Jacinto River,155
"Pacific, Murcielagos Bay",155
Wiccacon R.,155
2009,154
Deer Creek,154
Wateree R.,152
"Pacific, Bolalo Bay",151
Ohio River,151
Takutu River,150
St. John's River,150
Fourteenmile Creek,150
Maurice R.,150
"Pacific, Kaneohe Bay",149
East China Sea,149
"Pacific, Madang Harbor",149
Friday Harbor,149
Shelter Island Sound,149
rio do para,148
Agana Bay,148
Naked Creek,147
Possession Sound,146
Hickory Creek,146
Guayaquil Gulf,146
Barnegat Bay-Little Egg Harbor Basin (misc. creek tribs),146
Cuyabeno\Aguarico\Napo\Amazon,145
Uphapee Creek - Tallapoosa River,145
cayenne,145
Río Hollin,145
Flat R.,144
"Pacific, Pailolo Channel",144
"Pacific, Suruga Bay",144
Pearl River,144
Nhatrang Bay,144
Peace River,144
1964,144
Flint River,144
Kanawha R.,143
South Alum Creek,143
saint-laurent,143
"Pacific, Patiente Strait",143
INDIAN OCEAN,142
Ocmulgee River - Altamaha River,142
asi,142
Soldier Creek,142
Bay of Fundy,142
Newport R.,142
Barents Sea,141
"Pacific, Butan Strait",141
Yanubbee Creek,141
Sipsey Fork Black Warrior River - Tombigbee River - Mobile Bay,140
Spring R.,140
Pacific Ocean; Philippine Sea,140
Little Blue River,140
Lower Platte River Basin,139
"Pacific, Coral Sea",139
Austin Lake,138
"Pacific, China Sea, Subig Bay",138
Tennessee River - Ohio River,138
Chesapeake Bay,137
Ogooué,137
Verdigris R.,137
Astotin Lake,137
Amazon River,136
Oueme River,136
Taiwan Strait,135
Wolf creek,135
Cambridge Bay,135
"Pacific, Koro Sea",135
James Bay,134
"Pacific, South China Sea, Balayan Bay",134
Sallisaw Creek,134
Essequibo River - Atlantic Ocean,133
Little Pigeon R.,132
Irish Sea,132
Delaware Bay Basin (misc. creek tribs),131
North Fork Edisto R.,131
"Indian, Gulf of Oman",131
loeme,131
"Pacific, Limbe Strait",131
Río Nangaritza,131
l.titicaca,130
Hyco R.,130
N. Fork Ninnescah River,130
kourou,130
Salish Sea,129
Rio Branco - Rio Negro,129
Blackwater,129
Uchee Creek - Chattahoochee River - Apalachicola River,129
Toguan Bay,129
Salkehatchie R.,129
"Pacific, Gulf of Davao",129
North Platte,128
Chouteau Creek,128
Belize River,128
Black River,127
Reelfoot Lake,127
garonne,127
"Pacific, Tutu Bay",126
Red Deer River,126
Dry Creek,126
26,126
guapore,126
Medicine Lodge River,126
Río Ventuari - Río Orinoco,125
Central Atlantic Ocean,125
lac victoria,125
Gulf of St. Lawrence,125
Mississippi,124
BERING SEA,124
Rio Papaloapam,124
Grand Lake,123
Aguarico,123
Buck Creek,123
White Rock Creek,123
song cai,123
Río Palmar,123
Great Egg Harbor R.,123
Red Creek,122
Clear Lake,122
Tokyo Wan,122
Edisto R.,122
"North Pacific Ocean, Alaska Canada Coastal Waters",122
Gauley R.,122
Nanticoke R.,122
"Pacific, Dupon Bay",122
"Pacific, Cebu Strait",122
Buffalo River,122
Lake Tana,121
"Pacific, Tumon Bay",121
Pacific Bering Sea,121
North Concho River,121
Río Baria,121
Strait of Malacca,120
Elk Creek,120
Andaman Sea,120
"Pacific, Sibuyan Sea",119
nyong,119
Frobisher Bay,119
Kii Suido,119
Little Yadkin R.,119
North Sargasso Sea,119
Independence Creek,119
Rio Inambari - Madre de Dios,117
Golfo de Nicoya,117
Marais des Cygnes River,117
Black Warrior,117
Duck R.,117
Ucayali,116
"Pacific, Sandakan Bay",116
Big South Fork Cumberland R.,116
"Pacific, Lagonoy Gulf, Palag Bay",116
Magician Lake,116
1949,115
l.biwa ko,115
Flint Creek,115
Tellico River - Tennessee River - Ohio River - Mississippi River,115
orthon,115
"Pacific, Moro Gulf, Illana Bay",115
18,115
"Pacific, Ndaku Bay",114
"Pacific, Visayan Sea",114
White River - Mississippi River,114
"Pacific, Batangas Bay",114
Sycamore Creek,114
Everglades,114
Maple River,114
R. Atrato basin,113
Mobile Bay,113
Lake Murray,113
Drainage: R. Orinoco,113
Pamlico R. (creek tribs),112
Shoal Creek,112
Small Creek,112
"Pacific, Caracaran Bay",111
echira,111
Longtown Creek,111
l.baikal,111
Gates Creek,111
Orinoco,111
Rio Meta,111
Río Meta - Río Orinoco,110
28,110
Grasshopper Creek,110
rio Branco - rio Negro,110
Henry Fork R.,110
"Pacific, Hinunangan Bay",110
Hiwassee River - Tennessee River,109
cestos,109
Rifle River,109
Little Saluda R.,108
3,108
Conasauga R.,108
fatala,107
Flint R.,107
"Pacific, Paluan Bay; Mindoro Strait",107
Drainage: RIO ORINOCO,107
Conecuh River - Escambia River,107
"Pacific, Molucca Sea, Powatic Harbor",107
Rio Itaya,107
Oconee River - Altamaha River,106
Horseshoe Creek,106
27,106
Ocoee River - Tennessee River,106
"Pacific, Tifu Bay",106
Lembeh Strait,106
Takutu River - rio Branco - rio Negro,106
Snake Creek,106
"Pacific, Balayan Bay",106
"Pacific, Masamat Bay",105
Scuppernong R.,105
"Pacific, Malampaya Sound; Endeavor Strait",105
Hay River,105
"Pacific, South China Sea, Linapacan Strait",105
Cottonwood Creek,105
Galveston Bay,105
Essequibo R. basin; Essequibo R.,104
rio la plata,104
Binhchang Bay (n. shore),104
Ban Aangtong Bay,104
Albemarle Sound Basin (misc. creek tribs),103
Río Mawarinuma,103
Rio Panuco,103
1958,102
Lick Creek,102
Gulf of Nicoya,102
NE Chukchi Sea,102
North Pacific*,102
Quebrada Yaguas Yacu,102
Little Arkansas River,101
South Platte River,101
Goose Creek,101
R. Orinoco,101
rabi,101
16,101
Yashoo Creek,101
Tributary of Brier Creek,100
"Pacific, Graciosa Bay",100
Landa Lake,100
Santee R.,100
Drainage: RIO PARANA,100
Zaire (Congo) R. Basin; Zaire (Congo) R.,100
James,99
Orinoco R. basin; R. Orinoco,99
East Siberian Sea,99
Lake Nokoue,99
1953,99
Crow Creek - Tennessee River,99
Mobile Bay - Gulf of Mexico,99
Rara Lake,99
"Pacific, South China Sea, Tilig Bay",99
Ngermiich Bay,98
East Cache Creek,98
Gar Creek,98
"North Atlantic Ocean, Caribbean Sea",98
Great South Bay,98
Arctic,98
Bear Creek,98
Pacific Ocean; Philippine Sea; Pago Bay,98
Drainage: MISSISSIPPI,98
Orinoco R. basin; R. Apure,98
Bay of Whales,97
Gulf of Mexico - North Atlantic Ocean,97
Reddies R.,97
Rupununi River - Essequibo Rover,97
Saugahatchee Creek - Tallapoosa River - Alabama River,96
South Platte,96
Little Brazos River,96
Carter Creek,96
"Pacific, Busin Harbor",96
San Quintin Bay,96
"Pacific, South China Sea, San Bernardino Strait; San Miguel Bay",96
Pennington Creek,96
Alabama,96
Drainage: Salween,96
Moehlman's Slough,96
Embarras River,96
San Marcos River,96
Drainage: Columbia R.,95
Unnamed Tributary of Crutcho Creek,95
Tomahawk Creek,94
Buffalo R.,94
Pryor Creek,94
Yaguas Yacu,94
San Lorenzo R.,93
Trib. to N. Fork Black Vermillion River,93
Ocoee River - Tennessee River - Ohio River - Mississippi River,93
Igarape do Mai Joana,93
South Fork Little R.,93
Niobrara River,93
11,93
Congo River,93
Mahakam Basin,93
Davis Creek,92
Grand River,92
Norwegian Sea,92
Gulf of Maine,92
Chipola River - Apalachicola River,92
Snow Creek,91
Four Mile Creek,91
Bread Creek,91
comte,90
gange,90
"Pacific, Philippine Sea, Apra Bay",90
San Diego Bay,90
Cruz Bay,90
Conasauga River - Coosa River - Alabama River,90
Reedy R.,90
"Indian, Timor Sea",89
Brazos R.,89
"Río Portuguesa, Río Orinoco",89
Durban Bay,89
Saline R.,89
Saint Lawrence River,88
Queen Maud Gulf,88
"Pacific, Gulf of Alaska",88
Buzzard Creek,88
Lélama,88
Golfo de California,88
Delaware Creek,88
Río Caroní - Río Orinoco,87
Lower Kananaskis Lake,87
Rush Lake,87
South Lake,87
Bahia San Lucas,87
Cypress Creek,87
Des Plaines,87
Mitchell R.,87
Bush R.,86
Lost Creek,86
R. Cassiquiare basin,86
Demerara R. basin,86
Río Madeira - Río Amazonas,86
"Pacific, Capulaan Bay",86
South Canadian River,86
Cheoah R.,86
14,86
Sibun River,85
Willow Creek,85
"Atlantic, Caribbean Sea, Pirates Bay",85
"Pacific, South China Sea, Sablayan Bay",85
Upper Pierre Greys Lake,85
Ocmulgee River,85
"Pacific, Suluwesi Sea, Sibuko Bay",85
"Indian, Red Sea, Gulf of Suez",85
Illinois River - Mississippi River,85
Burro Burro/Essequibo River,84
"Pacific, Lingayan Gulf",84
Jacob Fork R.,84
Rio Balsas,84
2001,84
"Atlantic, Caribbean Sea, Man-of-War Bay",84
araguari,84
R. AMPIYACU,84
"Pacific, Buton Strait",84
Silver Creek,83
CANO DEL CHANCHO,83
Magdalena Bay,83
"Pacific, Simpson Harbor",83
"Pacific, Marchesa Bay",83
1950,83
"Pacific, Bismarck Sea, Nagada Harbour",83
Duck River,83
Prairie Dog Fork of Red River,83
Tuye Cano,83
Arkansas,83
Río Casiquiare - Amazon River,83
Potaro River - Essequibo River,83
Caño Igues - Río Portuguesa,83
Río Paragua - Río Caroní - Río Orinoco,83
Osage River,83
"Pacific, Matnog Bay",82
Salt Fork Arkansas River,82
Verdigris,82
Santa Barbara Channel,82
Salween Basin,82
Siegert's Oxbow,82
Irrawaddy Drainage,81
Paint Rock River - Tennessee River - Mississippi River,81
1952,81
1995,81
Tributary of Gaines Creek,81
"Atlantic, Caribbean Sea, Caracas Bay",81
"Pacific, Sea of Okhotsk, Aniwa Bay",81
Slough,80
Mud R.,80
PUGET SOUND,80
Molawin Creek,80
Conway Bay,80
orapu,80
coastal drainage,80
9,80
"Arctic, Chukchi Sea",80
Cossatot River,79
Big Blue River,79
Braxilito Bay,79
Kiowa Creek,79
Palikulo Bay,79
"Pacific, Molucca Sea, Dodinga Bay",79
Deep Creek,79
Tagus Cove,79
Pond,79
Sabinal River,79
Rio Casiquiare,79
Pembina River,79
SE Bering Sea,79
Harpeth R.,78
Prairie Dog Creek,78
Sandy R.,78
Gulf of Manaar,78
Puerto Rico Minor Coastal (misc. creek tribs),78
Lower Little R.,78
Choctaw Creek,78
Tombigbee River - Mobile River,78
corubal,78
2000,78
Río Negro - Río Amazonas,77
"Pacific, Sulu Sea, Panay Gulf",77
jong,77
Gulf of Saint Lawrence,77
"Pacific, Sulu Sea, Wreck Bay",77
rokel,77
Choctawhatchee,76
South Fork Mayo R.,76
Caddo Creek,76
Rio Napo (R. Amazonas Dr.),76
White R.,76
Rio Inambari - Rio Araza - Madre de Dios,76
Pacific Ocean; Philippine Sea; Bile Bay,76
Spavinaw Creek,76
Sweetwater Creek,76
Blackwater R.,76
Rio Mucuri,76
"Pacific, Puget Sound",75
R. Negro,75
"Indian, Strait of Malacca",75
vouri,75
Lake Naivasha,75
Panama Bay,75
Christina River - Delaware River - Delaware Bay,75
Lake Erie,74
13,74
Hackensack R.,74
Cullasaja R.,74
Wister Lake,74
"Pacific, Bohol Sea, Iligan Bay",74
Pea River - Choctawhatchee River,74
Cuyuni River,74
Gull Lake,74
Orinoco R. basin; R. Atabapo,74
17,74
Medina River,73
Río Molino,73
LIttle Uchee Creek - Chattahoochee River - Apalachicola River,73
Coyote Creek,73
Ballard Creek,73
Gorge Creek,73
Pine Creek,73
Middle Loup River,73
Dave Blue Creek,73
Half Moon Bay,73
Susquehanna R.,72
Colville River,72
po,72
Lower Arkansas River,72
"Pacific, Tanon Strait",72
Kissimmee R.,72
Dja River - Congo River,72
Cook Inlet,72
"Pacific, Ragay Gulf, Ragay Bay",72
Kuyuwini River,72
Yashau Creek,72
Rio San Francisco,72
Pinto Creek,72
"Pacific, Buang Bay",72
pra,72
"Pacific, Pitt Passage",71
Rio Uruguay,71
Braithwaite Bay,71
Koro Sea,71
Oconee River,71
West Fork Little Kanawha R.,71
b.de delaware,71
St. Mary's River,71
Eastern Bering Sea,71
"Pacific, Philippine Sea, Balugdn Bay",71
Ford Lake,71
Irrawaddy drainage,71
"Pacific, South China Sea, Nasugbu Bay",70
Ntem R. Basin; Ntem R.,70
Perdido River,70
"Pacific, Macassar Strait",70
29,70
Mekong R. basin,70
Lightning Creek,70
Oakmulgee Creek - Cahaba River - Alabama River,70
Rio Portuguesa,70
House Creek,70
Aegean Sea,70
Salween drainage,69
"Pacific, Jiquilisco Bay",69
Banda Sea,69
15,69
Peach Creek,69
Wakomao Lake,69
"Pacific, Banda Sea, Piru Bay",69
"Indian, Red Sea, Melita Bay",69
"North Atlantic Ocean, Saint Lawrence River",69
North Loup River,69
Whitemud Creek,69
adour,69
North Pacolet R.,69
Lapeer County,69
Duck Creek,69
Coosawhatchie R.,68
Burke Lake,68
Spring,68
Bay of Callao,68
South Fork Roanoke R.,68
Volta R. Basin; Volta R.,68
Lake Manyara,68
Missouri R.,68
Middle Little R.,68
California Creek,68
"Pacific, Tablas Strait",67
Limbo Creek,67
Gulf of Aden,67
Inirida\Orinoco,67
Río Naranjo,67
1954,67
Chao Phraya basin,67
2010,67
Drainage: Sevier R.,67
"Pacific, Lagonoy Gulf",67
Cottonwood River,67
Walnut Bayou,67
Cache Creek,67
Tyner Creek,66
Lac Sainte Anne,66
Lake Magadi,66
"Pacific, Bolinao Bay",66
Creek,66
Chattahoochee R.,66
Traders Creek,66
Horse Creek,66
25,66
Baltic Sea,66
Tapi Basin,66
Charleston Harbor,66
Cumberland River - Ohio River - Mississippi River,66
Upper Kananaskis Lake,66
Naraini R.,66
Athabasca River,66
"South Pacific Ocean, Ross Sea",66
Bight of Biafra,65
Mattaponi R.,65
lag.ebrie,65
Fife Lake,65
Sugar Creek,65
"Pacific, Gulf of Chiriqui",65
Golfo De Panamá,65
5,65
Big Black River - Mississippi River,65
Nolichucky R.,65
10,65
Fall River,64
"Pacific, Peu Bay",64
Rocky Creek,64
Río Portuguesa - Río Apure - Río Orinoco,64
Llano River,64
"Atlantic, Black Sea",64
Drainage: Sacramento River,64
Mission Creek,64
Kuenzli Creek,64
Salem R.,64
moa,64
Post Office Bay,64
Muskeg Creek,64
Rio Matina,64
Yellow Sea,63
8,63
Hatchie R.,63
Bahia de Parita - Pacific Ocean,63
Eagle Lake,63
Black Vermillion River,63
"Pacific, Gulf of Tomini, Togian Bay",63
Arkansas River - Mississippi River,63
"Pacific, Nuarei Bay",63
Cumberland R.,63
Zaire (Congo) R. System,63
New River - Ohio River - Mississippi River,62
Drainage: Sacramento R.,62
Choctawhatchee Bay - Gulf of Mexico,62
Chiriqui Gulf,62
Hasse Lake,62
Jackson R.,62
Lake Superior,62
Iriru Pass,62
30,62
Keowee R.,62
Tarpon Bay,62
Salween R. basin,62
