sex,reps
"f; tl 1589 , t 270 , ca 19 embryos",1
must,1
"larvae, stage 30, sv 11.4 tl 24.4; c&s",1
male in breeding colors,1
not known. quality,1
m; sv 44.7; c&s,1
"larvae, stage 36, sv 10.4, tl 34.6; c&s",1
"f; tl 1650 , t 187",1
adults?,1
original data specifies #805 as female,1
"larvae;  + 1, ser-sec",1
m; sv 21.5; c&s  + skin,1
sv m; sv 56.8  +  skin   +  guts,1
m; sv 87.5; c&s;  + skull,1
156 hr larvae,1
"juv, sv 21.0; c&s",1
sv 34.3; skel,1
m; sv 26.8; c&s,1
specified. behav. context,1
m; sv 46.2; c&s,2
"c&s, 15.4 mm svl",1
"f; tl 1755 , 265 , 11 embryos",1
"larvae, stage 28, sv 27.9; c&s",1
1f + 6m,1
f; sv 48.0 ; skel,1
+ partial; skel,1
m; sv 33.3; c&s,1
"larvae, stage 33, sv 15.1 tl 32.5; c&s",1
f; sv 45.2; c&s,1
f; sv 86.83; c&s,1
f; sv 79.8 ; skel,1
7m + 3f,1
2f + 1m?,1
"larvae, stage 38, sv 11.6, tl 37.8; c&s",1
"skull , shell",1
sv 18.2; c&s  + skin,1
ser-sec ?,2
"f; larvae, stage 46, sv 26.9; c&s",2
reidentified,2
hatch,1
7 males (9.2-13.9); 7 females (11.4-16.7),1
spawning males(17)/females(6),1
femamle,1
so,1
"16.2 mm male, 16.1 mm female",1
m; sv 77.8; c&s,1
f; sv 115.0; skel,1
c&s m; sv 28.2,1
"f; tl 1862 , t 280",1
f; sv 84.2 ; skel   + hyoid; c&s,1
"female (364 mm), male (312 mm)",1
"larvae, stage 44, sv 17.4; c&s",1
"larvae, stage 35, sv 15.1 tl 37.0; c&s",1
next to female,1
"larvae, stage 41, sv 22.5; c&s",1
"larvae, stage 44, sv 23.7 tl 33.7; c&s",1
m; sv 24; c&s,1
"sv 59.8, tl 107.3; c&s;  + guts",1
"m; sv 52.2, tl 101.7, ser-sec head , hyoid;  + arm",1
f; sv 53.0; skel,1
pair seen,1
4  adults,1
1 adult?,2
+ skull + vertebrae,1
f; sv 26.50; c&s,1
f; sv 70.0 ; skel,1
result,1
m; sv 38.5; skel,1
m; c&s hyoid; skel,1
f; skel; c&s pec girdle,1
f; sv 109.0; skel,2
f; sv 44.5; c&s,2
"m; skel, shell  + soft-parts , head (wet)",1
juv. female,2
"larvae, day 15",1
"c&s f; sv 44.3  +  skin , guts",1
lots of adults,1
"larvae, stage 41, sv 44.1; c&s",1
"juv, sv 18.5; c&s",1
stage 25 larvae; sv 10.2 tl 21.7; c&s,1
f; sv 87.0; c&s;  + skull,1
sv 337; c&s,1
of nestlings.,1
pair at nest,1
"original data indicates a mix of male, female and immature specimens",1
20.7mm sl.,1
f; sv 53.5; c&s;  + skull,1
stage 44 larvae,2
"larvae, day 22",1
stage 33 larvae; sv 13.3 tl 26.5; c&s,1
07605,1
m; sv 64.5; skel,1
f; sv 91.5; skel,1
f; sv 82.0; c&s,1
"larvae, stage 36, sv 25.0 tl 56.4; c&s",1
f; sv 61.0; skel,1
m; sv 32.1; c&s,1
male.  breeding status,1
one female plumaged,1
m; sv 56.6; c&s,1
f; sv 70.0; c&s;  + skull,1
f; sv 51.5; c&s,1
"m; tl 1612 , t 277",1
"larvae, stage 32, sv 13.8 tl 30.8; c&s",1
f; sv 46.9; c&s,1
m; sv 18.8; c&s,1
"f; tl 1720 t 190, skin;  + skull",1
stage 38 larvae; sv 22.6 tl 52.8; c&s,1
m; sv 15.55; c&s,1
differences,1
male; male; male,1
f; sv 18.9; c&s;  + skin,1
c&s;  + ser-sec vert col,1
f; sv 86.9; c&s,1
"7 female,",1
seemed,1
juv  + skull,1
m; sv 104.0; skel,1
"f; tl 1303 , t 205",1
shell (partial),1
f; sv 36.0; c&s,1
f; sv 92.9; skel,1
f; sv 15.9; c&s,1
"larvae, stage 46, sv 22.6; c&s",1
f; sv 28.1; c&s,1
m; sv 28.05; c&s,1
+ ser-sec pectoral girdle,1
f; sv 22.0; c&s,1
"f;?, juv; c&s",1
f; sv 38.1; c&s,1
m; sv 35.8; c&s,1
"larvae, stage 46, sv 16.9; c&s",1
"m; tl 2195 , t 330",1
al-,1
"stage 26, sv 3.8 tl 9.2; c&s",1
undetermined,1350177
m; c&s,853
larvae,3902
eggs,501
male; male,470
?,258
data. incomplete clutch,25
"males, females",287
f; sv 28.44; c&s,1
f; skel,743
c&s m,21
skull,73
dry skin,59
sv 43,3
2 adults,30
adult,158
breeding status,56
2 fledglings,1
1 male with spawning colours,1
supplied,5
3 male,5
juvenile,86
femelle ?,112
3f + 2m,4
"juv,  skull",1
m; sv 19.6; c&s,2
juv; c&s; sv 26.5,1
juv; c&s,44
"m; skel, skull, shell",151
"skel, skull",13
m; sv 42.7; c&s,2
female?  dissected,1
skull oss.,11
m; ser-sec head,4
stage 31 larvae; sv 11.3 tl 24.1; c&s,1
+ head + maxillary + misc. parts + colon contents,1
shell;  + soft-parts,11
male and female,19
adult males,8
"2 specimens male, 1 specimens female, 1 specimens ?",1
questionable,9
sv 19.2; c&s,1
c&s m; sv 54.3   +  skin  +  guts,1
ser-sec head,7
m; sv 55.0; skel,1
f;  + ser-sec,1
"larvae, stage 44, sv 13.5 tl 15.9; c&s",1
m; sv 40.0; skel,1
f; sv 22.2; c&s  + skin,1
m; sv 65; skel,1
f; sv 33.2; c&s,1
"f; skel, shell",28
100 adults,2
pregnant female,1
to male.,1
"c&s f, sv 24.5",1
f; sv 42.7; c&s,1
f; sv 26.7; c&s,2
f; sv 52; c&s,1
m; sv 53.4; c&s,2
stage 39 larvae,2
"larvae, stage 40, sv 23.5 tl 50.5; c&s",1
skull not oss.,10
stage 43 larvae; sv 28.4 tl 67.5; c&s,1
10 adults,4
sv 47; c&s,1
m; sv 24.8; c&s,1
+ ser-sec head,24
m; sv 39; c&s,1
"larvae, stage 38, sv 43.1; c&s",1
stage i; c&s,2
pair,8
3f + 3m,5
not recorded; male,14
m; sv 40.1;  + ser-sec 4th right toe,1
m; sv 37.7; c&s,1
"female, gravid",4
sv 29.0; c&s,2
f; sv 21.4; c&s  + skin,2
f;  + c&s skull,2
adult  +  larvae,1
"c&s f, sv 34.6",1
f; sv 63.0; c&s,1
4f + 4m,2
"embryo, sv 54; c&s;  + egg",1
or fat info,1
"larvae, day 13",1
"larvae, day 16",1
larvae;  + ser-sec skull,1
m; sv 45.1; c&s,1
f; sv 70.6; skel,2
not determined.,3
male? and female?,1
tissue,1
m; sv 38; c&s,1
m; sv 71.0; skel,1
m; sv 97.0; skel,1
tail,4
"larvae; c&s, stage 36",1
f; sv 62.0 ; skel,3
f; with eggs; sv 30.6; c&s,1
"head, tail only",1
appears,6
2f + 11m,1
f; juv; sv 34.0; c&s,1
f; sv 38.3; c&s,1
"f; tl 1640 , 220 , 18 embryos",1
.,1
bursa present,1
"larvae, day 18",1
stage 33 larvae; sv 13.6 tl 27.2; c&s,1
"f; sv 94.3; skel;  + eggs , hyoid",1
f; tl 2172 + 200,1
social contact,5
two adults,4
male no tubercles developed,1
m; sv 45.7; c&s,2
m; sv 45.5; c&s,2
f; sv 98.3; skel,1
m; sv 69.8; c&s,1
number,6
1 immature,2
ripe females,1
"female , male",3
"tail, hemipenes",1
determined and noted.,5
tl 1435,1
"male , female",10
"larvae, stage 46, sv 18.1; c&s",1
"m; 1415 , 210",1
roadkill,1
m; sv 24.75; c&s,1
"f; juv, sv 23.9; c&s",1
x adults,1
"larvae; c&s, stage 34",2
fe,3
m; sv 15.8; c&s  + skin,1
"m; tl 1290 , t 220",1
m; sv 39.0; skel,1
f; sv 19.9; c&s,1
f; sv 102.5; skel,1
juv; c&s; sv 38.4,1
ser-sec,4
m; sv 52.4; c&s,1
"tl 1463 , t 216 +",1
stage 35 larvae; sv 21.6 tl 40.0; c&s,1
f; sv 25; c&s,1
sv 32; c&s,1
skin;  + skull,3
m; sv 94.0; skel,2
c&s m; sv 32.9,1
male; male ?,4
"1 male, 1 female",4
5m+5f,1
"f; with eggs, sv 51.7; c&s",1
"larvae, stage 41, sv 24.8 tl 54.7; c&s",1
"juv, sv 15.8; c&s",1
3 eggs,1
"m; sv 56.4; c&s;  + skull , skin",1
of juveniles,1
confidence in identification,1
"1 male (13.1mm sl), 1 female (15.8 mm sl)",1
5 male,1
hydrocephalus,1
c&s m; sv 26.3,1
f; sv 60.4; c&s,1
sv 24; c&s,2
m; sv 34.2; c&s,3
m; sv 96.0; c&s,1
m; sv 24.6; c&s,1
m; sv 57.8; skel,1
subadults,1
30,3
male/female female,1
f; sv 104; skel,1
bursa thick,1
stage 34 larvae; sv 19.7 tl 37.9; c&s,1
f; sv 63.5; c&s;  + skull,1
07577,1
this,2
m; sv 28.2; c&s,2
f; sv 72.9; c&s  +  skin  +  guts  +  eggs,1
f; sv 65.2; skel,1
4f + 6m,2
m; sv 95.0; skel,2
male & female,1
w. 274,1
m; sv 35.3; c&s,2
m; c&s;  + skull,1
f; sv 64.5; c&s,1
"larvae, stage 46, sv 16.4; c&s",1
tag tied to fish specifies sex is male.,1
"f; with 18 embryos, tl 1870 t 198, skin;  + skel",1
"m; tl 386, t 95; skin only;  + skel",1
imm. female,1
f; sv 51.8; c&s,1
sv 150; c&s,1
also,1
f; sv 86.0; c&s,1
d. o. r.,2
m; sv 60.7; c&s,1
f; sv 77.0 ; skel,1
"stage 53, sv 31.7; c&s",1
"larvae; c&s, stage 30",5
"larvae, stage 38, sv 24.0 tl 60.6; c&s",1
m;m,1
"c&s f, sv 37.7",1
"larvae , adult",6
sv 44,2
one immature?,1
hpf 200 hz.,1
f; sv 66.0;  + skull,1
f; sv 46; c&s,1
sv 189; c&s,1
"c&s, 14.4 mm svl",1
c&s f; sv 34.0,1
m; sv 20.8; c&s,1
sv 52; c&s,2
w. 140,1
+ hemipenes,4
"larvae, stage 38, sv 24.1 tl 57.0; c&s",1
age 86 days,3
"larvae, day 7",1
m; sv 26.0; c&s,3
m; sv 60.41; c&s,1
adult male,1
several birds,2
one adult?,1
m; sv 44.0; skel,1
"f; sv 71.5; c&s  + skin, stomach",1
f; karyotyped,1
"f; with 31 embryos, tl 1836 t 228, skin",1
f; with eggs; sv 33.2; c&s,1
m; sv 64.2; c&s,2
m; sv 51.0; c&s,1
f; sv 9.6; skel,1
equally deep voices,1
2 immatures,2
male male?,1
m; c&s; sv 43.7  +  guts,1
m; sv 90.0; skel,2
f; sv 117.0; skel,1
m; sv 31.4; c&s,1
#816 - female,1
m; sv 80.0; c&s;  + skull,1
m; sv 42.9; c&s,1
f; sv 37.4; c&s,2
"f; tl 1702 , t 257 , 12 embryos",1
f; sv 22.9; c&s,2
"m; juv, sv 24.5; c&s",1
"f; juv, sv 29.1; c&s",1
"f; skull, shell",1
f; sv 54.4; c&s,1
tuberculate males;eggs,1
on tag,1
m; sv 30.5;  + ser-sec 4th right toe,1
"m; skel, h,s, feet, hyoid; c&s",1
according,1
4f + 7m,2
f; shell +,3
"m; tl 1683 , t 226",1
f; 2n,2
2pair,1
juvenile?,1
giving,1
is male. 3,1
+ ser-sec skin,1
f;(?); skel,1
"f; tl 1524 , t 202",1
f or m,1
m; sv 37.3; c&s,1
"m; juv, sv 28.9; c&s",1
males are tuberculate,1
m; sv 44.5; c&s,2
stage 31 larvae,2
mark,1
"larvae, day 3",1
it,1
alevin,1
f; sv 41.4; c&s,1
m; sv 41.7; c&s,2
larvae; back riding tads of ku 221838,1
"skull, shell;  + soft-parts",1
sv 44; c&s,1
probably ?male,2
1 juvenile,1
them,1
m; sv 55.8; c&s,2
nat.,1
"larvae, day 10",1
sv 19.7; c&s,1
tl 4-5 ft,1
11362,1
photographed specimen: male,1
m; sv 39.3; c&s,2
"m; larvae, stage 46, sv 22.0; c&s",1
"larva, stage 42, sv 27.1 tl 60.5; c&s",1
head; c&s,1
f; sv 17.3; c&s,1
pair? gen. climate,1
24 adults,1
female.,1
m; sv 56.0 ; skel,1
m; sv 91.0; c&s;  + skull,1
m; sv 60.0 ; skel,1
"larvae, stage 33, sv 13.4 tl 23.6; c&s",1
molt,1
sv 69; c&s,1
m; c&s; sv 18.6,1
"c&s, 13.5 mm svl",1
m;  + ser-sec skull,2
f; sv 57.2; c&s,1
at,1
daily,1
femalemale,1
sv 25; c&s,1
f; sv 42; c&s,2
f; sv 32.0; c&s,2
sv 45; c&s,1
sv 13.1; c&s,1
f; sv 43; c&s,1
flew,1
1m + 9f,1
"larvae, 19 days",1
w. 41,1
1m + 6f,1
m; sv 43.3; c&s,1
m; sv 28.1; c&s,1
f; sv 103.0; skel,1
"f; skel, shell  + soft-parts, head (wet)",1
"larvae, stage 43, sv 21.7 tl 50.7; c&s",1
f; sv 51.0; skel,1
original data specifies #706 as male,1
original data label specified sex as male,1
6f + 3m,1
m; c&s skull,1
2n,1
m; sv 69; skel,1
m; sv 36.18; c&s,1
one female,1
male and female morphs,1
"c&s juv f, sv 28.0",1
m; sv 65.6; c&s,1
m; sv 64.8; skel,1
f; sv 48.1; skel,1
f; sv 17.0; c&s  + skin,1
m; sv 40.4  + ser-sec 4th right toe,1
"f; juv, sv 19.7; c&s",1
f; sv 49.2; c&s,1
m; sv 29.73; c&s,1
m; sv 47.0; skel,1
indicated. gen. habitat,1
female; see er,2
males have tubercles,1
1f + 4m,1
"larvae, day 9",1
c&s; m; sv 49.3,1
prob. adult,1
one immature,1
m; sv 15.0; c&s,1
"neonates, skins",1
"larvae, gosner stage 30, sv 20.7 tl 49.5; c&s",1
"larvae, stage 42, sv 24.1 tl 54.8; c&s",1
"larvae, stage 46, sv 17.5; c&s",1
pothole,1
making,1
several mature males,1
006,1
listed,1
f; sv 40.9;  +  head c&s,1
female,2996047
female ?,3726
males,1069
"female,males",45
female | male,1195
"females,males",105
"larvae, stage 27, sv 26.4; c&s",1
m; sv 49.6; c&s,2
m; sv 22.7; c&s,2
hatchlings,46
m; tl 1997 + 277,1
f; sv 79.1 ; skel,1
f; sv 55.3; c&s,2
2,5357
one adult,18
300 adults,1
number of animals,3
ratio,6
female?,406
male? soc. contact,1
female with ripe eggs,1
[female],1696
"male , male",305
"m; skel,shell,skull",7
f; double check sex on skin if possible,1
"larvae, 22 days",1
tl 2070,1
f; sv 105.0; skel,2
birthdate,1
larva,27
original data specifies all female specimens,1
mature males,3
presumed,1
yng,4
"juvs, lot of 9",39
juv; c&s; sv 22.5,1
m; sv 33.8; c&s,1
m; c&s; sv 59.5,1
0+,3
6m + 1f,1
2f + 1m,29
m; sv 41.6; c&s,1
m; sv 64.0; c&s,1
m; sv 25.0; c&s,4
m; sv 61.0; skel,1
body c&s + skul + skin + guts,6
imm. male,2
"f; (iature), sv 29.2; c&s;  + ser-sec oviduct on r",1
75,1
probable adult,2
f; sv 70.0; skel,1
m; sv 98.0; c&s;  + skull,1
stage 36 larvae,3
m; sv 48.5; c&s,1
formerly,1
"juv, ser-sec",3
f; sv 50.3; c&s,1
sil,7
and measurements,5
mixed,12
bisexué,2
f; sv 35.9; c&s;  + guts,1
"f; skin, skel, tl 840, t 52",1
m; sv 44.2; c&s,1
"m; skull, caudal vert, skin",6
f; sv 23.6; c&s,1
8,5
"female, [male]",4
skull os.,4
f; sv 61.1; c&s,2
sv 159.1; c&s,1
m; sv 29.0; c&s,1
"larvae, stage 46, sv 19.8; c&s",1
+guts,4
15,5
m; sv 22.0; c&s,2
m; sv 78.5; c&s;  + skull,1
f; sv 24.5; c&s,1
m; skel;  + skin only,1
sv 36; c&s,2
original data lists sex as male for both specimens,1
4 male; 4 female,1
1m et 5f,2
1m,2
m; shell +,3
f; sv 56.0; c&s,1
"larvae, stage 46, sv 23.7; c&s",1
"m; skel, shell;  + soft-parts",6
egg mass,1
m; c&s; sv 55.7,1
judged from behavior,1
some adults,2
"female,females",9
to,1
spent female,1
3f + 1m,9
m; sv 43.8  + ser-sec 4th right toe,1
"f; skin , skull",11
female;;,7
stage 31 larvae; sv 10.7 tl 22.7; c&s,1
"shell,skull",1
range status,5
2m + 2f,1
m; sv 46.0; c&s,1
m; sv 70.0; c&s;  + skull,1
sv 29.5; c&s,1
m; sv 18.8; c&s;  + skin,1
m; sv 28.5; c&s,1
f; sv 30.0; c&s,2
"f; tl 1830 , t 260",1
sv 55; c&s,1
wt,7
c&s m juv,1
m; sv 32.5; c&s,1
f; sv 74.0; skel,1
1m + 3?,1
may be incorrect,1
f; sv 125; skel,1
f; sv 64.5;  + skull,1
m; sv 41.5  + sag sec 4th right toe,1
age 45 days,1
f; sv 38.5; c&s,2
"male,female?",4
3 male; 2 female,1
males 5; females 7,1
"skel, f sv 51.1",1
m; sv 59.0; c&s;  + skull,1
im.,6
sv 37.5; skel,1
f; sv 38.9; c&s,2
"skel, shell parts",1
m; tl 1620 + 343,1
177 female,1
m; sv 61.9; c&s,1
male 1,1
sv 21.3; c&s  + skin,1
cover density,2
12,9
malel,1
adultl,6
"original data specifies 2 females, 1 male.",1
2m+1f,3
m; sv 22.9; c&s,1
f; sv 40.2; c&s,1
f; sv 120.0; skel,2
m<,1
were,1
f; sv 47.9; c&s,1
"larvae, stage 35, sv 24.9 tl 56.8; c&s",1
4m+5f+3j,1
1m + 2f,4
age 68 days,1
m; skin,1
m; sv 32.75; c&s,1
f; tl 1772 + 166,1
spent male,1
parental males,1
m; sv 57.7; c&s,1
f; sv 33.3; c&s,1
m; sv 21.7; c&s,1
"larvae, stage 42, sv 44.3; c&s",1
f; sv 113.0; skel,1
"f; tl 1897 , t 290",1
available,1
stage 25 larvae; sv 9.1 tl 19.3; c&s,1
f; sv 39.53; c&s;  + eggs,1
2? adults,7
f;m,2
original data specifies sex as female for both fish.,1
sv 28; c&s,4
"f; skin, skel, tl 1970 , t 300 , karyotyped",1
"larvae, stage 45, sv 13.4 tl 15.9; c&s",1
which,3
stage 46 larvae; sv 27.8; c&s,1
f; c&s;  + skel,1
f; sv 44.0; skel,1
m; sv 47.5; c&s,2
3 immatures,1
frozen specimens both males,1
"skel,shell,skull",2
sv 32.4; skel,1
+ oviducts,1
"m; tl 1759 , t 310",1
m; sv 78.8; c&s,1
"larvae, stage 36, sv 21.3 tl 53.5; c&s",1
f; sv 45.3; c&s,1
"larvae, day 1",1
stage 25 larvae; sv 10.4 tl 21.2; c&s,1
apparent family group,1
from,1
"larvae, 235 days",1
"larvae, stage 54",1
stage 34 larvae; sv 19.1 tl 37.0; c&s,1
m; sv 23.2  + ser-sec 4th right toe,1
204 hr larvae,1
"larvae, stage 44, sv 21.5 tl 32.0; c&s",1
3 adult male,1
original data specifies a mix of male and female specimens with one immature fish as well.,1
bursa,2
f; sv 53.6; skel,1
25 adults,1
"larvae, stage 39, sv 12.8, tl 42.7; c&s",1
"larvae, day 4",1
jaws,1
clean,1
m; sv 88.0; skel,1
m; sv 98.0; skel,1
"larvae, stage 39, sv 22.5 tl 54.9; c&s",1
"larvae, stage 35, sv 17.6 tl 37.1; c&s",1
wrong,1
c&s f; sv 30.5,1
"f, prob",2
c60,1
132 tape. std.,1
m; skel;  + ser-sec head,1
m; sv 33.5  + ser-sec 4th right toe,1
m; ser-sec ?,3
juv. male,2
"+ skull , vertebrae",1
f; sv 70.2; c&s,1
strata,1
did,1
36,1
organs.,1
"f; skel, shell  + soft-parts",3
f; sv 34.2; c&s,1
f; sv 66.0; c&s;  + skull,1
f; 4 eggs,1
f; sv 88.4; c&s,1
m; sv 69.5; c&s,1
"larvae, stage 42, sv 21.7 tl 52.5; c&s",1
"larvae, day 12",1
f; sv 33; c&s,1
f; sv 35; c&s,2
producing,1
6f + 4m,1
f; sv 17.1; c&s,1
m; sv 31.0; skel,1
"larvae, stage 37, sv 23.7 tl 53.6; c&s",1
age 30 days,1
"skel, f, sv 141",1
full of eggs,1
broods,1
stage 30 larvae,1
sv 63.8; c&s,1
characteristics well.,1
"f; sv 75.6; c&s;  + skin, gut",1
m; sv 30.0; c&s,2
m; sv 36.0; c&s,1
sv 197; c&s,1
linked,1
stage 46 larvae; sv 35.3; c&s,1
m; sv 31.5; c&s,1
m; sv 42.6; skel,1
m; sv 46.70; c&s,1
imm.,1
bur. l. 10,1
"f; tl 1587 , t [96]",1
stage 40 larvae; sv 22.5 tl 43.5; c&s,1
m; sv 54.0; c&s,1
juveniles,2
sv 77.2 f; skel; c&s hyoid pectoral,1
"larvae, 247 days",1
"#800 - male, #801 - female",1
m; sv 27.5  + ser-sec 4th right toe,1
m; sv 55.3; c&s,2
m; sv 114.0; skel,1
stage 25 larvae; sv  8.2 tl  18.0; c&s,1
m; sv 55.4; skel,1
age 102 days,2
"+ hyoid , pectoral girdle",1
f; sv 80.0; c&s;  + skull,1
m; sv 64.6; c&s,1
sv 35.0; c&s,1
"skel, shell  + head , soft-parts (wet)",2
skin only;  + skel,1
"f; tl 1614 , t 200",1
stage 25 larvae; sv 10.3 tl 21.0; c&s,1
m; c&s; sv 72.3,1
3f + 7m,2
f; sv 18.2; c&s,1
m; sv 18.8; c&s  + skin,1
sv 42.35;  + c&s skull,1
alarm chips. bna,1
t03749 19.2 f,1
femalewith small eggs,1
"male, 16.8 mm sl; female, 14.0 mm sl",1
m; sv 28.6; c&s,1
sv 183; c&s,1
f; sv 27.1; c&s,1
"larvae, stage 41, sv 21.5 tl 54.1; c&s",1
"larvae, stage 40, sv 24.5 tl 57.2; c&s",1
f; sv 47.8; skel,1
f; sv 66.0 ; skel,1
f; sv 21.5; c&s,1
f; sv 27.4; c&s,1
m; sv 61.7; skel,1
"m; sv 50,c&s",1
sv 57; c&s,1
"larvae, stage 43, sv 11.7, tl 30.5; c&s",1
"m; tl 2026 , t 315",1
"larvae, stage 42, sv 22.8 tl 53.4; c&s",1
"larvae, day 21",1
m; sv 41.5; c&s,1
"m; juv, sv 19.6; c&s",1
f; sv 53.5; c&s,1
sv 34.8; c&s,1
"f; with 19 + 21 eggs, tl 1923 + 361",1
smashed.,1
"original data specifies sex as mix of male, female and immature.",1
gravid females,1
"sv 121; c&s;  + skull, vertebrae",1
female; female; male,1
m; sv 65.5; c&s;  + skull,1
"stage 40, tl 15.7, sv 7.0; c&s",1
"larvae, stage 37, sv 24.5 tl 55.5; c&s",1
"larvae, stage 44, sv 18.4 tl 29.3; c&s",1
as,2
of this bird,1
and age,1
identified,1
10f + 6m,1
f; sv 63.8; c&s,1
c&s;  + skin,3
"larvae, stage 45, sv 13.3, tl 22.5; c&s",1
f; sv 78; skel,1
albino pheasant,1
f; sv 54.9; c&s,1
sv 115; c&s,1
tree,1
m; sv 52.2; c&s,1
skel (dry),1
m; juvenile; sv 25.9; c&s,1
