typeStatus,reps
"""voucher of <a href=""http://arctos.database.museum/name/Ochotona collaris"">Ochotona collaris</a>, page 2 in <a href=""http://arctos.database.museum/publication/10006623"">Lanier et al. 2013</a>""",112
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a> in <a href=""http://arctos.database.museum/publication/10006719"">Hope et al. 2013</a>""",28
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 148 in <a href=""http://arctos.database.museum/publication/174"">Galbreath and Cook 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a> in <a href=""http://arctos.database.museum/publication/10006719"">Hope et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",44
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 959 in <a href=""http://arctos.database.museum/publication/140"">Brunhoff et al. 2003</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 148 in <a href=""http://arctos.database.museum/publication/174"">Galbreath and Cook 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Lemmus trimucronatus"">Lemmus trimucronatus</a>, page 727 in <a href=""http://arctos.database.museum/publication/134"">Fedorov et al. 2003</a>; voucher of <a href=""http://arctos.database.museum/name/Lemmus trimucronatus"">Lemmus trimucronatus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",9
"""host voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus"">Microtus longicaudus</a>, page 58 in <a href=""http://arctos.database.museum/publication/1000183"">Haukisalmi and Henttonen 2007</a>""",1
"""host voucher of <a href=""http://arctos.database.museum/name/Microtus pennsylvanicus"">Microtus pennsylvanicus</a> in <a href=""http://arctos.database.museum/publication/1000182"">Haukisalmi et al. 2004</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus macfarlani"">Microtus oeconomus macfarlani</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",33
"""voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii nebulicola"">Spermophilus parryii nebulicola</a>, page 610 in <a href=""http://arctos.database.museum/publication/185"">Eddingsaas et al. 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii"">Spermophilus parryii</a>, page 1412 in <a href=""http://arctos.database.museum/publication/10004951"">Cook et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii"">Spermophilus parryii</a>, page 1882 in <a href=""http://arctos.database.museum/publication/10005435"">Galbreath et al. 2011</a>""",7
"""paratopotype of <a href=""http://arctos.database.museum/name/Eleutherodactylus omoaensis"">Eleutherodactylus omoaensis</a>, page 155 in <a href=""http://arctos.database.museum/publication/10000156"">Wilson 1997</a>""",12
"""paratype of <a href=""http://arctos.database.museum/name/Uta ornata chiricahuae"">Uta ornata chiricahuae</a>, page 165 in <a href=""http://arctos.database.museum/publication/10000046"">Mittleman 1941</a>""",4
"""paratopotype of <a href=""http://arctos.database.museum/name/Bolitoglossa gracilis"">Bolitoglossa gracilis</a>, page 87 in <a href=""http://arctos.database.museum/publication/10000117"">Wake 1987</a>""",2
"""paratopotype of <a href=""http://arctos.database.museum/name/Nototriton guanacaste"">Nototriton guanacaste</a>, page 138 in <a href=""http://arctos.database.museum/publication/10000343"">Wake 1993</a>""",8
"""holotype of <a href=""http://arctos.database.museum/name/Thorius arboreus"">Thorius arboreus</a>, page 578 in <a href=""http://arctos.database.museum/publication/10000238"">Hanken 1994</a>""",1
"""paratype of <a href=""http://arctos.database.museum/name/Thorius magnipes"">Thorius magnipes</a>, page 326 in <a href=""http://arctos.database.museum/publication/10000004"">Wake 1998</a>""",22
"""paratopotype of <a href=""http://arctos.database.museum/name/Thorius lunaris"">Thorius lunaris</a>, page 318 in <a href=""http://arctos.database.museum/publication/10000004"">Wake 1998</a>""",25
"""voucher of <a href=""http://arctos.database.museum/name/Spilogale putorius latifrons"">Spilogale putorius latifrons</a>, page 158 in <a href=""http://arctos.database.museum/publication/10006322"">Floyd et al. 2011</a>""",12
"""voucher of <a href=""http://arctos.database.museum/name/Microtus montanus yosemite"">Microtus montanus yosemite</a>, page 1392 in <a href=""http://arctos.database.museum/publication/10006607"">McGuire 2011</a>""",15
"""voucher of <a href=""http://arctos.database.museum/name/Lynx rufus"">Lynx rufus</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005421"">Meachen-Samuels and Valkenburgh 2009</a>""",3
"""holotype of <a href=""http://arctos.database.museum/name/Aplodontia rufa grisea"">Aplodontia rufa grisea</a>, page 497 in <a href=""http://arctos.database.museum/publication/10000435"">Taylor 1916</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Amblysomus hottentotus septentrionalis"">Amblysomus hottentotus septentrionalis</a>, page 394 in <a href=""http://arctos.database.museum/publication/10006587"">Snyder et al. 2012</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Thomomys umbrinus juntae"">Thomomys umbrinus juntae</a>, page 674 in <a href=""http://arctos.database.museum/publication/10006301"">Álvarez-Castañeda 2010</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Sciurus deppei deppei"">Sciurus deppei deppei</a>, page 1393 in <a href=""http://arctos.database.museum/publication/10006607"">McGuire 2011</a>""",1
Other Secondary Type,46
Potential Type Status,2
"HOLOTYPE OF SYMPLECTES AMAUROCEPHALUS ANALOGUS, TODD, W. E. C. 1932. A NEW WEAVER-BIRD FROM CAMEROUN. PROC. BIOL. SOC. WASH., 221-222. PAGE 221, PUBLISHED 26 NOVEMBER 1932.",1
TOPOTYPE OF HYPHANTURGUS MELANOXANTHUS CABANIS,4
TOPOTYPE OF UROPSILA LEUCOGASTRA HAWKINSI MONROE,9
"HOLOTYPE OF CAPITO AURATUS ARIMAE, CHAPMAN, F. M. 1928. MUTATION IN CAPITO AURATUS. AMERICAN MUSEUM NOVITATES, 1-21. PAGE 10, PUBLISHED 16 NOVEMBER 1928.",1
SYNTYPE OF RHIPIDURA SAULI BOURNS & WORCESTER,2
"HOLOTYPE OF CELEUS INNOTATUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 5, PUBLISHED 22 JANUARY 1917.",1
TOPOTYPE OF STELGIDOPTERYX RUFICOLLIS AEQUALIS BANGS,9
"PARATYPE OF PACHYDACTYLUS BIBRONII PULITZERAE, SCHMIDT, 1933, ANN. CARNEGIE MUS., 22:6",2
"HOLOTYPE OF PRIONODACTYLUS EIGENMANNI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:316",1
THIS SPECIMEN WAS ONE OF THE TYPE SERIES BUT NOT DESIGNATED A PARATYPE.,1
"Paratype of Pomatostomus innominatus (Mathews, 1924)",3
LECTOTYPE,4
Holotype of Mazama gouazoupira sanctaemartae (Allen),1
Holotype of Sturnira tildae,1
SYNTYPES OF ANOLIS LIVIDUS,2
PARATYPE OF PLETHODON GORDONI,8
PARATYPE OF SCELOPORUS UNDULATUS VIRGATUS,3
PARATYPES OF ELEUTHERODACTYLUS RICORDII ROGERSI,5
"""holotype of <a href=""http://arctos.database.museum/name/Sorex arizonae"">Sorex arizonae</a>, page 329 in <a href=""http://arctos.database.museum/publication/10007069"">Diersing and Hoffmeister 1977</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Glaucomys sabrinus"">Glaucomys sabrinus</a>, page 1773 in <a href=""http://arctos.database.museum/publication/14"">Demboski et al. 1998</a>; voucher of <a href=""http://arctos.database.museum/name/Glaucomys sabrinus"">Glaucomys sabrinus</a>, page 284 in <a href=""http://arctos.database.museum/publication/82"">Bidlack and Cook 2001</a>""",12
type; syntype,1
Yes,9
Cotypes,7
Types,72
Holotype; Holotype; Holotype,8
"Paratype, Voucher",46
"Figured, Holotype",10
"""voucher of <a href=""http://arctos.database.museum/name/Empidonax difficilis"">Empidonax difficilis</a>, page 369 in <a href=""http://arctos.database.museum/publication/10006359"">Moore 1940</a>""",3
"""basis of illustration of <a href=""http://arctos.database.museum/name/Mammuthus"">Mammuthus</a> in <a href=""http://arctos.database.museum/publication/10006667"">Guthrie 2004</a>""",20
"""paratopotype of <a href=""http://arctos.database.museum/name/Batrachoseps incognitus"">Batrachoseps incognitus</a>, page 67 in <a href=""http://arctos.database.museum/publication/10001787"">Jockusch et al. 2001</a>""",14
"""paratopotype of <a href=""http://arctos.database.museum/name/Bolitoglossa digitigrada"">Bolitoglossa digitigrada</a>, page 3 in <a href=""http://arctos.database.museum/publication/10000153"">Wake 1982</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Spermophilus undulatus"">Spermophilus undulatus</a>, page 16 in <a href=""http://arctos.database.museum/publication/1000190"">Tinnin et al. 2002</a>""",34
"""voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus""><i>Sorex cinereus</i> Kerr, 1792</a>, page 682 in <a href=""http://arctos.database.museum/publication/10006471"">Hope et al. 2012</a>""",6
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 4354 in <a href=""http://arctos.database.museum/publication/10004461"">King et al. 2006</a>; voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 42 in <a href=""http://arctos.database.museum/publication/10004785"">Frey and Malaney 2009</a>; voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 4 in <a href=""http://arctos.database.museum/publication/10006255"">Malaney et. al. 2011</a>; voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius"">Zapus hudsonius</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Didelphis virginiana"">Didelphis virginiana</a>, page 339 in <a href=""http://arctos.database.museum/publication/1000046"">Bermudez et al. 1995</a>""",4
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 41 in <a href=""http://arctos.database.museum/publication/10004785"">Frey and Malaney 2009</a>; voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 4 in <a href=""http://arctos.database.museum/publication/10006255"">Malaney et. al. 2011</a>; voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>; symbiotype of <a href=""http://arctos.database.museum/name/Zapus hudsonius luteus"">Zapus hudsonius luteus</a>, page 1146 in <a href=""http://arctos.database.museum/publication/10004901"">Duszynski et al. 1982</a>""",1
"""symbiotype of <a href=""http://arctos.database.museum/name/Urotrichus talpoides"">Urotrichus talpoides</a>, page 277 in <a href=""http://arctos.database.museum/publication/1000011"">Duszynski and Moore 1986</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Neotoma albigula"">Neotoma albigula</a>, page 531 in <a href=""http://arctos.database.museum/publication/10004549"">Planz et al. 1996</a>""",10
"""voucher of <a href=""http://arctos.database.museum/name/Oligoryzomys longicaudatus"">Oligoryzomys longicaudatus</a>, page 2 in <a href=""http://arctos.database.museum/publication/10006332"">Palma et al. 2012</a>; voucher of <a href=""http://arctos.database.museum/name/Oligoryzomys longicaudatus"">Oligoryzomys longicaudatus</a>, page 388 in <a href=""http://arctos.database.museum/publication/10006486"">Boric-Bargetto et al. 2012</a>""",30
"""holotype of <a href=""http://arctos.database.museum/name/Sorex ornatus relictus"">Sorex ornatus relictus</a>, page 389 in <a href=""http://arctos.database.museum/publication/10000152"">Grinnell 1932</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Lepus othus"">Lepus othus</a>, page 600 in <a href=""http://arctos.database.museum/publication/184"">Waltari et al. 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Lepus othus"">Lepus othus</a> in <a href=""http://arctos.database.museum/publication/10007489"">Cason et al. 2016</a>""",55
"""host voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a> in <a href=""http://arctos.database.museum/publication/10007146"">HAUKISALMI et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a>, page 1431 in <a href=""http://arctos.database.museum/publication/10004893"">Weksler et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a> in <a href=""http://arctos.database.museum/publication/10006719"">Hope et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus miurus"">Microtus miurus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Mustela erminea""><i>Mustela erminea</i> Linnaeus, 1758</a>, page 282 in <a href=""http://arctos.database.museum/publication/35"">Russell and Tumlison 1996</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus keeni"">Peromyscus keeni</a>, page 1260 in <a href=""http://arctos.database.museum/publication/10004858"">Lucid and Cook 2004</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Odobenus rosmarus"">Odobenus rosmarus</a>, page 12 in <a href=""http://arctos.database.museum/publication/10006851"">Seymour et al. 2014</a>""",34
Paratypes or Additional Material,1
"""holotype of <a href=""http://arctos.database.museum/name/Dryobates pubescens glacialis"">Dryobates pubescens glacialis</a>, page 390 in <a href=""http://arctos.database.museum/publication/10000191"">Grinnell 1910</a>""",1
"""holotype of <a href=""http://arctos.database.museum/name/Platyplacopus kuehnei carinatus"">Platyplacopus kuehnei carinatus</a>, page 129 in <a href=""http://arctos.database.museum/publication/10000024"">Gressitt 1938</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Cuora mouhotii"">Cuora mouhotii</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004317"">Spinks and Shaffer </a>""",1
"""paratopotype of <a href=""http://arctos.database.museum/name/Pseudoeurycea longicauda"">Pseudoeurycea longicauda</a>, page 887 in <a href=""http://arctos.database.museum/publication/10000245"">Yang 1983</a>""",63
"""voucher of <a href=""http://arctos.database.museum/name/Microtus californicus constrictus"">Microtus californicus constrictus</a>, page 1 in <a href=""http://arctos.database.museum/publication/10005436"">Conroy and Gupta 2011</a>""",16
"""holotype of <a href=""http://arctos.database.museum/name/Scapanus latimanus insularis"">Scapanus latimanus insularis</a>, page 297 in <a href=""http://arctos.database.museum/publication/10000255"">Palmer 1937</a>""",1
"PARATYPE OF SPHAERODACTYLUS COPEI CATAPLEXIS, SCHWARTZ AND THOMAS, 1964, QUART. JOUR. FLORIDA ACAD. SCI., 27:236",19
"PARATYPE OF AMEIVA TAENIURA REGNATRIX, SCHWARTZ, 1967, BULL. MUS. COMP. ZOOL., 135:351",4
"PARATYPE OF SPHAERODACTYLUS COPEI PELATES, SCHWARTZ, 1975, HERPETOLOGICA, 31:8",21
"PARATYPE OF SPHAERODACTYLUS STREPTOPHORUS, THOMAS AND SCHWARTZ, 1977, ANN. CARNEGIE MUS., 46:34",10
"PARATYPE OF PLETHODON RICHMONDI, NETTING AND MITTLEMAN, 1938, ANN. CARNEGIE MUS., 27:288",76
Paratype (ms),26
"""voucher of <a href=""http://arctos.database.museum/name/Mephitis macroura"">Mephitis macroura</a>, page 176 in <a href=""http://arctos.database.museum/publication/1000004"">Dragoo et al. 2003</a>""",1
"""basis of illustration of <a href=""http://arctos.database.museum/name/Bison"">Bison</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006482"">Shapiro et al. 2004</a>""",11
"HOLOTYPE OF HYLOPHYLAX GUTTURALIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 174, PUBLISHED 2 DECEMBER 1927.",1
"HOLOTYPE OF SCHIFFORNIS TURDINUS STEINBACHI, TODD, W. E. C. 1928. FIVE NEW MANAKINS FROM SOUTH AMERICA. PROC. BIOL. SOC. WASH., 111-114. PAGE 113, PUBLISHED 29 JUNE 1928.",1
TOPOTYPE OF APALIS GRISEICEPS ARNOLDI ROBERTS,2
"HOLOTYPE OF SETOPAGIS HETERURUS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 19-82. PAGE 81, PUBLISHED 13 APRIL 1915.",1
"PARATYPE OF ELEUTHERODACTYLUS SAVAGEI, PYBURN AND LYNCH, 1981, PROC. BIOL. SOC. WASHINGTON, 94:404",9
PARALECTOTYPES,10
Paratype of Thomasomys ucucha,6
Holotype of Zygodontomys brevicauda cherriei ((Allen)),5
"Paratype of Emballonura atrata (Peters, 1874)",1
HOLOTYPE OF PAROEDURA MAINGOKA,1
PARATOPOTYPES OF CNEMIDOPHORUS SACKII INNOTATUS,1
PARATOPOTYPE OF CNEMIDOPHORUS LINEATTISSIMUS LIVIDUS,6
PARATYPE OF EURYCEA GRISEOGASTER,9
PARATYPE OF CALUMMA PELTIERORUM,4
PARATOPOTYPE OF PHYLLODACTYLUS DAVISI,2
PARATOPOTYPE OF PHYSALAEMUS CENTRALIS,2
PARATYPE OF TYLOTOTRITON SHANJING,2
PARATYPES OF PSEUDOEURYCEA LONGICAUDA,3
HOLOTYPE OF KINOSTERNON FLAVESCENS STEJNEGERI,1
HOLOTYPE OF PALUDICOLA PUSILLA,1
"""voucher of <a href=""http://arctos.database.museum/name/Turdus fuscater"">Turdus fuscater</a>, page 73 in <a href=""http://arctos.database.museum/publication/10006432"">Hardy 1966</a>""",30
"""paratype of <a href=""http://arctos.database.museum/name/Cottus hypselurus"">Cottus hypselurus</a>, page 370 in <a href=""http://arctos.database.museum/publication/10006909"">Robins and Robison 1985</a>""",2
"""paratype of <a href=""http://arctos.database.museum/name/Notropis mandibularis"">Notropis mandibularis</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Oligoryzomys longicaudatus"">Oligoryzomys longicaudatus</a>, page 200 in <a href=""http://arctos.database.museum/publication/1000037"">Palma et al. 2005</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Neotoma albigula""><i>Neotoma albigula</i></a>, page 969 in <a href=""http://arctos.database.museum/publication/10004475"">Longhofer and Bradley 2006</a>; voucher of <a href=""http://arctos.database.museum/name/Neotoma albigula""><i>Neotoma albigula</i></a>, page 498 in <a href=""http://arctos.database.museum/publication/10004420"">Edwards and Bradley 2002</a>; voucher of <a href=""http://arctos.database.museum/name/Neotoma albigula""><i>Neotoma albigula</i></a>, page 648 in <a href=""http://arctos.database.museum/publication/10004462"">Matocq et al. 2007</a>; voucher of <a href=""http://arctos.database.museum/name/Neotoma albigula laplataensis""><i>Neotoma albigula laplataensis</i></a>, page 278 in <a href=""http://arctos.database.museum/publication/10004391"">Edwards et al. 2001</a>""",1
Genetic Voucher,42
