continent	reps
Fork Little Pigeon River	13
Halstead Creek	2
Indico/Pacífico	1
Iwashi-gawa River(<Hiromi-gawa River<Shimanto-gawa River)	24
Japan/northwestern Pacific/Okhotsk Sea	4
Jester's Lake	5
Jim Pond Lake	7
Jintsu River system	16
Jordan river	1
Lake St. Helen	1
Little Bonpas Cr	1
Little Wildcat Creek	1
MammothSpring	1
Margaree River	8
Maruyama-gawa River	15
Matsuda-gawa River	92
Middle Fork of Malheur River	3
Mill Stream	1
Moheji river	1
Nancy Run	4
North Fiji Basin	250
North Fork of Alsea River	1
Off Muroran Port	2
Off Numazu-shi	1
Off Oga	4
Off Onahama	3
Off Otsuchi Bay	4
Off Simizu	10
Off northeast of Matsu Island, Kasasa(Marine)	24
Off west coast of Yoron Island(Marine)	192
Oresund	26
Oriental	27777
Pamelia Lake	1
Phantom Lake	2
Pierce Creek	2
Polecat Creek	10
Portage River	53
Prairie River	125
R. Grand	4
R.Nagaragawa	3
Rapid River	37
River outlet of Spring Lake	1
SE Indian Ridge	1
San Pedro River Gila - Colorado River St.	1
Sherman Creek	1
Skeeter Spring	3
Small pond with Lemma	2
South Fork Beaver Creek	6
South Fork Brouilletts Creek	4
South Fork, Vermilion River	1
Swede Creek	1
Swedish Baltic, Europe	21
Tributary Mackletree Run	10
Tributary Mill Creek	43
Tributary of Vermilion River	121
Tributary, Willow Creek	3
Unnamed tributary of Rock River	2
Vedder River	39
Wales	1
Walker Creek	15
Walker Prong	4
Western Asia	5
Whitewood creek	41
Yabegawa River mouth, Ariake Sea	2
Yamabe-ike Pond	1
Yonaha Bay	1
Yoshino-gawa River>watercourse	5
Zigzag River	27
[South Pacific]	1
stream above lake	2
the outside Tomioka Bay  Off Tomoezaki	1
watercourse (<Fukui-gawa River)	1
¡sia	192
"Madagascar, Fianarantsoa, Farafangana, Canton: Ihorombe"	2
"Madagascar, Fianarantsoa, Ihosy, à 11km au SE de la RN7, sur la route d'Ihosy à Ivohibe"	2
(<Kumo-gawa River<Kitagawauchidani-gawa River<Hiwasa-gawa River)	3
Afrika [hemland]	4
Asien [hemland]	3
Australien [osäkert]	1
Beanblossom Creek	17
Black River	303
Blacksnake Creek	1
Calumet River	5
Canyon Cr.	1
Canyon Cr. Lakes	1
Carlyle Lake	5
Cass Lake	1
Conns Creek	1
Cougar Creek	2
DesMoines River	2
Dry Bog	4
East Fork, Big Creek	1
East RIver	1
Fukura-gawa River	3
Hester Creek	3
Honeoye Creek	3
Hotel Gulch Creek	2
Indo Pacific	13
Koutsuki River	1
L. Inawashiro	1
LAKE FORK	3
Lake Le-Aqua-Na	2
Lemhi River	1
Little Kickapoo Creek	38
Little Lusk Creek	80
Little Menominee R,	3
Lois Creek	5
Longmire Springs	1
Lower Dam	1
Manose River(Estuaries)	12
Mantukungan River	6
Martin Creek	1
Middle Fork American R.	1
Mt. Fork River	5
Naka-gawa River System,  Kariya-gawa River	1
Namarona River	8
Namu Atoll	1
No data	8364
Obion River	2
Oceano Glacial Ártico	2
Océano Índico	273
Off Hitachi	3
Off Same Bay	2
Off southeast of Sakinoyama, Kataura, Kasasa(Marine)	24
Ooshima Bay (Center & Northern Area)	22
Panther and Mouse Creeks	2
Pine Lake	6
Possum Fork	3
Powell Creek	5
R. Mississippi	1
Rrdeau River	1
S.E.Pacific	10
Sage Hen Creek	8
Saimongawa River	1
Santee Lake	2
Seya-gawa River	4
Shannon River	13
Shibushi Bay	7
Sipsey Creek	1
Small inlet stream to Lake Towada	1
South Henderson Creek	1
South River	108
St. Regis River	10
Suka-gawa River	4
Sutton River	5
Timber Creek	4
Tippecanoe Lake	1
Tosa Bay	1052
Tracy Creek	7
Tributary East Verde River	3
Tributary Sweeten Creek	4
Unnamed trib Lake Cr	1
Upper Salt ForkDrainage Ditch	5
Wadell Creek	3
Wallowa River	12
Walltown Drainage ditch	19
West Fork Little River	1
West Prong Little River	33
Western Central Atlantic	1
Yoder Creek	4
Yonmonjidani-gawa River(<Sonose-gawa River)	1
Zushidani River	1
borrow pit lake	4
rivulets at top of Mount Kosciusko	4
upstream of Kamo-gawa River	5
"Madagascar, Toamasina, Toamasina Rural, A l'Ouest de Foulpointe"	2
(<Higaidani-gawa River<Yoshino-gawa River)	1
(<Shigenobu-gawa River)	9
Africa, Western Africa	1
Afrique Orientale	145
Alder Creek tributary of Sandy River	1
Asia, Asia	252
Attica River	1
Australasia	539808
Blue Mountain Lake	23
Bungo Channel	3
Chevelon Creek	2
Cloudy Creek	23
Crabtree River	18
Creek, Station 2	9
Dughi Spring	3
