basisOfRecord	reps
Coelosis biloba	3
Cynorta coxaepunctata	155
Found 6 ova	1
Freudeita cuprinola	5
GLOBEC	48270
Gladicosa gulosa	5
Itartuba pitanga	1
LiteratureRecord	140
Phycosoma altum	8
Phyllophora antarctica	4
Sample	76248
Sicarius tropicus	7
Stygnus multispinosus	1
Synotaxus itabaiana	3
Type	15
Zodariidae	10
Acallepitrix xarthotricha	8
Alpaida leucogramma	2
Chaetomorpha media	7
Cratossomus fasciatuspunctatus	1
Cyclocephala fulvipennis	68
Estola mflava	2
Freeze-dried ova, on Pin Cherry	2
Gamasomorpha	71
Hamataliwa	20
Heterachtes gratiosus	1
Heterophrynus longicornis	3
Hilipinus sp10	5
Litoporus dimona	6
Misumininae	5
Myrmecotypus	23
Neotrops?	130
Pseudosparianthis ravida	14
Sargassum granuliferum	5
Soesilarishius tabernarius	1
Spintharus flavidus	2
Thomisinae	1
Trachyderes cingulatus	1
Tyloderma hustachei	1
gen nov	1
100 specimens	4
27 specimens	13
Acallepitrix catharinae	1
Acalymma exigua	12
Adult, ex larva on Rudbeckia hirta	7
Brasilaphthona eredia	1
Chrysoprasis festiva	1
Cyclosa caroli	3
Cyrtaucheniidae	2
Detail 1	310
Diomus gertrud	1
Found few ova, 3 larvae	1
Heilipus draco	2
Hilipinus sp11	1
Mecometopus latecinctus	1
Micrathena acuta	9
Nealcidion oculatum	1
Prodysderina	1
Rhoicinus urucu	10
Saw 1	439
Stephanopoides brasiliana	1
Type:Holotype	4
11 specimens	70
82 specimens	2
Acallepitrix rozei	4
Alpaida delicata	17
Anthonomus meon	1
Attacobius uiriri	1
Capraita syncrativa	11
Coprophanaeus jasius	9
Detail 2	308
Epitrix penta	1
Eusomenes curtirostris	11
FossilRecord	18900
Goeldia	68
Hilipinus sp12	3
Hoplistonychus bondani	1
Ochyrocera hamadryas	2
Paraluederwaltia	2
Paramasius cristulatus	7
Romitia	8
Saw 2	193
Syncranaus cribum	15
Synema	12
Trachelopachys aemulatus	1
USNM	436
ethanol	4
