v_highestBiostratigraphicZone,reps
Reticulatia,8
Dicynodon,8
Paroistodus proteus,8
Blue Cliff horizon,8
Ananaspis fecunda,8
Amphoton,8
Dimorphosus,8
Protriticites variabilis,8
Kanense,8
Arasella minuta,8
TC palynozone(?),8
commune,8
MP 13-14,8
omkutchanicum,8
Afropollis kahramarensis,8
Micromphalites clydoromphalus,8
Pachydiscus awajiensis,9
Eoredlichia,9
Synoceras verrucosum,9
Shumardia pusilla,9
Occidentoschwagerina abichi,9
Iranites transcaucasicus,9
?Palaeofusulina sinensis,9
nannozone CC26,9
Bucklandi,9
Antatlasia gutta-pluviae / Sectigena,9
middle falsiovalis,9
expansa conodont zone,9
Stoyanowites dieneri,9
Acanthoplites bigoureti,9
Emanuelaspis nicolli,9
upper varcus - hermanni,9
Zone à Niortensis,9
Strophalosia irwinensis,9
pre-planorbis,9
Peltura,9
Fungochitina fungiformis - Conochitina rugata,9
Liassicus to Semicostatum,9
Frechites laqueatus,9
Libyoceras ismaelis,9
Reigitherium,9
N5-N6,9
I. woschmidti woschmidti,9
Polygnathus patulus,9
longicollis-jasmundi,9
Pseudodanubites,9
Bristolia anteros occurrence zonule (overlap unit),9
Pleurodictyum,9
Triticitea ventricosus,9
Pseudoschwagerina miharanoensis,9
LL-LN palynozone,9
Praehorridonia,9
Anopolenus henrici,9
Proboscisambon,9
Monograptus formosus,9
Adamanian,9
Monoclimas crenulata,9
varicosum,9
angulata,9
triangulatus,9
woschmidti,9
Fritzaspis Assemblage,9
Bathyurus nevadensis,9
Passendorferia,9
Palmatolepis crepida-Palmatolepis rhomboidea,9
Bredyia manflasensis,9
Globorotalia formosa formosa,9
Inoceramud costellatus,9
Cymatospira,9
Aulacostephanus euxodus,9
Choffaticeras segne total range,9
Riograndia,9
Polygnathus xylus ensensis to varcus,9
Paroecotraustes heterocostatus,9
Daptocephalus or Dicynodon Assemblage Zone,9
Arctoptychites omolojensis,9
Pa. marginifera,9
seimkanense,9
close to the Fons 4 level in age,9
Nowakia cancellata,9
Micromphalites cldyocromphalus,9
Tropidostoma - Cistecephalus Assemblage,9
Verrucosisporites polygonalis - Dictytriletes emsiensis spore zone,9
late crepida,9
C1-D,9
Hoekaspis diablensis,9
Plateau Valley beds,9
Redlichia forresti,9
Dicarinella concavata,9
Orbitolina (Mesorbitolina) minuta,9
Spiloblattina odernheimensis,9
morganense,9
Metapolygnathus communisti/upper Metapolygnathus nodosus,9
? Bolaspidella,9
Pictonia baylei Zone,9
Dokidocyathus lenaicus,9
Tompophiceras nielseni,9
Baculites grandis,9
Orellan,9
Unit 8,9
B. sp. A- C. nevegus,9
Turriculatus Zone,9
Parapopanoceras,9
Follicucullus japonicus,9
Japonites welteri beds,9
Saukiella junia,9
Monograptus perneri,9
Tsvetkovites constantis,9
Changia/Mictosaukia,9
Monograptus leintwardiensis,9
cymodoce,9
A. levis abundance zone and N. ornithoformis assemblage zone,9
Virgatosphinctes mendozanus,9
Fansycyathus lermontovae,9
Cremnoceramus waltersdorfensis waltersdorfensis–C. deformis erectus zones,9
Galar,9
MP 8 + 9,9
Ptychagnostus gibbus,265
M. cochleata,521
Asphinctites tenuiplicatus,10
Profusulinella,10
Jamesoni-Ibex,10
Tangyagraptus typicus - Diceratograptus mirus,10
Hernsteini,10
Aulacostephanus mutabilis–A. eudoxus,10
Malm zeta 3,10
Neochonetes,10
Baltoniodus cf. variabilis,10
boreale,10
Brachiopod - Merista bed,10
Rotalia- Trochammina,10
Nodibeyrichia protuberans,10
Presbynileus ibexensis,10
Deshayesites volgensis,10
Pseudophalacroma triangularis,10
Hemingfordian,10
Deshayesites weissi,10
Productus ovatus,10
Siphonodella crenulata - Siphonodella isoticha,10
Weavericeras vacaense,10
C. colonus,10
Monotis scutiformis,10
Titanites anguiformis,10
Baculites scotti/Didymoceras stevensoni,10
Orthograptus quadrimucronatus,10
NP16,10
Clarkina subcarinata,10
Clarkina transcaucasica-orientalis,10
Globigerinatella insueta/Globorotalia fohsi barisanensis,10
Radioceras evolvens,10
Prionocyclus wyomingensis,10
Ptychagnostus gibbus-Ptychagnostus punctuosus,10
Terrakea arguta,10
Terebratulina lata,10
Eodicynodon Assemblage,10
Gnathodus bilineatus - Cavusgnathus altus,10
Upper varcus,10
Amplexograptus disjunctus yangtzeensis,10
Diceratograptus mirus,10
ansatus- subterminus Fauna?,10
Hypagnostus vulgarus,10
Paracochloceras suessi,10
Dorsoplanites ilovaiskyi–Dorsoplanites maximus,10
at least partly M,10
Marsupites testudinarum,10
Capnodoce ruesti Zone of Kozur and Mostler (1994),10
Nathorstites lindstroemi,10
"Peachella brevispina occurrence zone, subunit 2",10
Hesperonomiella minor,10
Dictyoconus americanus,10
Blagdeni,10
Misellina parvicostata,10
? Elvinia,10
instrenuus-kolobus (Graptolite),10
Normalograptus extraordinarius- N. persculptus,10
Hysteroceras orbignyi Zone,10
Tardefurcata,10
Muelleritortis cochleata Zone of Kozur and Mostler (199,10
Calcistella jachenhausenensis,10
Norilagnostus quadratus-Irvingella cipita,10
Sphaeroschwagerina sphaerica-Pseudofusulina firma,10
girtyi-bilineatus,10
L. laevigata,10
Didmyograptus murchisoni,10
Middle Nothofagadites asperus,10
Titanites giganteus,10
Diplacanthograptus spiniferus,10
Pristiograptus transgrediens,10
Eugenii,10
tegulatus/junior,10
Retecoscinus zegebarti,10
acuminatus,10
"""Adiantites Zone""",10
latest crepida,10
opalinum,10
suessi,10
Decliveites crassicostatus,10
Marginotruncana pseudolinneiana Interval Zone,10
xuanhanensis,10
Globorotalia fohsi lobata,10
Ammonites stellaris Zone,10
B?,10
Oreodon beds,10
Ellipsocephalus linnarssoni,10
Ptychaspis - Prosaukia,10
ensensis - lower varcus,10
Carodnian,10
Aspidoceras caletanus,10
sagitta sagitta,10
Monograptus kazachstanensis (M. uniformis s.l.),10
Ancyrodelloides delta,266
Metapolygnathus nodosus/Metapolygnathus polygnathiformis,11
Monograptus tumescens [= incipiens],11
Florigemma,11
Calathium calcisilite,11
Rursicostatum,11
Rasenia cymodoce,11
aalensis,11
graptolites,11
Lotagnostus hedini,11
Monograptus riccartonensi,11
C. primus,11
norrisi - MN Zone 1-2,11
Bohemograptus bohemicus,11
"Cynognathus assemblage, subzone B",11
Paraglossograptus etheridgei,11
Upper hermanni- Lower falsiovalis,11
P4c-P5,11
Dorsoplanites ilovaiskii,11
Echinocinchus,11
Choffaticeras segne total range zone,11
Terebratulina bowerbanki Zone,11
Arthricocephalus-Probowmanops,11
"R. calcarata, C. plummerae, & D. asymetrica",11
Komioceras stuckenbergi,11
Proceratopyge fenghwangensis,11
Solenopleuropsis thorali,11
5b,11
tripapillatus-spicula apore zone,11
Pseudodictyomitra carpatica,11
Seynes level,11
Pseudofusulina verneuili-P. uralica,11
Redlichia nobilis-Redlichia guizhouensis,11
Neocardioceras,11
Bienvillia tetragonalis-Conophrys minutula,11
Pictonia involuta,11
Prehousia,11
convolutus,11
Paragloborilus subglobossus - Purella squamulosa,11
Echinophoria fax,11
Gamachignathus ensifer,11
Aciduscus atavus - Ptychagnostus punctuosus,11
B. bifidum-K. scaberis,11
Schellwienella burlingtoni,11
Cahabagnathus sweeti,11
Jonesites semilunatus,11
Angulaticears marmoreum,11
lower Eifelian,11
Exogyra wegeneri,11
Protrachyceras omkutchanicum,11
Pseudamplexograptus distichus,11
Colonograptus praedeubeli,11
Windhauseniceras internispinosum,11
Baculites cuneatus,11
bohemica bohemica,11
Cynognathus subzone A,11
Drepanites rutherfordi,11
Muelleritortis cochleata of Kozur and Mostler (1994),11
Pseudofusulina verneuili-uralica,11
R2,11
Hadrophyllum orbignyi,11
Xenodiscoides perplicatus,11
Posthernsteini,11
Pristerognathus Assemblage,11
Hildoceras bifrons and Haugia variabilis,11
Daguinaspis,11
Pristiograptus-ultimus,11
Late duplicta,11
Kaotaia prachina,11
Hybonotum ammonoid,11
Eotetragonites wintunius,11
Parkinsonia,11
Dynogymnium vozzhennikovae,11
Homoceras(2)-Reticuloceras(1),11
moutonianum,11
Upper hermanni,11
Tetraporobranchia haeckeli,11
Parvinodosum,11
Condont--varcus zone,11
Stropheodonta,11
Gnomohalorites cordilleranus,11
Pictonia baylei or Rasenia cymodoce Zone,11
“Blue Beds”�,11
5310m,11
Sub zone IIB of Brenner,11
Ashgill Shelly Zone 7,11
Leymeriella (Leymeriella) tardefurcata,12
Bed number 5,12
Topmost Belemnella kazimiroviensis,12
crassa,12
Triticites rossicus-T. stuckenbergi,12
Angulaticeras marmoreum,12
Neospathodus dieneri,12
Pa. trachytera to S. praesulcata,12
Monograptus sedgwickii,12
Hunanocephalus-Hsuaspis,12
late hassi,12
Zellerella furafilia,12
Baltoniodus triangularis,12
Ceratobulimina contraria,12
Haoceras xingyiense,12
Neogondella yini,12
trilobite Zone G-2,12
Blow zone N 17,12
Bathyurus sunbloodensis,12
NP9,12
spore assemblage zone MN,12
Middle Icriodontid Subzone,12
Nowakia otomari,12
Tithonica,12
sandbergi,12
Neocomites peregrinus,12
Zone No. I Lower Cretaceous,12
Undulograptus dentatus,12
Globorotalia velascoensis,12
Zone 1,12
M5b - M6,12
Polygnathus communis,12
"Delgadella anabara–Nevadella, Judomia–Uktaspis (Prouktaspis), Bergeroniellus micmacciformis–Erbiella–Laticephalus",12
Cynognathus Assemblage,12
Inoceramus uwajimensis,12
Tb,12
F-1 deposits,12
Pa. triangularis to Pa. marginifera,12
Xenocheilos spineum,12
(prob. N-O),12
CM Palynozone,12
punctata to early rhenana,12
To VI,12
Dunkeri,12
gregarius - convolutus,12
Presbynileus ibexensis - Pseudocybele nasuta,12
Monograptus ludensis Zone,12
Glossograptus hincksii,12
Pa. crepida to S. praesulcata,12
Norrisi,12
Marrolithus bureaui,12
"MP 17, between the Fons 4 and the Perriere levels",12
Paroistodus originalis,12
Escarguelites spitiensis horizon,12
Cypridea paulsgrovensis ostracod Zone,12
Psilloceras calliphylum,12
Romaniceras deverianum,12
HCIa?,12
Epiwocklumeria applanata,12
Sowerbina,12
upper Metapolygnathus nodusus,12
G1,12
Cremnoceramus waltersdorfensis waltersdorfensis,12
lower part of the T. nova Zone of Bragin (1991),12
Plethopeltis,12
Metagraulos,12
Otapiria ussuriensis,12
CP 2-3 Zone,12
Pseudosyrinx,12
Paraceratites binodosus,12
Svobodaina armoricana,12
Monoclimacis griestoniensis - Monoclimacis crenulata,12
Paramecephalus defossus,12
C. murchisoni,12
Tn 3-Pu/Tc,12
Chimaerothyris dombrowiensis,12
Holmia - Protolenus,12
Vermicular Sandstone,12
Neogondolella bulgarica,12
eifius,12
Balatinoites balatonicus,12
Shumardia zone,12
Pictonia baylei,12
Belemnella occidentalis (Md2),12
Profusulinella prisca,12
Zone N. 21,12
Lundbladispora obsoleta - Tympanicysta stoschiana Assemblage Zone,780
Phlyseogrammoceras dispansum,13
Pictonia baylei-Virgatopavlovia fittoni,13
equivalent to the avitus-dilutus zone or the base of chulus var. chulus-chulus var. nanus zone of Richardson & McGregor,13
Hildoceras bifrons,13
Metoicoceras geslinianum,13
Friasian,13
NP8,13
Notostrophia homeri,13
Sdzuyella-Aegunaspis,13
Schwagerinigormis schwagerinigormis,13
Streptognathodus virgilicus,13
"Bivalve - ""Pecten Bed""",13
Acadoparadoxides oelandicus,13
Cheiloceras Stufe - Platyclymenia Stufe,13
Tropites subbullatus,13
Parkinsoni and Zigzag to Discus,13
kitabicus,13
Phacops glaber,13
NP24,13
Zone J,13
"Acrospirifer primaevus, Hysterolites hystericus",13
Prodactylioceras davoei,13
jamieae,13
Akidograptus acuminatus,13
Metaplacenticeras subtilistriatum,13
Althapsis leachi,13
Silicarmiger italicus,13
Between the Sete and Mas Genegals levels,13
Venericardia wegeneri/Ostrea orientalis,13
Hartshorne Coal,13
Cedaria (base of upper Cedaria subzone),13
Monoclimacis crenulata,13
late postera,13
Mytiloides puebloensis,13
Lower Icriodontid Subzones,13
Monotis salinaria,13
Paltodus deltifer,13
MP 25,13
MZ8-9,13
Strenoceras niortense,13
Paravascoceras nigeriensis,13
P7 - P8,13
Acanthochitina barbata,13
Lapworthella-Tannuolina-Sinosachites,13
Rugosofusulina sp. A,13
Pokornyi,13
MN 17 level,13
Venericardia quassi,13
Normalograptus magnus,13
Prionolobus rotundatus,13
Sinosachites flabelliformis-Tannuolina zhangwentangi,13
Choffatella decipiens-Pseudocyclamina hedbergi,13
Arctohungarites kharaulakhensis,13
Neopopanoceras haugi,13
Barrancan,269
Elvina,14
Intornites oleshkoi,14
Calpionellite,14
UAZ3,14
Speetoniceras versicolor,14
Lochriea nodosa,14
Vavilovites sverdrupi,14
Blackwelderia/Drepanura,14
Didymograptus hirundo,14
hypselum,14
SBZ23,14
Goniatites deceptus,14
Kayseraspis cf. brackebuschi,14
Notopeltis orthometopa,14
Fusulinella biconica,14
Palmatolepis gigas,14
grimmensis-granulosus,14
eurekaensis,14
Lochkovian,14
Douvilleiceras mammilatum,14
Undulograptus intersitus,14
P2,14
scanicus and nilssoni,14
"Te, 4",14
Agnostus pisiformis,14
"Cycle II, III",14
Inouyops,14
nanseni,14
Chapadmalalense,14
progenitor,14
Ozarkodina snaidri–Ozarkodina crispi,14
gracilis-koenigi,14
MPL3 - 4,14
Martelites sarasini,14
Morrisiceras morrisi,14
Icriodus latericrescens latericrescens,14
sulcata,14
Triplagnostus gibbus posterus-Doryagnostus incertus,14
Strenuella,14
anchoralis-pseudosemiglaber,14
Flemingites nanus,14
Antiquatonia,14
Plebiellus latilimbatus,14
Daixina crispa-Rauserites stuckenbergi,14
E2a,14
Triticites,14
Varcus,14
Aphelognathus divergens,14
Xenoceltites variocostatus,14
Protopeneroplis ultragranulata,14
Collignoniceras praecox,14
Pygodus serra,14
Globotruncana circumnodifer,14
H?,14
Inoceramus amakusensis,14
local zone I,14
Endemoceras amblygonium,14
Hedenstroemia bosphorensis,14
Scaliognathus anchoralis,14
Monograptus ultimus,14
"Tf 2 Zone, 2",14
Bulogites zoldianus-Bulogites mojsvari,14
VVascoceras proprium/Pseudaspidoceras flexuosum total range zone,14
Siphogonuchites triangularis–Paragloborilus subglobosus,14
Lejopyge sinensis,14
Idiognathodus cancellosus,14
Benthamaspis gibberula,15
N7-N8,15
Anabarites trisulcatus–Protohertzina anabrica / Siphogonuchites triangularis–Paragloborilus subglobosus,15
early triangularis,15
Steinmanni,15
Caprinula soluni,15
Vascoceras proprium total range,15
Vascoceras birchbyi,15
micrornatus-newportensis spore zone (middle subzone),15
Parafusulina nakamigawai,15
Diplograptus bohemicus,15
Wa4,15
rhenana,15
Zygobolba erecta,15
Dalmasiceras crassicostatum,15
Albtertella-Glossopleura,15
Prionocyclus novimexicanus,15
Nummulites,15
Profusulinella apodacensis,15
Oulodus velicuspis - Plectodina robusta,15
Abichites abichi,15
Triphyllopteris Zone,15
Spirifer subcuspidata Zone,15
Cynognathus Assemblage Zone Subzone B,15
Badulesia,15
patulus-partitus,15
MP 6,15
Kainella / Evanaspis,15
spiralis,15
Montmartre level,15
partitus-costatus,15
vesiculosus,15
Epigondolella spiculata,15
Hoplitoplacenticeras vari,15
Protrachyceras reitzi,15
Cardioceras cordatum Zone,15
Plagiura-Poliella,15
Dorsetensia,15
Coniunctio aequirugosa,15
Inoceramus lingua,15
Gonioteuthis quadrata Zone,15
timorensis- rhenanus/varcus,15
Zone 14,15
Protolenus-Strenuaeva,15
Nowakia barrandei,15
Martinia adentata,15
Ns. triangriaris - Ns. homeri,15
To I,15
S. isostichia - crenulata through S. anchoralis - latus,15
MP 29,15
Terrakea concava,15
uppermost Didymograptus artus or Didymograptus murchisoni,15
disparalis,15
Paraperiomma-Poulsenia,15
"D Coral-Brachiopod Zone, D2 Coral-Brachiopod Subzone",15
Colloncuran,15
Adetognathus unicornis Conodont Zone,15
Pedavus patulus- Oneotus costatus,15
Kaolishania,15
Reticuloceras(2),15
Costosus,15
lundgreni-testis (Graptolite),15
Baltoniodus alobatus,15
C2 - S1,15
OSM E,15
Nidulites pyrijormis,15
Behrendseni (Hillebrandt),15
U.A.Z. 6-7,15
Graphoceras concavum,15
platynota,15
Proteacidites tuberculatus,271
E1c,16
Globorotalia truncatulinoides excelsa,16
Bed 7,16
trinodosus,16
Spathognathodus sulcatus,16
Obtusum,16
Zone à Concavum,16
Barrancan/Mustersan,16
Baculites clinolobatus,16
NN12-15,16
Montmartre reference level,16
regoledanus,16
candidus,16
Kuraspoides planus,16
Baylei,16
Monograptus triangulatus,16
Wocklumeria sphaeroides,16
lower and middle Nothofagidites asperus,16
Histiodella tableheadensis,16
Sandia welleri and Plicochonetes arkansanus Brachiopod Zones,16
MN 2,16
trachytera,16
Stikinoceras kerri,16
M. dubius parvus,16
eudoxus-zone,16
T. haeckeli,16
Redlichia chinensis-Kootenia gimmelfarbi,16
Ancyrognathus triangularis,16
Sumatrina annae,16
? Conaspis,16
subasperum,16
Santacrucian,16
Rauserites stuckenbergi,16
Tropidostoma Assemblage Zone,16
Cycle I - II,16
Anchignathodus typicalis,16
Spelae,16
Stictopora mutabilis,16
Paradoxides oelandicus,16
Pseudokranaus,16
P9,16
Psephosthenaspis microspinosa,16
Hesperonomia,16
Cyrtograptus murchisoni,16
lower to middle Palmatolepis crepida,16
NP 23,16
Metaplacenticeras pacificum,16
Pteracontiodus cryptodens,16
Gastrioceras hudsoni - Gastrioceras globostriatus,16
Globorotalia margaritae,16
Bed number 6,16
Erismodus quadridactylus,16
Lower subterminus Fauna,16
Coloradian,16
Jiguilites aff. formosus,16
Micromphalites clydocromphalus,16
Upper Coal Measures,16
Chuangia,16
Zone IV (Albian-Cenomanian),16
Phyllocladidites mawsonii,528
Symphysurina bulbosa,17
Idahoia,17
Brachiopod - Chonopectus Sandstone,17
Meiocris breviscula,17
Conlinoceras tarrantense,17
Kosmoceras jason,17
Sublevisoni,17
tenuiserratum,17
Crussoliseras divisum Zone,17
Goniatites gerberi,17
falcifer,17
Kockelella walliseri,17
Buchia uncitoides,17
Lagarograptus acinaces,17
cimeganus,17
Anahoplites intermedius,17
Anabarella plana - Nikatheca kengedeica,17
S2,17
Baculites obtusus,17
"C? (C begins ""within 10-20"" of top of House Lms)",17
Ptychaspis,17
binodosus,17
crenulata,17
Glyptograptus teretiusculus Zone,17
Holmia-Schmidtiellus,17
C. ruesti Zone of Kozur and Mostler (1994),17
Neoschwagerina craticulifera robusta,17
Ozarkodina delta,17
Kingena concinna,17
Schwagerina quasifusuliniformis,17
"C Zone, C2 Subzone",17
Fons 4 reference level,17
middle triangularis,17
Aspidagnostus primitivus-Aspidagnostus orientalis,17
Eofallotaspis,17
Trachyceras aonoides,17
I?,17
Zone No. III. Lower Albian,17
Lithothamnium undulatum,17
dehiscens - serotinus,17
Bonarellii,17
Yujinia,17
Aulacostephanoides mutabilis,17
Cultrijugatus Beds,17
Upper subterminus Fauna,17
middle Nothofagidites asperus,17
Leine,17
"V Zone, V3 Subzone",17
lower Lejopyge laevigata,17
Paracrochordiceras americanum,17
Uddenites schucherti,17
Spirifer pinyonensis,17
CM miospore biozone,17
Aulacostephanus euxodus to Pectinatites pectinatus,18
NN 19,18
early praesulcata,18
norrisi - MN 1-2,18
Thomasites nigeriensis,18
Linguagnostus kjerulfi-Diplagnostus qinlingensis,18
Voloshinoides murgensis,18
Triticites irregularis,18
Tetralithus trifidus,18
Ammonites portlandicus,18
Proceratopyge cryptica - Stigmatoa dilomas,18
Euloma/Niobe zone,18
upper middle varcus,18
Pseudomonoclimacis bandaletovi,18
Calciferous Sandstone Series,18
Nowakia holycera,18
Trigonocerca typica,18
"Thouasense, Variabilis",18
U.A.Z. 1-3,18
Schwageriniformis arpaensis-Triticites turkestanensis,18
Ba1,18
late falsiovalis,18
Inoceramus curvieri,18
Joint Mitnor Cave mammal assemblage-zone,18
Tapinocephalus or Pristerognathus Assemblage,18
Endothiodon Assemblage Zone,18
Athleta,18
close to the Escamps and Montmartre levels,18
Hassi s.l.,18
spinatum,18
Hindeodus changxingensis,18
Gnathodus truyolsi,18
Harpoceras serpentinum,18
Enodatum,18
dispansum,18
Anomalorthis; Histiodella sinuosa - Histiodella holodentata,18
Bonnia,18
desatoyense,18
bucklandi to semicostatum,18
Globorotalia fohsi,18
Armoricochitina nigerica,18
NP12,18
Nowakia procera,18
Shelly Zone 4,18
Palmatolepis triangularis,18
condont zones Po. costatus partitus up to Po. hemiansatus,18
Ozarkodina crispa,18
Choffaticeras segne - Choffaticeras sinaiticum,18
Czekanowskites decipiens,18
Reticulofenestra pacifica,18
Witchellia laeviuscula,18
Lower Kimmeridgian,18
Mantelliceras,18
lower Nothofagidites asperus,18
Acrospirifer pinyonensis,18
Mojsisovicsites kerri,18
humphresianum,18
Nowakia guangxiensis,18
Protriticites pseudomontiparus Obsoletes obsoletus,18
Chasicoan,18
Clarkina wangi,18
Sinopagetia jinnanensis,18
Middle to Upper  varcus,18
Barstovian,18
Pleuroceras spinatum,530
Pilula to conica,19
Eonathorstites oleshkoi,19
norrisi and MN 1-2,19
Hemitissotia turzoi,19
athleta,19
P19,19
? Bonnia - Olenellus,19
MN 2-3,19
Parapopanoceras asseretoi,19
Orbiculiforma aff. sacramentoensis,19
Erymnoceras coronatum Zone,19
MZ8,19
cristatum,19
Amoenum,19
Aenigmaticum,19
Bulimina obtusa,19
concavum,19
"MP 16, Perriere level",19
M5,19
Euphemites chubutensis - Palaeoneilo concentrica,19
Ambocoelia-Tylothyris,19
Didymoceras nebrascense,19
Malvacipollis diversus,19
Wodehouseia spinata - Aquilapollenites subtilis,19
Ultradaixina bosbytauensis,19
MP 10-11,19
Hemigfordian,19
marshi,19
probably Whiteavesi,19
Monograptus millepeda,19
Formosagnostus formosus-Blackwelderia,19
Metapolygnathus nodosus,19
"Nowakia barrandei , Nowakia elegans, Polygnathus gronbergi, and lower Polygnathus laticostatus",19
Polygnathus serotinus,19
hermanni - lower subterminus,19
Trematospira,19
Bakevellia (Maizuria) arctica,19
Mictosaukia striata-Fatocephalus,19
Iranites transcausicus,19
Ptychaspis-Tsinania,19
Montiparus montiparus,19
Crickites holzapfeli,19
Ampyx alonensis,19
Huayquerian,275
E2,275
Lapworthella tortuosa,275
Eoredlichia-Wutingaspis,531
Lejopyge calva,20
ansatus- Lower subterminus Fauna,20
Crurithyris apena,20
Istrograptus transgrediens,20
Cimodoce,20
Uquian,20
Protolenus jilocanus,20
Xichuania-Eoshengia dongqinlingia,20
Eolotagnostus decorus-Kaolishaniella,20
MP13,20
Paradoxides forchammer,20
Proparvicingula moiliformis,20
Gnathodus bilineatus Conodont Zone,20
upper hermanni - lower disparilis,20
Amorphognathus variabilis,20
Vascoceras cauvini interval,20
Permophricodothyris ovata,20
Nodibeyrichia tuberculata,20
planula-platynota,20
Monodiexodina matsubaishi,20
Palmatolepis falsiovalis-Palmatolepis transitans,20
MN 9,20
NP 20,20
Amplexograptus inuiti,20
Ushbaspis limbata,20
Cyrtograptus rigidus,20
Berdyankian,20
Juvavites magnus,20
"D Coral-Brachiopod Zone, D1 Coral-Brachiopod Subzone",20
Fusulinella stricta,20
"H Hudsonoceras Zone, H2a Hudsonoceras proteum-Homoceras smithi Zone",20
Sciponoceras,20
Asaphus raniceps,20
Conulus Zone,20
Fons 1 reference level,20
Psephosthenaspis pseudobathyrus,20
Martiniopsis woodi,20
cf. Tetragraptus approximatus,20
Archaeolithothamnium cf. batuense,20
Lower falsiovalis,20
Mortoniceras fallax,20
Bicella bicensis,20
Tomagnostella orientalis,20
Neolobites vibrayeanus interval zone,20
Anchignathodus parvus,20
tenuicostatum,788
lower varcus,1044
,2158916884
Eumorphoceras,21
Mytiloides striatoconcentricus,21
Choffaticeras sinaiticum - Thomasites rollandi,21
Glyptophiceras sinuatum,21
Amorphognathus ordovicus,21
Pseudoemiliania lacunose,21
Lower and Middle Nothofagus asperus,21
Taihungshania miqueli,21
crepida to marginifera,21
Baltograptus minutus,21
Davoei,21
Montiparus umbonoplicatus,21
Sudanomocarina sinindica,21
Rasenia cymodoce Zone,21
Zone N.12,21
Internispinosum,21
Lejopyge laevigata-Clavagnostus (Parclavagnostus) variatus,21
Mufushania-Holocephalina,21
Yabeina archaica,21
communis,21
Plesiacanthoceras wyomingense,21
Dactylioceras hoelderi,21
minor,21
micrornatus-newportensis spore biozone,21
Capnodoce zone,21
Saetograptus chimaera,21
Oryctocephalus salteri,21
Bouxwiller level,21
Psigraptus jacksoni,21
Euloma filacovi,21
"D Coral-Brachiopod Zone, D2 Subzone",21
"\""Erez Conglomerate Assemblage""",21
Ruichengaspis,21
Orthograptus vesiculosus,21
Neoschwagerina schuberti,21
Eccentricosta jerseyensis,21
Scaphites whitfieldi,21
Orthograptus spiniferus - Climacograptus pygmaeus,21
Mesolobus,21
Virgatites virgatus,21
cordatum,277
Stenotheca drepanoida,277
Pt. amorphognathodus,22
NP 18,22
Eoprotrachyceras curionii,22
Spirillicyathus tenuis,22
Base of the MN 5 level,22
Complexiopollis,22
Neogondolella timorensis,22
"C Zone, C4 Subzone",22
Baculites subanceps,22
Metapolygnathus communisti,22
Neorbitolinopsis conulus,22
perneri-opimus,22
MN7,22
Chetaites chetae,22
Miltoceras chilcaense,22
Kaimenella reticulata,22
H. helvetica & W. archaeocretacea,22
Pseudomonotis,22
Scapanorhynchus texanus,22
Daixina asiatica,22
Maladioidella,22
"UAZ5-8 of Jud, 1994",22
serotinus to patulus,22
Tomagnostus fissus / Paradoxides sacheri,22
Monograptus convolutus,22
MP 21,22
Crepicephalina,22
Pseudofusulina kraffti,22
Amphipyndax pseudoconulus,22
Isograptus,22
Zone No. II. Aptian,22
Lituigraptus convolutus,22
St. Louis,22
sciponoceras Ammonite,22
Vascoceras proprium/V. obesum,22
Lystrosaurus Assemblage,22
Geniculograptus pygmaeus,22
Coronatum,22
Pararaia tatei,278
N20r,534
Flemingites bhargavai,23
Tetragraptus akzharensis,23
Exogyra ponderosa,23
Millerella,23
Nuculana producta/Inoceramus regularis,23
Mesohimavatites columbianus,23
Rasettia magna,23
Cephalopyge notabilis,23
Hildoceratides,23
R1c - R2a,23
strigatus,23
Isograptus caduceus,23
Paraceratites trinodosus,23
"? ultimus, lower tripapillatus-spicula spore zone",23
Acrospirifera kobehana,23
Aldanaspis-Lejopyge laevigata,23
Mytiloides subhercynicus,23
Arnsbergites gracilis,23
Blacksforkian,23
Kashmirites kapila,23
Phimopollenites pannosus,23
Gredleri,23
Wordieoceras decipiens,23
Monotis ochotica,23
N17,23
early hassi,23
Chalaroschwagerina solita,23
MN 10,23
Pseudoamplexograptus distichus,23
Monograptus fragmentalis,23
"""Pinturan""",23
Zone 5,24
Transcaucasathyris araxensis,24
Pseudoglyptagnostus clavatus-Sinoproceratopyge kiangshanensis,24
Palmatolepis trachytera,24
base of the MN 5 level,24
Seussi,24
Pravitoceras sigmoidale,24
Judomia,24
macrolobatus,24
Carinaknightina baloghi,24
U.A.Z. 3–4,24
Riochican,24
Colonograptus ludensis,24
NN19,24
Lophodesella,24
Emanuelaspis teicherti,24
C4,24
Protriticites pseudomontiparus,24
Lissieu reference level,24
Faunal Zone A,24
noduliferus-bollandensis,24
Dicellograptus complexus,24
Zone 6,24
Protriticites ovatus,24
Karpinskia vagranensis,24
E2a2-beta,24
Ashgill Shelly Zone 3,24
middle praesulcata,24
Orbitolina duranddelgai,24
Priceaspis guppyi,24
Didymoceras cheyennense,24
Dhrumaites,24
Protolenus,24
Lepidolina shiraiwensis,24
Emsian,24
Protopliomerella contracta - Pseudocybele nasuta,24
R1,24
Schopeni,24
Procerites progracilis,24
Procolumbites,24
boissieri,24
Leiopyge laevigata,24
Douvilleiceras mammillatum,280
Pachydiscus ultimus,25
Didymoceras donezianum (Kg3),25
nannofossil zone PN1,25
Euflemingites romunderi,25
Silberlingeria,25
Ictidosauria,25
