v_highestBiostratigraphicZone,reps
Stiphromorphites schiicherti,1
"Zone à Bimammatum, Sous-zone à Berrense",1
MP11,1
Cynognathus Assemblage Zone,1
Brodieia gradata,1
Polygnathus hemiansatus - Polygnathus varcus,1
Zone à Variabilis,1
Vercherites undulatus,1
Cordylodus lindstromi Zone,1
Duchesnean,1
NP4,1
Conochitina hirsuta-Lagenochitina sp. A,1
Leymeriella regularis Zone,1
Polyptychites keyserlingi,1
Stoliczkaia (Lamnayella) japonica,1
Alterbidinium acutulum dinoflagellate Zone,1
Turritella infragranulata pachecoensis,1
Globoratalia margaritae,1
Beaumont seam,1
CC22b,1
Zone à Gracilis ; Sous-zone à Praecquense,1
Primocostatum,1
MP21,1
Pseudopolygnathus granulosus,1
Libycoceras afikpoensis,1
ldiognathodus medadultinus,1
Hoplitoplacenticeras vancouverense,1
Epilaugeites vogulicus,1
Orthaspidoceras orthocera,1
Ammonoid - Lower Anasibirites bed,1
Psilomya lissoni,1
Hemithlaeus kowalevskianus – Taeniolabis taoensis Biozone,1
Nerinea thompsonensis,1
"Ceratiocaris beds, Bed 3",1
L. polyseptus,1
Spirifer cultrijugatus Z.,1
Nora Member,1
atavus,1
Kosmoceras jason-Cardioceras cordatum,1
Agassiceras,1
Delawarella delawarensis,1
Grammoceras thouarsense,1
Brooki,1
cordatum and transversarium,1
Gasperian portion,1
Casamayorean,1
Zone à Tenuicostatum,1
Upper subterminus,1
Cyprina brongniarti,1
Ptychagnostus praecurrens,1
Cranocephalites borealis,1
Puercan,1
Pseudoceratium ludbrookiae,1
Bathyuriscus fimbriatus,1
Metoicoceras geslinanum,1
Opalinum–Propinquans,1
Tsinania,1
Baculites obtusus-Baculites maclearni,1
Fallotopsis,1
P21-22,1
Paratornoceras,1
Mariella (Wintonia) brazoensis,1
Clarkina longicuspidata,1
"Black Shale, Unit 12",1
Kepplerites mclearni,1
Garantiana tetragona,1
"Honey Creek, Bed # 6",1
Stenothecoides,1
"shale and limestone ""of the age of the Hamilton Group.""",1
Lepidorbitoides socialis,1
Astropotherium,1
Tropaeum bowerbanki,1
Araneograptus pulchellus,1
Olcostephanus laticosta,1
Cunningtoniceras cunningtoni,1
Beudanticeras affine,1
Oxyteuthis lahuseni,1
"spaghetti stone, MQ 19-20",1
Pseudaspidoceras salmuriense,1
Zone à Discites,1
Monodiexodina sutchanica,1
Climacograptus pygmaeus-Paraclimacograptus manitouilensis,1
Paradoxides groomi,1
Dictyonema norvegica Zone,1
Protogrammoceras nipponicum,1
Araxoceras,1
Semiformicersa fallauxi,1
14-15,1
Zaraiskites scythicus,1
Perisphinctes plicatilis-Epipeltoceras bimammatum,1
Marble Hill Beds,1
Laticephalus-Erbiell,1
Xenarthra,1
N10 to N11,1
Aspiderites virginianus,1
Meekoceras millardense,1
Cistecephalus or Daptocephalus Assemblage Zone,1
Asymmetricus Zone,1
G1?,1
Ammonites bimammalum,1
Costicardia,1
Posttornoceras contiguum,1
Neocavia depressidens,1
Protosphyraena perniciosa,1
"Tf, 1",1
Oxynotum,1
Parkinonia compressa,1
"Euxinic facies, abt 130 ft. above base",1
Paraulacosphinctes transitorius,1
Ceratites spinosus,1
Echinalosia discinia,1
Bacculites sp (weakly ribbed) - Bacculites perplexus,1
Mudstone above Grape Creek Coal,1
Sphaeroschwagerina moelleri-Pseudofusulina fecunda,1
Above Coal #4,1
Ilowaiskaya pseudoscythica,1
planktonic foraminiferal zones N8 to N9,1
Terrakea brachythaera,1
'Pleydellia fluitans',1
MP 13/14,1
MP 17,1
Macrocephalites formosus,1
Coilopoceras requienianum zone,1
"Euhoplites loricatus Zone, Dipoloceroides subdelaruei Subzone",1
Deese,1
Prionoceras vetus,1
Decipiens,1
SBZ 16,1
Nagatophyllum satoi,1
Rasenia mutabilis Zone,1
Parafusurina,1
Zone à athleta,1
Sweetognathus merrilli,1
Parkinsonia doneziana,1
Lamberticeras lamberti,1
Subbotina trinidadensis,1
Virgiana decussata,1
Oraniceras wuerttembergicum,1
Garniericeras catenulatum,1
Streptognathodus praenuntius,1
Phyllocladiscites basarginensis,1
Cyclolobus kullingi,1
Camarozonotrileteses-sextantii,1
Zhangshania,1
Watinoceras devonense,1
granti,1
Lower bilineatus Zone Faunal unit 9,1
Presumatrina schellwieni,1
Abadiella huoi / Pararaia tatei,1
Pectinatus,1
Engelmans bed,1
"""Silicified Subcarboniferous Beds.""",1
"Te, 5",1
Eodicynodon,1
NP24-NP25,1
probably between the Lissieu and Castrais levels,1
Porifera - Prismodictya prismatica colony,1
[Mammites nodosoides or Colligniceras woollgari,1
Strophalosia jimbaensis,1
Turritella chicoensis holzana,1
Danville Coal (Coal #7),1
Vavilovites compressus,1
Bignornia-Thaerodonta,1
MP19,1
Bolaspidella Assemblage,1
NP 25,1
P12,1
Portage Sandstone,1
Ozarkian,1
"""cliffwood clays""",1
Baculites mclearni and Baculites obtusus,1
Cleoniceras mangyschlakense,1
"Bed 3, Ranine section",1
Tg,1
Ophiceras,1
LeGrand,1
Polygnathus inornatus,1
Neocucullograptus kozlowskii,1
Metoicoceras swallovi,1
Waynesville Beds,1
Ostrea virgula Zone,1
Ptychagnostus gibbus - Ptychangnostus punctuosus,1
Soldium,1
Illawarra Coal Measures,1
Unit 13 or 14,1
"Unterkarbon II: Pericyclus-Stufe, Kohlenkalk hellgraue Mergelkalke",1
Stage D,1
Zugocosmoceras jason,1
Stampien,1
Unter Filurger hiebe,1
Spur Hill layer,1
Subcolumbites multiformis,1
Bellmnellocamax balsvikensis,1
Ammonoid - Goniatite Bed,1
Capricornus,1
Praeoxyteuthis pugio,1
Hunsruckschiefer,1
Mobergella-Schmidtiellus mickwitzi(?),1
Taphrognathus transatlanticus,1
bucklandi,1
P19-P20,1
Lower Chester Group,1
Middle Coal Measures of Round Green,1
Mongolosia russiensis,1
P14-P15,1
Ludwigia murhisonae,1
Rhaeticum,1
Meekoceras boreale,1
N.17 Zone,1
Brachiopod - Upper Pentamerus beds,1
Quasiendothyra communis - Quasiendothyra regularis,1
Trimarginites trimarginatus Zone?,1
Salem Limestone,1
Kashpurites fulgens,1
Ashgill Shelly zone 6,1
Nathorstites maclearni,1
Eupatagus rostratus,1
Kingites davidsonianus,1
similis-pulchra,1
Nyalamitse angustecostatus,1
phillipsi,1
lower Metapolygnathus nodosus,1
Bacculites sp. (weakly ribbed) to Baculites perplexus,1
Above Number 7 Coal,1
Actinocamax plenus,1
Laugeites groenlandicus,1
Polygnathus communis carina,1
Prionocyclus percarinatus,1
Sphenoceramus schmidti,1
Hesperorthis laurentia,1
#7 Coal,1
Monograptus riccartonensis,257
kockelianus,257
Dactylioceras commune,2
spelae,2
Micraster testudinarium zones,2
Gastrioceras cumbriense,2
Olenus wahlenbergi,2
Paroistodus horridus,2
Carolinites nevadensis,2
Paragondolella bulgarica,2
Neokoninckophyllum hamatilis,2
Calloviense,2
Xenacanthus decheni,2
Unit 26,2
Costicill,2
Triticites simplex,2
post-Solenopleuropsis,2
subrobustus,2
Bergeroniellus micmacciformis,2
Hoeninghausia nalivkini,2
Semicostatum,2
Cyrtopleurites bicrenatus,2
Neancycloceras phaleratum (Kg1),2
Kymataspis arenosa,2
Spitidiscus riccardii,2
Zelerella hidalgoensis,2
St. Charles Zone,2
Trachyceras silberlingi,2
N19-20,2
MN 7+8,2
Pardailhania hispida,2
Seymourites,2
Hollinella schreteri,2
Belemnitella quadrata,2
Burlington Bed 6,2
Upper Patagonian beds,2
Ernestokokenia,2
Early crenulata,2
"Devonian Stage, F.f.2",2
Gothograptus nassa,2
mammilatum,2
variabilis,2
"Follicucullus scholasticus Zone (Yao et al., 2001)",2
Uintacrinus,2
Meekoceras olivieri,2
annulatus-sextantii spore zone of Richardson and McGregor (1986),2
Conaspis to Prosaukia,2
Profusulinella primitiva,2
koenigi,2
Zone à Cymodoce,2
ansatus- Upper hermanni,2
Newyorkensis,2
Acutimitoceras prorsum,2
Bed number 2,2
Damesella paronai,2
Collina sp.,2
Pavlovia rotunda,2
Harpoceras falciferum to Hildoceras bifrons,2
Sonninia alsatica,2
Plicatula ferryi- Crassotrea roachensis,2
Wa0,2
Protrachyceras,2
Dicellograptus pumilis,2
Ecotone beds,2
Parabadiella,2
Prolobites delphinus,2
Eupachydiscus levyi,2
Cycle II,2
Fincella brachymetopa or Paradoxides forchhammeri equivalent,2
autissiodorensis,2
Sunnaginia imbricata,2
Cynognathus B Assemblage,2
Mobergella holsti,2
"Alsatites liassicus Zone (Zone fide P. Palmer, 1994)",2
Baculites anceps,2
Cyrtograptus perneri,2
Clarkina changxingensis-deflecta,2
Monograptus flexilis,2
Paracraspedites,2
Otohoplites auritiformis,2
Proteacidites tuberculatus Zone,2
Actinopterella,2
crosbeyi,2
Deshayesites (Kuntziella) kuntzi,2
Coal 6,2
annulatus-lindlarensis,2
Profusulinella priscoidea,2
Kyrtomisporites - Porcelispora longdonensis Zone,2
Pristiograptus parvus,2
manflasensis,2
demokidovi,2
?Metapolygnathus nodosus,2
Zone N.16,2
Ozarkodina sagitta rhenana Subzone 4,2
Arietites bucklandi Zone,2
Zellerella fusiformis,2
Devonian Stage F.2,2
Perisphinctes effrenatus,2
Palaeolenus lantenoisi,2
Pachydiscus aff. subcompressus,2
Leptosocyathus polyseptus,2
V Zone,2
Vavilovites,2
Isograptus gibberulus,2
Lenodus pseudoplanus,2
polymorphus,2
Ichangia-Neocobboldia,2
Reuscholithus reuschi,2
Volviceramus grandis,2
Tissotioides haplophyllus,2
Staurocephaus clavifrons,2
Upper VCo spore zone,2
Zone à Bifurcatus,2
upper transversarium and lower pseudocordata,2
Ponceti Zone,2
Verrucosisporites polygonalis - Dictyotrites emsiensis spore zone,2
Black Shale,2
"UC9 Biozone, a Biosubzone",2
"Stage G,1",2
Diaboloceras neumeieri,2
Taenicephalus and Saukia,2
tenuis,2
Streptognathodus firmus,2
Tukalandaspis egens,2
Hosselkus Limestone,2
Echioceras raricostatoides Zone,2
Lower E,2
Pinacites jugleri,2
Sohlipollis,2
Lithothamnium saipanense,2
Mayoan,2
Terebratulina lata Zone,2
Iranoleesia butes,2
Paradoxides sacheri-Tomagnostus fissus,2
Bed No. 14,2
Tetragraptus fruticosus,2
Gnathodus typicus,2
Flemingites beds,2
Claraia occidentalis,2
Middle Kockelella walliseri,2
latifossatus,2
Wheatleyensis,2
Irvingella major,2
Amaltheus margaritatus Zone,2
Strigoceras truelli,2
Reutterodus andinus,2
Bucklandi Zone,2
mutabilis,2
P2 (Upper Bollandian),2
Crozonaspis dujardini-Deanaspis seunesi,2
Chuangiella,2
Zone à Transversarium ; Sous-zone à Schilli,2
enodis-laevigatus,2
Periarchus,2
Offaster marsupites and Offaster pilula,2
Striatfera,2
Acanhoscaphites tridens,2
Strenoceras subfurcatum,2
Archimylacris lubnensis,2
bimammatum,2
Bed No. 9,2
Lyticoceras nodosoplicatum,2
Parapopanoceras dzeginense,2
Pitocene beds,2
Otoceras concavum,2
Craspedites subdites,2
Platynota / Guilherandense subzone,2
Cladoceramus undulatoplicatus,2
Lagenochitina ponceti - Lagenochitina deunffi,2
Menabites delawarensis,2
Verkhojania kaschirzevi,2
MFZ7-8,2
Yabeina,2
Assise 4,2
G2? (highly),2
Reticuloceras bilinguis,2
"(S. Weller, 1900, bed no. 5).",2
Alataucyathus jaroschevitschi,2
fibulatum Ammonite Subzone,2
Wetzeliella hampdenensis,2
Collingnoniceras woollgari Zone,2
feraudianus,2
Idiognathoides sinuatus,2
"NP23, NP24",2
Devonian Stage F2,2
Clarkina orientalis,2
hedenstroemi,2
A. nigra Zone,2
Triticites montiparus,2
upper cordatum and transversarium,2
ottonis,2
Stigmatoa diloma-Glyptagnostus reticulatus,2
Choctawites cumminsi,2
Pachydiscus catarinae,2
Abatomphalus mayaroensis,2
Colonograptus (?) chelmiensis,2
Dydimograptellus bifidus,2
Eoplacognathus foliaceus - Baltoplacognathus reclinatus,2
Garantiana garantiana,2
Onnia grenieri,2
Daptocephalus Assemblage,2
hemiansatus to ansatus?,2
Phacops fecundus Zone,2
MP 28/29,2
Clarkina postbitteri-dukouensis,2
Prionoceras jeranense,2
MN 4,2
Ushbaspis sp. 1,2
transition hassi- jamieae,2
Zone à Margaritatus ; Sous-zone à Gibbosus,2
"Lystrosaurus Assemblage, Procolophon subzone",2
F. lermontovae,2
Columbites,2
Hughes Creek Shale Member,2
Neodiversograptus nilssoni - Lobograptus scanicus,2
Elvina (Parahousia Zonule),2
Holmia kjerulfi,2
"Ta, 2 Zone, 2",2
"Mortoniceras inflatum Zone, Callihoplites auritus Subzone",2
Cubitostrea sellaeformis,2
Polygnathus xylus ensensis,2
Deltavjatia vjatkensis,2
semicostatum,2
Blastoid - Lower Pentremital beds,2
Subcolumbites perrinismithi,2
Inoceramus crispi,2
Primahalobia zhilnensis,2
? Tapinocephalus Assemblage,2
Echinalosia prideri,2
N14 Zone,2
Stage E,2
bidentata,2
Epigondolella mosheri,2
N5-N7,2
Desmoscaphites erdmanni,2
Jurrisac,2
Lower Burlington Chert,2
Arnioceras semicostatum/Echioceras raricostatum,2
Upper Oolite,2
Ringsteadia pseudocordata,2
Echinalosia wassi,2
Echinalosia warwicki,2
Monograptus falcarius,2
Trachyceras multituberculatum,2
Crioceratites diamantensis,2
Climacograptus normalis,2
Cedar Valley Stage,2
S. hermanni,2
Wellerites,2
demissa beds,2
Santonian,2
whiteavesi,2
Hispidodontus resimus,2
NN9,2
Monograptus sedgwicki et M. involutus Zone,2
Pseudotoites singularis,2
RC3,2
Reineckeia reissi,2
Burlington White Chert,2
Dunbarula? sp.,2
NP 24-25,2
Jurassic,2
D1/1,2
MFZ8,2
Orbitolina conica,2
Erixanium,2
Yakusirentites pentastichus,2
Atrypa waterlooensis,2
Neogestroplites haasi,2
Littleton Substage,2
N4 Zone,2
lower Epigondolella bidentata,2
Baculites eliasi,2
Elvinia (Parahousia Zonule),2
"Cyclosporites hughesii, Crybelosporites striatus",2
nilssoni,2
Oppel Zone AB,2
Inoceramus japonicus,2
Cypridea posticalis,2
Climacograptus caudatus - Climacograptus morrisi,2
Glyptograptus lorrainensis,2
Pseudofusulina urdalensis,2
Gabbioceras wintunius,2
Jura 3,2
Zone à Hodsoni,2
Zone V,2
NN 20 Zone,2
Variabilis,2
P15,2
Goniatite Limestone,2
norrisi-transitans,2
Olenellus hanseni,2
Erismacocisnus fasciolus–Retecoscinus minutus,2
"Cloud and Barnes subunit B-1, Bed 15",2
To IV to To V,2
Ozarkodina bohemica bohemica,2
thouarsense,2
Pycnodonte vesicularis,2
minutum,2
Pseudofavrella angulatiformis,2
Bed 5,2
Malletoptychites kotschetkovi,2
C?,2
Palmetolepis punctata,2
Baculites asperformis,2
Prioniodus elegans,2
Coleoloides,2
The Stromglomerate beds,2
Buchia tolmatschowi,2
Cephalopyge notabilis notabilis,2
Euloma zone,2
Nicoraella germanicus,2
Orthograptus truncatus zone,2
A. semicostatum,2
Haugia variabilis Zone,2
D. lenaicus - T. primigenius,2
Pseudoendothyra copiosa,2
Euchondria mira,2
Damesella,2
Pseudosirenites obrucevi,2
