v_lowestBiostratigraphicZone,reps
Cyathochitina sebyensis,1
Zaraiskites scythicus,1
"A Zone, A2 Subzone, Horizon A2",1
Calloceras johnstoni Zone,1
Stoliczkaia (Faraudiella) blancheti,1
Stoliczkaia dispar Zone,1
Zone à Acanthicum,1
Puercan; Upper,1
"Westphalian, Westphalian C",1
"spaghetti stone, MQ 19-20",1
"Dactylioceras tenuicostatum Zone, semicleatum Subzone",1
atavus,1
Subcolumbites multiformis,1
"E Zone, E13 Subzone",1
Zone à Plicatilis ; Sous-zone à Antecedens ; Horizon à Tennuiserratum,1
Mesohimavites columbianus,1
lautricense-siderolithicum Biozone MP18,1
"H Zone, H2 Goniatite Subzone, Hudsonoceras proteum Bullion",1
Belemnellocamax mamillatus Zone,1
Zone à Tardifurcatum,1
Cisalveolina fraasi Zone,1
P. rhenana,1
Para,1
Zone 9,1
"Asteroceras obtusum Zone, Asteroceras obtusum Subzone",1
"Acanthoceras rhotomagense Zone, Turrilites costatus Subzone",1
eudoxus,1
LL palynozone,1
Deritata Zone,1
"Douvilleiceras mammillatum Zone, Sonneratia kitchini Subzone",1
Clarendonian Or Hemphillian,1
Diplograptus foliaceous Zone,1
Terrakea brachythaera,1
Phylozone à solenopleuropsis,1
Zitteli,1
"Grossouvrei Subzone, P5",1
Spirifer whitheri Zone,1
Membranilarnacia ursulae Assemblage Zone (LC-2),1
Turrillites costatus,1
Neogondolella jubata,1
Pectinatites scitulus,1
Kochov Horizon,1
Tannuella gracilis,1
H + I (undifferentiated),1
"Nematophyllum minus Subzone, Bryozoa Band",1
G. mayeri Planktonic Foraminiferal Zone,1
Sangamonian Or Kansan,1
"Gephyroceras pernai Zone, Section E",1
"Sanagmonian, post",1
"D Zone, D3 Subzone, Oandu Horizon",1
Rhaetian,1
"C Zone, C21 Subzone",1
Atrypella,1
"Deshayesites deshayesi Zone, Deshayesites grandis Subzone",1
NP1,1
Sous-zone à Medea,1
"A. modio Caris Zone, Hopkins Band",1
MP 13/14,1
Wasatchian ?,1
Phosphatic nodule,1
Shale above Herrin (No. 6) Coal,1
Radioceras aff. evolvens,1
Hoploscaphites birkelundae zone,1
Zone 33,1
evolutus,1
Doushantuo,1
A. superbus - A. ordovicius,1
"Hysteroceras varicosum Zone, Hysteroceras binum Subzone",1
Sweetognathus barskovi,1
Irvingtonian; Lower ?,1
Zone N. 19,1
Dipoloceras cristatum subzone,1
Turritella infragranulata pachecoensis,1
Kansan-Yarmouthian; Late,1
Parhoplites nutfieldensis,1
Fish Tooth Beds,1
Zygospira beds,1
30' below Catazyga zone,1
Micraster cortestudinarum Zone,1
NN 5 Zone,1
Baculites gregoryensis zone,1
"E Zone, E8 Subzone",1
Hoploscaphites melloi zone ?,1
"S Zone, S3 Subzone",1
"V Zone, V4A Subzone",1
"C Zone, C2 Subzone, Upper Dictyoclostus teres Band",1
Zone WN.5,1
Horizon à Bronni,1
Batesville Sandstone,1
Kotetishvilia nicklesi,1
"Blancan, Late; Irvingtonian, Late",1
Kansan ? or in Sangamonian slump,1
Tiffanian; Early Late,1
Adetognathus lautus,1
Idiognathodus sagittalis,1
"Baculites baculus | Baculites grandis zone, Lower",1
griestoniensis-sakmaricus,1
"Caenisites turneri Zone, Microderoceras birchi Subzone",1
Spirifer cultrijugatus Z.,1
Oraniceras wuerttembergicum,1
Parahoplites nutfieldiensis,1
Muelleritortis cochleata,1
Globorotalia menardii zone,1
"Ceratiocaris beds, Bed 3",1
"E Zone, E11 Subzone",1
Dactylioceras tenuicostatum Zone,1
Lamberticeras lamberti,1
Balvia lens,1
Magas pumilus Zone,1
"Caenisites turneri Zone, Microderoceras birchi Subzone, cf. bordoti Biohorizon",1
Zone22,1
Zone à Insigne ; Sous-zone à Insigne,1
MZ6,1
Baculites mclearni and Baculites obtusus,1
"Streelispora newportensis - Emphanisporites micrornatus (MN) Spore Biozone, Streelispora newportensis - Leonispora argovejae Spore Assemblage (NA) Sub-Biozone",1
ngaterian Zone,1
Delawarella delawarensis,1
Offaster marsupites,1
Cymaclymenia goniofera,1
Exiteroceras jenneyi Zone,1
nothoperbonus- inversus,1
Xenocidaria Faunule,1
Aspiderites virginianus,1
Ozarkodina sagitta Zone,1
Soldium,1
Chadronion; Early To Middle,1
Tylocidaris abildgaardi Zone,1
"Z Zone, Horizon Gamma",1
Zone 25,1
Zone à Oxynotum ; Horizon à Gagateum,1
Bimammatum - Planula,1
Palmatolepis rugosa trachytera,1
"""cliffwood clays""",1
Upper Medinan,1
Spinachitina wolfarti - Plectochitina sp. A,1
Hecticoceras retrocostatum,1
Spinaptychus sternbergi,1
NN21,1
in drift,1
Zone 3a,1
Echinocorys scutatus var. depressulus zone,1
polymorphous,1
Horizon Yz18,1
"Honey Creek, Bed # 6",1
"E Zone, E15 Subzone",1
Apectodinium hyperacanthum (Dinoflagellate cyst zone),1
Cultrijugatatus Beds,1
Denckmannia spp.,1
Zadonsky horizon,1
F2d,1
Vindovanian; Kawabatian Stage,1
Redlichia nobilis,1
micrornatus-newportensis spore zone (lower subzone),1
Middle Coal Measures of Round Green,1
El Jobo Complex,1
Below Fusilinid Zone 1,1
Lepidocyclina-Pseudophragmina,1
MP21,1
platynota Zone,1
Bottom of Division III,1
Zone N,1
ampliapertura Planktonic Foraminiferal Zone,1
Witchellia borealis,1
Nora Member,1
Zone à Bifrons ; Horizon à Lusitanicum,1
Serratum Zone,1
Zone à Anceps ; Sous-zone à Tyranniformis,1
michalskii  Zone,1
Aulacostephanus autissidorensis or Aulacostephanus euxodus,1
Bignornia-Thaerodonta,1
Bacculites sp. (weakly ribbed) to Baculites perplexus,1
Tf1-Tf3,1
E. foliaceus,1
"Otohoplites auritiformis Zone, Protochoplites puzosianus Subzone",1
#9 Coal,1
"Horizon B, Wagonhound Uinta",1
communis carina,1
Chadronian or Orellan or Whitneyan,1
Endemoceras regale Zone,1
"Mortoniceras (Mortoniceras) inflatum Zone, Diploceras cristatum subzone",1
"P. oelandicus Superzone, Paradoxides pinus Zone",1
Lepidorbitoides socialis,1
Cordylodus proavus zone,1
Oppelia canaliculata Zone,1
Waynesville Beds,1
Entrerriana,1
pulcher/robustus,1
Aftonian ?,1
MZ5,1
Horizon F1A,1
Dsungaripterus-Psittacosaurus fauna,1
Horizon G 1,1
GLOBIGERINA AMPLIAPERTURA,1
micrornatus-newportensis spore zone,1
Abadiella huoi / Pararaia tatei,1
Bonnia- Olenellus,1
Equisetosporites concinnus S3 Zone,1
phillipsi,1
Tselinograd Horizon,1
"Deshayesites forbesi Zone, Deshayesites callidiscus Subzone",1
Sous-zone à Bullatus,1
Alveolites,1
Didymoceras nebrascense Zone,1
Hemingfordian; Barstovian,1
Orellan ; Whitneyan,1
Sous-zone à Collotiformis,1
Frechites bisulcatus,1
Amorphognatus superbus conodone Zone,1
Zone 14(i),1
"Layer 97, Blue Shale",1
Vercherites undulatus,1
"E Zone, E10 Subzone",1
"E Goniatite Zone, E1b Goniatite Subzone, Great Arc Sandstone",1
P. varcus - K. disparilis,1
Dicksonites plukenetii Subzone,1
MP 25–26,1
Zone à Aalensis ; Sous-zone à Aalensis,1
Dictyonema norvegica Zone,1
Billow Ness Marine Band,1
Stampien,1
"Dactylioceras tenuicostatum Zone, Dactylioceras semicelatum Subzone",1
Hell Creek Formation,1
Platysolenites antiquissimus,1
Zone N. 21,1
Zone à Aalensis ; Sous-zone à Lugdunensis,1
"(S. Weller, 1900, bed no. 7)",1
Zone NN7,1
Metoicoceras swallovi,1
Pseudaspidoceras salmuriense,1
Scarburgeuse Subzone,1
Nauvoo Bed #14,1
Baculites,1
Kossmaticeras theobaldianum,1
M. couloni Zone,1
Pteraspis crouchi,1
Microderoceras birchi Zone,1
davoei,1
Perisphinctes panderi,1
Siphogenerina collomi Zone,1
Zone à Raricostatum ; Sous-zone à Macdonnelli,1
Heterorthina kerfornei,1
Quadrops Horizon,1
Macrocephalites formosus,1
Ranchlabrean,1
Aulacostephanus Zone,1
"Burdigalian, Late; Takinovean Stage",1
Sphenolithus heteromorphus Zone,1
Bartstovian,1
"Beattonoceras, Acanthoceras, Inoceramus dunveganensis",1
Budaiceras hyatti,1
Zone NP.17,1
Sphaeroidinella seminulina Zone (Blow 1959),1
Zone NN3,1
Pasceolus Bed,1
Horizon Ys2,1
MP 17,1
Eumorphoceras Zone,1
P21b Zone,1
Zone NN8,1
Woodhead Coal,1
IX Zone 5,1
N4 - N5,1
Zone à Lamberti ; Sous-zone à Henrici,1
Cordylodus proavus,1
Globorotalia fohsi barisanensis Planktonic Foraminiferal Zone,1
P17 Zone,1
Neochetoceras mucronatum,1
Monograptus-uniformis,1
Spur Hill layer,1
Placer Gravels,1
Baculites sp. (weakly ribbed)-Baculites obtusus,1
Hanieloceras,1
schloenbachi,1
"Irvingtonian; Rancholabrean, Early",1
Globoratalia margaritae,1
Zone NN3/4,1
Lothagamian,1
"E Zone, E9 Subzone",1
Bed 2 (middle),1
Globigerina daubjergensis,1
Upper Red,1
Cephalopod Zone,1
"Witchellia (Witchellia) Laeviuscula, Witchellia (Witchellia) Laeviuscula",1
Pseudolissoceras zitteli,1
Claredonian,1
T. subbullatus zone,1
Rancholabrean ?; Kansan ?,1
Miocardia Bed,1
Zone à Bifrons ; Sous-zone à Lusitanicum,1
PALEO_Zona 20-21,1
Richmond Beds,1
jurensis Zone,1
Hoploscaphites nicolletti zone,1
Speetoniceras inversum,1
Redlichia meitanensis - Palaeolenus lantenoisi,1
Streptognathodus trimulus,1
PALEO_MN11,1
Lepidolina shiraiwensis Zone,1
Didymoceras cheyennense zone ?,1
cordatum and transversarium,1
Choristoceras marshi Zone,1
Zone à Raricostatum ; Sous-zone à Aplanatum ; Horizon à Tardecrescens,1
Pavlovia panderi Zone,1
Alternans Zone,1
henleyi Zone,1
Oxynotum,1
Glossopleara,1
Cyathaxonia sp.,1
Puchenquia malarguensis,1
Priohybodus arambourgi,1
Titanites anguiformis Zone,1
Wasatchian; Upper Bridger C3,1
New Scotland Beds,1
Olcostephanus (O.) atherstoni,1
Nemograptus gracilis Shale,1
"Haugia variabilis Zone, Haugia variabilis SubZone",1
jamieae to linguiformis,1
Kotetishvilia compressissima,1
"Clarendonian, Montediablan Stage",1
Zone à Margaritatus ; Sous-zone à Gibbosus ; Horizon à Bertrandi,1
Sangamon or Yarmouthian,1
Oldman Formation,1
Cephalopyge notabilis–Ornamentaspis frequens,1
Tragophylloceras ibex,1
Zone NN18,1
W. interspinosum ?,1
Danville coal,1
Sweetognathus merrilli,1
Zone à Dispansum ; sous-zone à Gruneri,1
Trimarginites trimarginatus Zone?,1
