v_lowestBiostratigraphicZone,reps
Taenicephalus and Saukia,2
mammilatum,2
Proteacidites tuberculatus Zone,2
Gothograptus nassa,2
Devonian Stage F2,2
Zone NN6/7,2
"H Homoceratoides Zone, H2c Homoceratoides Subzone",2
Monograptus leintwardinensis Zone,2
Sous-zone à Fallaciosum,2
Euchondria mira,2
Phthanoperidinium comatum Assemblage Zone (B-3),2
Ecotone beds,2
Reineckeia reissi,2
Neokoninckophyllum hamatilis,2
Zone à Transversarium ; Sous-zone à Luciaeformis ; Horizon à Luciaeformis,2
"Sangamonian, Pre-glacial",2
Glyptograptus lorrainensis,2
Hoploscaphites melloi zone. Top,2
G. lehneri Planktonic Foraminiferal Zone,2
Zone à Bifrons ; Sous-zone à Semipolitum,2
G. ampliapertura Zone,2
Orthograptus truncatus zone,2
Rancolabrean,2
Otohoplites auritiformis,2
MFZ7-8,2
Elvinia (Parahousia Zonule),2
ottonis,2
W.K. I.1 Zone,2
P. vulgaris Zone,2
hemiansatus to ansatus?,2
Bed No. 9,2
"semicostatum zone, rotiforme Subzone",2
Halysitid reefs,2
P15 Zone,2
D. lenaicus - T. primigenius,2
Belemnitella minor I subsp. Zone,2
"<I>Psephosthenaspis</I> zone, 'L'",2
G. concavata concavata Zone,2
Meekoceras olivieri,2
Bed number 2,2
Zone à Niortensis,2
Baculites anceps,2
Galleola papillosa Zone,2
Plateau Valley Local Fauna,2
Ammonites pseudogigas Zone,2
hedenstroemi,2
Zellerella fusiformis,2
Barnsley Thick Coal,2
prob Baculites clinolobatus and above,2
Lower Burlington Chert,2
Saint Onnia Superba Zone,2
Cynognathus B Assemblage,2
Polygnathus xylus ensensis,2
"Baculites compressus zone, probably",2
Dicellograptus pumilis,2
Parabadiella,2
Upper Patagonian beds,2
MP 28/29,2
Millerella yowarensis Zone,2
Tretaspis cf. (M.) moeldenensis Zone 2,2
Inoceramus lingua / Gonioteuthis quadrata Subzone,2
RC3,2
marginatus Zone,2
Fincella brachymetopa or Paradoxides forchhammeri equivalent,2
Deltavjatia vjatkensis,2
Pseudoendothyra copiosa,2
Upper Pampean,2
Gnathodus typicus,2
Cistecephalus zone,2
Cyclonephelium intricatum Assemblage Zone (B-5),2
Arnioceras yokoyamai,2
Band g3,2
Otoceras concavum,2
F2j,2
Siphogenerina transversa' Zone,2
Pachydiscus catarinae,2
late Blancan or early Irvingtonian,2
Ozarkodina sagitta rhenana Subzone 4,2
Lagenochitina ponceti - Lagenochitina deunffi,2
Planula Zone,2
Reutterodus andinus,2
Calloviense,2
"Chadronian, Early",2
G. fohsi fohsi Planktonic Foraminiferal Zone,2
Sohlipollis,2
Dentata Zone,2
"N4  Zone Globorotalia kugleri zone of Bolli 1957, 1966",2
Hoplitoplacenticeras bowersi,2
annulatus-sextantii spore zone of Richardson and McGregor (1986),2
Micraster cortestudinarium zone,2
Isograptus gibberulus,2
Aeglina binodosa horizon,2
Acanthoplites nolani Zone,2
Eccaparadoxides pusillus Zone,2
"Friasian, Mayoan",2
thouarsense,2
with phosphatic pebbles,2
"Tragophylloceras ibex Zone, Acanthopleuroceras valdani Subzone, maugenesti Horizon",2
P10 Zone,2
Strigoceras truelli,2
Paradoxides sacheri-Tomagnostus fissus,2
Clarkina postbitteri-dukouensis,2
Kymataspis arenosa,2
norrisi-transitans,2
demissa beds,2
Section F-G,2
NN 11 Zone,2
Trachyceras multituberculatum,2
Prioniodus elegans,2
Massospondylus RZ,2
Yakusirentites pentastichus,2
Stampian; Upper,2
Sangamonian or equivalent,2
Daptocephalus Zone,2
Globorotalia lehneri Zone,2
"Arnioceras semicostatum Zone, Coroniceras rotiforme Subzone",2
Cephalopyge notabilis notabilis,2
Bartonian (robiacian),2
Irvingella major,2
Pachydiscus aff. subcompressus,2
"Z Zone, Z1 Subzone, Horizon Beta",2
Zone à Dentatus ; Sous-zone à Lyelli,2
Hildoceras bifrons zone,2
"Disturbed zone, below",2
Coleoloides,2
Coral Zone,2
Histiodella holodentata,2
Verrucosisporites polygonalis - Dictyotrites emsiensis spore zone,2
Goniatite Limestone,2
Lithothamnium saipanense,2
Anthracomya lenisulcata Zone,2
Idoceras planula Zone,2
Paracraspedites,2
Parafusulina kaerimizensis Zone,2
Bildstock Horizon,2
Z Zone,2
spinatum Ammonite Zone,2
Echinalosia warwicki,2
Lysite,2
Yabeina,2
Craspedites subdites,2
Zone à Cordatum ; Sous-zone à Cordatum,2
Zone NN4/5,2
Mammites nodosoides Zone,2
Colonograptus (?) chelmiensis,2
"Wisconsinan, Mid",2
upper transversarium and lower pseudocordata,2
Irvingtonian; Late Or Rancholabrean; Early,2
Prolobites delphinus,2
N5-N7,2
Euloma zone,2
Lepidoceeutrus,2
Baculites clinolobatus zone|  LOW,2
Illinoian; Rancholabrean,2
Sous-zone à Baylei,2
M. Cor-anguinum,2
Middle Kockelella walliseri,2
"Mantelliceras mantelli Zone, Mantelliceras couloni Subzone",2
Pardailhania hispida,2
Belemnitella quadrata,2
Duchesnean,1538
PROFUSULINELLA,3
"Arcuolenellus cf. megafrontalis zonule, subunit 2",3
Local zone 4,3
G. fohsi lobata Planktonic Foraminiferal Zone,3
Strophonella hybrida Zone,3
Zone NN4,3
Submortoniceras chicoense,3
Dokidocyathus regularis,3
Cardioceras,3
Basiplana/stobaei,3
Doryagnostus incertus,3
Dzhulfites zalensis,3
Neocardioceras juddii Zone,3
Trigonocerca typica - Presbynileus ibexensis,3
Zone NP 15,3
Sub-recent,3
R. calcarata,3
"Little Rock Section, Bed No. 2",3
Divisum,3
SBZ16-17,3
Acidusus atavus and Ptychagnostus gibbus boundary,3
Clarendonian Or Valentinian,3
Zone à Raricostatum,3
Monograptus  yukonensis zone,3
Adiantites Zone,3
Jeletzkytes nebrascensis zone,3
Uintacrinus westfalicus Zone,3
Zone NN.12,3
nodular layer,3
Bristolia bristolensis s. acme zonule,3
Pterospathodus amorphognathoides angulatus,3
Lower hermanni- Upper subterminus Fauna,3
Zone à Variabilis,3
"Endothiodon Assemblage Zone, Lycosuchus-Eunotosaurus Subassemblage",3
Jinogondolella xuanhanensis-granti,3
taylori,3
P. atavus,3
Offaster pilula and Actinocamax quadratus,3
NP 10 Zone,3
Unit 9,3
Zone à Dispansum ; Sous-zone à Insigne,3
Silsilian; Sebilian; Sebekian,3
Above Planconvex Zone.,3
Irvingtonian; Late; Rancholabrean; Early,3
Zone à Retrocostatum ; Sous-zone à Blanazense,3
Parkinonia parkinsoni,3
Horizon D,3
Zone NP 16,3
Dieneroceras,3
MP21-22,3
subterminus Fauna,3
Parastrenoceras zapotecum,3
Diplograptus ingens wellingtonensis,3
Zone Q.P.2,3
"Tapinocephalus Assemblage Zone, Diictodon-Styracocephalus subassemblage",3
"Bimmamatum Zone, voire peut-être Z. à Planula",3
Gerhardtia galeatoides,3
MP19 or MP21,3
Clarkina bachmanni,3
"Arietites bucklandi Zone, Coroniceras rotiforme subzone",3
Trenton,3
subglobosus,3
"Glyptograptus teretiusculus Zone, Asaphus Ash",3
"Peachella brevispina occurrence zone, subunit 3",3
Psiloceras tilmanni,3
subterminus,3
Daixina sokensis,3
Davnin Horizon,3
H. treeensis Zone,3
Cameraspis,3
Pectinatites hudlestoni and Pavlovia pallasioides,3
"Hysteroceras orbignyi Zone, Hysteroceras orbignyi Subzone",3
"Hoplites (H.) dentatus Zone, Lyelliceras lyellii Subzone",3
Cyrtonotella Zone,3
NP 10 - NP 11,3
Horizon Jm25,3
16a,3
Mill Street conglomerate,3
Missella claudie,3
inversus/laticostatus,3
Eostichomitra carnegiense,3
Astell Vein,3
Cedaria-Crepicephalus,3
Alborsella,3
Francovichia,3
Zone NN5,3
Polygnathus timorensis,3
Santonian,3
Bed 10,3
upper portion of Paradoxides sacheri-Tomagnostus fissus,3
N20 Zone,3
Am. varicostata Zone,3
Subthurmannia boissieri,3
Otoceras boreale,3
Ventricosa,3
MN 1,3
discites,3
nassa-frequens,3
Portisi,3
Cyrtospirifer,3
obtusum,3
Muderongia australis,3
Hemphillian ?,3
MFZ5,3
Pterosirenites obrucevi,3
Monodiexodina sutschanica-Metadoliolina dutkevichi,3
Zone N.8/9,3
Oryctocephalus,3
'Adiantites',3
Stimulograptus sedgwickii graptolite Biozone,3
Altonian or earlier,3
C? (zone C begins â€œwithin 10-20 feet of top of House limestoneâ€,3
Ashgill Shelly Zone 6,3
Didymograptus shales,3
opalinum Zone; torulosum subzone,3
Plethopeltis-Dakeoceras,3
Zone à Orbis,3
Holcoptychites neuqensis,3
Iapetognahtus fluctivagus,3
barisanensis Planktonic Foraminiferal Zone,3
Cardita beaumonti,3
Zone P. 11 - P. 12,3
Chouteau Limestone,3
rhotomagense,3
Spirifer whitneyi Zone,3
M4,3
"Clydoniceras discus Zone, Clydoniceras discus Subzone",3
Baculites reesidei zone ?,3
Rassetia magna,3
Waehneroceras portlocki Zone,3
Zone à Thouarsense ; Sous-zone à Fallaciosum,3
"Wisconsinan, Middle ?",3
Pre-planorbis,3
Podolsk Horizon,3
Pericyclus princeps,3
?Metapolygnathus communisti/Metapolygnathus nodosus,3
Arnioceras semicostatum-Echioceras raricostatum,3
"Ringsteadia pseudocardata, Ringsteadia pseudocordata Subzone",3
Decipia decipiens,3
Baculites baculus | Baculites clinolobatus zone,3
Zone 6A,3
Stage G.g.1,3
Burckhardticeras ponti,3
Conophrys salopiensis Biozone,3
Pernoceras dorsatum,3
Parkinsonia schloenbachi,3
Pseudoaspidoceras flexuosum,3
Pseudothumannia ohmi,3
Baculites cuneatus |  Baculites reesidei zone,3
Lepidolina,3
Eurycephalites gottschei,3
Giesdorf Horizon,3
Homotryblium variabile Assemblage Zone (BAR-4),3
"Wisconsinan, Post",3
Bed No. 7,3
G. crotonensis Zone,3
Spinaptychus sp.,3
Pampean ?,3
Hoplitocrioceras gentili,3
Ypresian; Cuisian Substage,3
"Belemnitella mucronata Zone, B. langei Subzone",3
Upper Polecat Bench,3
P1c,3
"Wisconsinan, post",3
exaratum,3
Clarendonian-Hemphillian,3
G. lobata robusta Planktonic Foraminiferal Zone,3
Nevadites secedensis,3
Torrejonian ?,3
Sunaspis laevis,3
Baculites grandis | B.clinolobatus,3
Pycinodesma,3
Ozarkodina hassi,3
Conybeari Zone (Bucklandi),3
W.K.I.9 Zone,3
Stoliczkai dispar,3
Morocconus notabilis,3
Americare subzone,3
Cavusgnathus-Apatognathus Conodont Zone,3
"Baculites grandis zone, probably",3
MP 25-26,3
"Stoliczkaia dispar Zone, Mortoniceras (Durnovarites) perinflatum Subzone",3
Hoploscaphites melloi zone. Middle high,3
"Unit 82, Black Shale Horizon",3
Ludwigia Murchisonae,3
Zone à Spinatum ; Sous-zone à Apyrenum ; Horizon à Solare,3
Globigerina ampliapertura Zone,3
Prionoceras subtum,3
Bridgerian; Early,3
Monograptus distans,3
Neoschwagerina haydeni,3
Chelinospora hemiesferica (H) Spore Interval Biozone,3
Parafusulina japonica Zone,3
Kosmoceras jason Subzone,3
Linopteris munsteri Zone,3
Zone à Parkinsoni,3
La Debruge Level,3
Areosphaeridium fenestratum Assemblage Zone (BAR-2),3
Wasatchian; Graybullian,3
Kilianella otopeta,3
Eccaparadoxides insularis - Ptychagnostus praecurrens,3
Glacial ?,3
RZ4,3
NN20,3
Traquairaspis symondsi Zone,3
Verrucosporites polygonalis - Dictyotriletes emsiensis spore zone,3
Lower subzone 3B,3
Olenekites spiniplicatus,3
"Echioceras raricostatum Zone, Echioceras raricostatoides Subzone",3
Didymoceras cheyennense Zone ?,3
Hoploscaphites nebrascensis Zone,3
"J  (""K"" of Hintze, 1951)",3
Myophoria vulgaris,3
Strenoceras subturcatum,3
Zone à Baylei,3
Polygnathus rhenanus,3
NP 24,3
lamellatus shale of Division 1 B and C,3
Paradoxides bennetti beds,3
stainforthi Planktonic Foraminiferal Zone,3
Tetradium Reef,3
Climacograptus manitoulinensis,3
Cyrtograptus centrifugus graptolite Biozone,3
tripapillatus-spiculata assemblage zone,3
Hoploscaphites melloi zone. Upper,3
Agassiceras scipionianum Zone,3
Triplagnostus gibbus,3
Actinocamax granulatus Zone,3
Zone 14 (iib),3
"Euhoplites lautus Zone, Dipoloceras cristatum Subzone",3
semicelatum,3
Platyceras,3
Neospathodus kummeli,3
Unnamed 4,3
"Clarendonian, Late",3
N21 and N22  Zone,3
Prionoceras mrakibense,3
Pseudomonoclimacis,3
Mytiolides labiatus Zone,3
Orellan-Whitneyan transition,3
Ptychagnostus gibbus and lowermost part of the Tomagnostus fissus Subzone of the Ptychagnostus atavus,3
lower tripapillatus-spicula Miospore Assemblage subzone,3
Zone NP 06,3
Bristolia mohavensis,3
NP10,3
B. bohemica,3
G0-gamma-1,3
G0-gamma-2,3
F2b,3
Daixina robusta-Ultradaixina bosbytauensis,3
subterminus Fauna?- Lower rhenana,3
Albertella Zone,3
Riasanites rjasanensis,3
transversarium Zone,3
conodont,3
Dimorphohoplites doris Subzone,3
Pissotensis (chitinozoaire),3
"Pectinatites pectinatus Zone, Pectinatites eastlecottensis Subone",3
Mineralense,3
Buchia fischeriana,3
inversus,3
Zone P3,3
Argentiniceras noduliferum,3
G. velascoensis Planktonic Foraminiferal Zone,3
Schleit Horizon,3
Neoagnostus quadratiformis,3
Post-Wisconsinan,3
Acrograptus ellesae graptolite Biozone,3
Belemnella sumensis Zone,3
Arnouldi,3
Paragoceras,3
Horizonte b,3
Buchia pacifica,3
Cedarina Zone,3
Euagnostus opimus,3
Normalograptus perscupltus,3
Liocereas opalinum,3
Horizon Jm24,3
Zone N.22/23,3
Adolfia ziczac Zone,3
VI Miospore Biozone Assemblage,3
Ostrea lunata,3
Windhauseniceras interspinosum,3
OLENELLUS Zone,3
Meyendorfi Zone,3
P10,3
Garantiana garanti,3
Shirbuirnia,3
BIIIbeta,3
Bukkenites rosenkrantzi,3
Sonninia altecostata,3
Kainella meridionalis,3
Triqueta,3
before Ptychagnostus punctuosus,3
foraminifera Biozone N22,3
Zone à Propinquans,3
"Blancan, Late; Irvingtonian; Early",3
Zone à Bucklandi,3
? Tapinocephalus assemblage,3
upper mutabilis and pseudomutabilis,3
Sous-zone à Illustris,3
Discoaster tamalis,3
Palmatolepis marginifera-Palmatolepis trachytera,3
N 19,3
Clarkina meishanensis-Hindeodus praeparvus,3
Zone NP 13,3
mariae to lower transversarium,3
Globorotalia uncinata Zone,3
N15 Zone,3
Vandanchella dercourti,3
White River Group; Oreodon Zone,3
"Alveolina ?dainelli-violae Zone, Local Zone 6",3
late praesulcata,3
Jinogondolella granti,3
Clarendonian; Valentinian,3
MP 10,3
Hauericeras sulcatum,3
MP 12,3
Irvingtonian?,3
Neogondolella constricta cornuta,3
G. peripheroronda Zone,3
Solenopleuropsis,3
Inoceramus undulatoplicatus,3
Corvaspis Hosrizon,3
Wisconsinan ?,3
"Tf, 2 - Tf, 3 Zone",3
Arikareean ?,3
Pre-Megapalaeolenus,3
Dulankara Horizon,3
Perisphinctites plicatilis zone,3
Pa. crepida to Pa. marginifera,3
Zigzag/Aurigerus,3
Kunmingaspis-Chittidilla,3
Jinogondolella aserrata,3
Kozlowskia,3
Sandschaler Zone,3
Holcoptychites neuquensis,3
Timber Lake | Mobridge mix,3
Romaniceras ornatissimum,3
A. incisus Zone,3
Unit 4,3
Upper Landenian,3
Sous-zone à Hypselum,3
MN5 to MN 9,3
Rusingan,3
Bed 1,3
bingmanni,3
Sutneria platynota,3
ldiognathodus sinuosus,3
"Tragophylloceras ibex Zone, Tropidoceras masseanum Subzone",3
Zone Q.P.3,3
Capnodoce Zone of Blome (1984),3
Colonograptus deubeli,3
"Arcuolenellus cf. megafrontalis zonule, subunit 3",3
Boreoceras demokidovi,3
Solenopleura brachymetopa,3
Post-glacial ?,3
Radstock,3
T-03b- Foveotricolpites perforatus,3
Zone P.10,3
Horizon YE9,3
Dispar,3
Eumorphotis hinnitidea,3
Macrocephalites macrocephalus Zone,3
Bathyurus sunbloodensis?,3
T. simplex Zone,3
<I>Psephosthenaspis</I> zone,3
NP 12 Zone,3
Joint Mitnor Cave M. A. Z. (OIS SubStage 5e),3
Taitzuia,3
Tosapecten efimovae,3
Ashgill Shelly Zone 5,3
Ermoceras primitifs,3
Zone à Thouarsense,3
Orthograptus ruedemanni,3
Turneri,3
Upper Zone,3
Belemnella mucronata,3
upper Metapolygnathus primitius,3
Symphysurina woosteri,3
Tb or Tc,3
"Hoplites dentatus  Zone, Hoplites dentatus Subzone or",3
Climacograptus pygmaeus-Paraclimacograptus manitoulinensis,3
Kansan-Yarmouthian,3
“subzone a” of the Nitzschia reinholdii Zone,3
Alacoota fauna,3
Cynognathus subzone B or C,3
Monodiexodina sutchanica-Metadoliolina dutkevichi,3
Olenoides subzone,3
Pagetiellus anabarus,3
To III,3
Dufrenoyia justinae,3
"P Goniatite Zone, P1d Goniatite Subzone",3
Phaulactis,3
Clavata Zone,3
Bajarunia confusionensis beds,3
Paragloborites subglobosus–Purella squamulosa,3
Didymograptus simulans or Isograptus gibberulus,3
Amorphognatus superbus conodont Zone,3
"Cardioceras cordatum Zone, bukowskii or costicardia SubZone",3
Tryphyllopteris,3
Palmatolepis rhenana,3
Zone à Davoei ; Sous-zone à Capricornus,3
Strictopora bed,3
Sprifer brazerianus,3
Aulacosphinctes hollandi,3
"Asteroceras obtusum Zone, Asteroceras stellare Subzone",3
Inyoites,3
Blancan-Irvingtonian,3
Equisetites gracilis Zone (NATHORST),3
late,259
NN11,515
"Zone P. 1/2. Zone D1 of Dr I. Bang, 1959",4
Fittoni,4
Exogyra costata,4
Choristoceras crickmayi,4
Bostrchoceras polyplocum,4
N10/11 Zone,4
SiPHOGENERINA BASISPINATA,4
Euomphaloceras septemseriatum,4
Strophomena expansa Zone,4
Baidites hermanni,4
Zone à Thouarsense ; Sous-zone à Bingmanni,4
Choristoceras marshi-crickmayi,4
VCo spore Biozone,4
Zone N.2 = Zone P.21,4
Division 1c,4
Eletsky Horizon,4
Venericardia wegeneri,4
Clydoniceras discus,4
Ticinites polymorphus,4
Inoceramud dimidius,4
Paradoxiden Schiefer C,4
"Perisphinctes cautisnigrae Zone, Perisphinctes cautisnigrae Subzone",4
Vavilovites turgidus,4
Eccaparadoxides pusillus zone,4
NN13-15,4
Kidney Seam,4
Mary Lee Coal Zone,4
Perisphinctes bifurcatus,4
CP10-11,4
Belemnitella woodi,4
Discoaster todoensis Zone,4
Mantelliceras japonicum,4
"Gonioteuthis quadrata Zone, Saccocoma Subzone",4
Atrypa-Isorthis,4
"P Goniatite Zone, P1b Goniatite Subzone",4
P. punctuosus,4
Cynognathus Subzone C,4
Columbiae,4
Baculites baculus | Endocostea typica zone,4
Praeactinocamax plenus,4
Globotruncana fornicata Planktonic Foraminiferal Zone,4
Zone à Pseudoradiosa,4
Stenopopanoceras mirabile,4
Virgatites virgatus Zone,4
Zone P.14,4
Bathyuriscus-Elrathina Zone,4
NP19-20,4
raricostatum,4
suevicum-frohnstettense zone MP20,4
UC11 Zone,4
Duntroonian,4
Parkinsonia parkinsoni,4
Robiacian,4
Bolbolenellus euryparia,4
Angulata Zone,4
Marsupites,4
Zone à Transversarium ; Sous-zone à Schilli,4
Lacunosella arolica,4
Micraster coranguinum and Marsupites,4
C Coral-Brachiopod Zone (Caninia),4
M. pectenifera Bed,4
Monograptus yukonensis graptolite zone,4
G-1 or G-2,4
MN8,4
Hypoturrilites carcitanensis Zone,4
Homolsomites bojarkensis,4
tripapillatus-spicula spore zone,4
Mamet 15,4
Marine Band,4
Petteroceras feisti Zone,4
"Hysteroceras varicosum Zone, Hysteroceras choffati Subzone",4
Marsupites testudinarius,4
Ptychaspis-Prosaukia,4
Orthotichia-Septospirifer,4
"Dactylioceras tenuicostatum Zone, clevelandicum Subzone",4
Marginotruncana schneegansi,4
Cheiruroides arcticus-Changaspis transversus,4
Tetractinella trigonella,4
N.10/11,4
P18 Zone,4
"Echioceras raricostatum Zone, Echioceras raricostatum Subzone",4
Horizon à Figulinum,4
Ancoradella ploeckensis - Polygnathoides siluricus,4
Planorbis zone,4
Verrucosisporites polygonalis - Dibtyotriletes emsiensis,4
woschmidtii,4
"loricatus zone, Anahoplites intermedius subzone",4
Acidusus atavus,4
Acanthoceras muldoonense,4
Protrachyceras curionii,4
Labyrinthoceras,4
Coronograptus cyphus graptolite Biozone,4
Prionoceras ouarouroutense,4
latialatus-crispus,4
Oryctocara,4
Canadensis,4
Volkhov Horizon,4
"Oxynoticeras oxynotum Zone, Oxynoticeras simpsoni Subzone",4
Baculites lomaensis,4
marginifera,4
Aldanocyathus sunnaginicus - Dokidocyathus regularis,4
Orthidiella zone,4
Scaphites ferronensis,4
laeviuscula,4
Alispiriferella lita-Kaninospirifer adressum,4
Hemmingfordian,4
NP16-NP17,4
"Blancan, Late",4
Pinecrest beds,4
zellerella hidalgoensis,4
Ketyna ketiensis-Monosulcatina laeve,4
Wisconsinan; Middle,4
praesulcata conodont zone,4
Hyolithes-Allatheca,4
Pseudostaffela antiqua,4
Redlichia chinensis - Cotenia gimelfarbi,4
Angulaticeras Marmoreum,4
Headonian ?,4
Jinogondolella nankingensis,4
pertransiens,4
Baculites compressus Zone,4
Hesperornis,4
Atavus,4
Zone à Opalinum ; Sous-zone à Comptum,4
Ctenopyge tumida,4
crenulatus,4
Zone NP.12,4
Zone NP.25,4
Zygobolba anticostiensis,4
Baculites zone,4
Paraorthograptus paciflcus,4
Zone à Autissiodorensis ; Sous-zone à Autissiodorensis,4
Metathisbites dawsoni,4
Nevadella-Holmia,4
Ponti,4
Plagiura-Kochaspis,4
Globigerinatheca kugleri Zone,4
Pectinatites wheatleyensis Zone,4
Zone NP 03,4
Tsvetkovites varius,4
Neseuretus tristani,4
Zone à Serpentinum ; Sous-zone à Falciferum,4
Olenus,4
top of Division II,4
Subplanites grandis Zone,4
Kochiproductus-Attenuatella,4
Bouleiceras,4
Dolerolenus aff. courtessolei,4
Halobia zitteli,4
Clarendonian; Late,4
Fissicostatus,4
Palmatolepis expansa-Siphonodella praesulcata,4
E2b1,4
Triticites subcrassulus,4
Horizon 3b,4
leptotheca,4
Barnsley Coal,4
Kaolishania granulosa,4
Schizophoria Zone,4
Paratirolites trapezoidalis,4
Monodiexodina sutschanica,4
Eudesia cardium,4
Globorotalia crassata/Truncorotaloides Zone,4
Phacops potieri Zone,4
Manchuriella,4
Pranognathus tenuis Zone,4
"Ringsteadia pseudocardata Zone, evoluta Subzone",4
Ngororan ?,4
Zone N.5,4
Kockelella variabilis variabilis,4
Dicynodon or Daptocephalus Assemblage Zone,4
Clithrocytheridea diagonalis zone,4
Zone NP23,4
Zone G-1,4
Neogondolella krystyni,4
Proximum,4
Bolbolenellus euryparia occurrence zonule,4
Elvinia/Conaspis,4
Te1-4,4
Altonian ?,4
Zone à Planula,4
Monograptus ludensis graptolite Biozone,4
Zone NN2,4
semialternans/latifossatus,4
Azygocrinus rotundus zone,4
Pseudosubplannites ponticus,4
CATAPSYDRAX DISSIMILIS,4
Bed 4,4
Truelli,4
Bed no. 3,4
lusitanicum,4
Olcosterphanus,4
Calycoceras guerangeri,4
Wasatchian; Lost Cabinian Zone,4
Globorotalia pusilla pusilla,4
Holaster subglobosus and Inoceramus labiatus (Actinocamax plenus subzone),4
Holkopollenites forix,4
Paragloborilus-Siphogonuchites,4
High Shilford Coal,4
korostelevi,4
Poriagraulos nanum,4
P. ludbrookiae,4
upper mutabilis and lower pseudomutabilis,4
Gymnotoceras blakei,4
Reineickia anceps Zone,4
Blackband,4
Steinheimian ?,4
"similis-pulchra Zone, Skipsey's Marine Band",4
MP 25?,4
Crinoid - Pisocrinus tennesseensis bed,4
Beyrichoceras,4
Zone 34/35,4
Hoekaspis yahuari,4
Paraceratitoides brotzeni,4
Ostrea osiris,4
Tritylodon Acme,4
G. dissimilis Planktonic Foraminiferal Zone,4
Bergeroniellus micmacciformis- Erbiella,4
Asery Level,4
Lahr Horizon,4
Dorypyge richthofeni,4
Araucanian,4
Epivirgatites nikitini,4
Acrograptus ellesae,4
Neogondolella planata,4
UAZ 3-6 Baumgartner et al. 1995,4
Reef-flank Beyrichioceras faunal Zone B2,4
Bristolia,4
Parabolina frequens argentina,4
N22  Zone,4
archelaus,4
fallaciosum,4
Calygirtyoceras confusionense,4
trilobite zone G-2,4
"Dactylioceras tenuicostatum Zone, semiculatum Subzone",4
"Euhoplites loricatus Zone, Dimorphohoplites niobe Subzone",4
Nodotibetites nodosus,4
J-L (mixed?),4
MP 20,4
Metatissotia fourneli-Metatissotia ewaldi,4
Zaphrentis Zone,4
obesum,4
Chadronian ?,4
Redlichia chinensis,4
Leaia,4
Neognathod askynensis,4
MP30,4
P. gibbus,4
Phragmodus-Plectodina,4
Gregoryceras transversarium,4
warreni Zone,4
Orthograptus truncatus intermedius,4
D<sub>1/1</sub>,4
Pa. punctata,4
Sciponiceras gracile zone,4
HCII?,4
p1 (Lower Bollandian),4
Artus zone,4
Zone N.3 = Zone P.22,4
Dolgeuloma abunda-Dolgeuloma dolganensis,4
terrestrial and marine vertebrates,4
Prodactylioceras Davoei Zone,4
Nodosus,4
Gradata,4
Nematograptus persculptus,4
Oxydiscites taimyrensis,4
Motol beds,4
Prionoceras lamellosum,4
"UC1 Biozone, d Biosubzone",4
M. greshnianum Zone,4
Raricostatum,4
"C (or possibly B), C starts â€œwithin 10 or 20 feet of the top of the sectionâ€",4
Bucklandi Zone,4
Palmatolepis norrisi,4
micrornatus-newportensis assemblage zone,4
P15-16 ? P17 Zone,4
"Zone N.17, ""Tg""",4
Stampian,4
"Euhoplites loricatus Zone, Dipoloceroides subdelaruei Subzone",4
Magdalenian,4
Bed No. 4,4
Zone à Concavum,4
Lenodus variabilis,4
Big Red,4
Orthograptus amplexicaulis,4
Agenian,4
Hoploscpahites nicolletii | Hoploscaphites nebrascensis zone,4
obtusum Ammonite Zone,4
Subvishnuites posterus,4
Tf1-2,4
N14 Zone,4
Furcata,4
Zone 11(i),4
Hupeolenus,4
Globorotalia fohsi foshi,4
Calceolispongia,4
Mobergella-Schmidtiellus mickwitzi,4
Zone à Gigas ; Sous-zone à Gigas,4
Parabolina spinulosa,4
Zone à Mutabilis ; Sous-zone à Lallierianum,4
MZ9 or MZ10,4
N7 to N8,4
Monograptus yukonensis Zone,4
nodular layer at the base of Cuyahoga Shale,4
Neocomites Subzone,4
Zadonsk Horizon,4
Yunnanaspis-Yiliangella,4
UC7 Biozone,4
Zone à Discites,4
Bristolia anteros occurrence zonule subunit 1,4
Streptograptus nodifer,4
Globotruncana inornata Planktonic Foraminiferal Zone,4
Primus,4
Lower Palmatolepis marginifera Zone,4
Early Rancholabrean,4
Bb,4
Liaoyangaspis,4
Top of Baculites grandis or bottom of Baculites clinolobatus zone,4
C6 Zone,4
Bristolia insolens occurrence zonule,4
Horizon Delta,4
S. maximus Subzone of the Polygnathoides siluricus Zone,4
"horizon 1 of Edwards & Richardson, in Friend & Williams, 1982",4
trigonatum,4
Desmoscaphites bassleri,4
Parahoplites nutfieldensis,4
Ammonite zone sauzei,4
Mendozanus,4
Pycnodonte simile/Veneri cardia teneidensis,4
Tornquistia,4
Pedavis latialatus,4
W.K. I.9 Zone,4
subterminus Fauna?,4
Cistecephalus,4
Goniagnostus nathorsti,260
Irvingtonian or Rancholabrean,516
Yiliangella-Yunnanaspis,5
Zone NN9-10,5
Kilinora spiralis,5
"Acanthoscaphites varians Zone, Acanthoscaphites varians Subzone",5
Eudoxus,5
Sous-zone à Bifrons,5
Solenopleuropsis verdiagana - S. riberoi,5
Shumardia pusilla Zone,5
Plesiadapis cookei,5
Hoplites dentatus Zone,5
Soumailles reference level,5
"Dumortieria levesquei Zone, Phlyseogrammoceras dispansum Subzone",5
Neuenbusch Horizon,5
"P Zone, Pb2 Subzone",5
Ilsanella compressa,5
