v_formation,reps
Ideyama,1
Marada Fm?,1
Berry Formation,1
Kozai Formation,1
Cerro Del Pueblo Formation,1
Savane arbustive,1
Black Ven Marls?,1
Hale Fm.,1
Sol: sable alluvial,1
Gallatin Ls.,1
Forlorn Hope Sh,1
Branch Creek Formation,1
Sulphur Mountain Fm.; Vega-phroso Siltstone Member,1
Scollard Formation; Up To 7m Above Base Of Scollard,1
Whirlwind Fm,1
Laverne/Ogallala Fm.,1
St. Charles Formation,1
Croupes convexes. Roches Grès,1
Fairview FM,1
Vine Hill Ss,1
Jushutiana Formation,1
Calcaires Coquilliers,1
Oriskany Ss|Oriskany Ss,1
Keisly Ls,1
"White River Fm, Upper Oreodon Beds",1
Kedao,1
Williamsville Dolomite Formation,1
Corcona,1
St. Croix,1
Moreno Hill Fm,1
Moradi Fm; Izegouandane Gp,1
SUPIA FORMATION,1
"Horton Bluff Formation, Horton Group",1
Sakaidera,1
Junkerberg Schichten,1
Dukamaje Formation,1
Alkazar Fm,1
Planermergel,1
Savane à inondation courte,1
Tingalpa (Ipswich coal measures),1
Missourian,1
Solnhofen Fm.,1
Karadere,1
CARMEL FORMATION,1
Sardine Fm,1
Stonington Formation,1
Shitsumi,1
Moniwa Fm,1
MORAN,1
Mansfield Fm,1
Bone Valley Fm?,1
Yumaque,1
"Willwood Formation, Grey Bull Zone",1
Gene Autry Shale Formation,1
Gravelly Flat,1
Hounstout Clay,1
Gowanda Formation?,1
Pierce,1
"U2 Formation (Masse, 1976)",1
?Galena Limestone,1
Arbuckle Limestone Formation,1
Chintna,1
Soudan Iron,1
PawPaw Clay,1
Mandagery Ss,1
Lower Monterey,1
Oslobreen Dolomite,1
Cherry Creek Formation,1
Wasatchian Formation; Gray Bull,1
New Scotland Sh.,1
Sol: gley argile alluviale,1
Verdigris Fm,1
Spring Ranch Limestone,1
Shiomi,1
Paradoxides Sh.,1
ALFRED SHALE,1
Cernin Formation,1
Rysedorf Cgl,1
Puerco(?),1
Tres Brazos,1
Threadgill Fm,1
Sol: gley densemble sur argile alluviales à forte salinité.,1
Sepetiba Formation,1
Mariposa,1
Hat Creek Basin,1
Schistes à calcéoles,1
Davutlar,1
Lower Loess,1
Humber Formation,1
"Upper Fruitland Fm., Fossil Forest member",1
Broadway Alluvium,1
Bone Springs Formation,1
Horseshoe Canyon Fm.,1
Bechstein Fm,1
"Pierre  Sh, Lower",1
GOLCONDA LIMESTONE,1
Kingsley Shale,1
Olynian,1
Piedrasluengas,1
Capote Fm,1
Noguchi,1
Medias Aguas Beds?,1
Derbyshire Limestone,1
Youdale Sh,1
Hector-equivalent,1
"Sol: "" terrasse basse"".",1
Matanginui,1
Briones Sandstone,1
Massive Limestone,1
Ceratiten-Schichten,1
Dearborn Sh,1
Cairn Fm,1
Ohshimojo Fm (Lower Mb?),1
Gilmore,1
Chientao Ls,1
Upper Naknek,1
Camp Davis Fm,1
"Willow Creek Formation, Lower",1
KAYENTA,1
Burica Formation,1
Zechsteinkalk Formation,1
Tuntianying,1
Lower Huenfano,1
Taylor Marl Clay,1
Misawa,1
Los Colorados Fm,1
Matt,1
Nahant Ls,1
Krivoi Ruchei,1
Conjola,1
Marlstone Rock FM,1
Biblian,1
Potranca,1
Socorro Ss,1
Coconino Formation,1
Arakida Formation,1
Buckle Marl,1
"Silica Sh., Unit 12",1
Ceratopyge Limestone Formation,1
Bellavally Formation,1
Ancistroceras Kalk,1
Kiltorcan beds,1
Shixi,1
Kalholln Formation,1
Tsusyo,1
Calcaire à entroques,1
Nolichuchy,1
Calcaire à Bélemnites,1
