v_latestEpochOrHighestSeries,reps
Lochkovian,24618
MIDDLE PLEISTOCENE,43
LATE PLIOCENE,299
EARLY PERMIAN,2347
Late-Pliocene,45
Late Cambrian,813
Pliocène ?,46
Boven-Jura,46
EARLY PALEOCENE,46
Holoceen,47
QUATERNARY,47
LATE PERMIAN,47
"PLIOCENE,EARLY",47
PALEOCENE,3632
Upper Miocene,49
Inferior,49
Midden-Jura,49
Middle Silurian,306
Middle-Pleistocene,52
Cretácico Superior,52
Middle/Mid,52
Mississippian,22836
Tithonian,53
Albien,55
Pleistocene,265015
Eemien,56
Maastrichtien,56
Oligoceno,568
Early Triassic,2361
Cambrien Moyen,58
Ypresien,58
PLEISTOCENE?,59
Arenigiano,60
Dévonien Supérieur,317
"MIOCENE,LATE",1853
MIDDLE MISSISSIPPIAN,63
"Miocene,Pliocene",319
Paléocène,66
Lower Carboniferous,67
middle Miocene,579
"EOCENE,LATE",6723
Permien,68
Onder-Jura,69
"Eocene,Oligocene,Paleocene",69
Kungurian,70
Eocene?,70
Pridoli,7238
PLIOCENE?,71
LATE MIOCENE,2376
Miocène,3656
Crétacé Inférieur,329
NOT APPLICABLE,74
Pliocene?,74
Llandoverian,331
Katian,6731
Pliocene-Pleistocene,76
NO DATA,76
Early-Holocene,2380
LATE CRETACEOUS,2380
Ordovicium,78
Early Carboniferous,78
Givetian,78
Jurassique Moyen,1359
Pennsylvanien,592
Oligoceen,81
LATE MISSISSIPPIAN,2897
Wenlock,3153
early Jurassic,82
Boven-Carboon,82
Jurassique Supérieur,338
Oligocene?,84
Late Ordovician,15188
EARLY CRETACEOUS,86
Pliocène,1622
Eocene/Oligocene,855
Hirnantian,344
LATE EARLY EOCENE,89
"PLIOCENE,MIDDLE",89
LutÃ©tien,602
Siluur,91
Jurassique moyen,92
MIDDLE DEVONIAN,92
Midden-Devoon,93
EARLY JURASSIC,95
Floien,95
Late Ediacaran,96
Pleistoceen,96
Crétacé supérieur,97
Furongian,97
Pragian,2402
Middle Pennsylvanian,52066
Helderbergian,99
Pliocene E,99
lower Pleistocene,612
Lopingian,868
Toarcien,102
Early-Pliocene,102
Paleocene,58727
Carboon,104
"Eocene,Miocene,Oligocene",104
Early Cambrian,1640
Middle Devonian,6760
Eoceno,105
EARLY OLIGOCENE,4713
Late,9065
Jura,106
Plioceno,106
"EOCENE,MIDDLE",107
Epoch 3,109
Ludlovian,365
Desmoinesian,8813
LATE DEVONIAN,111
LATE PLEISTOCENE,4976
RECENT,113
Eoceen,370
Miocene L,115
Crétacé Supérieur,1139
Early Pleistocene,116
"""Early Cretaceous""",628
Pleistoceno,118
Ordovicien Supérieur,1398
Pliocene L,119
"OLIGOCENE,EARLY",121
"Eocene, Oligocene",121
Superior,377
Holocene,43641
Late Miocene,122
Ludlow,1914
Pliocene,92028
Late Carboniferous,126
Boven- Pleistoceen,127
Middle Ordovician,6527
Early Permian,2432
Late-Miocene,129
Steptoean,2689
Albian,6531
"MIOCENE,MIDDLE",133
"Eocene,Oligocene",134
EARLY PLIOCENE,134
Eocene-Oligocene,391
Oligocène,904
Guadalupian,138
Dévonien Moyen,1163
Llandovery,3723
Wolfcampian,141
Ordovicien supérieur,143
Late Pennsylvanian,655
LATE TRIASSIC,145
LATE PENNSYLVANIAN,657
,2157365907
Cisuralian,660
Early Jurassic,21909
Late Devonian,4502
Early Pennsylvanian,410
Early,410
Mioceno,155
Late Cretaceous,107932
Pléistocène,157
MIDDLE OLIGOCENE,671
Virgillian,1953
Ibexian,1442
Asselian,163
Middle Mississippian,1187
Tournaisian,420
Late Jurassic,12452
Miocene?,168
"Pleistocene,Pliocene",4520
Jurassique supérieur,682
Serie 3,1708
LATE EOCENE,6060
Wenlockian,174
Cincinnatian,174
"PLEISTOCENE,MIDDLE",4014
Whiterockian,176
Late Triassic,10672
Early-Pleistocene,945
Ordovicien Moyen,5298
MIDDLE PENNSYLVANIAN,2227
Middle,16052
LATE OLIGOCENE,1206
Late Mississippian,440
LATE PALEOCENE,1465
Middle Cambrian,2237
EARLIEST EOCENE,447
Late Silurian,2496
actuel,193
Boven Pleistoceen,193
Boven-Krijt,194
Quaternaire,453
"Pliocene,Pleistocene",198
"PLEISTOCENE,EARLY",14022
Missourian,967
PLEISTOCENE,21703
Oligocene E,203
Eocene,231629
Krijt,206
"Pleistocene,Pliocene?",208
OLIGOCENE,1232
LATE JURASSIC,1233
PLIOCENE,468
Ordovicien Inférieur,1237
Upper,21974
"Miocene,Oligocene",215
EARLY EOCENE,14807
lower Miocene,216
Middle Eocene,1240
Lower,13272
Mioceen,729
Sandbian,1244
Aptian,222
"Oligocene,Miocene",222
Plio-Pleistocene,223
Dévonien Inférieur,991
Pennsylvanian,9695
EARLY MIOCENE,1248
"Pleistocene, Early",226
Early Cretaceous,31970
Carbonifère inférieur,227
Eocene E,228
Early Ordovician,4324
Eocène,6372
Chesterian,7396
Lower/Early,3302
Recent,30694
Jurassique Inférieur,745
EARLY,234
Osagean,491
PLEISTOCENE/RECENT,495
MIDDLE EOCENE,6895
Pleistocene?,240
Middle Miocene,242
Miocene,190962
HOLOCENE,4851
Middle Triassic,1780
MIOCENE,3317
Dévonien inférieur,246
Upper/Late,1526
Oligocene,59127
MIDDLE MIOCENE,761
Late Permian,1020
EARLY HOLOCENE,254
"PLIOCENE,LATE",254
