v_member,reps
Roma Sandstone,1
"TARRANT MBR = LEWISVILLE MBR, UPPER",1
Euless Mbr,1
Ronji Mudstone,1
Niobrara Member,1
Live Oak,1
Bashi Marl Mbr,1
Calhoun Shale,1
Athens Shale,1
Hackness Rock Member,1
3' below Tarkio,1
Medicine Rocks Sandstone,1
Prospect Hill Ss Mbr,1
Station Hollow Member,1
? Unit 12,1
Westley Park,1
Molda,1
Coldwell Beds,1
Harrison ironstone,1
Ranchita Member,1
Rock Creek Conglomerate,1
Keld,1
Deer Creek,1
Indeterminate,1
Cherty Ls.,1
Risin,1
Unit C1,1
Gething,1
Rochester member,1
Barnstone,1
Wilmington Limestone,1
Middle Keuper,1
Roaring Creek Coal,1
Alinya,1
Rohatce,1
Cumana Mbr,1
Sidney Gravel Mbr,1
Vanport flint,1
Gas Point Member,1
"Intermarine Member, Upper Building Stones, ""Red Rag""",1
Middlesex Shale,1
Birkmose Member,1
Quartzite,1
Donny bed,1
Trail Creek,1
Gowanda Member,1
Sidney,1
Carryville,1
Middle Cabbage Patch beds,1
Lockport Shale Member,1
Holtjern,1
Praltos,1
Houchew Creek Mbr,1
Riverside Ss Mbr,1
Unit 30,1
Dark Ls Mbr,1
middle lahar facies,1
Neva Limestone?,1
Fossiliferous Ls Mbr,1
Wiscoy Ss Mbr,1
Bells Sandstone Member,1
Upper (Informal),1
Panther Mountain Mbr,1
Winchell Limestone,1
BAYSHORE CLAY,1
Altamont,1
Birkmose Mbr,1
Unit L10 of Kemp (1985),1
Notgrove Member,1
Unit 2 or 3,1
Olinger Mbr,1
Orthocerenkalk,1
Wingertshell Mbr,1
Sierra,1
Girardeau Limestone,1
Gilbert Coal Mbr,1
Latrania Sand Mbr,1
Cerro-gordo,1
Adgandole,1
Fossil Point Cgl Mbr,1
Popes Creek Ss Mbr,1
Willowbunch,1
Carlile Mbr,1
Laulau Ls Mbr,1
Soft Rock,1
Congo Mbr,1
UPPER CONEY,1
Sylamore Ss Mbr,1
Vilas Sh Mbr,1
MONTEZUMA VALLEY MBR,1
Skanotelus Sh,1
Wolf Lake,1
