v_earliestEpochOrLowestSeries,reps
"Carboniferous, Lower",27
Late Ludlovian,283
Miocene; Middle,1051
Niagaran,28
Lower Upper Devonian,28
Middle Jurassic (Aalenian),28
MIDDLE PLIOCENE,28
"Miocene,Oligocene?",28
Late Cretaceous?,28
Lower Jurasssic,28
Upper Cretaceous (Maastrichtian),796
Ordovicien moyen,29
MIOCENE-PLEISTOCENE,29
LOWER TRIASSIC,29
Richmondian,29
"Eocene, Upper",285
Miocene or Pliocene,541
"Miocene, Pliocene",30
Triassic,30
"Paleocene,Eocene",30
Gotlandian,30
Meramecian,7710
Eocene M,50718
EARLY PLEISTOCENE,31
"EOCENE,MIDDLE?",31
Atokan,1311
Frasnian,32
"Miocene, Lower",32
Probably Middle Jurassic,32
Early/ Middle Pennsylvanian,33
Mesoproterozoic,33
Wenlock to Ludlow,33
Mississippien supérieur,33
Miaolingian - Furongian,33
Dévonien inférieur-moyen,33
Lopingien,33
Miocene M,33
early Permian,34
Miocene-Pleistocene,34
"MISSISSIPPIAN,EARLY",34
"EOCENE,EARLY",546
Ashgillian,35
Silurian (Niagaran),35
"Oligocene, Lower",35
Famennian,35
Miocene ?,35
Quaternary,291
Emsian,36
"PLIOCENE,LATE?",36
Permian; Upper,36
EARLY DEVONIAN,36
Holocene (Amerindian Site),36
Middle Devonian (probably Givetian),36
Middle or Late Devonian,37
upper Middle Cambrian,37
"PENNSYLVANIAN, MIDDLE",37
Late Caradocian,37
Pliocene ?,37
Kinderhookian,37
Middle Carboniferous,38
Actuel,38
Lower Miocene,38
Santonian,38
late Silurian,38
Lower Pennsylvanian,6438
Pleistocene; Wisconsinan; Post,39
DEVONIAN,39
Pleistocene | early,551
Pliocene ?; Pleistocene ?,40
"Devonian, Middle",296
Oligocene | early,41
Emsian to Eifelian?,41
Paleoceno Inferior,41
"Eocene, late or Oligocene, early",809
Eocene,419113
Morrowan,29225
Middle-Pliocene,42
Pliocene; Lower,42
Comanchean,42
LATE OLIGOCENE?,42
Triásico inferior,42
Paleocene to Eocene,298
"MIOCENE,EARLY?",43
MIDDLE PLEISTOCENE,43
Terreneuvian,43
