v_bed,reps
localbed:AM12,1
286 feet,1
localbed:288.95,1
localbed:866.5,1
regionalbed:32.70,1
localbed:1005',1
localbed:Mk 1c,1
Bed: 74r,1
localbed:84MK4; 10.5 m,1
localbed:CM99CGP-1,1
localbed:330m,1
localbed:6.0m above base of member,1
localbed:241.38,1
"Beds 25B, 27B, 67A, 94",1
localbed:Ch-4-I-2,1
localbed:47.875,1
localbed:20.85,1
"localbed:0,03",1
'A',1
"localbed:19,1",1
G110,1
Blocking Seam,1
localbed:95.4,1
localbed:182.7,1
localbed:492.5m,1
Moore Town Shales,1
Bed LB1,1
localbed:76.9,1
localbed:9.00–9.15,1
Bed 4/5,1
Ince Coals,1
Lower Crioceras Bed,1
localbed:B31,1
beta B2,1
Horizon 155,1
localbed:1746,1
localbed:241 m,1
localbed:Livello 8,1
BURLINGTON LIMESTONE,1
localbed:CM99PPS-3,1
localbed:511.5-516.8,1
localbed:Sample 145,1
176 feet,1
localbed:CM99BBR-19b,1
Palate bed,1
Florissant Beds,1
localbed:Sample 95.LM.8,1
lower calcarenites (bed b),1
Stromberg Beds,1
Upper member Fence Post Limestone,1
Homo layer,1
localbed:4.39,1
Guchin,1
Bed R1,1
localbed:shell bed F-2,1
localbed:2108 ft.,1
Ampyx,1
localbed:111.6m above the base of the formation,1
"localbed:NAY 1236,8",1
localbed:1070',1
"localbed:82,4",1
localbed:33.2 to 34m above base of section,1
Lutétien supérieur,1
localbed:R 553,1
localbed:26.2-30.5,1
localbed:just above BM 32,1
463.65-463.8 feet,1
Bed 79,1
Helby Beds,1
localbed:822.5,1
localbed:AIS2,1
"Main Acteonellid Bed, Bed 11",1
beta A1,1
INTERMEDIATE,1
localbed:95.6,1
localbed:Mk 1b,1
localbed:SW4a,1
Brownber Pebble Bed,1
localbed:B11-3,1
Bed NWF.3,1
main red bed,1
localbed:bed Bu-20,1
C B5,1
localbed:11763.45,1
Bed B7,1
localbed:199.46,1
"regionalbed:201,65",1
Bed IV(ii),1
localbed:D23,1
bed O,1
localbed:374,1
localbed:341-441,1
localbed:200.8,1
localbed:Ch-25-I-12,1
208-209 feet,1
localbed:LD603,1
Catton Sponge Bed,1
localbed:11R,1
Bed A or B,1
localbed:CM99BRH-14,1
localbed:727.0m,1
Fisher Bed 7,1
localbed:205b,1
localbed:84MK7; 7.2 m,1
"Cephalopoda Bed, Bed 15 (Doyle, MS)",1
localbed:916-937,1
"localbed:83MK3, 6.0 m",1
localbed:82.68,1
Bed LB 5D,1
FLINT CREEK,1
localbed:128.3,1
Trochiliopora Bed,1
Troy Beds,1
localbed:A22,1
Glenburrell Beds,1
localbed:12.39,1
localbed:0.5-1.0,1
localbed:33.0,1
localbed:1878-1881.5',1
localbed:11.52-11.92,1
Bed M,1
"bed 9, main (third) red bed",1
DB115,1
localbed:36.45,1
localbed:Bubenheimer Berg IV,1
Burlington Limestone base,1
"localbed:87,8",1
FXVII (shore) = Fisher Bed XI +9m approx,1
localbed:260.48,1
localbed:185.75,1
localbed:Sample 69,1
"Top Bed 10, Orange parting -Echinoid level B",1
localbed:183.8,1
210.9-211.05 feet,1
localbed:60.9,1
Fisher Bed VI-VII,1
regionalbed:11974,1
"""Lyddite bed""",1
localbed:89.0,1
localbed:B28,1
Four Fathom Limestone,1
G148,1
localbed:PHo12,1
regionalbed:35 to  40,1
localbed:78.7,1
Black Shale Beds,1
PO6,1
"localbed:middle Dhruma D5,3,base",1
localbed:1 m below Blue Point Sandstone Tongue,1
localbed:2.35,1
Whitaker's 3 inch band,1
Union Mine Seam,1
About 1/2 way between Upper Riley and Lower Riley Limestone,1
delta + 5,1
"P39 of Haynes, about 15 feet below main Stone Band",1
"localbed:82,7",1
"localbed:NAY 1034,9",1
just below Home Creek Limestone,1
localbed:Unit 90,1
localbed:1803-1806,1
W10,1
localbed:NL38,1
localbed:BM 41,1
localbed:S1136,1
N. prestwichiana Bed,1
regionalbed:-,1
"localbed:36,8",1
"Base ""Lexington Cap Rock""",1
Sc.47,1
localbed:45.52–45.50,1
"localbed:96,8",1
A27>,1
localbed:157.8,1
"localbed:13,5",1
localbed:1991.09 m depth,1
13a,1
Below Cottonwood Limestone,1
localbed:4.77,1
localbed:Gage Gully .38m from HFGage4,1
localbed:base of bed 6,1
regionalbed:20-24,1
localbed:68.06,1
Horizon E2,1
Starfish bed #3,1
below main limestones,1
localbed:C-7,1
regionalbed:285,1
"localbed:1,285",1
Division E1,1
localbed:15c,1
Archaeocidaris Bed,1
Speiser Shale,1
localbed:1839-1842,1
122 feet,1
Upper Sandstone,1
Starfish bed #1,1
"Ss bed ±3m above U. Williamsburg Coal, ±2m below Toronto Ls.",1
localbed:1825-1827',1
localbed:30.9m above base of member,1
localbed:1104',1
localbed:4767m,1
423.5-423.9 feet,1
localbed:18SW 18,1
Bed 9 of C. Wood,1
"TITANOTHERIUM, MID?",1
Henrys Fork limestone,1
localbed:871.2,1
localbed:118C,1
"localbed:100,0",1
localbed:D34,1
localbed:Boulder #370,1
426.7-428.0 feet,1
localbed:32.32 - 32.33 m,1
localbed:Unit 113,1
regionalbed:70 to  100,1
second acteonellid layer,1
G133,1
localbed:412.35,1
regionalbed:Layer 10,1
Trilobite,1
localbed:222.1,1
localbed:97.8,1
"all 62 feet, 0-4' above base Pool Creek Mbr.",1
Near top of Shawnee Group,1
localbed:3427,1
Bed 178 of Vasseur (1894) (= Lima Ovata Beds),1
localbed:412.2,1
localbed:US64,1
"localbed:83MK2, 32.8 m",1
D46 A2,1
localbed:838.1-844.8,1
localbed:844.2,1
Alluvial deposits,1
Cherty Beds,1
Klb 8,1
BED 37,1
regionalbed:25 to  35,1
Brede Bone Bed,1
localbed:908.6. - 909.4,1
Lower Garscadden Ironstone Coal,1
nodule-beds,1
localbed:858.6,1
Barn Coal,1
5b,1
26 m above Henry's Fork Tuff - 147 m above base SC,1
localbed:11762.2,1
localbed:2471-2474',1
localbed:52m,1
localbed:B23-2-3,1
322.75-322.9 feet,1
localbed:Coral Horizon 5a4,1
bed 4,1
localbed:536.5 m,1
localbed:913.2,1
localbed:-165-240,1
localbed:84MK6; 11.5 m,1
localbed:9.5m above base of formation,1
localbed:1295,1
localbed:46.83–46.86,1
"localbed:26,50",1
localbed:151.5,1
localbed:1719-1722,1
localbed:MHo45,1
beds of basal 2 metres,1
localbed:Upper Cherty Freshwater,1
bed 4B,1
Starfish Bed #1,1
Bargate Bed,1
localbed:Torchère sandsone,1
localbed:Layers 6 to 7,1
Stewart bed,1
Shattuck Zone 16,1
localbed:CM99CCE-3,1
localbed:Level C11,1
55' above Waldrip,1
localbed:55.8,1
localbed:2041.42 m depth,1
localbed:CM99BRH-17,1
Fisher Bed 19/20,1
localbed:1954.77 m depth,1
localbed:122.2m above the base of the formation,1
localbed:1079,1
localbed:vein Sainte-Barbe de Ransart,1
P.94,1
Zuffardia level with Diptyoptychus,1
localbed:897.8-898.0,1
Smoke Creek,1
localbed:229.39,1
Senni Bed 1,1
localbed:31 | regionalbed:345,1
localbed:2099.08 m depth,1
localbed:53.27,1
localbed:7447,1
Ynisarwed Seam,1
Bed C7,1
regionalbed:0.0 to 0.8,1
localbed:ST-4,1
localbed:328.7,1
Middle Marjum Formation,1
localbed:7291,1
localbed:3414',1
localbed:206.5,1
Upper Fusilinid bed of Neva,1
localbed:bed Bu-18,1
Surface,1
326.75-326.9 feet,1
"Bed 4 or base of Bed 5, originally Bed M1 top.",1
Fisher Bed VI. 24m above lignitic top of Fisher Bed V,1
localbed:248 feet,1
localbed:2089 ft.,1
localbed:12.37,1
localbed:CM01MCS-6,1
localbed:92 feet,1
Ithaca,1
D7C2,1
localbed:108.4,1
localbed:41.2m above base of member,1
localbed:bed 8,1
localbed:1839,1
localbed:1.19,1
localbed:1904,1
60' above top of Lester Limestone,1
localbed:4SW 3.0,1
A5,1
Eype Starfish Bed,1
RC3,1
localbed:866.4-866.7,1
localbed:121.8,1
localbed:8859,1
localbed:2551,1
"Beds 51A, 62, 71, 98",1
Sc.42,1
localbed:3979',1
Bed 83h,1
localbed:76 ft,1
Fisher Bed XI? Marker Bed,1
localbed:Basal 70cm of section.,1
localbed:92.55,1
Lower 1/3,1
"regionalbed:192,68",1
regionalbed:47.7,1
localbed:3188-3197',1
localbed:312.8,1
localbed:R 554,1
localbed:107 | regionalbed:106,1
localbed:Sample 95.I.8,1
Bed C 7B,1
GRAY MICACEOUS SHALE,1
localbed:208.2,1
regionalbed:98.7-98.8,1
localbed:17.7m above base of member,1
localbed:G 40,1
regionalbed:0,1
Barnack Rag,1
localbed:18.4m above base of member,1
Level G-302-3,1
Archaeocyathus Limestone,1
"Beds 25B, 33, 51A, 58, 71, 94, 99B",1
localbed:HM 21,1
Horiz 15' haurt,1
localbed:Bed 6,1
localbed:below BM 36,1
localbed:23.7,1
localbed:77.4,1
localbed:KK 234,1
localbed:2407,1
localbed:Obukhovo,1
localbed:733,1
"localbed:90,6",1
localbed:106-14,1
localbed:569-570,1
localbed:Fisher Gully .19m above HFSitaAm,1
localbed:2114 ft.,1
regionalbed:66 to  90,1
Collyweston Slate,1
Privett's = Mole Coal,1
bed immediately above rubbly button-coral/gastropod level,1
localbed:198.28,1
Bed L6(i),1
"localbed:26,5",1
localbed:2575,1
Level J-585-1  and Level J-585-2,1
regionalbed:566,1
four thin limestone beds,1
localbed:3054-3062',1
localbed:3872',1
localbed:83/3115,1
localbed:Unit 94,1
"localbed:33,4",1
"localbed:83MK3, 14.3 m",1
12.2m above base of Soap Holes LS - 79 m above bas,1
localbed:OC9,1
localbed:559.7,1
localbed:3265,1
localbed:59a,1
3a,1
"Phosphatic Nodule Bed, derived from Oldhaven Beds",1
localbed:85.1,1
localbed:433.8,1
localbed:146.4,1
regionalbed:135 to  205,1
regionalbed:1116.11,1
67,1
localbed:13.8m above base of member,1
localbed:26.5m above base of member,1
4,1
localbed:16.85,1
localbed:-5.8,1
localbed:134.55,1
Horizon Delta (sublaevis level),1
localbed:Dixonfjorden Sandstone,1
Guttenburg float,1
localbed:8774,1
localbed:WB121,1
localbed:Sop-28,1
localbed:6.0 - 6.6 m,1
localbed:912.7 - 912.0,1
"Bed 42 (Deane, 1954)",1
localbed:210.2,1
localbed:119.2,1
199.85-200.0 feet,1
localbed:sample 196195,1
localbed:SW3d,1
localbed:1490,1
localbed:1 m above BM 54,1
localbed:150.0,1
localbed:895,1
regionalbed:B1,1
423.9-424.6 feet,1
localbed:288.4,1
localbed:Tonhorizon zeta,1
localbed:GP 4B,1
localbed:197a,1
E. antiquus Bed,1
localbed:7.8 - 8.4 m,1
localbed:Ta 2,1
localbed:Ce VI | regionalbed:Zone I-III,1
localbed:297.6,1
Rorrington,1
localbed:101.5,1
localbed:5.232,1
localbed:91.8-110.9,1
Lower Atoka Sandstone ad Limestone (Upper part),1
"Miocardia Bed, S5, Fisher Bed 16",1
localbed:1053.7,1
regionalbed:157.8,1
localbed:CM99BRH-9,1
localbed:Evieux,1
localbed:267.6,1
localbed:12B,1
regionalbed:0 to  11,1
Oolitic Raytown? Limestone,1
"Main body, 12cm thick limestone",1
localbed:2-85 B2,1
localbed:132 feet,1
localbed:5657m,1
Level B1.2,1
Asaphus expansus,1
"21/22; near top, below massive, fawn, limestone cliff",1
A3/B,1
"localbed:85,1",1
G130,1
Headon,1
Brusaferri Limestone horizon,1
"Barn Bed, Fisher Bed 1",1
Brockenhurst Beds,1
"bed 11, first leptorbitoline-rich layer above trigoniid bed",1
Ceratodus Bone Bed,1
localbed:42 below top of Barnes' Unit 4,1
Level G-302-8,1
localbed:DeRuyter .16m above HFBasDeR,1
localbed:38.60–38.91,1
localbed:Hall 0,1
372.95-373.1 feet,1
localbed:DB-96,1
"localbed:67,4",1
128-128.15 feet,1
Campanile bed unit S4,1
Nodule Bed 3,1
localbed:7.76,1
"localbed:99,2",1
localbed:103.3,1
localbed:51.93,1
regionalbed:73.3,1
"localbed:ALI 371,6",1
oolitic freestone,1
Collet,1
localbed:Mk 6a,1
G1,1
localbed:57b,1
Sponge Beds,1
localbed:Ngaloba,1
localbed:12.59,1
localbed:776,1
localbed:123.2,1
Upper Lount Seam,1
"localbed:0,9",1
G136,1
localbed:196.7m above base of formation,1
localbed:1016.2,1
Bray Bull,1
localbed:0.7 to 2 m above base of section,1
localbed:3060,1
"Beds 27B, 33, 62, 68, 77",1
Solenites Bed,1
Little Bed,1
Merriam Limestone Upper,1
gastropod bed,1
Bear Stratum BS4,1
localbed:149.3 - 155.4,1
localbed:183m,1
localbed:1969'5-1948'0,1
STENZEL II-C,1
localbed:unspecified,1
localbed:2824-26',1
localbed:2613,1
localbed:86.5 - 89.3,1
Spiriferina Bed,1
localbed:1406',1
localbed:MHo10,1
localbed:3.2m above base of section,1
Ithaca Beds,1
MIDDLE GREY,1
ST.Pete beds,1
localbed:47.75,1
localbed:82.0,1
Coal Number 12 and 13,1
localbed:CM99CWC-1,1
"18"" Layer",1
Bed H99,1
localbed:SW6b,1
localbed:SW5d,1
"Conulus band, Uintacrinus band",1
localbed:242.0m above base of formation,1
localbed:53.3,1
localbed:5.76,1
lower part,1
localbed:TNTE-I-49.8,1
localbed:7-1,1
324.4-324.55 feet,1
localbed:Kerosene Creek Seam,1
regionalbed:Cx-1,1
"localbed:61,2",1
localbed:129a,1
"localbed:70,4",1
localbed:Insect Limestone,1
localbed:four to 22m above base of section,1
A. S. Gale bed 10,1
regionalbed:96,1
localbed:94 feet,1
"Bed 52 (Dean, 1954)",1
360.85-361.0 feet,1
localbed:2118 ft.,1
localbed:2 m above base of Hopi Sandy Member,1
BENWOOD LS?,1
localbed:78.0 m,1
regionalbed:238,1
localbed:4531 ft,1
Bear Gulch Bed,1
localbed:1175,1
localbed:100.3,1
UNIT 45,1
453.1-453.25 feet,1
D4A2,1
bed 24 of A. S. Gale,1
"localbed:78,0",1
bed E11,1
localbed:240 feet,1
"localbed:247,1",1
localbed:3-S-2,1
Miocardia Bed S5 = Fish or Fisher Bed 17,1
localbed:911.8-915.0,1
Shattuck Zone 24,1
localbed:3033,1
Lower Cotter Formation,1
localbed:sixth bioherm bed,1
localbed:125.9,1
Bed D6C,1
localbed:2992-3001',1
Lanaye Member,1
Bed 84,1
localbed:Re-B,1
localbed:C12,1
localbed:PHo17,1
localbed:1832-1837',1
regionalbed:IV,1
Inverness Coal,1
Sutkai Beds,1
153.6-153.75 feet,1
localbed:2.0-2 .12,1
"Little Bed, Fisher Bed 14",1
localbed:466,1
"localbed:67,3",1
Reindeer stratum /Stratum 5 (Last Glaciation),1
Bed D6E,1
localbed:116.1,1
localbed:82.8,1
localbed:266.38,1
localbed:CM01CGP-2,1
Buckman Grit,1
"localbed:83MK3, 13.9 m",1
Limestone,1
70A,1
localbed:94-24,1
localbed:BM 37,1
Paving Stone bed,1
153,1
localbed:1159,1
a+5,1
"localbed:64,4",1
localbed:0.32,1
145.85-146.0 feet,1
localbed:Cf8,1
localbed:50 cm below BM 16,1
localbed:DB93/94,1
localbed:120C,1
localbed:381m,1
localbed:bed 12,1
localbed:54b,1
localbed:1216.0m,1
localbed:177b,1
localbed:194.1,1
regionalbed:854,1
localbed:535.6,1
localbed:32.07–32.08,1
Spondylus level,1
regionalbed:Layer 46,1
localbed:-5.85,1
Bed 111c,1
localbed:CM10PHE-U1,1
localbed:30.25,1
localbed:857,1
"localbed:NAY 1095,1",1
Banc phosphaté,1
76 feet,1
Potamides Bed,1
Cardita Bed Fisher Bed 1,1
localbed:CM99PPS-13,1
localbed:bed Te-29,1
localbed:1-S-11,1
localbed:COL-B-3,1
localbed:2965-2974',1
MC GOWAN,1
localbed:8762,1
localbed:Shell Bed 5 upper Laurens,1
Horizon A3/B junction,1
localbed:2.41,1
localbed:1411,1
'Asterias Bed',1
localbed:Mk 4,1
localbed:212.08,1
regionalbed:horizon 10,1
localbed:250.2,1
Bed 48-49,1
Brown Jura,1
"localbed:NAY 1352,3",1
coral bed,1
localbed:234.88,1
localbed:35-60,1
localbed:190.4,1
Horizon YE12-4,1
localbed:899.4,1
localbed:2980',1
localbed:delta seam,1
44 feet,1
localbed:181.08,1
localbed:948,1
localbed:22-1,1
localbed:2 m above BM 16,1
localbed:70-71,1
localbed:WB165/166,1
"localbed:18,5",1
localbed:Sample 147,1
localbed:2.75 - 3.75,1
Corbula vectensis Bed,1
12.3m below B3 tuff,1
Winterset or Westerville Limestone?,1
localbed:2.72,1
localbed:Bella Cha,1
localbed:91.8,1
localbed:1814.5-1818',1
localbed:Erbsloch-Grauwacke,1
SNAKE CREEK OF OAP,1
209.3-209.45 feet,1
regionalbed:Layer 41,1
Kem Kem,1
regionalbed:884.0-884.6,1
Steinbreche Horizon,1
bed M4,1
localbed:22.55,1
localbed:872.45-872.52,1
localbed:1945-1455,1
"localbed:83MK3, 12.0 m",1
356 feet,1
localbed:944,1
localbed:108.9,1
localbed:9.51–9.72,1
localbed:14.6m above base of formation,1
localbed:CM99NPP-2,1
"Orbirhynchia band, fills of Bed 5 in top of Bed 4",1
Bed F14,1
localbed:59.7,1
localbed:939.0,1
localbed:3 m below BM 68,1
localbed:12C,1
localbed:277.4,1
localbed:Laurentian Gulch,1
localbed:32.29–32.30,1
localbed:493 m,1
localbed:82.9,1
localbed:0.98,1
16,1
BED B,1
W.L.58 bed 5,1
10 feet,1
1 ft above gamma,1
localbed:336.2,1
Bed L7ii/iii,1
"localbed:94,5",1
localbed:96.6,1
localbed:80c,1
coral/rudist/ Hemipneustes level,1
Bala Beds,1
Campanile Bed & Brook Bed,1
localbed:5880,1
echinoid levels a/b,1
localbed:Sa-10.1,1
"localbed:34,1",1
localbed:13.19-15.58,1
localbed:2263 ft.,1
localbed:bed 2,1
Bed C2C,1
localbed:bed Bu-17,1
48C,1
echinoid bed A/B,1
localbed:371.0-377.0,1
G84,1
localbed:155.66,1
"localbed:33,7",1
localbed:-2.1,1
Woolwich Shell Bed,1
localbed:Co-3/7,1
Cyrena Bed E12,1
Fisher Bed XVI = Fisher Bed IX,1
localbed:22 | regionalbed:base,1
"localbed:Discoides Kalk, pumilio -Bank",1
Junction bed,1
localbed:334m,1
localbed:just above BM 10,1
localbed:15.85,1
localbed:Berich Oolithbankeodertifer,1
localbed:882.15-882.3,1
localbed:95.12,1
Upper part of Lower Poleta Formation,1
"localbed:325,6",1
Coral patch horizon. Bed 6,1
Nodule Bed 2,1
9 Foot Seam,1
"Bridger A-B,s 515-568",1
N. rectus level,1
Oolite,1
Wakarusa Limestone (top 25 cm),1
localbed:32.60 - 32.61 m,1
localbed:36.70 - 36.71 m,1
localbed:12 UKi,1
regionalbed:Argiles bleues paisanciennes marines,1
localbed:1093,1
localbed:Sample AK22,1
localbed:387.7,1
138 feet,1
Fisher Bed XVI Fisher Bed VIII,1
localbed:17.2m above base of member,1
localbed:195.0,1
localbed:340 ft,1
first Hemipneustes bed (Bed 14),1
localbed:609.8-611.8,1
localbed:616,1
localbed:NKI10,1
localbed:15SW 16a,1
"localbed:38,2",1
localbed:82.1m above base of member,1
localbed:2304,1
localbed:568.3,1
localbed:11-19,1
localbed:SW4b,1
localbed:MHo46,1
Bed 44a,1
localbed:CM01CCE-6,1
regionalbed:65 to  73,1
bed M12,1
localbed:922,1
From layer near Shell,1
localbed:MO1,1
upper part?,1
localbed:6.95,1
localbed:7.12,1
localbed:82b-2,1
P54,1
Level K-1012,1
localbed:286-291',1
localbed:418/3,1
localbed:132.6,1
A22,1
localbed:105.9,1
"localbed:28,2",1
Bed 118c - Base of Bed 118d,1
Blue Hill Shale (Lower 30 ft),1
Mendota,1
localbed:Boulder #265,1
Iguanodon bed,1
199.65-199.8 feet,1
localbed:628,1
"Bed 4 (Howarth, 1962)",1
localbed:85 | regionalbed:80,1
localbed:23.9,1
localbed:301.7,1
"localbed:8,9",1
localbed:4B,1
Bairstow Bed 433.3,1
Mamillatum Nodule Bed,1
localbed:85/370,1
Trinil Beds,1
localbed:148.4,1
localbed:MHo2,1
197.95-198.1 feet,1
localbed:11772.5,1
Basal glauconitic limestone,1
localbed:3038,1
localbed:4480 ft,1
Bed 34b,1
Shattuck Zone 19,1
"localbed:2,040-2,350",1
Upper Pecten Bed,1
localbed:102.2,1
Lower layers 2 or 3 feet above black shale,1
About 16ft below top of Spence Shale,1
localbed:7.82,1
localbed:CM99BRH-6,1
localbed:2117 ft.,1
"localbed:53,2",1
localbed:Hrp-40,1
localbed:1029,1
Horizon 32,1
regionalbed:0.6,1
localbed:1602,1
Bed 88f,1
localbed:2376,1
Kitaki Limestone Bed,1
localbed:2877',1
localbed:Livello fra e cava,1
localbed:Brooki bed,1
localbed:Virgiana,1
LK86,1
"localbed:38,4",1
151,1
localbed:642.6,1
Jetmore Chalk (JT-7),1
"cementstone, A",1
regionalbed:5 (upp.most),1
localbed:92.85,1
localbed:Saryn',1
Bruscellian,1
localbed:12.78,1
"localbed:37,6",1
"localbed:374,1",1
localbed:45.12–45.35,1
localbed:3321-3333,1
localbed:4-P-3,1
70b,1
localbed:2143 ft.,1
localbed:CA14,1
localbed:21-2,1
Bed B/C,1
bed 21 of G. Ernst,1
13c,1
"cementstone, F1",1
localbed:1717,1
regionalbed:11982,1
378.4-378.55 feet,1
Woolwich Bottom Bed,1
localbed:150.9,1
localbed:TA/MC 70,1
Bed above Shell,1
localbed:50.65,1
localbed:98.1,1
localbed:3.7m from base of section,1
"localbed:83MK2, 29.3 m",1
localbed:S1011M,1
localbed:561.1,1
Cenomanian Limestone Bed A or B,1
Peacehaven Marl,1
Sc 62,1
Bed 129a (Green Ammonite Bed),1
"Lower first limestone, 100 ft below main Lester Limestone",1
localbed:4069',1
localbed:7R,1
localbed:UC13,1
localbed:CM99BRH-15,1
localbed:10.68,1
regionalbed:100.75,1
Chara Beds,1
regionalbed:COM.33,1
localbed:3813,1
localbed:95.28,1
localbed:5534m,1
18 (circled),1
localbed:3950 | regionalbed:3950,1
Opal Beds,1
localbed:855,1
localbed:31.79,1
localbed:7SW 2.5,1
localbed:Ch-27B-1,1
localbed:sample 196289,1
Rock Bed,1
localbed:12SW 1.5,1
localbed:Sample 95.I.6,1
Fisher Bed IV (Eaton Bed 10a),1
Choanite bed (Bed XI base),1
O. tenera Bed,1
Bed C2D,1
lower B,1
113,1
Sc 97,1
bed 76,1
"Bed 15, (Gale's Bed 16, top)",1
localbed:2418-2439 ft,1
"cementstone, D",1
localbed:Co-13/3,1
Tps2,1
Gannister Bed,1
localbed:106B,1
Scalby Ness Plant Bed,1
"localbed:83MK1, 35.7 m",1
localbed:NF Trisacocladus,1
regionalbed:431,1
localbed:0 feet,1
D1B,1
Bed D4C1,1
localbed:10.45–10.65,1
Garscadden Ironstone Seam,1
`,1
localbed:CM01BRH-1,1
208 feet,1
Malm Zeta 2b,1
"localbed:379,7",1
localbed:7448,1
"cementstone, F",1
8.6' shale unit with smal concreations 55.2' below Bent. marker,1
Reef Limestone,1
localbed:Sample 123,1
localbed:1208,1
G,1
localbed:326.5,1
localbed:1.8m from bottom of section.,1
localbed:4018',1
localbed:N. juddii biozone,1
70c alcinoe bed of W.D. Lang = tuberculatus zone of Oppel,1
"localbed:17,3",1
localbed:678,1
regionalbed:0.755,1
90-92,1
localbed:Bed 13a,1
localbed:457.0-475.0 meters,1
localbed:below BM 28,1
Stonesfield Slate,1
regionalbed:670 to  699,1
Wood Coal,1
Cockly Bed,1
localbed:Co-3/5,1
Thallasia Bed,1
358.95-359.1 feet,1
localbed:CM99PPS-10,1
localbed:Sample 97.18,1
localbed:4034',1
177.85-178.0 feet,1
Parkinsonien,1
localbed:149-150,1
"8-Float, Unit 11 of KGS Bulletin 225",1
localbed:2667,1
Caster Horizon,1
Shattuck Zone 18,1
localbed:1074a,1
localbed:2150 ft.,1
localbed:116.8,1
regionalbed:11976,1
localbed:3148',1
Bed I (v),1
Upper Nodule Bed,1
Bed II (ii),1
localbed:108 | regionalbed:208,1
198 feet,1
Layer of chalky Ls. concretions lying 2.4' below Fencepost Ls.,1
localbed:9.0m above base of formation,1
localbed:16 | regionalbed:120,1
localbed:7282 A,1
localbed:32.2-33.85,1
localbed:5 m below Hopi Sandy member,1
"Bed 29 (Howarth, 1962)",1
Jamoytius,1
localbed:323.8,1
localbed:1 m above BM 12,1
Shale below Breckenridge Limestone,1
regionalbed:405,1
localbed:Lower Shale,1
9,1
localbed:Werneroceras Limestone,1
Top Merriam Limestone,1
Bed L7(i),1
localbed:Marlstone Rock,1
"localbed:61,7",1
localbed:2097-2104',1
localbed:36.07 - 36.08 m,1
localbed:389.1,1
localbed:11768.85,1
Horizon? 123a,1
localbed:23.45,1
Brass Thill Seam,1
localbed:315.8,1
localbed:34.05,1
localbed:2003 ft.,1
localbed:58.75,1
Exogyra Bed,1
localbed:MHo44,1
Level 2,1
localbed:249.3,1
Bembridge Beds,1
localbed:564.5,1
localbed:COL-A-13-B-1,1
localbed:Ns II,1
145?,1
about 75' below Abo Sandstone,1
localbed:69.2,1
localbed:108.5,1
SOFT BLUE GRAY SANDY,1
localbed:1369,1
localbed:1133,1
Dm 20,1
Barnea Bed,1
