v_latestAgeOrHighestStage,reps
Albiense,7
Toarcien?,7
Campanian/Maastrichtian,7
Rancholebrean or Holocene,7
DUCHESNEAN?,7
Clarendonian?,7
Upper Triassic,7
Rhétien,7
Maastrichtian?,7
Midwayan,7
Puaroan,7
Champlainian,7
Otamitan,7
Stampien,7
Etalian,7
Ohauan,7
Lower Helderberg,7
MP 16,7
Maastrictian | Campanian,7
MaastrichtianUpper,7
Bendigonian,7
Ulatisian,263
Upper Danian,8
Early Llandeilo,8
Huayquerian,8
Clarendonian-Hemphillian,8
Longtanian,8
Balcomian,8
Carniano,8
Stephanian,8
Drumian,8
Hauterivian to Barremian,8
Waiavan,8
Early Barstovian,8
Ladinien,8
Spinatum,8
Bartonian(?),8
Merioneth,8
Lower Pennsylvanian,8
Volkhovian,8
Piripauan,8
Turneri,8
AUTUNIAN,8
Capay,8
Toarcien,264
Wenlock?,520
Middle Scythian,9
Obtusum,9
Upper Maastrichtian,9
Runangan,9
Emsien?,9
MP 12,9
BRIDGERIAN-UINTAN,9
LATEST VIRGILIAN,9
BURDIGALIAN,9
MN 10,9
Pridolian,9
Eocene,265
Wilcoxian,10
Vyatkian,10
BARREMIAN,10
Lower Emsian (Zlichovian reg.),10
MP 19,10
L. Llanvirnian,10
Penutian,10
Aptian,3338
Helvetian,11
Zancléen,11
L. Givetian,11
TOURNAISIAN,11
Desmoinsian,11
Middle Ludlow,11
Ionian,11
Superior,11
LEDIAN,11
UPPER PALEOLITHIC,11
BURDIGALIAN; VINDOBONIAN,11
"WOLFCAMPIAN, EARLY",11
Clarenonian-Hemphillian,11
Tournaisien,11
Batyrbaian,11
Castlecliffian,267
Early Callovian,523
Skullrockian,12
Hunderumian,12
Croixian,12
CHADRONIAN?,12
Friasian,12
Garantiana,12
RANCHOLABREAN EQUIVALENT,12
EARLY WASATCHIAN,12
Late Coniacian,12
LATE BLANCAN,12
Llanvirn,12
Lower Maastrichtian,12
Early Famennian,12
Middle Devonian,524
Coniacien,13
early Hemphilian,13
Early Triassic,13
Nangaoian,13
VIRGILIAN (STEPHANIAN/GEZHELIAN),13
Siegen,13
Middle Ashgillian,13
Vendian,13
LATE STAMPIAN,13
Blackriverian,13
Tertiary,13
?MIDDLE CHADRONIAN,13
Whiterock,13
L. Lias,525
"Campanian, Lower",525
Onondagaian,14
Solvan,14
WASATCHIAN; LATE GRAYBULLIAN,14
Kukruse,14
Rangerian,14
Senecan,14
Reinbekien Feinsand deposit,14
MaastrichtianLate,14
Lower Cretaceous,14
Semicostatum,14
Balcombian,14
Early Pennsylvanian,15
Valanginien,15
SENONIAN,15
Early Uintan,15
Castlemainian,15
LOWER ORELLAN?,15
Subrecent,15
LATE WISCONSINAN,15
C.c. V,15
Thouarsense,15
Vormsi,15
LATE WESTPHALIAN D,15
Chattiense,15
Tatarian,15
Aquitanian or Burdigalian,271
MN 4,16
HEERSIAN,16
Early Kundan,16
Johvi,16
Murgabian,16
Mayvillian,16
FAMENNIAN,16
Trémadocien?,16
SU,16
TORREJONIAN 3,16
Campanien,16
Bucklandi,16
Antiguan,16
L. Ashgillian (Berounian),16
IRDINMANHAN,16
Tommotian,272
Early Santonian,784
Middle Frasnian,17
Early Llanvirn,17
VILLAFRANCHIAN,17
Chasiquense,17
Lower Pliocene,17
Waitakian,17
Early Carnian,17
ALBIAN,17
Late Chadronian,17
Toarcian,3601
Hemphillian,36625
Priabonian / Jacksonian,18
Early Devonian,18
Cheneyan,18
MaastrichtianLower ?,18
actuel,18
Leornardian,18
middle Cenomanian,18
LATE MISSOURIAN,18
LOWER LUDIEN,18
Sunwaptan,18
UPPER BURDIGALIAN,18
Urzhumian,18
Permian,274
LATEST CLARENDONIAN,274
Illyrian,2066
C.c.IV,19
BLANCAN,19
Aseri,19
Tithonian to Hauterivian,19
early Oligocene,19
Late Emsian,19
EARLY UINTAN,19
Urutawan,19
MP 11,19
Georgian,19
BARTONIAN,19
Judithian - Edmontonian,19
VINDOBONIAN; HELVETIAN,19
Bashkirian / Morrowan,19
Homerian (Wenlock),275
Maastrichtiano,20
Dolgellian,20
AQUITANIAN,20
Montehermosan,20
Westphalian C,20
UINTAN B,20
MN 14,20
Tenuicostatum,20
DUCHESNEAN,20
WASATCHIAN,2836
Arenig,21
Kashirian,21
C.c.VI,21
PUERCAN,21
Archean,21
Pléistocène,22
MP 30,22
Late Eifelian,22
Liasicus,22
Magnesian,22
MN 15,22
Opalinum,22
Darriwiliano,22
CARNIAN,22
Gelasiense,22
Early Chadronian,22
fifth stage,23
ASTARACIAN,23
Vereian,23
Upper Cretaceous,23
Opoitian,23
TIFFIANIAN,23
Autunian,23
Marsdenian,23
Barstovian-Clarendonian,23
APTIAN,23
Ynezian,23
Badenian,279
MN 1,24
NEOCOMIAN,24
Hauterivien,24
Meramecian,24
Soudleyan,24
"Cenomanian, Upper",24
"Mohawkian, Chatfieldian",24
early Late Barstovian,25
Late Barremian,25
Waipawan,25
Bolindian,25
MP 21,25
ARIKAREEAN?,25
Langhian to Tortonian,25
Medio,26
"Saucesian,Relizian",26
TORTONIAN,26
Tiglien,26
CENOMANIAN,26
Taoyuanian,26
Upper Devonian,26
Tortonien,26
Barremian/Aptian,26
Yprésien,282
Ypresian?,27
Priaboniense,27
Triassic,27
VISEAN,27
LUTETIAN,27
Montanan,27
Barrémien,27
Riochican,27
Julian,27
Gisbornian,27
Middle Lutetian,283
Mohnian,539
WASATCHIAN; SABINIAN,539
L. Emsian (Zlichovian),795
Changhsingian,4123
Chokierian,28
Berriassian,28
Dzhulfian,28
early Miocene,28
Albian/Cenomamian,28
Late Hauterivian,28
Quaternary,28
Portlandian,28
Middle Burdigalian,284
Early Clarendonian,29
L. Ludlow,29
Oolite,29
Upper Senonian,29
Pennsylvanian,29
Upper Carboniferous,29
Ontarian,29
Praguien,29
Huronian,29
Kaiatan,29
Cénomanien,541
Paleogene,30
Parkinsoni,30
Priabonien,30
Middle Berriasian,30
Campanian - Maastrichtian,30
Black River,30
Early Bathonian,286
YPRESIAN,286
Floian,542
Ludlovian,542
Campanian,13342
Hastarian,31
MAASTRICHTIAN?,31
Daleje,31
Upper Wenlockian,31
LEONARDIAN,287
L. Darriwilian (Dobrotivian),287
Zechstein,287
Late Turonian,287
Onondagan,32
Late Cretaceous,32
Mayan,32
Podolskian,32
DUCHESNEAN LATE,32
Siegenian,32
Late Osagean,32
Jamesoni,32
Lujanian,32
Aptian or Albian,32
Early Cretaceous,288
Kungurian,1824
WASATCHIAN; LOSTCABINIAN,3872
Devonian,33
LOWER BURDIGALIAN,33
Cuisian,33
Pelsonian,33
early,33
Homerian (wenlock),33
"Maastrichtian, Lower",33
MN 13,33
Lutetian,7969
Tournasian,34
Yapeenian,34
Coblencian,34
MP 17B,34
middle to late,34
Upper Albian,34
late Oligocene,34
Dapingian,546
Sandbian,802
Messinian,3106
Late Tuvalian,35
Early Hettangian,35
Late Guadalupian,35
Tiupampian,35
Late Famennian,35
Serravallien,1827
Turonian - Coniacian,2083
Middle Givetian,36
Ensenadense,36
Ibexian,36
CLARENDONIAN,36
CHESTERIAN,36
Itaboraian,36
Helderberg,292
LATE CHADRONIAN,548
Gorstian,804
Lower/Early,37
TORTONIAN; VINDOBONIAN,37
Aptien,37
WESTPHALIAN D,37
Induan,3109
Middle Danian,38
Visean / Meramecian,38
Middle Triassic,38
Lochkovien?,38
Early Severodvinian,38
Late Miocene,2598
Motuan,39
Late Berriasian,39
Duyunian,39
Late Llandeilo,39
Pragian to L. Eursian,39
Langhian,5159
Datsonian,40
MP 14,40
VALLESIAN,40
Rotliegendes,41
Silurian,41
Haumurian,41
Late Pliocene,2089
WASATCHIAN; LATE GRAYBULLIAN OR LYSITEAN,42
Berriasien,42
LATE AQUITANIAN,42
Early Pliocene?,42
Monroecreekian,43
Valangian,43
Coblenzian,43
Pirgu,43
Chapadmalense,43
Valaste,43
Holkerian,299
late Gedinnian,44
Dobrotivian,44
middle Oligocene,44
Santacrucian,44
Arenigian,44
late Early Hemphillian,44
Early Eocene,556
Cenomian,45
Kazanian,45
Lower Miocene,45
Lower Cuisian,45
Campanian  | Maastrichtian,46
?Turonian,46
Dienerian,46
Priabonian-Rupelian,46
Llandeilo,48
OIS 7,48
Carnian,1072
Turonian ?,49
Martinez,49
Rakvere,49
WISCONSINAN/HOLOCENE; RANCHOLABREAN,49
LATE TIFFANIAN,305
Oxfordian,8753
Hirnantian-Rhuddanian,50
Leonard,50
Clarendonian or Hemphillian,50
Shermanian,562
Onnian,818
Wordian,1330
Maastrichtiense,52
Late Aptian,52
Late Pliensbachian,52
Morrowan,52
Plaisancian,52
Westphalian A,52
Tuvalian,52
Early Eocene / Wasatchian,52
Homerian,564
Early Sinemurian,564
CHADRONIAN,3636
Guadalupian,53
Late Valanginian,53
Plaisancien,53
Longobardian,53
Early Aalenian,53
Tortonian,2101
Aeronian,3381
L. Asghillian (Kralodvorian),54
Refugian?,54
Carboniferous,54
Keila,55
Trentonian,55
Middle/Lower Burdigalian,311
Gelasian,6455
Wangcunian,56
Nemakit-Daldynian,56
TORREJONIAN,56
Late Jurassic,312
LATE KANSAN; IRVINGTONIAN,824
Late Paleocene,824
Mohawkian,57
MN 6,57
Llandoverian,57
Middle Lias,569
Westphalian B,58
Uintan,58
RHAETIAN,58
Cisuralian,58
Chapadmalalan,58
Caradoc,314
Ludfordian,1082
STAMPIAN,59
Chapadmalalense,59
Lower Carboniferous,59
Thanétien,59
Upper Burdigalian,315
Tournaisian,1339
EARLY BRIDGERIAN,2107
Taijangian,60
Famennien,60
Sandbien?,60
Llanvirnian,60
MN 16,61
Undillan,61
LATE ASTARACIAN; VALLESIAN,61
Late Triassic,61
Namurian,61
BARSTOVIAN,4413
Helderbergian,62
Haljala,63
Elton,63
Upper Tortonian,63
Middle Ordovician,63
Gardnerbuttean,319
WISCONSINAN; RANCHOLABREAN,319
Bithynian,319
L. Ashgillian (Kralodvorian),575
Early Turonian,320
Blancan,7744
late,65
Furongian,65
EARLY CLARKFORKIAN (CF1),65
Middle Cenomanian,321
Gzhelian,1601
Danian,2881
Lower Devonian,66
Blackhillsian,66
Santonien,66
WOLFCAMPIAN OR LEONARDIAN,322
Middle Toarcian,322
Poundian,67
Maestrichtian,67
Khamovnichean,68
MN 5,68
Late Santonian,68
Ulatsian,69
Noginian,69
Upper Pliocene,69
LATE WASATCHIAN; LOSTCABINIAN,69
Tiffanian,3141
MAASTRICHTIAN,70
Aquilan,838
Toyonian,71
WASATCHIAN; LATE GRAYBULLIAN-LYSITEAN,71
Cretaceous,71
Berriasian,2375
Coniacian | Santonian,72
Ufimian,328
Late Albian,584
Zlichovian,73
Whiterockian,73
Upper,329
HEMPHILLIAN,74
STEINHEIMIAN; MIDLANDIAN GLACIAL,74
NOT APPLICABLE,74
Cryogenian,74
Late Callovian,586
Sinémurien,75
St Davids,75
LATEST WHITNEYAN OR EARLIEST ARIKAREEAN,1099
Repettian,76
Ladiniano,77
TIFFANIAN 4,333
Callovien,333
Lacian,334
4–Wuliuan boundary,334
Cenomanian,14670
Late Carnian,79
Katien,335
Tithonien,80
