v_group,reps
Hamilton Grp. equivalent,2
CIIDAE,2
Irrawady,2
Gaptank-Canyon Group,2
Merino,2
Areada,2
Canadaway or L. Conneaut Grps.,2
Middle Lias,2
ARAD,2
Chari,2
Mercia Mudstone Group,2
HUDSON RIVER GROUP,2
Onondagan,2
Il'inskaya,2
Arikaree Grp,2
Claiborne?,2
Sichuan,2
"Washita Group, Comanche Series",2
Frederickburg Group,2
Borden (Knobstone) Group,2
Devonian,2
Denver-Arapahoe,2
Kinsey Canyon,2
Santa Margarita,2
Messiouta,2
Pitoushan,2
Labinskaya,2
Ochi,2
Laki Group,2
Poludennaya,2
polyzoal limestone of Marrawah,2
House Limestones,2
Back Creek Group,2
DRYOPIDAE,2
Sellersburg,2
Waterline Group,2
Valmy Grp,2
Thames Grp.,2
Bambushy Group,2
Yemen Volcanic,2
Iwamura,2
Trenton (Simulatrix bed),2
Stuhini,2
Hudson River Grp.,2
Uchiura Group,2
Lower Buntsandstein,2
LOWER PLEITO,2
Shinarump,2
Tedori,2
MAYSVILLE STAGE,2
Treadwater Group,2
TULSA GROUP,2
Saheb el Rhassel,2
Kaskaskia group,2
Rio Huso,2
"Gosport Sandstone Member, Claiborne Group",2
Sandstone series,2
Podkoomskay,2
Spence,2
Okse Bay,2
Eyre,2
?Corniferous Grp.,2
Lambton,2
Tunnel City Group,2
ATTELABIDAE,2
Hitoegane Formation,2
Eday Flagstone Group,2
Saarbrucken,2
Jince,2
Bonanza,2
Lorraine Grp.,2
Munising Group,2
Mancos,2
Washington,2
Pulliam,2
Gallup/Mancos,2
Xarqung,2
Khasi,2
Santa Barbara formation,2
Giron,2
Crag Grp,2
CLINTON GRP,2
CHEROKEE GROUP,2
Barnsley Thick Coal,2
Los Sombreros,2
Pucara Group,2
San Pedro Group,2
Rebun,2
Zongpu,2
Etchegoin Grp,2
Hallstatt Facies,2
Nymboida Coal Measures,2
"Lexington Ls Grp, Upper",2
Cutler Grp.,2
Yanji,2
Appekunny Argillite,2
Guyabo Grp,2
Sierre de Olte,2
Lower Oil Shale Group,2
Itoshiro,2
UPPER LIAS,2
Hedmark,2
Otter Creek Coral Bed,2
Lower Ecca,2
VIEJA GRP.,2
Nanao,2
Lower Jijicao,2
Clematis,2
Gurye,2
M\,2
Birmingham Group,2
GUalanday,2
COPACABANA?,2
Chickamauga Grp,2
Sotoizumi,2
Providence Ls,2
Scottish Lower Ls grp,2
Pedee,2
Lambeth,2
Volcano Peak,2
Greene,2
Hawhorn,2
2e Bani,2
Unknown,2
Mba Group,2
Waldron,2
Huyiachura,2
JACKSON,2
Nama Group,2
Hamilton Grp.,258
"Wealden Supergroup, Weald Clay Group",1282
Waipapa,3
Nuevo Leon,3
West Falls Grp,3
Jefferson City,3
Bangestan Group,3
Golden Grove,3
Boskovice Graben,3
Kelemute,3
c,3
Ulster White Limestone,3
St. Paul Group,3
buntsandstein,3
Cornbrash,3
U. Burlington,3
Jackson Grp.,3
Edenian,3
Hawker Group,3
Homberg Group,3
Minochi,3
Bracklesham Grp?,3
Ara,3
Achotal,3
Bell,3
Windermere,3
"Carboniferous Limestone Supergroup, Edge Coal Group",3
Greenland Gap Group,3
Wanwanian,3
Badong,3
Tanabe,3
Honto,3
Ballantrae Group,3
Edwards,3
Genessee,3
Yatsuo,3
Nogata,3
STRAWN,3
Vilquechicho,3
Jusanhama,3
Copacabana Grp.,3
Sarka,3
Ord Group,3
Awa,3
VICKSBURGENSIS,3
