continent,reps
Anevoka River,10
Angel Lake,1
Angels Creek,6
Angora Lake,7
Animalia,1
Animas River,1
Annie's Spring,19
Antactica,1
Antarctic,6981
Antarctic Ocean,4831
Antarctic Region,11
Antarctic Seas,9
Antarctica,119944
Antarctica / East Antarctica,91
Antarctique,869
Antarktis,36
Antartica,5
Anthony Creek,73
Anthony Lake,97
Antillean Islands,2439
Antilles,189
Antilles françaises,2
Antioch Creek,2
Ant·rtica,63
AntÃ¡rtica,104
Antártica,3
Antártico,685
Antártida,2801
Antártida/Antártico,2
Apalachee River,8
Apalachee river,20
Apalachicola River,1
Appalachicola River,7
Apple Creek,4
Apple River,159
Apple creek,1
Arabian Sea,30
Aransas River,1
Arbor Lake,6
"Arbre facile à polir par suite fibrage presque fin""",1
Arbutus Branch,3
Archangel Creek,1
Archey Creek,1
"Archie Fork, Little Red River",1
Arctic,8745
Arctic O.,47
Arctic Ocean,39771
Arctic Region,628
Argentina,1
Arima River,8
Aripuanã,2
Arkansas River,28
Arkansas River Station  6,1
Arktis,4
Armadilha CDC 10m,7
Armadilha CDC 1m,1
Armadilha de Luz,154
Armadilha de luz,2
Armark River,1
Armbrust Pond,1
Arms Creek,2
Armstrong Lake,4
Armuchee Cr,1
Arnica Creek,8
Arnold Creek,1
Arnold Lake,2
Arnold River,11
Arnold's Creek,2
Aron River,3
Arrayan River,1
Arrowhead Creek,16
Arrowhead Pond,1
Arroyo Colorado Creek,2
Arroyo Mocho,7
Arroyo Mucho,6
Arroyo Pehuenco,2
Arroyo Rosarito,41
Arroyo de las Vacas,17
Arthur Lakes,1
Artillery Lake,3
Artist's Brook,11
Asa,1
Asa Creek,9
Asakawa River,3
Ash  Creek,2
Ash Creek,2
Ash Hopper Branch,1
Ashley Creek,1
"Ashley Creek, Cypress Creek",2
Ashmore Creek,1
Asia,3277730
Asia - Océano Pacífico,2
Asia - Temperate,1
Asia / Australia,149
Asia / Australia ?,5
Asia / Europe,1
Asia ?,81
Asia Merídional,1
Asia Temperate,10
Asia temperate,3
"Asia, Middle East",31
Asia-Temperate,257966
Asia-Temperate / Asia-Tropical,6
Asia-Temperate / Europe,2
Asia-Temperate ?,1
Asia-Temperation,1
Asia-Tropical,1195258
Asia-Tropical-Tropical,1
Asia-temperate,626
Asia-tropical,73
Asia/América/Pacífico,2
Asia/Europe,101
Asia/Indian Ocean,1
Asia/Indoaustralia,32
"Asia/Mar Arábigo, Índico",13
"Asia/Mar Rojo, Índico",5
"Asia/Mar de Andamán, Índico",3
"Asia/Mediterráneo, Atlántico",39
Asia/Oceanía/Pacífico,3
Asia/Pacífico,2518
Asia/Pacífico o Índico,1
Asia/Índico,126
Asia/Índico/Pacífico,6
Asia; Europe,1
Asia; North America,5
Asia?,59
Asia?/Indoaustralia?,2
Asiatique,498
Asie,52104
Asie ?,9
Asie centrale,49
Asie de l'Ouest,3
Asie mineure,51
Asie paléarctique,68
Asie/paléarctique,1
Asien,3093
Asien NO,1
Asien NÖ,1
"Asien S, tropiska [hemland]",1
Asien S.O. [hemland],1
Asien SO [hemland],1
Asien [hemland],3
"Asien [hemland], Europa",1
Asien [osäkert],1
"Asien [osäkert], Europa [osäkert]",31
Asien [troligt],1
Asien [ursprung],4
"Asien [ursprung], Europa [ursprung]",1
"Asien, Europa",5
"Asien, M",2
"Asien, NO",4
"Asien, NÖ",5
"Asien, O [hemland]",1
"Asien, SO [hemland]",2
"Asien, nordöstra",1
"Asien, norra",1
"Asien, sydvästra",9
"Asien, sydvästra [osäkert]",2
"Asien, sydöstra [hemland]",1
"Asien, södra",1
"Asien, tropiska [hemland]",1
"Asien, västra [osäkert], Europa [osäkert]",1
"Asien, östra",8
Asiático,1
Assabet River,1
"Assegaibos Stream, tributaryof Jonkershoek River",1
Asshippum River,2
Astray Lake,21
Athabaska River,11
Atigun River,1
Atikameg Lake,1
Atlanitic,1
Atlantic,193248
Atlantic Ocean,181159
Atlantic Ocean / Baltic Sea,1
Atlantic Ocean / Caribbean Sea,1497
Atlantic Ocean / Gulf of Mexico,1711
Atlantic Ocean / Mediterranean Sea,459
Atlantic Ocean / NE Atlantic,1419
Atlantic Ocean / NW Atlantic,10696
Atlantic Ocean / SE Atlantic,1113
Atlantic Ocean / SW Atlantic,2994
Atlantic Ocean and Antarctic Ocean,26
Atlantic Ocean and Arctic Ocean,2
Atlantic Ocean and Indic Ocean,78
Atlantic Ocean and Pacific Ocean,341
"Atlantic Ocean, Pacific Ocean and Indic Ocean",9
Atlantic ocean,649
Atlantic-Pacific Oceans,1
Atlantica,2
Atlantico,4
Atlantique,22
Atlántico,1571
Atlántico Norte,439
Atlántico Sur,5491
Atlântico,7
Atl�ntico,1
Attawapiskat Lake,20
Attawapiskat River,2
Attica River,1
Au Gres River,21
"Au N-W d'Antsiranana""",1
"Au Nord de Vohémar""",1
Au Sable River,41
"Au Sud du Cap Tanjona (Mitsinjo)""",2
Au Train River,2
Auglaize River,3
Augusta Creek,38
Aukerman Creek,1
Aullwood Branch,1
Aullwood Creek,1
Aurora Creek,5
Ausable River,28
Austral,67
Australasia,545097
Australasia?,29
Australasian,3
Australasie,403
Australasien,1171
Australia,183543
Australia & Oceania,32381
Australia (Continent),6023
Australia ?,48
Australia and Oceania,40
Australia/Oceania,2
Australian,24803
Australie,29
Australien,20
Australien [Hemland],1
Australien [hemland],7
Australien [osäkert],1
Australien [ursprung],1
"Austràlia, Oceania i altres territoris",763
Austrália,5
Auth Lake,1
Aux Chene River,2
Aux Sable Creek,2
Aux Vasse Creek,5
"Aux environs du P.K.30""",1
Auxier Creek,6
Auxier Creek Ditch,10
Avalanche Creek,6
Avalanche Lake,3
Ayer Lake,9
Aylworth Creek,2
Aylyama River,141
Azië,2
Azja,192
Azores (several wb),157768
Azores EEZ,3621
