organismScope,reps
Leucosporidium antarcticum Fell et al.,3
"Leucosporidium drummii Yurkov, Schäfer & Bergerow",1
Leucosporidium fellii Giménez-Jurado & van Uden,1
Leucosporidium scottii Fell et al.,8
Leucostoma cinctum (Fries) von Höhnel,2
Leucostoma niveum (Hoffmann) von Höhnel,5
Leucostoma translucens (De Notaris) von Höhnel,1
Lichtheimia corymbifera (Cohn) Vuillemin,12
Lichtheimia ramosa (Zopf) Vuillemin,6
Lignosus rhinocerotis (Cooke) Ryvarden,1
Limnoperdon incarnatum Escobar,1
Limonomyces culmigenus (Webster & D. Reid) Stalpers & Loerakker,1
Limonomyces roseipellis Stalpers & Loerakker,3
Lipomyces kononenkoae Nieuwdorp & al.,1
Lipomyces kononenkoae Nieuwdorp et al. subsp. kononenkoae,5
Lipomyces lipofer Lodder & Kreger-van Rij ex Slooff,5
"Lipomyces mesembrius Botha, van der Walt & M. Th. Smith",1
Lipomyces sp.,3
Lipomyces spencermartinsiae Van der Walt & M.T. Smith,4
Lipomyces starkeyi Lodder & Kreger-van Rij,16
Lipomyces tetrasporus Krasil'nikov et al. ex Nieuwdorp et al.,6
Lipomyces yarrowii Van der Walt & M.Th. Smith,1
Lodderomyces elongisporus (Recca & Mrak) van der Walt,4
Lopadostoma pouzarii Granmo & L.E. Petrini,1
Lopharia cinerascens (Schweinitz) G.H. Cunnningham,1
Lopharia mirabilis (Berkeley & Broome) Patouillard,8
Lophotrichus bartlettii (Massee & Salmon) Malloch & Cain,1
Lophotrichus macrosporus (Faurel & Locquin-Linard) von Arx et al.,1
Lophotrichus martinii R.K. Benjamin,1
Loweporus lividus (Kalchbremer) J.E. Wright,2
Lunulospora curvula Ingold,1
Lycoperdon foetidum Bonorden,1
Lycoperdon perlatum Persoon,1
Lylea tetracoila (Corda) Holubová-Jechová,1
Lyophyllum ulmarium (Bulliard : Fries) Küehner,1
Macroalgas,4
Macrolepiota procera (Scopoli : Fries) Singer,5
Macrolepiota rhacodes (Vittadini) Singer,3
Macrolepiota rhacodes var. hortensis (Pilát) Vasser,1
Macrophomina phaseolina (Tassi) Goidanich,4
Madurella mycetomatis (Laveran) Brumpt,2
"Madurella pseudomycetomatis J. Yan, J. Deng, C.J. Zhou, B.Y. Zhong & F. Hao",1
"Magnusiomyces capitatus (de Hoog, M.T. Smith & E. Guého) de Hoog & M.T. Smith",7
"Magnusiomyces ingens (de Hoog, M.T. Smith & E. Guého) de Hoog & M.T. Smith",3
Malassezia furfur (Robin) Baillon,7
Malassezia globosa Midgley & al. (Gueho & al.),2
Malassezia pachydermatis (Weidman) Dodge,7
Malassezia slooffiae Guillot & al.,3
Malassezia sympodialis Simmons & E. Guého,30
Malbranchea cinnamomea (Libert) van Oorschot & de Hoog,3
Malbranchea pulchella Saccardo & Penzig,6
Mammaria echinobotryoides Cesati,12
Marasmius androsaceus (Linnaeus : Fries) Fries,3
Marasmius oreades (Bolton : Fries) Fries,2
Margaritispora aquatica Ingold,1
Mariannaea camptospora Samson,3
Mariannaea elegans (Corda) Arnaud ex Samson,5
Mariannaea elegans (Corda) Arnaud ex Samson var. elegans,6
Mariannaea elegans (Corda) G. Arnaud ex Samson var. elegans,2
Massarina arundinacea (Sowerby: Fries) Leuchtmann,2
Mastigobasidium intermedium W. Gobulev,1
Mastigosporium deschampsiae Jørstad,1
Mastigosporium rubricosum (Dearness & Bartholomew) Nannfeldt,1
Matsushimomyces indicus V.G. Rao & Varghese,1
Megalocystidium chelidonium (Patouillard) Boidin et al.,14
Megasporoporia setulosa (Hennings) Rajchenberg,1
Melanconium juglandinum Kunze,1
Melanconium sacchari Massee,1
Melanospora argentinensis (Spegazzini) Calviello,1
Melanospora inaequalis Cain,1
Melanospora pascuensis Stchigel & Guarro,1
Memnoniella brunneoconidiophora L. Lombard & Crous,1
Memnoniella dichroa (Grove) L. Lombard & Crous,1
Memnoniella echinata (Rivolta) Galloway,2
Memnoniella pseudonilagirica L. Lombard & Crous,1
Memnoniella putrefolia L. Lombard & Crous,1
Menispora caesia Preuss,1
Menispora glauca Persoon,1
Menispora minuta Tubaki,4
Menisporopsis novae-zelandiae Hughes & Kendrick,1
Menisporopsis pirozynskii Varghese & V.G. Rao,1
Menisporopsis theobromae S. Hughes,5
Merimbla ingelheimensis (van Beyma) Pitt,6
Meripilus giganteus (Persoon : Fries) Karsten,2
Merismodes anomalus (Persoon : Fries) Singer,1
Meruliopsis corium (Fries : Fries) Ginns,11
Meruliopsis hirtellus (Burt) Ginns,2
Meruliopsis taxicola (Persoon) Bondarzew,1
Merulius tremellosus Schrader : Fries,5
Mesobotrys simplex Gilman & Abbott,1
Metacordyceps sp.,1
Metarhizium anisopliae (Metschnikoff) Sorokin,3
Metarhizium anisopliae (Metschnikoff) Sorokin var. anisopliae,8
Metarhizium anisopliae (Metschnikow) Sorokin,6
Metarhizium anisopliae var. majus (Johnston) Tulloch,1
Metarhizium brunneum Petch,1
Metarhizium flavoviride W. Gams & Rozsypal,1
Metazythiopsis halepensis Morelet,1
Metschnikowia agaves Lachance,1
Metschnikowia australis (Fell & Hunter) Mendonça-Hagler & al.,1
Metschnikowia bicuspidata (Metschnikoff) Kamenski,2
"Metschnikowia chrysoperlae Suh, C.M. Gibson & M. Blackwell",2
"Metschnikowia continentalis Lachance, C.A. Rosa, Starmer, Schlag-Edl., J.S.F. Barker & J.M. Bowles var. borealis",2
"Metschnikowia continentalis Lachance, C.A. Rosa, Starmer, Schlag-Edl., J.S.F. Barker & J.M. Bowles var. continentalis",2
"Metschnikowia cubensis Fidalgo-Jiménez, Daniel, Evrard, Decock & Lachance",19
Metschnikowia drosophilae Lachance,1
Metschnikowia fructicola Kurtzman & Droby,1
Metschnikowia gruessii Giménez-Jurado,3
Metschnikowia hamakuaensis M.A. Lachance et al.,2
Metschnikowia hawaiiensis Lachance,2
Metschnikowia kamakouana M.A. Lachance et al.,2
Metschnikowia koreensis Hon et al.,1
Metschnikowia krissii (van Uden & Castelo-Branco) van Uden,1
Metschnikowia lochheadii Lachance,2
Metschnikowia lunata Golubev,1
Metschnikowia mauinuiana M.A. Lachance et al.,2
"Metschnikowia noctiluminum N.H. Nguyen, Suh, Erbil & M. Blackwell",1
Metschnikowia pulcherrima Pitt & M.W. Miller,8
Metschnikowia pulcherrima Pitt & Miller,2
Metschnikowia reukaufii Pitt & Miller,3
Metschnikowia santaceciliae M.A. Lachance & J.W. Bowles,2
Metschnikowia sinensis M.L. Xue & L.Q. Zhang,1
Metschnikowia sp.,8
"Metschnikowia viticola G. Péter, Tornai-Lehoczki, M. Suzuki & Dlauchy",1
Metschnikowia zobellii (van Uden & Castelo-Branco) van Uden,1
Metulodontia nivea (P. Karsten) Parmasto,1
"Meyerozyma caribbica (Vaughan-Martini, Kurtzman, S.A. Meyer & E.B. O'Neill) Kurtzman & M. Suzuki",3
"Meyerozyma caribbica (Vaughan-Martini, Kurtzman, S.A. Meyer & E.B. ONeill) Kurtzman & M. Suzuki",14
Meyerozyma guilliermondii (Wickerham) Kurtzman & M. Suzuki,65
Microalgas,7245
Microascus albonigrescens (Sopp) Curzi,2
Microascus brevicaulis Abbott,1
"Microascus chartarum (G.Smith) Sandoval-Denis, Gené & Guarro",1
"Microascus chartarus (G. Smith) M. Sandoval-Denis, J. Gené & J. Guarro",2
Microascus cinereus (Emile-Weil & Gaudin) Curzi,2
Microascus cirrosus Curzi,9
Microascus longirostris Zukal,2
Microascus manginii (Loubière) Curzi,13
Microascus niger (Sopp) Curzi,5
"Microascus paisii (Pollacci) M. Sandoval-Denis, J. Gené & J. Guarro",6
Microascus pyramidus Barron & Gilman,1
Microascus senegalensis von Arx,1
Microascus trigonosporus C.W. Emmons & B.O. Dodge,3
Microascus trigonosporus C.W. Emmons & B.O. Dodge var. trigonosporus,7
Microbotryum scabiosae (Sowerby) G. Deml & Prillinger,1
Microbotryum scorzonerae (Albertini & Schweinitz) G. Deml & Prillinger,1
Microbotryum violaceum (Persoon : Persoon) G. Deml & Oberwinkler,2
Microdiplodia palmarum (Corda) Diedicke,1
Microdochium bolleyi (Sprague) de Hoog & Hermanides-Nijhof,6
Microdochium nivale (Fries) Samuels & Hallett,1
Microporellus adextrinoideus Decock,1
Microporellus celtis (T.T. Chang & W.N. Chou) C. Decock,2
Microporellus obovatus (Junghuhn) Ryvarden,1
Microporellus violaceo-cinerascens (Petch) David & Rajchenberg,1
Microporus affinis (Blume & Nees ex Fries) Kunt,8
Microporus vernicipes (Berkeley) Imazeki,2
Microsporum audouinii Gruby,189
Microsporum boullardii Dominik & Majchrowicz,1
Microsporum canis Bodin,127
Microsporum canis Bodin var. distortum di Menna & Marples,4
Microsporum cookei Ajello,24
Microsporum equinum (Delacroix & Bodin) Guéguen,6
Microsporum ferrugineum Ota,2
Microsporum fulvum Uruburu,27
Microsporum gallinae (Mégnin ex Guéguen) Grigoraki,3
Microsporum gypseum (Bodin) Guiart & Grigorakis aggr.,78
Microsporum incurvatum (Stockdale) P.-L. Sun & Y.-M. Ju,7
Microsporum langeronii Vanbreuseghem,2
"Microsporum mirabile J.S. Choi, Gräser, Walther, Peano, Symoens & de Hoog",3
Microsporum nanum (Fuentes & al.) Fuentes,6
Microsporum persicolor (Sabouraud) Guiart & Grigorakis,38
Microsporum praecox Rivalier ex Padhye & al.,6
Microsporum racemosum Borelli,2
Microsporum rivalieri Vanbreuseghem,18
"Microsporum vanbreuseghemii Georg, Ajello, Friedman & Brinkman",2
"Milky white, abdomen orange with black dorsal dots. Forewing more or less sprinkled with sharply defined black dots, of which there are always some at the costa and others arranged in rows in the disc. Hindwing with discal dots and often with anal ones and others. Antennae black.",14
Millerozyma acaciae (Van der Walt) Kurtzman & M. Suzuki,1
Millerozyma farinosa (Lindner) Kurtzman & M. Suzuki,10
Minimedusa polyspora (J.W. Hotson) Weresub & Leclair,1
Mirandina breviphora Matsushima,1
Mirandina fusiformis (C.A. Shearer & J.L. Crane) Matsushima,1
Mollicarpus cognatus (Berkeley) Ginns,6
Mollisia caesia (Fuckel) Saccardo sensu Sydow,1
Mollisia cinerea (Batsch : Fries) Karsten,2
Mollisia cinerella Saccardo,1
Mollisia cinereo-olivascens (Saccardo) Le Gal & Mangenot,1
Mollisia discolor (Montagne) Philips,1
Mollisia fallax (Desmazières) Gillet,1
Mollisia fusca (Persoon : Fries) Karsten,1
Mollisia heterosperma Le Gal,1
Mollisia hydrophila (P. Karsten) Saccardo,1
Mollisia ligni (Desmazières) Karsten var. ligni,1
Mollisia ligni var. olivascens Feltgen sensu Grelet,1
Mollisia lividofusca (Fries : Fries) Gillet,1
Mollisia nigrescens (Feltgen) Le Gal & Mangenot,1
Mollisia olivascens (Feltgen) Le Gal,1
Mollisia undulato-depressula Le Gal & Mangenot,1
Mollisia ventosa (Karsten) Karsten,1
Monacrosporium cionopagum (Drechsler) Subramanian,2
Monacrosporium gephyropagum (Dreschler) Subramanian,1
Monacrosporium megalosporum (Drechsler) Subramanian,1
Monacrosporium parvicolle (Drechsler) R.C. Cooke & C.H. Dickinson,1
Monacrosporium psychrophilum (Drechsler) R.C. Cooke & Dickinson,1
Monacrosporium tentaculatum A. Rubner & W. Gams,1
Monacrosporium thaumasium (Drechsler) de Hoog & van Oorschot,1
Monascus argentinensis Stchigel & Guarro,1
Monascus pilosus K. Satô ex D. Hawksworth & Pitt,1
Monascus pilosus Sato ex Hawksworth & Pitt,6
Monascus purpureus Went,6
Monascus ruber van Tieghem,11
"Monascus sanguineus P.F. Canon, Abdullah & B.A. Abbas",1
Monilia aquatilis Malguth,1
Monilia brunnea Gilman & Abbott,1
Monilia formosa Sakaguchi et al. (nom. inval.),1
Monilia geophila Oudemans,1
Monilia humicola Oudemans,1
Moniliella acetoabutans Stolk & Dakin,7
Moniliella acetoabutens Stolk & Dakin,1
"Moniliella fonsecae Rosa, Nakase, Jindamorakot, Limtong, Lachance, Fidalgo-Jiménez, Daniel, Pagnotta, Inacio & Morais",1
Moniliella mellis (Fabian & Quinet) Vasant Rao & de Hoog,2
Moniliella oedocephalis (R.H. Haskins & J.F.T. Spencer) C.A. Rosa & Lachance,2
Moniliella pollinis (Hennebert & Verachtert) de Hoog & Guého,13
Moniliella sp.,1
Moniliella suaveolens (Lindner) von Arx,1
Moniliella suaveolens (Lindner) von Arx var. suaveolens,4
Moniliella suaveolens var. nigra (Burri & Staub) de Hoog,7
Monilinia fructigena (Aderhold & Ruhland : Fries) Honey,1
Monilinia fructigena (Aderhold & Ruhland) Honey,5
Monilinia laxa (Aderhold & Ruhland) Honey,6
Moniliophthora roreri (Ciferri) H.C. Evans et al.,1
Monilochaetes dimorphospora Réblová & W. Gams,1
Monocillium dimorphosporum W. Gams,1
Monocillium indicum S.B. Saksena,3
Monocillium nordinii (Bourchier) W. Gams,2
Monocillium tenue W. Gams,1
Monodictys aspera (Corda) Hughes,3
Monodictys asperospora (Cooke & Massee) M.B. Ellis,5
Monodictys austrina Tubaki,1
Monodictys castaneae (Wallroth) Hughes,5
Monodictys castaneae (Wallroth) S. Hughes,6
Monodictys floriformis Castañeda,1
Monodictys fluctuata (Tandon & Bilgrami) M.B. Ellis,5
Monodictys levis (Wiltshire) Hughes,1
Monodictys nigrosperma (Schweinitz) W. Gams,11
Monodictys putredinis (Wallroth) S. Hughes,2
Monographella albescens (von Thümen) Parkinson et al.,1
Monographella nivalis (Schaffnit) E. Müller var. nivalis,4
Monosporella microaquatica (Tubaki) R.H. Petersen,1
Morchella esculenta Linnaeus : Fries,2
Mortierella cystojenkinii W. Gams & Veenbaas-Rijks,1
Mortierella elongata Linnemann,1
Mortierella hyalina (Harz) W. Gams,2
Mortierella isabellina Oudemans,4
Mortierella lignicola (Martin) W. Gams & R. Moreau,1
Mortierella ramanniana (Möller) Linnemann var. ramanniana,6
Mortierella ramanniana var. angulispora (Naumov) Linnemann,2
Mortierella verticillata Linnemann,2
Mortierella vinacea Dixon-Stewart,1
Mrakia frigida (Fell et al.) Y. Yamada & Komagata,13
Mrakia nivalis (Fell et al.) Y. Yamada & Komagata,3
Mrakia psychrophila M.-X. Xin & P.-J. Zhou,1
Mrakia sp.,2
Mucor abundans Povah,1
Mucor alternans van Tieghem,1
Mucor circinelloides f. griseocyanus (Hagem) Schipper,1
Mucor circinelloides f. lusitanicus (Bruderlein) Schipper,4
Mucor circinelloides van Thieghem,11
Mucor circinelloides van Thieghem f. circinelloides (Bruderlein) Schipper,1
Mucor circinelloides van Thieghem f. lusitanicus (Bruderlein) Schipper,1
Mucor circinelloides van Tieghem,2
Mucor circinelloides van Tieghem f. circinelloides,2
Mucor circinelloides van Tieghem f. janssenii (Lendner) Schipper,2
Mucor exponens (Burgeff) Walther & de Hoog,1
Mucor flavus Bainier,2
Mucor genevensis Lendner,1
Mucor guilliermondii Nadson & Phillippov,2
Mucor hiemalis Wehmer f. hiemalis,12
Mucor hiemalis f. corticola (Hagem) Schipper,3
Mucor hiemalis f. silvaticus (Hagem) Schipper,5
Mucor indicus Lendner,2
Mucor microsporus Namyslowski,1
Mucor moelleri (Vuillemin) Lendner,1
Mucor mucedo Linnaeus : Fries,4
Mucor mucedo Linnaeus ex Fries,2
Mucor nidicola sp. nov.,1
Mucor plumbeus Bonorden,20
Mucor racemosus Fresenius,2
Mucor racemosus Fresenius f. racemosus,4
Mucor racemosus f. sphaerosporus (Hagem) Schipper,1
Mucor recurvus Butler,1
Mucor saturninus Hagem,1
Mucor sp.,1
Mucor zychae var. linnemanniae Schipper,1
Myceliophthora lutea Costantin,8
Myceliophthora vellerea (Saccardo & Spegazzini) van Oorschot,18
Mycena epipterygia (Scopoli : Fries) S.F. Gray,1
Mycena galericulata (Scopoli : Fries) S.F. Gray,1
Mycoacia nothofagi var. australiensis Reid,7
Mycoacia uda (Fries : Fries) Donk,3
Mycocentrospora acerina (Hartig) Deighton,1
Mycogone perniciosa Magnus,3
Mycogone rosea Link,1
Mycoleptodiscus atromaculans Bills & Polishook,1
Mycoleptodiscus terrestris (Gerdemann) Ostazeski,1
Mycosphaerella dianthi (Burt) Jørstad,1
Mycosphaerella fijiensis M. Morelet,16
Mycosphaerella graminicola (Fuckel) Schroeter,47
Mycosphaerella macrospora (Klebahn) Jørstad,1
Mycosphaerella readeriellophora Crous & J.P. Mansilla,1
Mycotypha africana Novak & Backus,1
Mycotypha microspora Fenner,8
Myriococcum praecox Fries : Fries,1
Myriodontium keratinophilum Samson & Polonelli,2
Myrothecium carmichaelli Greville,1
Myrothecium cinctum (Corda) Saccardo,8
Myrothecium dimorphum Ts. Watanabe,1
Myrothecium inundatum Tode,1
Myrothecium lachastrae Saccardo,1
Myrothecium roridum Tode : Fries,8
Myrothecium roridum Tode ex Fries,2
Myrothecium setiramosum Castañeda,1
Myrothecium verrucaria (Albertini & Schweinitz) Ditmar ex Fries,1
Mystrosporium adustum Massee,1
Myxotrichum chartarum Kunze ex Fries,1
Myxotrichum deflexum Berkeley,10
Myxotrichum sp.,2
Myxotrichum stipitatum (Lindfors) Orr & H. Kuehn,1
Myxozyma kluyveri van der Walt et al.,1
Myxozyma melibiosi (Shifrine & Phaff) van der Walt et al.,1
Myxozyma mucilagina (Phaff et al.) van der Walt et al.,1
Nadsonia fulvescens (Nadson & Konokotina) Sydow var. fulvescens,1
Nadsonia fulvescens var. elongata (Konokotina) Golubev & M.T. Smith,1
Nais inornata Kohlmeyer,1
Nakaseomyces bacillisporus (Lachance et al.) Kurtzman,1
Nakaseomyces delphensis (Van der Walt &Tscheuschner) Kurtzman,1
Nakaseomyces sp.,1
Nakataea cylindrospora Castañeda et al.,2
Nakataea fusispora (Matsushima) Matsushima,4
Nakazawaea ernobii (Lodder & Kreger-van Rij) Kurtzman & Robnett,1
"Nakazawaea holstii (Wickerham) Y. Yamada, K. Maeda & Mikata",4
Nalanthamala vermoesenii (Biourge) Schroers,1
Nannizzia cajetani Ajello,1
Nannizzia incurvata Stockdale,1
"Nannizziopsis draconii Cabañes, Abarca, Stchigel, Cano et Guarro",1
Nannizziopsis vriesii (Apinis) Currah,1
Nattrassia mangiferae (H. Sydow & Sydow) Sutton & Dyko,2
Naumovia castelli (Capriotti) Kurtzman,16
Navisporus floccosus (Bresadola) Ryvarden,7
Navisporus perennis Ryvarden & Iturriaga,1
Navisporus sulcatus (Lloyd) Ryvarden,2
Nectria augustoi Upadhyay,1
Nectria aurantiaca (Tulasne) Jaczewski,1
Nectria berkeleyana (Plowright & Cooke) Dingley,1
Nectria camerunensis Appel & Strunk,1
Nectria cinnabarina (Tode : Fries) Fries,1
Nectria coccinea (Persoon : Fries) Fries,7
Nectria coccophila (Tulasne) Wollenweber & Reinking,1
Nectria desmazieri De Notaris & Beccari,1
Nectria diploa Berkeley et Curtis,1
Nectria episphaeria (Tode: Fries) Fries,1
Nectria flavoviridis (Fuckel) Wollenweber,1
Nectria fuckeliana Booth,2
Nectria galligena Bresadola,21
Nectria haematococca Berkeley & Broome,19
Nectria inventa Pethybridge,22
Nectria ipomoeae (Halsted) Wollenweber,6
Nectria lugdunensis J. Webster,6
Nectria ochroleuca (Schweinitz) Berkeley,22
Nectria pallidula Cooke,1
Nectria pseudotrichia Berkeley & M.A. Curtis,4
Nectria rigidiuscula Berkeley et Broome,1
Nectria rishbethii C. Booth,1
Nectria tawa Dingley,2
Nectria ventricosa C. Booth,1
Nectria vilior Starbäck,29
Nectriella miltina (Montagne) Saccardo,1
Nectriopsis broomeana (L.R. & C. Tulasne) W. Gams,1
Nectriopsis violaceae (Fries) Maire,1
Nemania bipapillata (Berkeley & M.A. Curtis) Pouzar,2
Nemania caries (Schweinitz) Van der Guth,1
Neocosmospora africana von Arx,1
Neocosmospora boninensis Udagawa et al.,1
Neocosmospora endophytica Polishook et al.,1
Neocosmospora falciformis (Carrión) L. Lombard & Crous,7
Neocosmospora rubicola L. Lombard & Crous,1
Neocosmospora vasinfecta E.F. Smith,3
Neocosmospora vasinfecta E.F. Smith var. africana (von Arx) P. Cannon & D. Hawksworth,1
Neofabraea alba (E.J. Guthrie) Verkley,3
Neofabraea malicorticis H.S. Jackson,1
Neogymnomyces demonbreunii (Ajello & Cheng) Orr,1
Neolentinus dactyloides (Cleland) Redhead & Ginns,1
Neosartorya arxii Udagawa et al.,1
Neosartorya aurata (Warcup) Malloch & Cain,1
Neosartorya aureola (Fennell & Raper) Malloch & Cain,7
Neosartorya fischeri (Wehmer) Malloch & Cain,17
Neosartorya glabra (Fennell & Raper) Kozak,1
Neosartorya hiratsukae Udagawa et al.,3
"Neosartorya hiratsukae Udagawa, Tsubouchi & Horie",7
Neosartorya primula Udagawa et al.,1
Neosartorya pseudofischeri Peterson,2
Neosartorya pseudofischeri S.W. Peterson,7
Neosartorya quadricincta (Yuil) Malloch & Cain,1
Neosartorya quadricincta (Yuill) Malloch & Cain,2
Neosartorya sp.,2
Neosartorya spathulata Takada & Udagawa,2
Neosartorya spinosa (Raper & Fennell) Kozakiewicz,1
Neosartorya stramenia (Novak & Raper) Malloch & Cain,1
Neosartorya tatenoi Horie et al.,1
Neoscytalidium dimidiatum (Penzig) Crous & Slippers,20
"Neoscytalidium hyalinum (C.K. Campbell & J.L. Mulder) A.J.L. Phillips, Groenewald & Crous",5
Neoscytalidium novaehollandiae Pavlic,2
Neotestudina rosatii Segrétain & Destombes,1
Neurospora crassa Shear & B.O. Dodge,4
Neurospora sitophila Shear & B.O. Dodge,6
Neurospora tetrasperma Shear & B.O. Dodge,3
Nidularia farcta (Roth) Fries,1
Nigrofomes melanoporus (Montagne) Murrill,12
Nigroporus durus (Junghuhn) Murrill,1
Nigroporus vinosus (Berkeley) Murrill,2
Nigrospora musae McLennan & Hoëtte,1
Nigrospora oryzae (Berkeley & Broome) Petch,1
Nigrospora panici Zimmermann,1
Nigrospora sacchari (Spegazzini) Mason,4
Nigrospora sphaerica (Saccardo) E.W. Mason,1
Nigrospora sphaerica (Saccardo) Mason,6
Nodulisporium africanum G. Smith,2
Nodulisporium cinnamomeum (van Beyma) de Hoog,1
Nodulisporium cylindroconium de Hoog,1
Nodulisporium didymosporum Nicot,1
Nodulisporium gregarium (Berkeley & Curtis) J.A Meyer,1
Nodulisporium gregarium (Berkeley & M.A. Curtis) J. Meyer,1
Nodulisporium griseobrunneum B.S. Mehrotra,2
Nodulisporium hinnuleum G. Smith,5
Nodulisporium melonis T. Watanabe & M. Sato,1
Nodulisporium tuberum Fontana & Bonfante ex de Hoog,1
Nodulisporium verrucosum (van Beyma) G. Smith,3
Nomuraea rileyi (Farlow) Samson,1
Nothopanus hygrophanus (Montagne) Singer,1
Nyctalis asterophora Fries,1
Nyctalis lycoperdoides (Persoon) Konrad & Maublanc,2
Nyctalis parasitica Bulliard : Fries,1
Ochrocladosporium frigidarii Crous & U. Braun,1
Ochroconis anellii (Graniti) de Hoog & von Arx,1
Ochroconis constricta (Abbott) de Hoog & von Arx,14
Ochroconis gallopava (W.B. Cooke) de Hoog,1
"Ochroconis globalis Samerpitak, Duarte, Attili-Angelis & de Hoog",1
Ochroconis humicola (Barron & Bush) de Hoog & von Arx,8
Ochroconis musae (G.Y. Sun & Lu Hao) Samerpitak & de Hoog,2
Ochroconis sp.,1
Ochroconis tshawytschae (Doty & Slater) Kyrylenko & Al-Achmed,9
Oculimacula yallundae (Wallwork & Spooner) Crous & W. Gams,2
Oedocephalum glomerulosum (Bulliard : Fries) Saccardo,1
Oedocephalum nicotianae Oudemans,1
"Ogataea allantospora G. Péter, Tornai-Lehoczki & Dlauchy",1
"Ogataea angusta (Teunisson, H.H. Hall & Wickerham) S.O. Suh & J.J. Zhou",1
"Ogataea cecidiorum Glushakova, Maximova, Kachalkin & Yurkov",1
"Ogataea glucozyma (Wickerham) Y. Yamada, K. Maeda & Mikata",1
"Ogataea henricii (Wickerham) Y. Yamada, K. Maeda & Mikata",1
"Ogataea minuta (Wickerham) Y. Yamada, K. Maeda & Mikata",1
"Ogataea nitratoaversa G. Péter, Tornai-Lehoczki & Dlauchy",1
Ogataea polymorpha (Morais & M.H. Maia) Y. Yamada,1
"Ogataea thermophila G. Péter, Tornai-Lehoczki, K.S. Shin & Dlauchy",1
"Ogataea wickerhamii (Capriotti) Y. Yamada, M. Matsuda, K. Maeda & Mikata",2
Oidiodendron cerealis (von Thuemen) Barron,1
Oidiodendron cerealis (von Thümen) Barron,14
Oidiodendron chlamydosporicum Morrall,1
Oidiodendron citrinum Barron,1
Oidiodendron echinulatum Barron,2
Oidiodendron flavum von Szilvinyi,1
Oidiodendron griseum Robak,11
Oidiodendron majus Barron,3
Oidiodendron periconioides Morrall,1
Oidiodendron rhodogenum Robak,7
Oidiodendron setiferum Udagawa & Toyazaki,1
Oidiodendron tenuissimum (Peck) Hughes,10
Oidiodendron truncatum Barron,3
Oidium pullorum Jungherr,1
Oligoporus caesius (Schrader: Fries) Gilbertson & Ryvarden,9
Oligoporus subcaesius (David) Ryvarden & Gilbertson,17
Olpitrichum macrosporum (Farlow) Sumstine,3
Oncopodium paspali Castañeda et al.,1
Onychocola canadensis L. Sigler,1
Onychocola canadensis Sigler,24
Onygena corvina Albertini & Schweinitz : Fries,1
Onygena equina (Willdenow: Fries) Persoon,1
Oosporidium margaritiferum Stautz,1
Oosporidium margaritiferum W. Stautz,1
"Ophiostoma arduennense Carlier, Jacobs, Decock & Maraite",18
Ophiostoma bacillosporum (Butin & Zimmerman) de Hoog & Scheffer,3
Ophiostoma brevicolla (R.W. Davidson) de Hoog & R.J. Scheffer,1
Ophiostoma canum (Münch) H. & P. Sydow,3
Ophiostoma dentifundum Aghayeva & M.J. Wingfield,1
Ophiostoma distortum (Davidson) de Hoog & Scheffer,1
Ophiostoma gossypinum (Davidson) J. Taylor,1
Ophiostoma ips (Rumbold) Nannfeldt,5
"Ophiostoma koreanum Masuya, J.-J. Kim & M.J. Wingfield",4
Ophiostoma kryptum K. Jacobs & Kirisits,2
Ophiostoma megalobrunneum (Davidson & Toole) de Hoog & Scheffer,2
Ophiostoma minus (Hedgcock) H. & P. Sydow,3
Ophiostoma multiannulatum (Hedgcock & Davidson) N. Fries,2
Ophiostoma narcissi Limber,3
Ophiostoma nigrocarpum (Davidson) de Hoog,2
Ophiostoma nigrum (Davidson) de Hoog & Scheffer,1
Ophiostoma novo-ulmi Brasier,2
Ophiostoma penicillatum (Grosmann) Siemaszko,5
Ophiostoma piceae (Münch) H. & P. Sydow,15
Ophiostoma piliferum (Fries : Fries) H. & P. Sydow,5
Ophiostoma piliferum (Fries ex Fries) H. & P. Sydow,3
Ophiostoma pluriannulata (Hedgcock) H. & P. Sydow,1
Ophiostoma polonicum Siemaszko,1
Ophiostoma populinum (Hinds & Davidson) de Hoog & Scheffer,1
Ophiostoma quercus (Georgévitch) Nannfeldt,15
Ophiostoma rostrocylindricum (R.W. Davidson) von Arx,1
Ophiostoma seticolle (Davidson) de Hoog & Scheffer,1
Ophiostoma sp.,1
Ophiostoma stenoceras (Robak) Melin & Nannfeldt,14
Ophiostoma tetropii Mathiesen,1
Ophiostoma tremulo-aureum (Davidson & Hinds) de Hoog & Scheffer,1
Ophiostoma ulmi (Buisman) Nannfeldt,5
Ophiostoma verrucosum Gebhardt et al.,1
Oudemansiella canarii (Junghuhn) von Höhnel,2
Oudemansiella mucida (Schrader : Fries) von Höhnel,1
Ovadendron sulphureo-ochraceum (van Beyma) Sigler & Carmichael,1
Pachnocybe albida Berkeley,1
Pachybasium niveum Rostrup,2
Pachysolen tannophilus Boidin & Adzet,3
Paecilomyces aerugineus Samson,1
Paecilomyces amoeneroseus (P. Hennings) Samson,1
Paecilomyces canadensis (Vuillemin) Brown & Smith,1
Paecilomyces carneus (Duche & Heim) A.H.S. Brown & G.Smith,5
Paecilomyces carneus (Duché & Heim) A.H.S. Brown & G. Smith,2
