organismScope,reps
Amylocorticium subincarnatum (Peck) Pouzar,4
Amyloflagellula inflata Agerer & Boidin,2
Amyloflagellula verrucosa Aegerer & Boidin,1
Amylosporus bracei (Murrill) A. David & Rajchenberg,2
Amylosporus campbellii (Berkeley) Ryvarden,8
Amylosporus sp.,1
Amylostereum areolatum (Fries : Fries) Boidin,11
Amylostereum chailletii (Persoon : Fries) Boidin,12
Amylostereum ferreum (Berkeley & Curtis) Boidin & Lanquetin,9
Amylostereum laevigatum (Fries : Fries) Boidin,5
Anguillospora longissima (Saccardo & Sydow) Ingold,1
Anixiopsis biplanata Guého & De Vroey,2
"Annulohypoxylon annulatum (Schweinitz : Fries) Y.-M. Ju, J.D. Rogers & H.M. Hsieh",1
"Annulohypoxylon cohaerens (Persoon) Y.M. Ju, J.D. Rogers & H.M. Hsieh",2
Annulohypoxylon fulvum J. Fournier & Lechat,2
Annulohypoxylon massivum Sir & Kuhnert,1
"Annulohypoxylon moriforme (Hennings) Y.M. Ju, J.D. Rogers & H.M. Hsieh",2
"Annulohypoxylon multiforme (Fries: Fries) Y.-M. Ju, J.D. Rogers & H.-M. Hsieh",3
Annulohypoxylon nouraguense J. Fournier & Lechat,4
"Annulohypoxylon purpureopigmentum Jad. Pereira, J.D. Rogers & J.L. Bezerra",1
"Annulohypoxylon stygium (Léveillé) Y.M. Ju, J.D. Rogers & H.M. Hsieh",6
Annulohypoxylon subnitens J. Fournier & Lechat,1
Annulohypoxylon substygium Sir & Kuhnert,1
"Annulohypoxylon truncatum (Schweinitz) J.M. Ju, J.D. Rogers & H.M. Hsieh",1
"Annulohypoxylon truncatum (Schweinitz) Y.M. Ju, J.D. Rogers & H.M. Hsieh",1
Antenaglium platoniae Albuquerque & Reis,1
Anthopsis deltoidea Marchisio Fontana & Luppi Mosca,1
Antrodia albida (Fries : Fries) Donk,2
Antrodia juniperina (Murrill) Niemelä & Ryvarden,1
Antrodia lenis (P. Karsten) Ryvarden,1
Antrodia serialis (Fries : Fries) Donk,3
Antrodia sinuosa (Fries) Karsten,1
Antrodia xantha (Fries : Fries) Ryvarden,11
Anungitea brevicatenata Castañeda & Kendrick,1
Anungitea fragilis Sutton,4
