identificationVerificationStatus,reps
Description required (for the regional records committé),24
Determinação online Reflora,2659
Dialog at reporter,2194
Dialog at validator,331
Dialogue at reporter,4257
"Dialogue at reporter, hidden sighting",119
Dialogue at validator,546
Dialogue with reporter,4901
Dialogue with validator,2500
Documentation requested,588
Doubtful,301
"Doubtful : data is surprising, but there isn’t enough information to invalidate it as such.",586
Endem,1
Endé,1
Endémique,102
Endémiqueique,123
Familia 100% | Género 100% | Especie 100%,11
Fragm.Flor.Geobot,87
Identificación provisional,78
Identified,2537
Identified to the rank of genus,357
Identified to the rank of species,120
Identified to the rank of subspecies,9
Invalid,1
Isotype of Bulbophyllum ballii,1
Need not be validated,261854
No verificado,2060
Not able to validate,17720
Observation,125508
Observation certified,4
Photograph,30
"Probable, high degree of reliability",4923819
Probably correct,283
R. A. Edgren,1
Report treated regional (for National Rarities Committee),906
Report treated regional (for National Rarities Committé),12
Report treated regional (for National Validation Committé),723
Report written (for Regional Validation Committee),1476
Report written (for Regional Validation Committé),1660
Reports should be written (for National Validation Committé),187
Reports should be written (for Regional Validation Committé),506
Sighting,6935
Sighting certified,3
Sighting photograph,71
Specimen,12276
Specimen Certified,4
Specimen Certified Photographed,1
Specimen Photograph,13
Specimen genitalia examined,15
Specimen genitalia preparate,68
Specimen with DNA sequence,2
Type,7
Unvalidated,69035397
Validation requested,8532
Verificado,2352
Verificado por el curador,1
Verificado por especialista,20235
Verified,6074
Verified Observation,34701
afrique centrale,679
approved on expert judgement,3600524
approved on knowledge rules,6487276
approved on photographic evide,18643
approved on photographic evidence,1285158
audio-visual,535
coarse features,16318
confirmed,326102
endémique,403
endémique et type,14
expert,364
features,1132672
field,16
fine features,15593
function,2
geographic distribution,23648
https://resolver.globalnames.org/data_sources/1,1917
https://resolver.globalnames.org/data_sources/11,538
https://resolver.globalnames.org/data_sources/4,2
isoparatype,4
legacy,1339
molecular,11274
questionable,1902
relationship,2727
revised taxonomy,224469
student,5
subendémique,2
type,8
type specimen,1
unknown,1588047
unverified,6663520
validated,1132972
validated by,6197
validated by  Gelbgras F.,113
validated by  GestionEaudYves,1
validated by  Koen,18
validated by  de Gids     J.W.,1
validated by  de Jong     J.W.,1
validated by  fotoopa,3
validated by  sp,6
validated by 1000espèces Laplaign,3
validated by 1000espèces Ploegste,2
validated by 1000soorten Bulskamp,9
validated by 1000soortendag Harel,8
validated by 1000soortendag Ieper,8
validated by Abts M.,7
validated by Abts P.,17
validated by Acke D.,1
validated by Ade M.,1
validated by Adriaens T.,16
validated by Adriaens V.,3
validated by Adriaensens R.,4
validated by Adrieaenssens R.,1
validated by Aelvoet I.,1
validated by Aernaut M.,3
validated by Aerts M.,1
validated by Aeschlimann R.,7
validated by Aimont H.,1
validated by Alaerts G.,16
validated by Alberts H.,5
validated by Alexis B.,2
validated by Allaert R.,17
validated by Allard J.,1
validated by Allegaert M.,2
validated by Allein S.,65
validated by Alles P.J.,3
validated by Allewaert M.,18
validated by Ameels M.,5
validated by Ameloot E.,1
validated by Amerlinck E.,5
validated by Ameye T.,10
validated by Andre Stelen,1
validated by Andres C.,1
validated by Anne Ronse,1
validated by Anseeuw D.,9
validated by Aper N.,3
validated by Appels D.,647
validated by Appeltans G.,2
validated by Arnhem L-P.,1
validated by Arnhem L.-P.,2
validated by Arons E.,1
validated by Arp :o),2
validated by Arys D.,4
validated by Auwerx J.,6
validated by B L'Homme,2
validated by BANASZAK P,54
validated by BARBIER Y,29
validated by BARONE R,37
validated by BAUGNEE JY,29
validated by BEAULIEU J,1
validated by BURGEON C,1
validated by Backvis K.,1
validated by Baekelandt L.,11
validated by Baert D.,79
validated by Baert J.,3
validated by Baest B.,2
validated by Baete J.P.,3
validated by Baete M.,1
validated by Baeteman J.,3
validated by Baeten S.,18
validated by Baetens J.,2
validated by Baets R.,6
validated by Baeyens A.,2
validated by Bafort J.,2
validated by Bailly D.,1
validated by Bakker W.,1
validated by Baksteen D.,29
validated by Baltus H.,11
validated by Barbez G.,1
validated by Barendse M.,1
validated by Barendse R.,46
validated by Bart Tas,1
validated by Bartholomeeusen F.,16
validated by Bastiaens H.,1
validated by Bastiaens J.,1
validated by Bastiaensen P.,50
validated by Bataille L.,2
validated by Batenburg D.,1
validated by Batsleer F.,2
validated by Batsleer M.,80
validated by Baudoux T.,1
validated by Bauwens A.,3
validated by Baye J-M.,1
validated by Baye J.-M.,5
validated by Beck O.,2
validated by Beckers G.,99
validated by Becsy L.,1
validated by Beernaert S.,2
validated by Bekaert L.,23
validated by Belis I.,1
validated by Belis J.,20
validated by Bellen P.,2
validated by Ben Steeman,1
validated by Bender P.,2
validated by Bennekens S.,1
validated by Berghmans H.,1
validated by Bergmans B.,1
validated by Bernaerts J.,20
validated by Bernard A.,2
validated by Bernau R.,1
validated by Bert C.,50
validated by Bert Christophe,2
validated by Bert Dhondt,1
validated by Bert Zurings,3
validated by Berth A.,3
validated by Bertrand R.,1
validated by Bertrands J.,27
validated by Berukof D.,2
validated by Bervoets F.,1
validated by Bervoets K.,1
validated by Berwaerts K.,203
validated by Berx D.,1
validated by Beullens G.,31
validated by Beullens R.,6
validated by Bex H.,2
validated by Beydts S.,1
validated by Beyen W.,1
validated by Beyens R.,11
validated by Beyne J.,1
validated by Bielen S.,2
validated by Biesemans B.,1
validated by Billiau R.,228
validated by Bisschop G.,69
validated by Biva J.,1
validated by Blanchet Z.,1
validated by Blancke L.,1
validated by Bleys G.,3
validated by Blockx H.,5
validated by Blockx J.,9
validated by Blondeel A.,7
validated by Blondé P.,15
validated by Bockx W.,2
validated by Bodill O.,1
validated by Boeckx A.,1
validated by Boeckx C.,1
validated by Boeckx E.,3
validated by Boeraeve M.,53
validated by Boeraeve P.,3
validated by Boers K.,64
validated by Boey L.,1
validated by Bogaert J.,5
validated by Bogaerts J.,3
validated by Bogaerts M.,14
validated by Boisdequin M.,1
validated by Bolckmans N.,8
validated by Bollen G.,4
validated by Bollen T.,17
validated by Bonhomme G.,6
validated by Bonmarchand S.,9
validated by Bonmariage P.,294
validated by Bonne J.,1
validated by Bonnet M.,3
validated by Bonte C.,4
validated by Booms C.,20
validated by Boon L.,10
validated by Borms J.,2
validated by Borny S.,1
validated by Borremans G.,4
validated by Borremans G. vwg Ard,1
validated by Bos W.,23
validated by Bos t'Ename,418
validated by Boslak C.,1
validated by Bossaer J.,6
validated by Bossant L.,7
validated by Bossuyt F.,3
validated by Bosteels Y.,15
validated by Boucneau P.,2
validated by Boudry B.,1
validated by Boulez S.,3
validated by Boumans E.J.E.,1
validated by Boutiebi T.,1
validated by Boux K.,49
validated by Bouzin M.,17
validated by Bovens W.,4
validated by Bracke F.,2
validated by Bracke K.,822
validated by Braem A.,9
validated by Braem P.,5
validated by Braem W.,2
validated by Brauns K.,2
validated by Brems V.,1
validated by Breuer N.,3
validated by Breugelmans G.,3
validated by Brinckman S.,299
validated by Brison J-C.,1
validated by Brison J.-C.,2
validated by Broeckaert M.,3
validated by Broeckx M.,1
validated by Broidioi J.,2
validated by Bronchart M.,1
validated by Bronne L.,4
validated by Broos B.,30
validated by Broucke T.,7
validated by Brown D.,4
validated by Bruaux S.,1
validated by Bruggeman C.,660
validated by Bruggeman G.,2
validated by Bruggemans E.,1
validated by Bruggemans F.,8
validated by Bruneel M.,1
validated by Brusselmans L.,2
validated by Brutin J.,1
validated by Bruylants S.,2
validated by Bruynseels M.,33
validated by Bruynseels S.,1
validated by Buijs J.-P.,1
validated by Bulteel G.,4
validated by Bultot J.,8
validated by Bun H.,2
validated by Buysmans E.,2
validated by C DD,1
validated by CHOREIN A,747
validated by CLAESSEN C,1718
validated by Caers T.,1
validated by Callaert Y.,11
validated by Callens L.,1
validated by Calmant F.,3
validated by Calmeyn K.,70
validated by Calonne E.,1
validated by Calu T.,163
validated by Camerlinck D.,1
validated by Candaele D.,1
validated by Cannaerts B.,1
validated by Canon A.,29
validated by Canoot F.,1
validated by Cansse T.,1
validated by Caplin N.,1
validated by Carette G.,4
validated by Carette I.,1
validated by Carlier S.,1
validated by Carlier Y.,4
validated by Carolus S.,12
validated by Casalanguida G.,2
validated by Casert C.,1
validated by Cathelyns A.,1
validated by Cattelain P.,7
validated by Catthoor G.,32
validated by Cauwenberg Y.,3
validated by Cavelier D.,2
validated by Cecelja A.,11
validated by Celis J.,1
validated by Cerpentier J.,1
validated by Ceuelemans W.,8
validated by Ceulemans T.,2
validated by Ceulemans W.,146
validated by Ceusters C.,1
validated by Ceuterick M.,2
validated by Chapelle G.,133
validated by Charlier A.,20
validated by Charlier B.,3
validated by Charlier E.,8
validated by Charlier R.,2
validated by Chris Vrancken,1
validated by Christel Elst,1
validated by Christiaens I.,24
validated by Cielen V.,2
validated by Cieters D.,3
validated by Claerbout F.,2
validated by Claerebout S.,2
validated by Claerebout S. - CNB,6
validated by Claes H.,925
validated by Claes J.,58
validated by Claes L.,1
validated by Claessens J.,172
validated by Claeys I.,26
validated by Claeys J.,4
validated by Claeys P.,6
validated by Claeys R.,228
validated by Clarysse L.,90
validated by Clicque R.,1
validated by Clignez M.,1
validated by Cnockaert A.,2
validated by Cnockaert P.,4
validated by Coatanéa Y.,5
validated by Cocquereaux W.,7
validated by Cocu J.-F.,1
validated by Coeckelbergh C.,1
validated by Coeckelbergs K.,4
validated by Coekaerts L.,1
validated by Colin D.,2
validated by Colinet O.,2
validated by Collet F.,5
validated by Colliers R.,1
validated by Colpaert E.,20
validated by Conings B.,3
validated by Constant J.-L.,1
validated by Cool R.,66
validated by Cools A.,4
validated by Cools C.,2
validated by Coppens J.,8
validated by Coppens X.,16
validated by Coppée J-L. et T.,10
validated by Coppée J.-L./Coppée,48
validated by Coppée J.-P.,13
validated by Coppée J.L. et T.,3
validated by Coppée T.,1
validated by Coppéé J.P.,3
validated by Coquiart D.,1
validated by Corbeel T.,1
validated by Coremans E.,16
validated by Cornelis F.,13
validated by Cortens J.,1012
validated by Cosijn J.,4
validated by Costrop D.,2
validated by Couckuyt J.,10
validated by Coulier F.,215
validated by Couwels A.,1
validated by Cox P.,192
validated by Crapoen M.,2
validated by Crauwels K.,1
validated by Creemers B.,204
validated by Crevecoeur L.,1
validated by Croes R.,3
validated by Crols J.,2
validated by Crèvecoeur de Bouvig,5
validated by Crèvecœur de Bouvign,2
validated by Crépin L.,142
validated by Cuppens J.,1286
validated by Cuylaerts L.,1
validated by Cuypers M.,489
validated by Cuyvers H.,3
validated by D Be,58
validated by D'HOSSCHE E.,1
validated by D'Haeseleer C.,1
validated by D'Haeseleer J.,12881
validated by D'Haeseleer O.,3
"validated by D'Haeseleer, J.",188
validated by D'Haeyer S.,3
validated by D'Hert D.,108
validated by D'Hondt B.,1
validated by D'Hondt F.,8
validated by D'Hondt P.-J.,1
validated by D'Hont S.,4
validated by D'Hossche E.,3
validated by D'Hulstère D.,17
validated by D'Joos P.,2
validated by D'haen M.,6
validated by D'haene R.,1
validated by D'haese M.,1
validated by D'hont S.,7
validated by D'hulster F.,4
validated by D. Elias,1
validated by DATHE,53
validated by DE JONGH R,28
validated by DECELLE J,4
validated by DELBECQ C,14
validated by DELMAS R,7
validated by DUFRENE E,11
validated by DURANT A,329
validated by Daelemans E.,73
validated by Daelemans R.,13
validated by Daemen F.,1
validated by Daems J.,35
validated by Daems R.,11
validated by Daems V.,45
validated by Daems W.,1
validated by Dal Farra      P.,1
validated by Dal Farra P.,29
validated by Daneels S.,1
validated by Daniels J.,6
validated by Danny V G,78
validated by Daschot F.,2
validated by Dauron C.,3
validated by Dawagne P.,14
validated by De Beelde I.,3
validated by De Beelde R.,6
validated by De Beenhouwer M.,19
validated by De Beuckeleer H.,1
validated by De Bie      C.,1
validated by De Bie C.,9
validated by De Bie T.,1
validated by De Blanck      T.,69
validated by De Blanck T.,390
validated by De Blauwe      H.,19
validated by De Blauwe H.,289
validated by De Block      H.,1
validated by De Boeck B.,5
validated by De Boeck K.,5
validated by De Bosscher      Y.,1
validated by De Bosscher L.,4
validated by De Bosscher Y.,5
validated by De Brauwer H.,5
validated by De Broeck      L.,1
validated by De Broeck L.,2
validated by De Brouwer      M.,3
validated by De Brouwer M.,5
validated by De Bruycker S.,3
validated by De Bruyn B.,1
validated by De Bruyn L.,1
validated by De Bruyne S.,1
validated by De Buck N.,1
validated by De Budt      K.,1
validated by De Budt K.,5
validated by De Ceuninck J.,1
validated by De Clerck J.,13
validated by De Clerck J.P.,2
validated by De Clercq      R.,17
validated by De Clercq K.,3
validated by De Clercq R.,69
validated by De Cnodder      P.,22
validated by De Cnodder P.,147
validated by De Cock      R.,2
validated by De Cock R.,1
validated by De Coninck J.,1
validated by De Coster F.,17
validated by De Coster R.,1
validated by De Craene J.,5
validated by De Craene P.,3
validated by De Cuyper K.,2
validated by De Duifkes,3
validated by De Geeter L.,1
validated by De Ghesquière      G,4
validated by De Ghesquière G.,13
validated by De Gottal P.,7
validated by De Grave      D.,407
validated by De Grave D.,3749
validated by De Groef P.,1
validated by De Groof L.,1
validated by De Groot C. / Versij,1
validated by De Groote D.,73
validated by De Groote F.,6
validated by De Gruyter J.,2
validated by De Hertogh      C.,147
validated by De Hertogh C.,46
validated by De Jong J-W.,2
validated by De Jong J.W.,3
validated by De Jonghe      R.,18
validated by De Jonghe R.,76
validated by De Keersmaecker,9
validated by De Keersmaecker B.,19
validated by De Keersmaecker E.,14
validated by De Keersmaecker K.,70
validated by De Ketelaere A.,3
validated by De Keukelaere L.,1
validated by De Keyser R.,1
validated by De Keyzer N.,3
validated by De Kezel M.,1
validated by De Knijf      G.,8
validated by De Koning H.,23
validated by De Kort S.,1
validated by De Koster      M.,6
validated by De Koster M.,31
validated by De Laet K.,1
validated by De Laet M.,1
validated by De Langh      P.,1
validated by De Langh P.,19
validated by De Langhe B.,3
validated by De Langhe M.,3
validated by De Leenheer J.,4
validated by De Maerteleire G.,1
validated by De Maeseneer J.,1
validated by De Meirsman      P.,1
validated by De Meirsman P.,112
validated by De Mesel D.,4
validated by De Meulenaer B.,1
validated by De Meuter C.,1
validated by De Meyer      L.,3
validated by De Meyer L.,46
validated by De Moor      W.,2
validated by De Moor W.,12
validated by De Munter M.,51
validated by De Naegel L.,5
validated by De Noyette C.,3
validated by De Nève R.,2
validated by De Pauw      M.,2
validated by De Pauw A.,3
validated by De Pauw M.,9
validated by De Pauw T.,8
validated by De Poortere L.,1
validated by De Pottel J.-P.,2
validated by De Pourcq      G.,5
validated by De Pourcq G.,6
validated by De Raeve P.,1
validated by De Rammelaere J.,1
validated by De Regt (Dimítrios),1
validated by De Ridder J.,5
validated by De Rijcke      M.,1
validated by De Rijcke M.,3
validated by De Roeve      C.,12
validated by De Roeve C.,15
validated by De Roeve S.,1
validated by De Roo      P.,164
validated by De Roo P.,351
validated by De Rouck W.,1
validated by De Rudder      B.,3
validated by De Rudder B.,57
validated by De Ruyver J.,1
validated by De Rycke      N.,2
validated by De Rycke      S.,175
validated by De Rycke  S.,187
validated by De Rycke J.,7
validated by De Rycke S.,1453
validated by De Saedeleer      V.,6
validated by De Saedeleer V.,240
validated by De Saeger      S.,1
validated by De Saeger S.,8
validated by De Schamphelaere L.,3
validated by De Schepper C.,2
validated by De Schryver H.,2
validated by De Schuijmer C.,1
validated by De Schutter T.,2
validated by De Smedt      P.,2
validated by De Smedt K.,1
validated by De Smedt M.,3
validated by De Smedt P.,23
validated by De Smedt S.,9
validated by De Smet      K.,1
validated by De Smet      W.,3
validated by De Smet K.,2
validated by De Smet W.,67
validated by De Somer      P.,21
validated by De Somer P.,211
validated by De Thier T.,5
validated by De Troyer K.,1
validated by De Vis D.,2
validated by De Vlaeminck R.,2
validated by De Vogelaer      W.,1
validated by De Vogelaer W.,11
validated by De Vos F.,5
validated by De Vos G.,1
validated by De Vos J.,6
validated by De Vos P.,8
validated by De Vriendt W.,1
validated by De Vydt O.,2
validated by De Vylder R.,1
validated by De Wachter J.,1
validated by De Waele F.,12
validated by De Waele K.,1
validated by De Wandeler G.,4
validated by De Weerd      E.,1
validated by De Weerd E.,1
validated by De Wilde A.,5
validated by De Wilde D.,3
validated by De Wilde L.,2
validated by De Wilde R.,5
validated by De Winter      T.,1
validated by De Winter J.,1
validated by De Winter T.,1
validated by De Wispelaere      I,2
validated by De Wispelaere I.,18
validated by De Wit,1
validated by De Wit      J.,2
validated by De Wit      K.,2
validated by De Wit      L.,20
validated by De Wit J.,1
validated by De Wit K.,94
validated by De Wit L.,383
validated by De Witte J.,12
validated by De Witte K.,1
validated by De lemos Esteves P.M,1
validated by Debay K.,1
validated by Debbaut E.,10
validated by Debbaut R.,3
validated by Debras J.,1
validated by Debroux I.,4
validated by Debusschere K.,2
validated by Deceuster R.,49
validated by Deckers R.,4
validated by Decleir P.,28
validated by Declerck F.,4
validated by Declerck W.,2
validated by Declercq D.,2
validated by Declercq F.,2
validated by Declercq R.,1
validated by Declercq W.,66
validated by Decleyre D.,13
validated by Decloedt A.,6
validated by Declèves S.,98
validated by Decock E.,1
validated by Decock G.,1
validated by Decock M.,1
validated by Decock W.,71
validated by Decorte C.,1
validated by Decrick L.,169
validated by Decruyenaere A.,1
validated by Decruynaere E.,1
validated by Deduytsche B.,1
validated by Deduytsche BjÃ¶rn,1
validated by Deflorenne P.,5
validated by Defoort S.,4
validated by Degossely P.,6
validated by Degraen H.,2
validated by Degrande S.,2
validated by Degrave F.,1
validated by Degryse B.,1
validated by Dehenau F.,1
validated by Dehombreux E.,8
validated by Dejagere E.,45
validated by Dekeukeleire D.,39
validated by Dekeyzer R.,2
validated by Delaere R.,1
validated by Delangh D.,1
validated by Delbecque F.,4
validated by Delbroek R.,3
validated by Deleus W.,919
validated by Delforge J-C.,1
validated by Delforge J.C.,1
validated by Delhaye N.,13
validated by Deliaert C.,4
validated by Deloose A.,2
validated by Delooz E.,1
validated by Delporte G.,1
validated by Delrue C.,1
validated by Demarsin B.,1
validated by Demet A.,1
validated by Demeulemeester M.,13
validated by Demey R.,71
validated by Demeyer R.,10
validated by Demonty L.,2
validated by Deneve S.,60
validated by Denoiseux B.,4
validated by Denonville J.,164
validated by Denuit V.,1
validated by Denys C.,1
validated by Depauw G.,1
validated by Deplus O.,9
validated by Depodt P.,10
validated by Deprez P.,20
validated by Derdeyn D.,154
validated by Derese S.,1
validated by Deroover T.,38
validated by Derous E.,12
validated by Derutter L.,2
validated by Deruytter D.,2
validated by Deruyver P.,1
validated by Derveaux B.,426
validated by Derveaux R.,10
validated by Derycker J.,5
validated by Deryckere M.,2
validated by Deschamps G.,1
validated by Deschepper A.,7
validated by Deschepper C.,2211
validated by Deschepper P.,2
validated by Desmet E.,12
validated by Desmet M.,1
validated by Desmet N.,36
validated by Desmet R.,4
validated by Dethier M-A.,2
validated by Dethier M.-A.,1
validated by Detollenaere M.,14
validated by Devaere N.,5
validated by Devalckeneer S.,19
validated by Devalez J,627
validated by Devalez J.,4487
validated by Devillers C.,103
validated by Devooght K.,1
validated by Devos D.,6
validated by Devos E.,77
validated by Devos J.,214
validated by Devos L. / Vanzandwe,9
validated by Devos L./Vanzandwegh,4
validated by Devreese A.,13
validated by Devreese L.,1
validated by Devriese E.,1
validated by Devriese L.,2
validated by Dewanckel C.,1
validated by Dewanckele S.,27
validated by Dewilde W.,2
validated by Dewin N.,11
validated by Dewolf J.,6
validated by Dewyspelaere J.,66
validated by Dhaluin P.,1
validated by Dhollander J.,2
validated by Dhondt B.,4
validated by Dhondt H.,21
validated by Dhont P.,6
validated by Dhuyvetter S.,1
validated by Dias W.,23
validated by Dick K.,1
validated by Dictus C.,6
validated by Didden T.,2
validated by Dieder Plu,1
validated by Dierick L.,1
validated by Dierickx J.,2
validated by Dierickx R.,2
validated by Dijkshoorn D.,4
validated by Dijon C.,1
validated by Dijon L.,2
validated by Dillen J.,2
validated by Dirk Batenburg,1
validated by Dirkx J.,5
validated by Dochy O.,1
validated by Dogukan Bali Y.,1
validated by Dolmans J.,1
validated by Dombrecht L.,2
validated by Domein Puyenbroeck,3
validated by Dominique,2
validated by Donders A.,12
validated by Doornaert A.,36
validated by Dragicevic M.,2
validated by Dreesen J.,2
validated by Dries H.,60
validated by Dries K.,13
validated by Driesen K.,2
validated by Driljeux G.,1
validated by Droissart M.,5
validated by Drukker D.,1
validated by Dua J.,4
validated by Dubois P.,2
validated by Dubois S.,2
validated by Ducatteeuw K.,1
validated by Dufour V.,3
validated by Dujardin R.,3
validated by Dulaunoy A.,1
validated by Dumez B.,5
validated by Dumoulin A.,2
validated by Duponcheel L.,5
validated by Dupont O.,2
validated by Duran W.,124
validated by Durinck A.,10
validated by Dutoirdoit C.,1
validated by Dutoit N.,1
validated by Dutordoit C.,1
validated by Duytschaever D.,1
validated by Ecologische werkgroe,75
validated by Eeckhaut B.,1
validated by Eennaes F.,1
validated by Eeraerts M.,6
validated by Egelmeers J.,1
validated by Eggers Gerardus K.,1
validated by Eicher T.,8
validated by Emmerechts F.,7
validated by Emmers M.,14
validated by Emontspohl A.,2
validated by Emsens G.,7
validated by Emsens W.-J.,9
validated by Emsens W.J.,1
validated by Engelen P.,6
validated by Erens R.,2
validated by Ergot F.,21
validated by Erik Sanders,1
validated by Etienne E.,1
validated by Eulaerts K.,1
validated by Everaert J.,5
validated by Evers J.,1
validated by Eycken E.,1
validated by Eysermans D.,11
validated by FOUBERT O.,4
validated by Faasen T.,2
validated by Facchini R.,2
validated by Faelens G.,1
validated by Fajgenblat M.,1
validated by Farinelle C.,72
validated by Farinelle S.,1
validated by Ferdinande M.,6
validated by Feret A.,2
validated by Ferre O,2
validated by Feryn Y.,14
validated by Feys S.,189
validated by Feytons K.,15
validated by Fiers D.,7
validated by Fiers T.,1
validated by Finet J.,2
validated by Flasse J.,12
validated by Flasse M.,5
validated by Fleurbaaij P.,6
validated by Fleurbaey F.,9
validated by Flipkens G.,2
validated by Flipkens K.,2
validated by Floré P.,17
validated by Flour  J.M.E.,1
validated by Fockaert L.,8
validated by Fockenier C.,2
validated by Fockenier Christophe,1
validated by Folschweiller M,526
validated by Fondry des chiens 10,2
validated by Foquet R.,113
validated by Foquet R. en B.,20
validated by Foquet R./Foquet B.,988
validated by Formation INeE - Pro,1
validated by Fossion M.,1
validated by Foubert O.,87
validated by Fourez P.,2
validated by Fourez S.,1
validated by Fourie W.,6
validated by Fourneau J.,1
validated by Frachon,73
validated by Fraeyman E.,1
validated by Francoise D.,3
validated by Franken T.,2
validated by François G.,4
validated by Frederik De Vos,1
validated by Freisen P.,45
validated by Frennet P.,17
validated by Frere M.,13
validated by Fruyt C.,3
validated by Fuchs O.,2
validated by Funcken P.,2
validated by GASPAR C,2
validated by GAUTHIER J,363
validated by GODEAU JF,198
validated by GRYFFROY D,5
validated by Gabrys F.,78
validated by Gailly D.,1
validated by Gailly P.,1
validated by Gailly R.,25
validated by Galens D.,7
validated by Garin M.,35
validated by Garré L.,1
validated by Gasthuys L.,51
validated by Gauquie B.,27
validated by Gautier V.,2
validated by Geboers M.,22
validated by Geboes A-L.,6
validated by Geelhand B.,2
validated by Geenen D.,8
validated by Geens J.,2
validated by Geens M.,3
validated by Geeraerts G.,4
validated by Geeraerts K.,554
validated by Geerts C.,55
validated by Geerts F.,8
validated by Geerts P.,10
validated by Gelbgras F.,27
validated by Gellens N.,35
validated by Gellycnk S.,7
validated by Gellynck S.,11
validated by Gentjens R.,2
validated by George M.,2
validated by Gerards C.,1
validated by GestionEaudYves,11
validated by Geudens R.,187
validated by Geuens T.,7
validated by Geukens K.,2
validated by Ghyselen C.,5
validated by Gielen K.,21
validated by Gielen S.,6
validated by Giglot J.,1
validated by Gijs A.,2
validated by Gillard M.,7
validated by Gillet J-C.,1
validated by Gillet J.-C.,1
validated by Gillis H.,1
validated by Gilon S.,2
validated by Gimdal R.,1
validated by Gindt F.,4
validated by Gintelenberg K.,1
validated by Gios M.,4
validated by Glaes J.,1
validated by Glibert J.,152
validated by Gobert S.,34
validated by Godding E.,110
validated by Goderis K.,4
validated by Godfried W.,8
validated by Godfroid W.,3
validated by Goemaere K.,1
validated by Goemaere W.,1
validated by Goens E.,1
validated by Goes J.,1
validated by Goetelen D.,1
validated by Goethals H.,3
validated by Goethals M.,1
validated by Goethals S.,1
validated by Goethals V.,20
validated by Goossens R.,1
validated by Goossens S.,11
validated by Goovaerts A.,8
validated by Goris S.,2
validated by Gorrens M.,269
validated by Gosselin M.,12
validated by Gosseye J.,1
validated by Goubout-Guillemyn M.,1
validated by Goudeseune  J.,1
validated by Goudeseune B.,2
validated by Goudman T.,4
validated by Govaert S.,23
validated by Govaerts G.,17
validated by Gramberg M.,5
validated by Grandsart C.,1
validated by Graulus J.,1
validated by Gris J.,1
validated by Groenez G.,17
validated by Grolus K.,3
validated by Grootaers G.,4
validated by Gruwier C.,30
validated by Gruwier Christophe,1
validated by Guelinckx R.,8
validated by Guerard A.,134
validated by Guido S,2
validated by Guyon J.,8
validated by Guében P.,1
validated by Guégan M-C.,4
validated by Guégan M.-C.,4
validated by Gys R.,2
validated by Gysbertsen R.,7
validated by Gyselinck T.,25
validated by Gélon M.,20
validated by Gérard M.,136
validated by HLUSEK J,145
validated by Haelewyn R.,1
validated by Hagelandse Heuvelstr,67
validated by Halet E.,33
validated by Halleux M.,1
validated by Hamelinck W.,4
validated by Hammond M,1
validated by Hammond M.,7
validated by Hannay A.,4
"validated by Hannay, Albert",1
validated by Hannen J.,2
validated by Hanoulle S.,3
validated by Hans W,3
validated by Hansen K.,101
validated by Hanssens B.,183
validated by Hantson E.,4
validated by Hantson S.,5
validated by Happaerts F.,1
validated by Hardy J-C.,8
validated by Hardy J.-C.,3
validated by Haustraete T.,3
validated by Hautekiet W.,36
validated by Hela F.,58
validated by Hellebaut P.,1
validated by Hellebuyck E.,1
validated by Hellemans S.,1
validated by Helpers J.,27
validated by Helsen K.,4
validated by Helsen L.,1
validated by Helsen P.,12
