establishmentMeans,reps
"F1279, ØC+P",1
"F128, C+P",1
"F1280, ØC+P",1
"F1281, P only",1
"F1283, ØC+P",1
"F1284, ØC+P",1
"F1285, ØC+P",1
"F1286, ØC+P",1
"F1288, ØC+P",1
"F1289, ØC+P",1
"F129, C+P",1
"F1292, ØC+P",1
"F1293, ØC+P",1
"F1294, ØC+P",1
"F1295, C+P",1
"F1296, ØC+P",1
"F1297, ØC+P",1
"F1298, P only",1
"F1299, P only",1
"F13, ØC+P",1
"F130, ØC+P",1
"F1300, ØC+P",1
"F1301, ØC+P",1
"F1302, ØC+P",1
"F1303, P only",1
"F1305, P only",1
"F1306, ØC+P",1
"F1307, ØC+P",1
"F1308, P only",1
"F1309, P only",1
"F131, C+P",1
"F1311, P only",1
"F1312, ØC+P",1
"F1313, P only",1
"F1314, ØC+P",1
"F1315, C+P",1
"F1316, ØC+P",1
"F1317, P only",1
"F1318, ØC+P",1
"F1319, ØC+P",1
"F132,",1
"F1320, ØC+P",1
"F1321, ØC+P",1
"F1322, ØC+P",1
"F1323, ØC+P",1
"F1324, C+P",1
"F1326, P only",1
"F1327, P only",1
"F1328, ØC+P",1
"F1329, ØC+P",1
"F133, C+P",1
"F1330, P only",1
"F1331, ØC+P",1
"F1332, ØC+P",1
"F1333, ØC+P",1
"F1334, ØC+P",1
"F1335, ØC+P",1
"F1336, ØC+P",1
"F1337, ØC+P",1
"F1338, ØC+P",1
"F1339, ØC+P",1
"F134, C+P",1
"F1340, ØC+P",1
"F1341, ØC+P",1
"F1343, ØC+P",1
"F1344,",1
"F1345,",1
"F1346,",1
"F1347,",1
"F1349, 0C+P",1
"F135, P only",1
"F1350, 0C+P",1
"F1351, C+P",1
"F1352, P only",1
"F1353, P only",1
"F1354, ØC+P",1
"F1355, C+P",1
"F1356, P only",1
"F1357, C+P",1
"F1358, C+P",1
"F1359, C+P",1
"F136, C+P",1
"F1360, C+P",1
"F1361, C+P",1
"F1362, ØC+P",1
"F1363, ØC+P",1
