behavior,reps
03 males sleeping on dried flower,2
0824 hours,1
1,19974
1 Libando en bellota de Platano,1
"1 Macho alfa, 3 Hembras (1 hembra embarazada), 1 cria",1
"1 Travelling north, 1 Surface active",1
1 acicalandose,1
1 al vuelo - 2 vocalizando,1
"1 bird (female?) sailed around, scolding, while the other remained",1
1 bird seen in vicinity,1
1 bird seen would not leave nest until fired at with rifle and shorgun,1
1 dead/1 alive,1
1 en dirección Hendaya playa+ 2 que tras varias vueltas sobre la zona toman dirección SO,1
1 forrajeando en Montanoa quadrangularis,1
1 forrajeando en estrato alto en maraña de bejucos,1
1 from a flock,1
1 from a large flock,2
1 hembra adulta alimentando hembra juvenil,1
1 of 10 collected,5
1 of 12 from nest of 15 eggs,9
"1 of 12 in brood, 9 collected",2
"1 of 12, from nest of 15 eggs",2
1 of 14 with female,1
1 of 2,4
1 of 2 collected,1
1 of 2 feeding on manure pile,1
1 of 2 from a small flock,1
1 of 2 in flock of Snow Buntings,1
1 of 2 in nest,1
1 of 2 nestlings in nest,1
1 of 2 seen,1
1 of 2 seen together,2
1 of 2 taken from a flock,1
1 of 2 taken from heronry of 32 nests,2
1 of 2 together,5
"1 of 2 together, and collected",1
1 of 2 with 200 Herring Gulls,1
1 of 2 with a female,1
1 of 2 with adult female,1
1 of 2 with parent,1
1 of 2 with parents,2
1 of 2 young,2
1 of 2 young and egg in nest,1
1 of 2 young at nest,1
1 of 2 young being fed by parents,1
1 of 2 young in nest,3
1 of 2 young plus egg in nest,1
1 of 2 young seen,1
1 of 2 young with adult female,1
"1 of 2, probably a pair",1
1 of 20 collected,1
1 of 20 young of 2 age classes with single female,2
1 of 22 young in group,2
1 of 3,10
1 of 3 being fed by adult,1
1 of 3 fledglings,1
1 of 3 from a brood of 4,3
1 of 3 from a flock of 100,3
1 of 3 from a flock of 200 plus,3
"1 of 3 from nest in tree cavity, parents present",3
1 of 3 in brood,1
1 of 3 in group from hollow tree,1
1 of 3 in nest,4
"1 of 3 in nest, with 1 egg",1
"1 of 3 large young, adult also present",1
1 of 3 males in a flock,1
1 of 3 seen,1
1 of 3 singing males,1
"1 of 3 taken, rest of brood collected at Crowdis Pool",1
1 of 3 with 12 young,1
1 of 3 with adult,1
1 of 3 with parent,1
1 of 3 young,6
1 of 3 young and egg in nest,3
1 of 3 young following an adult,1
1 of 3 young from family group of eight,3
1 of 3 young in nest,20
"1 of 3 young in nest, collected at 1140 hrs",1
"1 of 3 young in nest, which were all female",1
"1 of 3 young, 2 females, 1 male",1
"1 of 3, other 2 in flying condition",1
1 of 30 found dead under a Purple Martin house after a week of cold windy weather,1
1 of 35 found dead on shore of islands,1
1 of 4,4
1 of 4 being fed by adult,1
1 of 4 being fed by adults,1
1 of 4 from a flock of fifteen,1
1 of 4 from flock,1
1 of 4 in brood,2
1 of 4 in flock,1
1 of 4 in nest,11
1 of 4 seen,1
1 of 4 singing males,2
1 of 4 still on nest,1
"1 of 4 taken from nest, parent near",3
1 of 4 young,4
1 of 4 young in nest,12
1 of 4 young in nest cavity,4
1 of 5 from a nest,5
1 of 5 in a flock,1
1 of 5 in brood,5
1 of 5 in nest,1
1 of 5 in nest on ground,1
1 of 5 with a female,1
1 of 5 young in chimney,1
1 of 5 young in nest,12
1 of 6,1
1 of 6 from a brood of seven,3
1 of 6 siblings,6
1 of 6 young,7
1 of 6 young in nest,1
1 of 7 from brood,1
1 of 7 in brood,1
