taxonomicStatus,reps
"De acuerdo a Navarro [(com. pers.), 2012] es una especie que se distribuye en zonas abiertas.",8
"De acuerdo a Navarro [(com. pers.), 2012] es una especie que se distribuye en zonas bajas, se ha reg",11
"De acuerdo a Navarro [(com. pers.), 2012] es una especie que se distribuye en zonas bajas.",24
"De acuerdo a Navarro [(com. pers.), 2012] es una especie sin distribución en el bosque mesófilo de m",1
"De acuerdo a Navarro [(com. pers.), 2012] especie asociada a las zonas antropizadas.",20
"De acuerdo a Navarro [(com. pers.), 2012] especímenes de México con este nombre corresponde a P. mac",12
"De acuerdo a Navarro [(com.pers.), 2012] es una especie que antiguamente se pensaba era lo mismo que",3
"De acuerdo a Navarro [(com.pers.), 2012] lo que antiguamente en México era identificado como S. rufi",14
"De acuerdo a Ramírez-Pulido & González-Ruíz [(com. pers.), 2012] en México existen registros identif",6
"De acuerdo a Ramírez-Pulido [(com. pers.), 2011], ejemplares para México determinados como Micronyct",2
"De acuerdo a Ramírez-Pulido [(com. pers.), 2011], sin distribución en México, de acuerdo a Wilson &",1
"De acuerdo a Ramírez-Pulido [(com. pers.), 2011], sin distribución en México; según Wilson & Reeder",1
De acuerdo a Ramírez-Pulido et al. (2005) ejemplares identificados en México como Carollia brevicaud,8
De acuerdo a Ramírez-Pulido et al. (2005) y Wilson & Reeder (2005) es una especie sin distribución e,13
"De acuerdo a Ramírez-Pulido et al. (2005) y Wilson & Reeder (2005),es una especie sin distribución e",3
"De acuerdo a Rodríguez [(com. pers.), 2011], esta especie no tiene distribución en México, es de Sur",1
"De acuerdo a Tejero [(com. pers.), 2012] ejemplares identificados en México como E. latifolium, corr",20
"De acuerdo a Tejero [(com. pers.), 2012] y Mickel & Smith (2004), comentan que los que ejemplares pa",37
"De acuerdo a Tejero [(com. pers.), 2012] y Mickel & Smith (2004), en México al parecer, ejemplares c",18
"De acuerdo a Tejero [(com. pers.), 2012] y Mickel & Smith (2004), plantas de esta especie han sido i",3
"De acuerdo a Villaseñor ([com. pers.], 2011), es una especie que no tiene distribución en México; se",1
"De acuerdo a Villaseñor [(com. pers), 2011] es una especie sin distribución en México, es de estados",1
"De acuerdo a Villaseñor [(com. pers.), 2012] es una especie reconocida para México por él; sin embar",2
"De acuerdo a Villaseñor [(com. pers.), 2012] especie sin distribución en México; según Hágsater [200",1
"De acuerdo a Villaseñor [(com. pers.), 2012], ejemplares identificados como Pavonia spinifex en Méxi",5
