verbatimCoordinateSystem,reps
"Anjeva: 18°56'0"" S  47°40'0"" E",1
"Anjiabe: 17°26'0"" S  44°53'0"" E",4
"Anjozoro: 21°51'0"" S  46°16'0"" E",2
"Anjozorobe: 18°24'0"" S  47°52'0"" E",12
"Ankadimanga: 18°58'0"" S  47°45'0"" E",20
"Ankadirano: 17°51'0"" S  49°28'0"" E",1
"Ankalirano: 25°27'0"" S  45°43'0"" E",4
"Ankarafantsika :  16°15'0"" S  46°55'0"" E",26
Ankarafantsika: -161500 465500,1
"Ankarafantsika: 16°15'0"" S  46°55'0"" E",68
"Ankarana Sud: 21°13'0"" S  47°8'0"" E",6
"Ankaratra: 19°25'0"" S  47°12'0"" E",2
"Ankavandra: 18°48'0"" S  45°16'0"" E",43
"Ankilimadinika: 21°52'0"" S  44°06'0"" E",6
"Ankilirano: 23°56'0"" S  44°28'0"" E",9
"Ankirihitra: 16°46'0"" S  46°27'0"" E",2
"Ankoboa: 25°17'0"" S  45°05'0"" E",3
"Ankoetrika: 16°7'0"" S  49°16'0"" E",1
"Ankovana: 15°18'0"" S  49°58'60"" E",1
"Anosibe: 16°24'0"" S  48°10'0"" E",2
"Anosyenne: 24°25'0"" S  47°00'0"" E",1
"Antakotako:  15°19'0"" S  49°48'0"" E",40
"Antalaha: 14°52'60"" S  50°16'60"" E",25
"Antampona: 15°58'0"" S  49°13'0"" E",9
"Antanamalaza: 18°59'0"" S  47°41'0"" E",11
"Antanamazava: 13°11'0"" S  48°59'0"" E",5
"Antanambe:  16°43'0"" S  50°1'0"" E",11
"Antanambe: 16°43'0"" S  50°1'0"" E",3
"Antanambola: 14°35'0"" S  48°43'0"" E",4
"Antanandava: 16°30'0"" S  49°22'0"" E",7
"Antanandehibe:  19°40'0"" S  48°21'0"" E",6
"Antanimieva: 22°14'0"" S  43°46'0"" E",12
"Antanimora: 24°50'0"" S  45°40'0"" E",19
"Antetezambaro: 18°0'0"" S  49°24'0"" E",4
"Antsahabe: 16°29'0"" S  49°00'0"" E",3
"Antsalova: 18°42'0"" S  44°37'0"" E",163
"Antsingy: 15°48'0"" S  46°13'0"" E",7
Argentina,7
BD72,2836
BE LB72,36313
BE UTM,78
"Baie de Mahajamba: 15°24'0"" S  47°05'0"" E",1
"Balalona: 14°52'0"" S  49°22'0"" E",15
"Bealanana:  14°33'0"" S  48°44'0"" E",1
"Beamalo: 21°57'0"" S  44°34'0"" E",19
"Beanana: 15°44'0"" S  49°28'0"" E",4
"Beangona: 14°5'0"" S  48°44'0"" E",7
"Beara: 24°19'0"" S  45°30'0"" E",1
"Beara: 24°59'0"" S  46°24'0"" E",1
"Befandefa:  22°8'0"" S  43°18'0"" E",2
"Befasy:  23°50'0"" S  43°40'0"" E",108
"Befody: 17°20'0"" S  48°42'0"" E",2
"Beforona: 18°58'0"" S  48°35'0"" E",2
"Befotaka: 18°54'0"" S  45°20'0"" E",2
"Behara:  24°59'0"" S  46°24'0"" E",1
