reproductiveCondition,reps
"1 Embryo, 28 mm",1
1 F emb: cr= 76.3mm *,1
1 L emb,1
"1 L emb, CR=2.9mm",1
1 M emb: cr= 212.7 mm *,1
1 M emb: cr=108.3mm *,1
"1 P-SCAR R, 3 P-SCAR L",1
"1 PLSC (1L, 0R)",1
1 R emb,1
"1 R emb, CR=6.8mm",1
"1 R emb, FA=4.2 CR=10.3mm",1
1 R placental scar,1
1 Rt emb,1
1 TA/1 TS (15 X 8),1
1 TA/1 TS (8 X 5),1
1 TA/1 TS (9 X 5),1
"1 TS, 1 TA (7 X 9)",1
1 X 1,1
"1 X 1, CR = 9mm",1
1 blastocyst,4
1 blastocyst recovered,1
1 blastocyst.,1
"1 burst follicle; ova 15x10,8x5,6x6mm, oviduct 3mm",1
1 collapsed follicle,2
"1 collapsed follicle, active brood patch, ov: 10x14, lrgst ova: 3 mm",1
"1 collapsed follicle, ov: 10 mm",1
"1 collapsed follicle, unshelled egg: 40x40 mm",1
1 egg,1
"1 egg in nest, 1 broken in oviduct",1
1 egg in oviduct,2
"1 egg in oviduct, 1 large follicle: 10 mm",1
"1 egg in oviduct, brood patch active, 1 large follicle: 10 mm",1
1 egg laid and 1 large yolk broken in the oviduct,1
1 egg partially developed,1
"1 egg with fully developed, shell in oviduct",1
1 egg with shell-24mm,1
1 egg with shell. 1=10 mm,1
1 emb,21
1 emb (16x13),1
1 emb (37x17),1
1 emb (CR=18mm),1
1 emb -16,1
1 emb = 12mm,1
1 emb = 18 mm,1
"1 emb = 33, no lact.",1
1 emb = 6mm,1
1 emb ?,2
"1 emb X  mm, no lact.",1
"1 emb X 1 mm, no lact.",1
"1 emb X 1.5 mm, not lact.",1
"1 emb X 10, no lact.",3
1 emb X 11 mm,1
1 emb X 11 mm/no lact.,2
"1 emb X 11, no lact.",3
1 emb X 13 mm/no lact.,1
1 emb X 15 mm,1
"1 emb X 17, no lact.",1
1 emb X 19 mm/no lact.,1
"1 emb X 2.5 mm, no lact.",1
1 emb X 21 mm,1
"1 emb X 27 mm, no lact.",1
"1 emb X 3.0 mm, no lact.",1
"1 emb X 31, no lact.",1
1 emb X 5 mm/no lact,1
"1 emb X 52, non-lact.",1
"1 emb X 53, no lact.",1
1 emb X 6 mm,1
"1 emb X 7, no lact.",1
"1 emb [R], CR=6 mm",1
"1 emb x 19mm, no lact",1
"1 emb, 0L, 1R, 10 mm",3
"1 emb, 0L, 1R, 11 mm",3
"1 emb, 0L, 1R, 13 mm",3
