reproductiveCondition,reps
T: 9 x 7,1
T: 9x4,2
T: 9x5,3
T: 9x7,1
T: ?,1
T: X,1
T:11x7,1
T:4x2,2
T:6x4,1
T:7x5,1
T:D,2
T:D  16x9mm,1
T:D 1 x 1 mm.,1
T:D 10x5mm,1
T:D 10x6mm,1
T:D 10x7mm,1
T:D 11 x 7 mm.,1
T:D 11x6mm,1
T:D 12 x 7 mm.,1
T:D 15 x 9 mm.,1
T:D 18 x 9 mm.,1
T:D 1x4mm,1
T:D 20x13,1
T:D 20x14mm,1
T:D 4 x 2 mm.,1
T:D 4x2.5mm,1
T:D 4x3mm,1
T:D 7 x 3 mm.,1
T:D 7 x 4 mm.,1
T:D 7 x 5 mm.,1
T:D 8 x 5 mm.,1
T:D 9 x 4 mm.,1
T:D 9 x 5 mm.,1
"T:D, testis  20x11mm",1
T:D. 9 x 6 mm.,1
T:ND  1x0.5mm,1
T:ND 1 x 1 mm.,4
T:ND 1 x 4 mm.,1
T:ND 10 x 4 mm.,1
T:ND 1x1 mm,1
T:ND 2x1 mm,1
T:ND 3 x 2.5 mm.,1
T:ND 3x2mm,1
T:ND 4x2.5mm,1
T:ND 5 x 2 mm.,1
T:ND 5 x 3 mm.,1
T:ND 5x3mm,1
T:ND 6 x 2.5 mm.,1
T:ND 6 x 4 mm.,1
T:ND 7 x 3 mm.,2
T:ND 7 x 3.5 mm.,1
T:ND 7 x 5 mm.,1
T<1 mm,1
T<1mm,1
T= 1.5x1,1
T= 10x6,1
T= 10x7 mm,1
T= 12x7,1
T= 12x8,3
T= 13x6,1
T= 13x8,1
T= 19 x 13,1
T= 2.0,1
T= 2.5x2,1
"T= 21x12, scrotal",1
T= 22 X 20 mm,1
T= 3.5x2,2
T= 3x1.5,2
T= 3x2,2
T= 4.5x2.5,1
T= 4x2,2
T= 4x3,2
"T= 5 mm, scrot.",2
"T= 5 x 3, nonscrotal",1
T= 5.5x3.5,1
T= 5x2,2
T= 5x4,2
"T= 6 x 4, nonscrotal",2
T= 6 x 5,2
T= 6x3,1
T= 6x4,1
"T= 7 x 4, nonscrotal",1
"T= 8 (L), 9 (R)",1
"T= 8 mm, scrot.",1
"T= 8 x 5, scrotal",1
T= 8x11,1
T= 8x5.5,1
"T= 9 mm, scrot.",1
T= 9x3 mm,1
T= 9x5,1
T= 9x5.5,1
T= 9x7,3
T= abt 13,1
T= ca. 8 x 4,1
T= small,1
T=0,3
T=0.,1
"T=0.5 mm, abdom.",1
T=00,6
T=1,6
T=1 X 1 mm,3
T=1 mm,39
"T=1 mm, abdom.",11
"T=1 mm, abdom.; inactive",1
"T=1 mm, ing.",1
"T=1 mm, scrot.",1
T=1 x 2 mm,1
"T=1.2x1.9mm, scr.",1
T=1.3 mm,2
"T=1.3x1.7mm, scr.",1
T=1.4 mm,1
"T=1.4x1.8mm, scr.",1
T=1.5,1
T=1.5 mm,6
T=1.5 mm; abdom.,1
T=1.5 x 1,1
T=1.5 x 1 mm,1
T=1.5.,1
T=1.5x1,2
T=1.5x1 mm,1
"T=1.5x1.8mm, scr.",1
"T=1.5x2.1mm, scr.",1
T=1.6 x 2.2 mm,1
T=1.63 x 1.63 mm,1
"T=1.8x3.0mm, scr.",1
"T=1.8x3.4mm, scr.",1
"T=1.9x3.3mm, scr.",1
T=10,112
T=10 X 10 mm,2
T=10 X 14 mm,1
T=10 X 5 mm,7
T=10 X 6 mm,4
T=10 mm,212
"T=10 mm, abdom.",14
"T=10 mm, ing.",2
"T=10 mm, scrot.",45
T=10 x 10 mm,5
T=10 x 11 mm,1
T=10 x 20 mm,1
T=10 x 3 mm,1
T=10 x 4 mm,1
"T=10 x 4 mm, scr",1
T=10 x 5 mm,4
"T=10 x 5 mm, scrot.",14
T=10 x 6 mm,14
"T=10 x 6 mm, ing.",1
"T=10 x 6 mm, scrot.",13
T=10 x 7 mm,2
"T=10 x 7 mm, scrot.",1
T=10.2 x 5.1mm,1
T=10.5x5,1
T=10X5,1
T=10mm,10
"T=10mm, scr.",1
T=10mm: ing.,2
T=10x1,1
T=10x10,1
T=10x14,1
T=10x18=1.35,1
T=10x19mm,1
T=10x21,1
T=10x23,1
T=10x24,1
T=10x3,1
"T=10x3, scrotal",1
T=10x4,5
T=10x5,13
T=10x5 mm,1
"T=10x5), K",1
T=10x5mm,1
T=10x6,24
T=10x6 mm,1
"T=10x6 mm, scr.",1
"T=10x6, 0.3 g (L), 10x6, 0.3 g (R)",1
T=10x7,13
T=10x7 mm,1
T=10x7mm,1
T=10x8,2
T=11,87
"T=11 (L), 6 (R)",1
T=11 X 11 mm,3
T=11 X 5 mm,3
T=11 X 6 mm,3
T=11 mm,141
"T=11 mm, abdom.",2
"T=11 mm, scrot.",41
T=11 x 11 mm,4
"T=11 x 5 mm, scrot.",2
T=11 x 6 mm,5
"T=11 x 6 mm, scrot.",4
T=11 x 7 mm,3
"T=11 x 7 mm, scrot.",2
T=11 x 8 mm,2
T=11.5 mm,2
T=11.6 mm,1
T=11.8 mm,1
T=118 mm,1
T=11mm,8
"T=11x18 (L), 11x19 (R)",1
"T=11x21 (L), 10x20 (R)",1
"T=11x22 (L), 11x21 (R)",1
T=11x4,1
"T=11x4, scrotal",1
T=11x5,5
T=11x6,10
T=11x6.5,2
T=11x7,8
"T=11x7, nonscrotal",1
T=11x8,1
"T=11x8, scrotal",2
T=12,95
T=12 X 12 mm,2
T=12 X 16 mm,1
T=12 X 6 mm,2
T=12 X 7mm,1
T=12 X 8 mm,1
T=12 mm,106
"T=12 mm, abdom.",2
"T=12 mm, ing.",1
"T=12 mm, scrot.",26
"T=12 r, 10 mm each",1
T=12 x 12 mm,8
T=12 x 13 mm,1
T=12 x 5 mm,1
T=12 x 6 mm,6
T=12 x 7 mm,4
T=12 x 8 mm,1
"T=12 x 8 mm, scrot.",1
T=12.2 mm,1
T=12.5 x 8 mm,1
T=12.5x7,1
T=122 mm,1
T=123 mm,1
T=12mm,6
T=12x10,1
T=12x15,1
T=12x16,2
T=12x19,1
"T=12x19 (L), 11x19 (R)",1
"T=12x20 (L), 12x22 (R)",2
"T=12x21 (L), 12x20 (R)",1
"T=12x22 (L), 10x20 (R)",1
"T=12x5, scrotal",1
T=12x6,8
T=12x6.5,1
"T=12x6mm, scr",1
T=12x7,14
"T=12x7 (1 TA, 1 TS)",1
T=12x7 mm,1
"T=12x7, nonscrotal",1
T=12x8,3
"T=12x8 (1 TA, 1 TS)",1
T=12x8 mm,1
"T=12x8, one descended",1
"T=12x8, srotal",1
T=13,64
"T=13 (L), 12 (R)",1
T=13 X 13 mm,3
T=13 X 14 mm,1
T=13 X 15 mm,1
T=13 mm,79
"T=13 mm, abdom.",1
"T=13 mm, scrot.",18
T=13 x 12 mm,1
T=13 x 13 mm,7
T=13 x 5 mm,1
"T=13 x 5 mm, scrot.",1
"T=13 x 6 mm, scrot.",1
"T=13 x 7 mm, scrot.",1
T=13 x 8 mm,3
"T=13 x 8 mm, abdom.",1
"T=13 x 8 mm, ing.",1
T=13 x 9 mm,1
T=13.8 mm,1
T=13mm,3
T=13x2,1
"T=13x23 (L), 12x23 (R)",1
T=13x6,2
T=13x6mm,1
T=13x7,9
T=13x8,5
T=13x9,1
T=13x9 scrotal,1
T=14,56
T=14 X 14 mm,5
T=14 mm,56
"T=14 mm, abdom.",3
"T=14 mm, scr.",1
"T=14 mm, scrot.",8
T=14 x 13 mm,1
T=14 x 14 mm,3
T=14 x 7 mm,4
"T=14 x 7 mm, scrot.",2
T=14 x 9 mm,1
T=14.8,1
T=14.9 x 8.7 mm,1
T=14.9 x 9.7 mm,1
T=14X6,1
T=14mm,3
T=14x10,1
T=14x24mm,1
T=14x7,5
T=14x8,9
T=14x8 mm,1
T=14x8mm,1
T=15,48
T=15 X 15 mm,6
T=15 X 6 mm,1
T=15 mm,61
"T=15 mm, abdom.",3
"T=15 mm, ing.",1
"T=15 mm, scr.",1
"T=15 mm, scrot.",8
T=15 x 10 mm,3
T=15 x 11 mm,1
T=15 x 14 mm,1
T=15 x 15 mm,7
T=15 x 17 mm,1
"T=15 x 17 mm, scrot.",1
T=15 x 8 mm,1
T=15 x 9 mm,2
"T=15(R), 11(L) mm",1
T=15mm,10
"T=15mm, scr",1
T=15x10,1
T=15x11,1
"T=15x11, scrotal",1
T=15x12,2
"T=15x12, abdominal",1
T=15x2,2
T=15x28,1
T=15x5,1
T=15x7,1
T=15x7 mm,1
"T=15x7, 0.7 g (L), 15x7, 0.6 g (R)",1
T=15x7mm,1
T=15x8,6
"T=15x8 (1 TA, 1 TS)",1
T=15x8mm,1
T=15x9,2
T=16,29
T=16 X 10 mm,1
T=16 X 16 mm,4
T=16 X 8 mm,1
T=16 X 9 mm,1
T=16 mm,30
"T=16 mm, abdom.",3
"T=16 mm, scrot.",1
T=16 x 10 mm,2
T=16 x 11 mm,1
T=16 x 13 mm,1
T=16 x 16 mm,5
T=16 x 7 mm,1
"T=16 x 8 mm, scrot.",3
"T=16 x 9 mm, scrot.",1
T=16mm,2
T=16x10,4
T=16x3,1
T=16x6,2
T=16x8,3
T=16x8mm,1
T=16x9,2
T=16x9mm,1
T=17,28
T=17 X 17 mm,5
T=17 mm,23
"T=17 mm, abdom.",1
"T=17 mm, scrot.",3
T=17 x 10 mm,4
"T=17 x 10 mm, scrot.",1
T=17 x 17 mm,2
T=17 x 18 mm,1
T=17 x 8 mm,1
T=17 x 9 mm,1
T=17.2 x 12 mm,1
T=17.4 x 11.7 mm,1
T=17mm,7
T=17x10,4
"T=17x10, 1.2 g (L), 17x9, 1.1 g (R)",1
T=17x11,1
T=17x13,1
T=17x5,1
T=17x8,1
"T=17x8, epid=5x3",1
T=17x9,2
T=18,31
T=18 X 18 mm,5
T=18 X 8 mm,1
T=18 mm,23
"T=18 mm, abdom.",2
"T=18 mm, scrot.",2
T=18 x 10 mm,3
T=18 x 11 mm,1
T=18 x 18 mm,5
T=18 x 19 mm,2
T=18 x 8 mm,1
T=18 x 9 mm,1
"T=18(R), 17(L) mm",1
T=18.4 x 10 mm,1
T=18mm,9
T=18x10,3
"T=18x10, srotal",5
"T=18x11, 1.3 g (L), R=18x11, 1.3 g (R)",1
T=18x35,1
T=19,17
T=19 X 10 mm,2
T=19 X 19 mm,1
T=19 mm,18
"T=19 mm, abdom.",1
"T=19 mm, scrot.",2
T=19 x 10 mm,2
T=19 x 19 mm,2
T=19 x 8 mm,1
T=19 x 9 mm,1
"T=19, 0.18 (L), 20, 0.18 (R)",1
T=19mm,1
"T=19mm, scr.",1
T=19x10,4
T=19x11,2
T=19x12,2
T=19x13,2
"T=19x18, 1.1 g (L), 20x18, 1.2 g (R)",1
T=19x6,1
T=19x6mm,1
T=19x7,1
T=19x9mm,1
T=1l mm,1
T=1mm,4
T=1mm+/-,1
T=1mm.,1
T=1x0.5,1
T=1x1,13
T=1x2,2
T=2,16
T=2 X 1 mm,7
T=2 mm,86
"T=2 mm, abdom.",31
"T=2 mm, ing.",4
"T=2 mm, scrot.",1
T=2 x 1 mm,15
"T=2 x 1 mm, abdom.",1
"T=2 x 1 mm, ing.",2
T=2 x 2 mm,3
T=2 x 3 mm,3
T=2 x 4 mm,3
T=2 x 5 mm,1
"T=2, scrot.",1
T=2.0x3.0mm,1
T=2.0x3.3mm,1
"T=2.0x3.4mm, scr.",1
T=2.1 x 3.0 mm,1
"T=2.2x5.8mm, adm.",1
"T=2.3x3.3mm, scr.",1
"T=2.3x3.5mm, scr.",1
"T=2.3x5.1mm, adm.",1
T=2.5 mm,4
"T=2.5 mm, abdom.",1
T=2.5 mm; scrot.,1
"T=2.5 x 1 mm, ing.",1
T=2.5 x 1.5,1
T=2.5 x 4 mm,1
T=2.5x1.5,3
T=2.5x2,2
"T=2.5x2.8mm, scr.",1
"T=2.5x3.1mm, scr.",1
T=2.6x3.9mm,1
T=2.7 x 3.2 mm,1
T=2.7x4.0mm,1
"T=2.7x4.0mm, scr.",1
"T=2.7x5.4mm, scr.",1
T=2.8x4.0x6.4mm,1
"T=2.8x4.7mm, scr.",2
"T=2.8x4.9mm, scr.",1
"T=2.8x5.1mm, scr.",1
T=2.9 mm,1
T=20,28
T=20 X 11 mm,2
T=20 X 20 mm,1
T=20 mm,24
"T=20 mm, abdom.",1
"T=20 mm, ing",1
"T=20 mm, scrot.",3
T=20 x 10 mm,4
"T=20 x 10 mm, scrot.",1
T=20 x 11.5 mm,1
"T=20 x 12 mm, scrot.",1
T=20 x 19 mm,1
T=20 x 20 mm,1
T=20 x 21 mm,1
"T=20 x 8 mm, scrot.",1
T=20 x 9 mm,3
T=20X8,1
T=20x10,5
T=20x10mm,1
T=20x11,3
T=20x11mm,1
T=20x12,3
T=20x5,1
T=20x8,2
T=20x9,2
T=21,13
T=21 X 11 mm,1
T=21 X 21 mm,1
T=21 mm,12
"T=21 mm, abdom.",1
"T=21(R), 20(L) mm",1
T=21mm,1
T=21x11,1
T=21x12,1
T=21x12mm,1
T=21x13mm,1
T=21x8mm,1
T=21x9,1
T=21x9mm,1
T=22,19
T=22 mm,12
"T=22 mm, abdom.",1
"T=22 mm, scrot.",2
T=22 x 10 mm,1
T=22 x 14 mm,1
T=22 x 22 mm,1
T=22mm,2
"T=22x10, 18x6",1
T=22x11,2
T=22x12,2
T=22x12mm,1
T=22x13,2
T=22x13mm,1
T=22x14,2
T=22x14mm,1
T=22x15,1
"T=22x6, 1.4 g (L), 20x5, 1.4 g (R)",1
T=22x9,1
T=22x9mm,1
T=23,9
T=23 X 23 mm,1
T=23 mm,4
"T=23 mm, scrot.",1
T=23 x 23 mm,3
T=23mm,1
T=23x10,1
T=23x11,3
T=23x12,4
T=23x13mm,1
T=23x14,1
T=23x9,1
T=24,6
T=24 mm,2
"T=24 mm, scrot.",3
T=24 x 10 mm,1
"T=24 x 10 mm, scrot.",1
T=24 x 11 mm,1
"T=24 x 15 mm, scrot.",1
T=24 x 24 mm,4
T=24x10,1
T=24x11,1
"T=24x11, 2.3 g (L), 28x11, 2.3 g (R)",1
T=24x12,2
T=24x14,2
"T=24x7, scrotal",1
T=25,11
T=25 X 20 mm,1
T=25 mm,11
T=25 x 12 mm,2
T=25 x 25 mm,1
T=25mm,1
T=25x10,1
T=25x11,2
T=25x12,1
T=25x13,2
T=25x14,1
T=25x17,1
T=25x8,1
T=26,4
"T=26 x 14 mm, scrot.",1
T=26mm,1
T=26x14,2
T=27 mm,3
T=27 x 18 mm,1
T=27.5 mm (dried out),1
T=27x10,4
T=27x11,1
T=27x12,1
T=27x14,1
T=27x18 mm,1
T=28,1
T=28 mm,3
T=28 x 11 mm,1
T=29,3
T=29 mm,1
"T=29 mm, scrot.",1
T=29x13,1
T=2mm,8
"T=2mm, abd",1
T=2x1,62
"T=2x1 (L), 3x1 (R)",1
T=2x1 mm,2
T=2x1.5,1
T=2x2,10
T=2x3,5
"T=2x3 (L), 2x3 (R)",1
T=2x4,2
T=2x5,1
"T=2x5 (L), 3x4.5 (R)",1
T=3,47
T=3 X 1 mm,2
T=3 X 2 mm,2
T=3 X 3 mm,1
T=3 mm,133
"T=3 mm, abdom.",46
"T=3 mm, ing.",6
"T=3 mm, ing. (?)",1
"T=3 mm, scrot.",5
T=3 x 1 mm,8
"T=3 x 1 mm, abdom.",1
"T=3 x 1 mm, ing.",2
T=3 x 1.5 mm,1
T=3 x 2,1
T=3 x 2 mm,10
"T=3 x 2 mm, ing.",3
"T=3 x 2 mm, scrot.",2
T=3 x 4 mm,1
"T=3.0x4.3mm, scr.",1
"T=3.0x5.3mm, adm.",1
"T=3.0x5.3mm, scr.",1
T=3.2,1
T=3.2x4.7mm,1
"T=3.2x4.9mm, scr.",1
T=3.2x5.7mm,1
"T=3.2x5.8mm, scr.",1
"T=3.2x6.7mm, scr.",1
T=3.3 x 3.3 mm,1
"T=3.3x3.6mm, scr.",1
"T=3.3x5.6mm, adm.",2
"T=3.3x5.8mm, scr.",1
"T=3.3x6.0mm, scr.",1
T=3.4x4.9mm,1
"T=3.4x7.0mm, scr.",1
"T=3.4x7.4mm, adm.",1
"T=3.4x8.5mm, scr.",1
T=3.5,2
T=3.5 mm,1
T=3.5 x 2.5 mm,1
T=3.5 x 3 mm,1
T=3.5x1.5,2
T=3.5x2,3
T=3.5x2.5,1
T=3.5x3 mm,1
"T=3.5x4.4mm, scr.",1
"T=3.5x5.5mm, scr.",1
"T=3.5x6.4mm, scr.",1
"T=3.5x7.5mm, adm.",1
T=3.6 mm,1
"T=3.6x5.4mm, scr.",1
"T=3.6x5.9mm, scr.",1
"T=3.6x6.0mm, scr.",1
T=3.7x5.5mm. scr.,1
T=3.8x5.8mm,1
T=3.9 mm,1
"T=3.9x5.0mm, scr.",2
"T=3.9x5.3mm, scr.",1
T=30,5
T=30 X 15 mm,1
T=30 mm,2
T=30 x 10 mm,1
"T=30 x 16 mm, scrot.",1
"T=30 x 19 mm, scrot.",1
T=30mm,2
T=30x10,1
T=31,2
T=31 mm,1
T=32,4
T=32 mm,1
T=32 x 32 mm,1
T=33,2
T=33 mm,4
T=33 x 33 mm,1
T=34,4
T=34 mm,3
"T=34x12, 3.9 g (L), 35x12, 3.2 g (R)",1
T=35,2
T=35 mm,4
T=35mm,1
T=35x18,1
T=35x18 mm,1
T=37,4
T=38,1
T=38 mm,1
T=38mm,1
T=39 X 20 mm,1
T=39 mm,1
T=3mm,34
"T=3mm, abd.",4
T=3x1,16
"T=3x1 (L), 2x1 (R)",1
T=3x1 mm,1
T=3x1.5,7
T=3x2,71
"T=3x2 (L), 1x1 (R)",1
"T=3x2 (L), 3x1 (R)",1
"T=3x2 (L), 3x2 (R)",1
"T=3x2 (L), 3x3 (R)",1
T=3x2 mm,8
T=3x2.5,1
T=3x2mm,2
T=3x3,3
"T=3x3 (L), 3x3 (R)",1
T=3x5,2
"T=3x5 (L), 4x6 (R)",1
T=3x6,1
T=4,72
T=4 X 2 mm,11
T=4 X 4 mm,2
T=4 mm,159
"T=4 mm, abdom.",42
"T=4 mm, ing.",15
"T=4 mm, scrot.",9
T=4 x 1 mm,8
"T=4 x 1 mm, ing.",1
"T=4 x 1 mm, scrot.",1
T=4 x 2 mm,19
"T=4 x 2 mm, ing.",4
"T=4 x 2 mm, scrot.",3
T=4 x 3,1
T=4 x 3 mm,8
"T=4 x 3 mm, scrot.",1
T=4 x 5 mm,1
"T=4.0x5.1mm, scr.",1
"T=4.0x5.3mm, scr.",1
"T=4.0x6.1mm, scr.",1
"T=4.0x6.6mm, scr.",1
T=4.1 x 4.1 mm,1
T=4.14 mm,1
"T=4.1x5.3mm, scr.",1
"T=4.1x7.0mm, scr.",1
T=4.2 mm,1
"T=4.3 x 2.8 mm, abdom.",1
"T=4.3x5.7mm, scr.",1
"T=4.3x5.9mm, scr.",1
"T=4.3x7.4mm, scr.",1
"T=4.4 x 4 mm, abdom.",1
T=4.5,2
T=4.5 mm,1
T=4.5mm: ing.,1
T=4.5x2,1
"T=4.5x5.5mm, scr.",1
"T=4.6x5.9mm, scr.",1
"T=4.6x6.1mm, scr.",1
"T=4.7x6.4mm, scr.",1
T=4.8 mm,1
T=4.9 mm,1
"T=4.9x5.4mm, scr.",1
T=4.9x7.5mm,1
T=40,2
T=40 X 15 mm,1
T=40 mm,3
T=40x17,1
"T=41 mm, abdom.",1
T=42,2
"T=42 mm, abdom.",1
T=43 mm,1
T=43 x 43 mm,1
T=45,2
T=45mm,1
T=47 mm,1
"T=47 x 16 mm, scrot.",1
T=48 mm,2
T=48mm,1
"T=49 x 16 mm, scrot.",1
T=4mm,23
"T=4mm, abd",1
"T=4mm, ing.",1
T=4mm.,1
T=4x1,2
T=4x2,57
"T=4x2 (L), 4 x2 (R)",1
T=4x2 mm,5
"T=4x2, scrotal",1
T=4x2.5,5
T=4x3,49
"T=4x3 (L), 4x3 (R)",1
T=4x3 mm,4
"T=4x3 mm, immature",1
T=4x4,1
T=4x5 mm,1
"T=4x6 (L), 3x6 (R)",1
T=4x7,1
T=4x8,1
"T=4x9 (L), 5x8 (R)",1
T=5,106
"T=5 (L), 4 (R)",1
T=5 X 2 mm,8
T=5 X 3 mm,10
T=5 X 3.5 mm,2
T=5 X 4 mm,1
T=5 X 5 mm,1
T=5 mm,177
"T=5 mm, abdom.",40
"T=5 mm, ing.",19
"T=5 mm, ing., sem ves enl",1
"T=5 mm, scrot.",27
T=5 x 1 mm,1
T=5 x 2 mm,13
"T=5 x 2 mm, ing.",1
T=5 x 2.5 mm,1
T=5 x 3 mm,14
"T=5 x 3 mm, abdom.",4
"T=5 x 3 mm, ing.",1
"T=5 x 3 mm, scrot.",1
T=5 x 3.5 mm,1
T=5 x 4 mm,3
T=5 x 5 mm,2
T=5 x 5.5 mm,1
T=5 x 8 mm,1
T=5 x 9 mm,1
T=5.1x3.5,1
T=5.1x3.6,1
T=5.2 mm,2
T=5.3,1
"T=5.3x5.5mm, scr.",1
T=5.4x3.4,1
T=5.4x3.6,1
T=5.4x3.9,1
T=5.5 mm,2
T=5.5 x 5.9 mm,1
T=5.5 x 9 mm,2
T=5.56 x 4.14 mm,1
T=5.5x3,1
T=5.5x3.7,2
T=5.5x3.8,1
T=5.6x3.5,1
T=5.7 x 5.7 mm,2
T=5.7x4.1,1
T=5.8 mm,1
T=5.96 x 5.96 mm,1
T=5.9x3.6,1
T=5.9x3.8,1
T=50 X 3 mm,1
T=50 mm,1
"T=50 mm, scrot.",1
T=50 x 25 mm,1
T=52 mm,2
T=54 mm,1
T=54x15,1
T=54x21,1
T=55 mm,1
T=56 mm,2
T=56x12,1
T=58 mm,1
T=59 mm,1
T=5X3,1
T=5mm,33
"T=5mm, abd",1
"T=5mm, abd.",1
T=5x12,1
T=5x2,27
"T=5x2, scrotal",1
T=5x2mm,1
T=5x3,60
T=5x3 (L) 5x3 (R),1
"T=5x3 (L), 5x3 (R)",1
"T=5x3 (L), 5x4 (R)",1
T=5x3 mm,1
"T=5x3, scrotal (R), abdominal (L)",1
"T=5x3, tes 5",1
T=5x3.3,2
T=5x3.5,6
T=5x3.8,1
T=5x4,35
T=5x4 mm,2
"T=5x4, 0.2 g (L), 6x5, 0.2 g (R)",1
T=5x5,1
"T=5x5 (L), 4x6 (R)",1
"T=5x5, 0.1 g (L), 4x6, 0.1 g (R)",1
"T=5x7 (L), 4x10 (R)",1
T=5x9,2
T=6,96
T=6 X 3 mm,2
T=6 X 4 mm,4
T=6 X 6 mm,4
T=6 mm,190
"T=6 mm, abdom.",26
"T=6 mm, ing.",10
"T=6 mm, scrot.",31
"T=6 mm, sem ves large",1
"T=6 mm, subscrot.",1
T=6 x 2 mm,6
T=6 x 3 mm,18
"T=6 x 3 mm, abdom.",4
"T=6 x 3 mm, scrot.",5
T=6 x 4 mm,11
"T=6 x 4 mm, abdom.",1
"T=6 x 4 mm, ing.",1
"T=6 x 4 mm, scrot.",5
T=6 x 5 mm,2
"T=6 x 5 mm, abdom.",1
T=6 x 6 mm,4
T=6 x 7 mm,1
T=6 x 8 mm,1
"T=6 x 8 mm, scrot.",1
T=6 x 9 mm,2
"T=6 x 9 mm, scrot.",1
T=6.1 mm,3
T=6.1x4.4,1
T=6.2x4.2,1
T=6.3 x 6.3 mm,1
T=6.3 x 7.8 mm,1
"T=6.4x11.2mm, scr.",1
T=6.4x4,1
T=6.4x4.1,1
T=6.4x4.6,1
T=6.5,1
T=6.5 x 3.3 mm,1
"T=6.5 x 4 mm, ing.",1
T=6.5x4.3,1
T=6.5x4.6,2
T=6.5x4.7,1
"T=6.6x12.4mm, scr.",1
T=6.6x3.6,1
T=6.6x4.7,1
T=6.9x4.3,1
T=6.9x4.5,1
T=60 mm,2
T=61 mm,1
T=62 mm,1
T=64 mm,1
T=6X3,1
T=6mm,16
"T=6mm, abd",1
T=6x10,2
"T=6x11 (L), 7x13 (R)",1
"T=6x12 (L), 7x11 (R)",2
T=6x2,2
T=6x3,31
"T=6x3 (L), 5x2 (R)",1
"T=6x3, NR",1
"T=6x3, abdomimal",1
T=6x3.5 mm,1
T=6x3.6,1
T=6x4,50
T=6x4mm,2
T=6x5,17
T=6x6,3
T=6x8,3
T=6x8 (L),1
T=6x9,2
T=7,69
T=7 X 3 mm,1
T=7 X 4 mm,9
T=7 X 5 mm,3
T=7 X 7 mm,3
T=7 mm,165
"T=7 mm, abdom.",18
"T=7 mm, ing.",8
"T=7 mm, scrot.",37
T=7 x 3 mm,6
"T=7 x 3 mm, abdom.",1
"T=7 x 3 mm, scrot.",9
T=7 x 4 mm,12
"T=7 x 4 mm, abdom.",3
"T=7 x 4 mm, ing.",1
"T=7 x 4 mm, scrot.",19
T=7 x 5 mm,6
"T=7 x 5 mm, abdom.",1
"T=7 x 5 mm, scrot.",2
"T=7 x 6 mm, abdom.",1
T=7 x 7 mm,6
T=7.1x4.3,1
T=7.1x4.6,1
T=7.2,1
T=7.2x4.6,1
T=7.2x5,1
T=7.3 mm,3
T=7.3x4.2,1
T=7.4x4.9,1
T=7.5 mm,1
T=7.5 x 4 mm,1
"T=7.5 x 4 mm, ing.",1
T=7.6x4.8,1
T=7.8 mm,1
T=7.8x4.5,1
T=7mm,7
"T=7mm, abd",2
"T=7mm, abd.",1
T=7mm: ing.,7
"T=7x10 (L), 7x10 (R)",1
T=7x11,2
"T=7x12 (L), 7x11 (R)",1
T=7x2,1
T=7x3,11
T=7x3 mm,1
T=7x3.5,1
T=7x4,40
T=7x4 abdominal,1
T=7x4 mm,1
"T=7x4, scrotal (R), abdominal (L)",1
T=7x4.5,1
T=7x4mm,2
T=7x5,43
"T=7x5 (L), 8x5 (R)",1
"T=7x5, 3 g (L), 6x4, 3 g (R)",1
T=7x5.2,1
T=7x5mm,1
T=7x6,8
T=7x7,1
T=7x9,1
T=8,91
"T=8 (L), 7 (R)",1
T=8 X 3 mm,1
T=8 X 4 mm,5
T=8 X 5 mm,4
T=8 X 7 mm,1
T=8 X 8 mm,2
T=8 g,1
T=8 mm,183
"T=8 mm, abdom.",28
"T=8 mm, ing.",1
"T=8 mm, scrot.",33
"T=8 mm, ves enlarged, scr",1
T=8 x 10.2 mm,1
T=8 x 3 mm,2
"T=8 x 3 mm, scrot.",1
T=8 x 4 mm,6
"T=8 x 4 mm, abdom.",3
"T=8 x 4 mm, scrot.",14
T=8 x 4.5 mm,1
T=8 x 5 mm,8
"T=8 x 5 mm, abdom.",3
"T=8 x 5 mm, ing.",3
"T=8 x 5 mm, scrot.",10
"T=8 x 5, scrotal",1
T=8 x 6 mm,3
"T=8 x 7 mm, scrot.",1
T=8 x 8 mm,4
T=8 x 9 mm,1
T=8.34 x 16.89 mm,1
T=8.4x4.9,1
T=8.5 g,1
T=8.5 mm,2
T=8.5 x19.3 mm,1
T=8.5x12,1
T=8.5x5,2
T=8.8 mm,1
T=8X5,1
T=8mm,11
"T=8mm, abd",3
T=8mm: ing.,4
"T=8x11 (L), 6x11 (R)",2
"T=8x12 (L), 8x12 (R)",1
"T=8x13 (L), 7x12 (R)",1
"T=8x13 (L), 8x14 (R)",1
T=8x15,1
T=8x3,6
"T=8x3 mm, scrot.",1
T=8x4,21
T=8x4 mm,1
"T=8x4, TSS",1
T=8x4mm,1
T=8x5,38
"T=8x5, R abdominal, L scrotal",1
T=8x5mm,1
T=8x6,16
T=8x7,3
T=9,113
"T=9 (L), 10 (R)",1
T=9 X 4 mm,3
T=9 X 5 mm,9
"T=9 X 5mm, scrot.",1
T=9 X 6 mm,3
"T=9 X 6 mm, scrot.",1
T=9 X 7 mm,1
T=9 X 9 mm,2
T=9 mm,186
"T=9 mm, abdom.",8
"T=9 mm, ing.",2
"T=9 mm, scrot.",41
T=9 x 11 mm,2
T=9 x 15 mm,1
T=9 x 15.3 mm,1
T=9 x 3 mm,2
T=9 x 4 mm,1
"T=9 x 4 mm, scrot.",7
