disposition,reps
"ALTA, CANB, CTES, HUEFS, MBM, OS",1
"ALTA, NO, UNM",1
"ALTA, UTEP",1
AM (?),1
AMP00010,3
AMP00011,2
AMP00014,4
AMP00026,2
AMP00034,6
AMP00035,3
AMP00043,9
AMP00044,2
AMP00053,6
AMP00054,4
AMP00056,5
AMP00060,7
AMP00066,2
AMP00067,3
AMP00069,7
AMP00937,4
AMP00941,2
AMP00943,3
AMP00952,3
AMP00953,2
AMP00978,2
AMP00979,5
AMP00980,5
AMP01028,4
AMP01038,2
AMP01041,2
AMP01064,5
AMP01068,2
AMP01080,9
AMP01083,3
AMP01120,3
AMP01128,2
AMP01130,3
AMP01137,2
AMP01141,2
AMP01142,2
AMP01147,4
AMP01148,2
AMP01150,4
AMP01152,9
AMP01153,5
AMP01184,11
AMP01185,2
AMP01203,23
AMP01209,2
AMP01212,2
AMP01215,6
AMP01226,6
AMP01235,9
AMP01236,26
AMP01238,32
AMP01241,7
AMP01245,22
AMP01247,8
AMP01248,5
AMP01250,10
AMP01252,4
AMP01254,3
AMP01257,3
AMP01261,2
AMP01266,5
AMP01268,2
AMP01273,2
AMP01274,6
AMP01276,6
AMP01279,4
AMP01285,2
AMP01292,3
AMP01296,18
AMP01297,4
AMP01299,17
AMP01302,2
AMP01303,2
AMP01313,2
AMP01315,19
AMP01317,2
AMP01318,8
AMP01322,4
AMP01333,4
AMP01336,3
AMP01340,3
AMP01348,2
AMP01357,2
AMP01358,2
AMP01360,2
AMP01366,3
AMP01369,3
AMP01371,11
AMP01373,2
AMP01375,2
AMP01376,14
AMP01381,2
AMP01385,6
AMP01387,5
AMP01395,2
AMP01396,3
AMP01405,6
AMP01408,11
AMP01409,7
AMP01414,7
AMP01425,6
AMP01426,2
AMP01427,2
AMP01428,2
AMP01431,3
AMP01439,7
AMP01446,7
AMP01461,2
AMP01466,6
AMP01473,6
AMP01474,6
AMP01476,2
AMP01478,10
AMP01482,3
AMP01484,2
AMP01487,7
AMP01488,3
AMP01492,5
AMP01493,5
AMP01495,20
AMP01504,2
AMP01505,45
AMP01509,11
AMP01512,12
AMP01514,6
AMP01518,8
AMP01520,8
AMP01521,32
AMP01523,7
AMP01529,26
AMP01534,2
AMP01535,6
AMP01536,2
AMP01537,2
AMP01538,3
AMP01539,3
AMP01542,3
AMP01544,3
AMP01545,6
AMP01553,5
AMP01565,22
AMP01566,4
AMP01567,3
AMP01572,2
AMP01576,3
AMP01584,7
AMP01585,2
AMP01587,12
AMP01588,2
AMP01593,3
AMP01608,8
AMP01611,2
AMP01612,5
AMP01627,4
AMP01632,4
AMP01641,5
AMP01643,2
AMP01644,3
AMP01645,2
AMP01647,2
AMP01650,2
AMP01653,2
AMP01657,3
AMP01660,13
AMP01661,2
AMP01662,4
AMP01663,3
AMP01665,12
AMP01666,7
AMP01667,10
AMP01671,2
AMP01675,2
AMP01686,2
AMP01690,2
AMP01693,2
AMP01696,2
AMP01697,2
AMP01707,2
AMP01708,2
AMP01709,4
AMP01714,5
AMP01716,2
AMP01720,3
AMP01722,3
AMP01729,2
AMP01730,2
AMP01731,2
AMP01733,3
AMP01735,4
AMP01736,2
AMP01745,4
AMP01749,4
AMP01750,7
AMP01751,2
AMP01752,2
AMP01754,4
AMP01759,4
AMP01768,8
AMP01771,2
AMP01772,8
AMP01779,18
AMP01789,2
AMP01807,5
AMP01808,2
AMP01813,2
AMP01814,4
AMP01818,4
AMP01820,3
AMP01821,3
AMP01823,2
AMP01827,11
AMP01829,2
AMP01836,2
AMP01841,5
AMP01842,9
AMP01849,2
AMP01853,2
AMP01854,2
AMP01855,2
AMP01862,2
AMP01865,4
AMP01873,2
AMP01874,3
AMP01880,3
AMP02108,2
AMP02113,6
AMP02116,6
AMP02121,6
AMP02163,6
AMP02168,9
AMP02175,2
AMP02178,4
AMP02188,4
AMP02189,3
AMP02190,2
AMP02192,3
AMP02195,2
AMP02221,2
AMP02224,2
AMP02225,5
AMP02226,2
AMP02229,2
AMP02230,2
AMP02232,2
AMP02234,2
AMP02235,5
AMP02237,12
AMP02239,2
AMP02241,2
AMP02244,4
AMP02245,3
AMP02247,4
AMP02249,7
AMP02254,2
AMP02259,11
AMP02264,2
AMP02268,4
AMP02274,2
AMP02285,3
AMP02292,2
AMP02295,2
AMP02299,2
AMP02330,4
AMP02331,2
AMP02336,7
AMP02337,2
AMP02340,4
AMP02349,2
AMP02354,2
AMP02355,4
AMP02364,2
AMP02368,12
AMP02369,4
AMP02372,3
AMP02378,10
AMP02379,6
AMP02384,2
AMP02431,2
AMP02433,3
AMP02608,2
AMP02610,4
