island,reps
Amami Oshima (Ousima),12
Amami Ōshima,4
Amami-O-Shima,10
Amami-O-Shima Id.,1348
Amami-Oh-shima,1
Amami-Ohshima I.,2
Amami-Ooshima,1
Amami-Oshima,17
Amami-Oshima Island,1402
Amami-Oshima Island?,1
Amami-ohshima,1
Amami-oshima,1
Amami-oshima Island,403
Amami-oushima,8
Amami-oushinma,1232
Amami-Ōshima,3
Amamiohshima,9
Amamiohshima Island,602
Amamioshima,112
Amamioshima Isl.,331
Amamioshima Island,273
Amamiosima,46
Aman,2
Amani,1
Amani Oshima,6
Amani-Oshima Island,6
Amara,1
Ambae,3
Ambai Island,1
Ambai Japen Island,1
Ambariobe,2
Ambariotelo,2
Ambergris Cay,46
Ambil Island,1
Ambitle,2
Amblaauw,1
Amblau,8
Amboina,593
Amboina  ?,1
Amboine,1
Amboine (Ambon),4
Amboine Island,72
Amboine [Ambon],2
Ambon,3449
Ambon (=Amboina),11
Ambon I.,62
Ambon I. [Island],2
Ambon Id.,3
Ambon Island,678
Ambon Island (Maluku),2
Ambon Pulau,23
"Ambon, Pulau",489
Ambon; Pombo Island,3
Ambondro,1
Amboyna,4
Ambre,1
Ambrym,51
Ambrym Island,2
Ambrym [Ambrim],25
Ambucoa,1
Ambulong Island,99
Amchitka,29
Amchitka Island,1334
Ameland,491
Ameland?,1
Amelia,27
Amelia I.,9
Amelia Island,48
America Samoa,8
American Samoa,3181
Amherst,12
Amherst Island,5
Ami Id.,8
Ami Island,125
Amicife,1
Amirante,62
Amirante Island,3
Amirante Islands,1
Amiraute Island,1
Amlia,1
Amlia Island,8
Ammassalik Island,1
Amoi,1
Amorgos,6
Amorgos I.,1
Amot,95
Amot Island,168
Amoy,20
Amoy Island,21
Amrum,3786
Amrum I.,1
Amsterdam,1
Amsterdam Island,13
"Amsterdam, Île",3
Amsterdamøya,2
Amuro Island,1
Ana Id.,1
Anaa,38
Anaa Atoll,131
Anaa I.,2
Anaa Id.,4
Anaa Island,1
Anacapa,16
Anacapa I.,7
Anacapa Id.,9
Anacapa Is.,2
Anacapa Island,876
Anaho Id.,67
Anaho Island,2
Anak Krakatau,34
"Anakkangean Islands, Sapeken",1
Analostan Island,2
"Anambas, Kepulauan",1
Anangenimon,6
Anapo,1
Anaspis,5
Anastasia,73
Anastasia Island,62
Anatahan,441
Anatahan Island,195
Anatom,350
Anatom [Aneityum],93
Anchieta,6
Anchorage Island,2
Anclote Key,5
Andalas,40
Andaman,29
Andaman Eil.,6
Andaman Id.,1
Andaman Is,1
"Andaman Is., South Andaman I.",1
Andaman Isl.,3
Andaman Island,1
Andaman Islands,72
Andaman Sea,21
Andaman and Nicobar,1
Andaman and Nicobar island,3
Andamans,17
Anderson,2
Anderson/Sucia,3
Andes,2
Andes Peruviennes,3
Andikithira,8
Andoni Island,2
Andoya,2
Andreanof Islands,1
Andros,223
Andros I.,537
Andros Id.,69
Andros Island,1027
Andros Island | New Providence Island,1
Andrus Id.,6
Ane-doul Id.,2
Ane-jima,2
Ane-loklap Id.,1
Anegada,61
Anegada I.,296
Anegada Id.,1
Anegada Island,380
Aneiteum [Aneityum],3
Aneityum,62
Aneityum I.,2
Aneityum Island,5
Aneityum [Anatom],2
Ang Du Island,1
Ang Du island,2
Angaur,759
Angaur I.,475
Angaur Island,160
Angel,4
Angel Id.,39
Angel Island,89
Angel de La Guarda Island,2
Angel de La Guardia Island,6
Angel de la Guarda,77
Angel de la Guarda I.,18
Angel de la Guarda Id.,320
Angel de la Guarda Island,11
Angel de la Guardia,3
Angel de la Guardia Island,1
Angelica Island,5
Angelica Rock,26
Anglesey,863
Anglesey (Anglesea),3
Anguar,3
Anguilla,692
Anguilla Cays,9
Anguilla I.,186
Anguilla Island,60
Anguilla Isles,4
Anhydros I.,1
Ani-Jima,9
Ani-jima,223
Ani-jima I.,1
Ani-jima Island,65
Ani-shima,2
Anialop Island,3
Anietyum,20
Anijima,1
Anijima Isl.,57
Anima Sola Island,1
Aniwa,5
Aniyaani,1
Anjouan,97
Anjouan Eil.,1
Anjouan Eiland,1
Anjouan I.,6
Anjouan Island,229
Anmyon Island,2
Ann Island,4
Anna Maria,1
Anna Maria Id.,1
Anna Maria Island,25
Anna Maria Key,15
Annaa Island,1
Annam,1
Annenkov,43
Annet,19
Annette,1
Annette Id.,5
Annette Island,71
Annobon,27
Annobon Id.,8
Annobon Island,17
Annobón,2
Annobón Island,1
Ano Nuevo Id.,412
Ano Nuevo Island,64
Anonyme Island,20
Anorthite Islet,1
Ant Atoll,269
Antarctica,12
Antelope,2
Antelope I,1
Antelope Island,2
Anthony,1
Anticosti,921
Anticosti Island,1172
Antigua,2716
Antigua  ?,2
Antigua & Barbuda,42
Antigua I.,2
Antigua Id.,88
Antigua Island,705
Antikythera,3
Antillen,39
Antilles,484
Antilles Isls.,3
Antilles françaises,1
Antipodes Island,6
Antipodes Islands,2
Antuilla I.,3
Antwerpen,2
"Antíparos, Nísos",34
Anuanuraro,2
Anuanuraro Atoll,25
Anuchina,9
Anuda Id.,7
Anus,3
Anuta,102
Anuta I.,1
Anvers,2
Anvers Island,388
Ao-shima,2
Ao-sima island,5
Aoba,4
Aogashima Island,19
Aomoen Island,2
Aor Island,1
Aore,1
Aoshima,9
Aoshima Isl.,12
Aoshima Island,5
Aotle Id.,2
Apataki,11
Apataki Atoll,1
Apataki I.,1
Apataki Island,1
Api Island,2
Apisson Id.,1
Apo,3
Apo I.,73
Apo Id.,143
Apo Island,168
Apo Reef,101
Apola,1
Apolima,1
Apolima I.,1
Apple Island,2
Appledoor Island,3
Appledore,21
Appledore Island,34
Applegate,1
Applegate Island,1
Apulit,4
Aquidneck,2
Aquidneck I.,1
Aquitaine,7
Arabian Sea,2
Arafura Sea,3
Aragusukujima Island,7
Arakabesan I.,153
Arakabesang Island,23
Arakamchechen,10
Arakamchechen Island,2
Arakamchechen Island [Arakamtchetchene Island],2
Arakamchechen [Arakamtchetchene)],11
Arakamchechen [Arakamtchetchene],7
Arakamtchetchene Island,2
Arakan,2
Arakane,381
Arakane Bank,33
Aramassa,1
Aramaçá,3
Aran Islands,1
Aranmore,2
Aranmore Island,1
Aranmore island,1
Aranyàg,1
Arapawa Island,1
Aratika,13
Aratika Atoll,6
Aratika Island,3
Arch. Juan Fernández,2
Ardilla Is.,1
Ardley Island,1
Aree,2
Arfak,1
Argentina,5
Argentine Is.,1
Argentine Island,2
Ari Atoll,67
Ariake Sea,10
Aride Id.,11
Aride Isl.,1
Aride Island,51
Arie Island,1
Arimasuku,48
Arimasuku Id.,75
Aris Island,2
Aristazabal Island,29
Aristazable Island,4
Arkö,2
Arno Atoll,1797
Arno Id.,146
Arnold's Island,5
Aroa Eilanden,1
Aroa Island,1
Aroe,13
Aroe Eiland,2
Aroe Islands,4
Aroe eilanden,11
Aroe islands,1
Aroe-eilanden,1
Aroeri,4
Aroes [Aru] Island,1
Arran,292
"Arran,",1
Arsenicker Keys,3
Art,12
Art Id.,13
Arthonia atra(=Opegrapha atra),1
Artificial Island,1
Aru,12
Aru Eil.,4
"Aru Eil., Wokam",4
Aru Inseln [Island],1
Aru Is.,1
Aru Isl.,33
"Aru Isl., Isl. Kobroor",7
"Aru Isl., Wammer",4
Aru Island,68
Aru Islands,210
Aru Isls.,1
Aru [Arroe],3
Aru [Arroe] Islands,1
Aru islands,1
"Aru, Kepulauan",74
Aru-Inseln [Island],2
Aru/Aroe Islands,1
Aruba,1388
Aruba I.,1
Aruba Id.,44
Arukodokorokke,41
Arutua,19
Ary,1
Arzon,1
Ascencion,41
Ascencion Island,1
Ascencion Islands,1
Ascension,83
Ascension I.,1
Ascension Id.,1
Ascension Island,538
Ascension island,2
Ashakasengu,2
Ashika,3
Ashmore,1
Ashmore Reef,49
Ashuradeh,1
Asia,1
Asia Island,2
Askold,5
Asokai,1
Aspland Island,10
Assateague,63
Assateague Island,9
Assateaque Island,2
Asseraderes Island,1
Assumption,26
Assumption Island,9
Astalø Island,1
Astola,61
Astola I.,1
Astola Island,2
Astove,1
Astove Atoll,34
Astove Island,5
Astrolabe Island,20
Astypalaia,1
Astypalea,2
Asuncion,12097
Asuncion Id.,39
Asuncion Island,270
"Asuncion, Isla",1
Ata'a,13
Atafu,1
Atafu Atoll,83
Atalanta,2
Atata,62
Atata Island,139
Atatajima,9
Atha Island,1
Athol Island,30
Atiu,354
Atiu Island,7
Atjeh,1
"Atjeh, Sumatra",2
Atka,14
Atka Island,270
Atka Island ?,1
Atkins Island,5
Atko island,1
Atl. Oceaan ten Z. van Groenland,1
Atlantic Ocean,2
Atol das Rocas,10
Atoll Marutea (Lord Hood Island),1
"Atoll Marutea, Lord Hood Island",1
Attikí,1
Attu,41
Attu Atoll,1
Attu I.,9
Attu Is.,5
Attu Island,289
Atulayan Island,64
Atwood,1
Atwood Cay,1
Atwood's Key,16
Atwoods Key,6
Auckland,1
Auckland Eiland,6
Auckland Island,77
Auckland Islands,53
Augulpelu Reef,262
Augustine Island,26
Aukena,6
Aukena Island,101
Auki Island,3
Aulone Islet,19
Aulupse`el Island,1
Aulupseel Island,2
Auluptagal Island,1
Auluptagel,2
Auluptagel I.,832
Aunu'U Island,9
Aunu'u,68
Aunu'u Island,34
Aunuu,610
Aunuu I.,10
Aunuu Island,9
Aunu‘u,8
Aur Atoll,36
Aura,1
Aurapushekaru I.,112
Aurapushekaru Island,4
Auri Island,1
"Auri, Kepulauan",5
Auroa,21
Aurora Island,2
Austral Group,15
Austral Ids,1
Austral Islands,1
Australia,849
Austria,1
Austvagoy,2
Aux Carards Id.,8
Avalau Island,1
Avatanak,1
Ave Sotavento,1
Ave de Sotavento,2
Avea I.,1
Aventure Id.,4
Avery,34
Avery Id.,113
Avery Island,307
Aves Island,69
Aves Sotavento,1
Aves de Barlovento,9
Avian Island,7
Aviation Id.,11
Aviation Island,2
Avicennia Cay,9
Avicennia Cay.,19
Awa,1
Awa-jima,14
Awa-shima,1
Awaji,110
Awaji  Island,37
Awaji Id.,98
Awaji Isl.,186
Awaji Island,37
Awaji Shima Id.,2
Awaji-shima,240
Awajishima,2
Awajishima Island,1
Axel Heiberg,9
Axel Heiberg Island,20
Axel Island,5
Axinotarsus,1
Ayon Island,4
Ayuet Island,1
Azores,69
Azores; E coast of Flores,1
Azores; Faial,2
Azores; Flores,3
Azores; Formigas,1
Azores; Sao Miguel,2
Açores,4
Açores Island,29
"Açores, Ilhas dos",149
Aíyina,1
Año Nuevo Island,17
BAHAMA IS,3
BAINBRIDGE IS,2
BARRO COLORADO,29
BARRO COLORADO IS,48
BAY FARM IS,3
BELLE IS,1
BIKINI ATOLL,3
BOGOSLOF IS,1
BOKOBYAADYAA IS,1
BRAVA IS,1
BULACAN,5
BWI,3
Ba,6
Ba Mun Island,9
Baaba,8
Baaba Id.,6
Baam,7
Baarn,1
Baba Island,22
Babar,13
Babar Island,4
"Babar, Pulau",16
Babbage Island,2
Babber,32
Babber Isl.,6
Babber eil.,2
Babber eiland,2
Babber of Wetter,2
Babbler Island,1
Babbs Island,1
Babel Lukes Reef,76
Babeldaob,44
Babeldaob (=Babelthuap),10
Babeldaob I.,11
Babeldaob Id.,570
Babeldaob Island,4837
Babeldaob [Babelthuap],1217
Babeldaob [Babelthuap]  ?,1
Babeldaub Island,2
Babeldoab Island,8
Babelthuap,192
Babelthuap I.,1508
Babelthuap Island,150
Babethuap,1
Babi Besar,18
Babi Island,43
"Babi, Pulau",3
Babina Guzica Island,1
Babledaob Island,2
Bablomekang,5
Bablomekang Id.,5
Bablomekang [Abappaomogan],2
Babuyan,4
Babuyan Claro,1
Babuyan Claro Island,88
Babuyan Islands,1
Bac Beag,2
Bac Mòr,1
Bac Mór,1
Bacan,122
Bacan Is.,1
Bacan Island,134
Bacan Islands,3
"Bacan, Pulau",119
Baccalieu,47
Baccalieu Island,4
Baccalun Island,1
Bach Long Vi,2
Back,1
Back Island,7
Baco,1
Bacon,1
Bacon Id.,2
Bacon Island,2
Bacon Islet,2
Bacural,1
Bacutcut Bank,3
Badak Badak,1
Badeldaob,1
Badhoevedorp,1
Badi,18
Badian,10
Badu Island,9
Baeta Island,3
Baffin,417
Baffin Is.,2
Baffin Island,714
Baffin's Island,2
Baga,6
Bagabag,5
Bagabag Island,167
Bagaman I.,13
Bagaman Island,1
Bagbag Island,1
Baguan I.,4
Bah Mun island,1
Bah-Mun,1
Bahama,18
Bahama Ids,4
Bahama Is.,2
Bahama Island,1
Bahama Islands,467
Bahamas,188
Bahia Honda Key,161
Bahia Orange,2
Bahrain,406
Bahrain Island,51
Bahrein Island,1
Bahrein Islands,2
Bahuluang,1
Baie d'Algoa,3
Bailechesengel Id.,5
Bailey,6
Bailey Island,1
Bailey Island (Bailey's Island),12
Bailey's Island,6
Baileys Island,2
Bailiwick of Jersey,3
Baillie Island,9
Baillie-Hamilton,199
Baillie-Hamilton Island,1
Bainbridge,274
Bainbridge Island,161
Bairakaseru I.,1
Bairakaseru Island,57
Baird Id.,1
Baishinjihama,1
Baja California,3
Baker,23287
Baker Island,638
Baker's Island,1
Baker/Howland,27
Bako Island,1
Baku,2
Balabac,161
Balabac I.,11
Balabac Island,159
Balabio,4
Balabio Id.,4
Balabio Island,9
Balagan Id.,1
Balaklava,12
Balaklava Island,1
Balanga Atoll,1
Balboa Island,2
Balboa island,1
Balch Island,2
Bald,1
Bald Head Chris Island,2
Bald Head Island,3
Bald Island,4
Baleares,4
Balearic Islands,16
Baleen Island,1
Bali,2871
Bali I.,10
Bali Id.,5
Bali Island,9
Bali Timur,19
Bali or Lombok,4
"Bali, Selat",1
Balicasag,195
Balicasag Id.,38
Balicasag Island,440
Balicasang Island,4
Balicasy,1
Baliguian,18
Balimbing,1
Baliscasag Island,12
Ballena Id.,43
Ballena Island,3
Balot Island,4
Balsas,1
Balta,2
Baltic Sea,3
Baltra,574
Baltra I.,69
Baltra Id.,135
Baltra Island,101
Baltra Island; near Seymour Island,1
Baltra [South Seymour],18
Baltra [South Seymour] / Seymour [North Seymour],1
Baltrum,5
Balukbaluk Island,39
Balut,15
Balut Island,84
Baléares,2
Bam,6
Bamba,1
Banana Island,1
Banana Islands,1
Bananal,6
Banca,49
Bancalan,4
Bancoran Id.,1
Bancoran Island,8
Banda,34
Banda Besar,120
"Banda Besar, Pulau",13
Banda Island,47
Banda Islands,123
Banda Neira,199
"Banda Zee, Lucipara Eil.",1
"Banda, Isl. Ai.",1
"Banda, Kepulauan",84
"Banda, Laut",2
Banda-Neira,7
Bandanaira,41
Bandaneira,2
Bandar Sidab,26
Bandong,1
Bandos,3
Bandos Island,6
Bandung,1
Banggai,6
Banggi,1
Banggi Island,6
Bangka,101
Bangka Island,13
"Bangka Island, zuidoost kust van Sumatra",2
"Bangka, Pulau",21
Bangkok,1
Banguey,2
Banguey Island,27
Bangú,1
Bani Island,1
Banika,1
Banika Island,22
Banjole Island,1
Banjole-Insel,1
Banka,349
Banka Island,1
Banka Islands,1
Banka?,1
Bankawan Island,4
Banks,3
Banks Group,65
Banks Island,346
Banoa Island,1
Bantang,1
Bantayan,13
Bantayan Id.,56
Bantayan Island,58
Bantimurung,2
Banton Island,1
Bantry Bay,1
Banty Island,3
Banyuwangi,1
Bar,5
Bara-jima,8
Baradal,2
Barahona Island,1
Barakan,2
Barang-lompo,4
"Barangkeke, Pulau",1
Barangonan Island,2
Baranof,171
Baranof I.,5
Baranof Island,2219
Baranof Island (Baranoff Island),2
Baranoff Island,2
