geodeticDatum,reps
,467096193
!196,2
"""""Zaire""""",1
"""International spheroid""",13
#D50,1
',1
(+/- 30 Meters),1
(+/- 30 meters),1
(Atlas Fl. Eur.): MH2,1
(GPS),2
"(GPS, WGS 84)",3
(NAD 27),14
(NAD 83),17
(NAD 84),1
(NAD27 CONUS),2
(NAD27),2
(NAD27) North American 1927,10
(NAD83),1
(NAD84),6
(WGS 84),1
(WGS84),7
(WGS84) World Geod,4
(WGS84) World Geodetic System 1984,148481
(WSG 84),2
-80.915,1
-80.9151,1
-80.9154,1
-80.9158,1
-80.9162,1
-80.9168,1
-82.3798,1
-84.845,2
-9.03578,1
-9.07717,2
-9.1,1
-9.24767,1
-9.27583,1
-9.416833,1
-9.4517,1
-9.501,1
-9.5295,4
-9.5333,1
-9.53667,1
-9.542,1
-9.5425,1
-9.571,1
-9.57117,1
-9.577,1
-9.597,1
-9.6015,1
-9.602,1
-9.63333,1
-9.891,1
-9.92417,1
-96.4075,2
.,3
/qfa84,2
0,118998
0.00001,17
0.6289889,1
0.6339,2
0.7333333,3
1,37758
1.145875,2
1.176619,2
1.203175,1
1.253103,1
1.284692,2
10,2
10 miles of Cartersville,1
10.03448,1
10.25088,1
10.26667,2
10.383333,1
10.42667,1
10.433333,1
10.5,1
10.52,1
10.75,2
10.78333,1
100.739069,3
1000,4
10000,2
100m,7
101.25,1
1014,6
102,18
102.814778,5
1037,2
108,1
108.4,1
10S,8
10SDQ8678,1
10SEN4882,2
10SEN6659,3
10SEP5004,1
10SFN7488,2
10SFN8905,4
10SFP8956,1
10SFQ2109,1
10T,1
11.05283,1
11.066667,1
11.06917,2
11.083333,4
11.1,1
11.1023333,1
11.11666,3
11.11667,2
11.1338333333333,1
11.22413,1
1127,5
1129,1
114,14
1155,2
11595,55
116,1
119,1
11S,1
12,1
12.41861,1
1200,3
124,1
13.71667,1
13.7433333333333,1
1313,88
134,1
1355,1
137,1
138,1
139,1
14,1
14.31168,1
14.76791,1
141,1
15.351667,3
155,1
156,1
16,1
16.1333333333333,1
16.4,1
16.5666666666667,3
16.6,1
16.6333333333333,2
16.634444,1
16.7,1
16.75,2
16.7833333333333,1
16.8,1
16.8333333333333,2
16.9666666666667,1
161,1
16770,2
17,1
17.0333333333333,1
17.1166666666667,1
17.1666666666667,1
17.1833333333333,1
17.2166666666667,1
17.28333,1
17.34244,2
17.5833333333333,1
17.7666666666667,1
17.8666666666667,1
1700,2
172,1
1728,1
174,3
177.06m,1
1780,1
179,1
17938,48
17NT52,1
17NV79,1
18,1
18.1333333333333,1
18.25,1
18.35,1
18.5666666666667,2
18.666667,1
18.7666666666667,1
1800,3
185,1
1867,1
1868,7
186_WGS_1966,1
