waterbody,reps
"""Ciénaga Río Viejo, cuenca Magdalena""",5
"""Ciénaga Santa Clara, cuenca Magdalena""",21
"""Ciénaga Simití, cuenca Magdalena""",13
"""Ciénaga Sonso Chircal, cuenca Cauca""",14
"""Ciénaga Tabacorú, cuenca Magdalena""",4
"""Ciénaga Tortugas, cuenca Magdalena""",1
"""Ciénaga Tumaradó, cuenca Atrato""",1
"""Ciénaga de Ayapel, cuenca Magdalena""",59
"""Ciénaga de Chucurí, cuenca Magdalena""",14
"""Ciénaga de Hoyo Grande, cuenca Magdalena""",2
"""Ciénaga de La Virgen, cuenca Magdalena""",13
"""Ciénaga de Margento, cuenca Cauca""",1
"""Ciénaga de Paredes, cuenca Magdalena""",2
"""Ciénaga de Tumaradó, cuenca Atrato""",3
"""Ciénaga del Cristo, cuenca Magdalena""",7
"""Ciénagas de Tumaradó, cuenca Atrato""",11
"""Cuenca Cauca, quebrada Piedras blancas, Proyecto hidroeléctrico Piedras Blancas""",1
"""Cuenca Piedras Blancas, cuenca Cauca""",3
"""Desembocadura del Magdalena en Bocas de Ceniza, cuenca Magdalena""",9
"""Embalse Amaní, cuenca Magdalena""",4
"""Embalse Porce II, cuenca Cauca""",80
"""Embalse Porce III, cuenca Cauca""",28
"""Embalse San Lorenzo, cuenca Magdalena""",1
"""Estanque Sanguaré, cuenca Caribe""",5
"""Laguna Bocas de Ceniza, cuenca Magdalena""",6
"""Laguna Los Deseos, cuenca Magdalena""",4
"""Laguna Ojinegro, cuenca Magdalena""",3
"""Laguna Villa Sonia, cuenca Magdalena""",2
"""Laguna artificial Pesquera Sierra blanca, cuenca Cauca""",1
"""Laguna de San Diego, cuenca Cauca""",4
"""Laguna de San Diego, cuenca Magdalena""",6
"""Madagascar, Entre la Fanambana et la Manambery""",1
"""Madagascar, Fianarantsoa, Mananjary,  Ampandimana""",1
"""Madagascar, Fianarantsoa, Nosy-Varika, Entre les villages d'Ambodimanga et Ambohimalaza""",1
"""Madagascar, Fianarantsoa, Vangaindrano, Environ à 5km au Sud Est du village d'Amparihy""",1
"""Madagascar, Toliary, SE de Toliary, à 10km de la RN7 en direction de Saint Augustin""",1
"""Morichal, afluente río""",5
"""Nacedero Cerca Casa """"Cuchillo""""""",2
"""North Sea,  """"het gat van de P-8""""""",4
"""North Sea, Southern Bight, """"Bolkgeul""""""",1
"""North Sea, Southern Bight, """"De Schelpen""""""",2
"""North Sea, Southern Bight, Brown Bank, """"Het Gat""""""",4
"""North Sea, Southern Bight, Zandwingebied Maasvlakte 2, between 51°59'80""""N and 52°01'10""""N and 03°52'26""""E and  03°55'24""""E""",8
"""North Sea, Southern Bight, east of Brown Bank, """"Het Gat""""""",9
"""North Sea, White Bank, """"het Trapje""""""",1
"""North Sea, north of """"het gat van de P-8""""""",5
"""North Sea, southern part, W Brown Bank, """"de Trechter""""""",1
"""Primera ciénaga, cuenca Atrato""",2
"""Quebrada  Caracolí, cuenca Cauca""",22
"""Quebrada Aguetarro, cuenca Magdalena""",7
"""Quebrada Alejandría, cuenca Magdalena""",1
"""Quebrada Bocatoma, cuenca Magdalena""",37
"""Quebrada Boquerón, cuenca Cauca""",110
"""Quebrada Borracheral, cuenca Cauca""",9
"""Quebrada Casanguilas, cuenca Magdalena""",46
"""Quebrada Caño Seco , cuenca Magdalena""",6
"""Quebrada Concharí, cuenca Cauca""",7
"""Quebrada El Algarrobo, cuenca Cauca""",8
"""Quebrada El Burro, cuenca Magdalena""",1
"""Quebrada El Coco, cuenca San Juan de Urabá""",2
"""Quebrada El Grano, cuenca Cauca""",22
"""Quebrada El Hato, cuenca Cauca""",3
"""Quebrada El Jagual, cuenca Magdalena""",53
"""Quebrada El Llanito, cuenca Magdalena""",6
"""Quebrada El Obrero, cuenca Cauca""",2
"""Quebrada El Oro, cuenca Cauca""",8
"""Quebrada El Paso, cuenca San Juan de Urabá""",6
"""Quebrada El Remolina, cuenca San Juan de Urabá""",2
"""Quebrada El Roble, cuenca Cauca""",24
"""Quebrada El Salado, cuenca Cauca""",4
"""Quebrada El Santo, cuenca Magdalena""",1
"""Quebrada El Siete, cuenca Magdalena""",51
"""Quebrada El Tigre, cuenca Cauca""",5
"""Quebrada El Zafiro, Cuenca Cauca""",8
"""Quebrada El Zancudo, cuenca Cauca""",9
"""Quebrada Espíritu Santo, cuenca Magdalena""",9
"""Quebrada Gallinaza, cuenca Cauca""",6
"""Quebrada Grande, cuenca Cauca""",4
"""Quebrada Guacaica, cuenca Cauca""",2
"""Quebrada Gualanday, cuenca Cauca""",49
"""Quebrada Guardasol, cuenca Magdalena""",14
"""Quebrada Guasimal, cuenca Magdalena""",1
"""Quebrada Gupacha, cuenca Cauca""",4
"""Quebrada Jardín, cuenca Magdalena""",13
"""Quebrada Juan García, cuenca Cauca""",2
"""Quebrada La Aguada, cuenca Atrato""",4
"""Quebrada La Bendecida, cuenca Cauca""",6
"""Quebrada La Bramadora, cuenca Cauca""",62
"""Quebrada La Cancana, cuenca Cauca""",20
"""Quebrada La Cayumba , cuenca Magdalena""",1
"""Quebrada La Cestillada, cuenca Cauca""",2
"""Quebrada La Chaparrala, cuenca Cauca""",3
"""Quebrada La Chorrera, cuenca Cauca""",7
"""Quebrada La Chuscala, cuenca Cauca""",2
"""Quebrada La Clara, cuenca Cauca""",9
"""Quebrada La Crespa, cuenca Atrato""",7
"""Quebrada La Despensa, cuenca Cauca""",1
"""Quebrada La Doctora, cuenca Cauca""",4
"""Quebrada La Escolta, cuenca Cauca""",1
"""Quebrada La Estrella, cuenca Cauca""",6
"""Quebrada La Guamera, cuenca Cauca""",14
"""Quebrada La Guropera, cuenca Cauca""",1
"""Quebrada La Iguaná, cuenca Cauca""",1
"""Quebrada La Laguna, cuenca Magdalena""",7
"""Quebrada La Leona, cuenca Cauca""",1
"""Quebrada La López, cuenca Cauca""",2
"""Quebrada La Malena, cuenca Magdalena""",1
"""Quebrada La Mulata, cuenca Magdalena""",24
"""Quebrada La Noque, cuenca Cauca""",17
"""Quebrada La Palanca , cuenca Cauca""",2
"""Quebrada La Payoa , cuenca Magdalena""",1
"""Quebrada La Picacha, cuenca Cauca""",1
"""Quebrada La Picardía, Cuenca Cauca""",2
"""Quebrada La Picota, cuenca Cauca""",1
"""Quebrada La Piedra , cuenca Cauca""",1
"""Quebrada La Piscina, cuenca Magdalena""",2
"""Quebrada La Pita, cuenca Magdalena""",1
"""Quebrada La Puntana, cuenca Magdalena""",2
"""Quebrada La Puria, cuenca Cauca""",1
"""Quebrada La Quebradona, cuenca Atrato""",6
"""Quebrada La Quebradona, cuenca Cauca""",1
"""Quebrada La Raya, cuenca Magdalena""",1
"""Quebrada La Represa, cuenca Magdalena""",3
"""Quebrada La Risaralda, cuenca Magdalena""",76
"""Quebrada La Selva, cuenca Atrato""",5
"""Quebrada La Sucia, cuenca Magdalena""",1
"""Quebrada La Unión, cuenca Cauca""",69
"""Quebrada La Vega, cuenca Cauca""",73
"""Quebrada La Volcana, cuenca Cauca""",1
"""Quebrada La Yolombala, cuenca Cauca""",2
"""Quebrada Las Lajas, cuenca Cauca""",7
"""Quebrada Laureles, cuenca Magdalena""",4
"""Quebrada Los Afluentes, cuenca Cauca""",1
"""Quebrada Los Trapos, cuenca Magdalena""",1
"""Quebrada Mata de Cacao, cuenca Magdalena""",2
"""Quebrada Montañitas, cuenca Magdalena""",1
"""Quebrada Montebello, cuenca Magdalena""",98
"""Quebrada NN Afluente Supía , cuenca Cauca""",2
"""Quebrada Palacio, cuenca Magdalena""",3
"""Quebrada Picardía, cuenca Cauca""",27
"""Quebrada Piedras, cuenca Cauca""",1
"""Quebrada Plan de Pérez, cuenca Cauca""",52
"""Quebrada Pueblo Chino, cuenca San Juan de Urabá""",2
"""Quebrada Pujamanes, cuenca Magdalena""",2
"""Quebrada Pérez, cuenca Magdalena""",1
"""Quebrada Quinchales, cuenca Magdalena""",1
"""Quebrada San Antonio, cuenca Magdalena""",10
"""Quebrada San Benigno, cuenca Cauca""",41
"""Quebrada San Juan , cuenca Cauca""",1
"""Quebrada San Luis, cuenca Cauca""",20
"""Quebrada San Miguel, cuenca Cauca""",5
"""Quebrada Santa Ana, cuenca Cauca""",45
"""Quebrada Santa Bárbara, cuenca Magdalena""",2
"""Quebrada Santa Elena, cuenca Cauca""",1
"""Quebrada Santa Inés, cuenca Cauca""",1
"""Quebrada Santa Isabel, cuenca Cauca""",1
"""Quebrada Santa María, cuenca Magdalena""",1
"""Quebrada Santa Rita, cuenca Cauca""",1
"""Quebrada Santa Teresa, cuenca Atrato""",6
"""Quebrada Santiago, cuenca Magdalena""",4
"""Quebrada Tafetanes, cuenca Cauca""",3
"""Río Alicante, cuenca Magdalena""",44
"""Río Anorí, cuenca Cauca""",8
"""Río Arma, cuenca Cauca""",10
"""Río Atrato, cuenca Atrato""",76
"""Río Aurra, cuenca Cauca""",16
"""Río Barroso, cuenca Cauca""",3
"""Río Bita, cuenca Orinoco""",3
"""Río Caguán, cuenca Amazonas""",1
"""Río Calenturitas, cuenca Magdalena""",3
"""Río Calle, cuenca Atrato""",9
"""Río Campoalegre, cuenca Cauca""",21
"""Río Carare, cuenca Magdalena""",5
"""Río Caribona, cuenca Cauca""",1
"""Río Cauca despues de la descarga del embalse San Francisco, cuenca Cauca""",6
"""Río Cauca, antes de la descarga del embalse San Francisco, cuenca Cauca""",10
"""Río Cauca, cuenca Cauca""",92
"""Río Cauca, descarga embalse San Francisco , cuenca Cauca""",6
"""Río Cesar, cuenca Magdalena""",5
"""Río Chamberi, cuenca Cauca""",4
"""Río Chicamocha , cuenca Magdalena""",3
"""Río Chinchina, cuenca Cauca""",6
"""Río Claro, cuenca Cauca""",6
"""Río Cututú , cuenca Magdalena""",8
"""Río Doña Juana, cuenca Magdalena""",26
"""Río El Bizcocho, cuenca Magdalena""",16
"""Río El Pedral , cuenca Cauca""",3
"""Río Frío, cuenca Cauca""",16
"""Río Grande, cuenca Cauca""",2
"""Río Guadalupe, cuenca Cauca""",59
"""Río Guarinó, cuenca Magdalena""",1
"""Río Guarne, cuenca Cauca""",14
"""Río Guatapé, antes del embalse Punchiná""",2
"""Río Guayabero, cuenca Orinoco""",1
"""Río Hondo, cuenca Magdalena""",5
"""Río Ituango, cuenca Cauca""",1
"""Río Juradó, cuenca Pacífico""",2
"""Río La Miel, cuenca Magdalena""",150
"""Río La Paloma, cuenca Magdalena""",10
"""Río La Vieja, cuenca Cauca""",18
"""Río León, cuenca Atrato""",1
"""Río Losada, cuenca Orinoco""",1
"""Río Magdalena, cuenca Magdalena""",158
"""Río Man, cuenca Cauca""",11
"""Río Manso, cuenca Magdalena""",443
"""Río Maracas, cuenca Magdalena""",3
"""Río Medellin en la Clara, cuenca Cauca""",1
"""Río Mulato, cuenca Cauca""",10
"""Río Nare, cuenca Magdalena""",1
"""Río Nechí y río Cauca, cuenca Cauca""",1
"""Río Nechí, cuenca Cauca""",23
"""Río Negrito, cuenca Orinoco""",1
"""Río Opiramá, cuenca Cauca""",11
"""Río Opón, cuenca Magdalena""",9
"""Río Pensilvania, Caldas""",1
"""Río Pichinchi, cuenca Magdalena""",5
"""Río Platanillo, cuenca Cauca""",3
"""Río Porce, cuenca Cauca""",244
"""Río Pozo, cuenca Cauca""",10
"""Río Purnio, cuenca Magalena""",12
"""Río Purnio, cuenca Magdalena""",28
"""Río Ranchería, cuenca Ranchería""",5
"""Río Rayo, cuenca Cauca""",15
"""Río Risaralda, cuenca Cauca""",30
"""Río Roble, cuenca Cauca""",1
"""Río Saldaña, cuenca Magdalena""",11
"""Río Samaná Norte, antes de confluencia con río Magdalena""",5
"""Río Samaná, cuenca Magalena""",8
"""Río Samaná, cuenca Magdalena""",66
"""Río San Andrés, cuenca Cauca""",8
"""Río San Eugenio, cuenca Cauca""",1
"""Río San Jorge, cuenca San Jorge""",1
"""Río San Juan de Urabá, cuenca San Juan de Urabá""",79
"""Río San Juan, cuenca Cauca""",9
"""Río San Miguel, cuenca Cauca""",2
"""Río San Pedro, cuenca Magdalena""",1
"""Río San Ándres, cuenca Cauca""",4
"""Río Seco,cuenca Magdalena""",1
"""Río Sogamoso, cuenca Magdalena""",47
"""Río Suarez, cuenca Magdalena""",1
"""Río Sucio, cuenca Cauca""",8
"""Río Supía, cuenca Cauca""",16
"""Río Tapartó, cuenca Cauca""",5
"""Río Tapias, cuenca Cauca""",12
"""Río Tareas, cuenca Cauca""",10
"""Río Tenche, cuenca Cauca""",16
"""Río Tucuy, cuenca Magdalena""",30
"""Río Tunja, cuenca Magdalena""",3
"""Río Venados, cuenca Atrato""",16
"""Río Ventuari, cuenca Orinoco""",1
"""Río Viejo, cuenca Magdalena""",2
"""Ríos Tucuy, Maracas, Calenturitas, cuenca Magdalena""",2
"""Spaans Dak"" (vijver/étang/pond)",1
#N/A,1
Alem Maya Hayk',15
Caldera Bay',10
DE AA',2147
Ditch',6
Fukien Sea',1
Kern Lake',2
Klong Borapet',1
LAC  DU BALIENIERES',1
Lembeh Strait',1
Leubert Dam' reservoir,33
Matsushima Bay',1
Menam Chao Phya',10
Menam Nan',1
Oland Creek,1
RIO LAGUNA',1
S GRAVENBRIELBEEK,272
Sikuk River',1
T LIEFKEN,1456
Thale Noi',1
Tsiltcoos River',1
s Gravensvoeren (),1
t Grasbroek,1
(),1
(<<<Katsura-gawa River<Yodo-gawa River),2
(<<<Kidu-gawa River),4
(<<Hida-gawa River),1
(<<Ishikari-gawa River),2
(<<Kako-gawa River),1
(<<Kino-kawa River),6
(<<Kumano-gawa River),5
(<<Yura-gawa River),3
(<Agano-gawa River),1
(<Agatsuma-gawa River),4
(<Akui-gawa River),2
(<Arita-gawa River),3
(<Aso-gawa River<Ado-gawa River),6
(<Daichidani-gawa River<Akui-gawa River<Yoshino-gawa River),2
(<Doi-gawa River<Niyodo-gawa River),1
(<Enokiseeko-gawa River<Yoshino-gawa River),1
(<Funadotani-gawa River<Akui-gawa River<Yoshino-gawa River),1
(<Genshin-gawa River<Kuwano-gawa River),1
(<Hacchyodani-gawa River<Miya-gawa RiverUchitani-gawa River<old Yoshino-gawa River<Yoshino-gawa River),1
(<Higaidani-gawa River<Yoshino-gawa River),1
(<Higashimatadani-gawa River<Soedani-gawa River<Yoshino-gawa River),1
(<Higashiyamatani-gawa River<Kwata-gawa River<Yoshino-gawa River),1
(<Hiroishidani-gawa River<Akui-gawa River),1
(<Iburihashi-gawa River),1
(<Imagire-gawa River<old Yoshino-gawa River<Yoshino-gawa River),7
(<Ishikari-gawa River),4
(<Jintsudani-gawa River<Akui-gawa River<Yoshino-gawa River),5
(<Kako-gawa River),8
(<Kandase-gawa River<Katsuura-gawa River),10
(<Katsuura-gawa River),1
(<Kidu-gawa River),3
(<Kino-kawa River),6
(<Kitadani-gawa River<Akui-gawa River<Yoshino-gawa River),2
(<Komura-gawa River),1
(<Kuji-gawa River),4
(<Kumo-gawa River<Kitagawauchidani-gawa River<Hiwasa-gawa River),3
(<Kurametani-gawa River<Akui-gawa River<Yoshino-gawa River),1
(<Kuro-kawa River<Omogo-gawa River<Niyodo-gawa River),2
(<Miya-gawa River),4
(<Miya-gawa RiverUchitani-gawa River<old Yoshino-gawa River<Yoshino-gawa River),1
(<Miyajimaeko-gawa River),1
(<Muya-gawa River),1
(<Muya-gawa River<old Yoshino-gawa River<Yoshino-gawa River),3
(<Nakatani-gawa River<Bandodani-gawa River<old Yoshino-gawa River<Yoshino-gawa River),1
(<Nakatsu-gawa River<Sagami-gawa River),2
(<Nina-gawa River),11
(<Nishino-gawa River),5
(<Niu-gawa River<Yoshino-gawa River<Kino-kawa River),3
(<Niyodo-gawa River),16
(<Ohtani-gawa River<old Yoshino-gawa River<Yoshino-gawa River),3
(<Ohtaru-gawa River<Omono-gawa River<Mogami-gawa River),2
(<Ohte-gawa River),6
(<Ohyodo-gawa River),1
(<Omogo-gawa River<Niyodo-gawa River),8
(<Orono-gawa River<Akui-gawa River<Yoshino-gawa River),3
(<Saka-gawa River<Sakura-gawa River<),1
(<Seto Inland Sea ),4
(<Shigenobu-gawa River),9
(<Sonose-gawa River),6
(<Sugichiani-gawa River<Katsuura-gawa River),2
(<Takatsu-gawa River),3
(<Tokachi-gawa River),1
(<Tonda-gawa River),4
(<Wajima-gawa River),6
(<Yawarake-gawa River<Tsubaki-gawa River),2
(<Yodo-gawa River),9
(<Yoshino-gawa River),4
(<Yoshino-gawa River<Kino-kawa River),4
(<Yukiura-gawa River),2
(<Yura-gawa River),21
(<old Yoshino-gawa River<Yoshino-gawa River),8
(<the Bungo Channel),2
(Estuaries),466
(Freshwater),1923
(Laccadive Sea),2
(MENAM YEM),1
(Manila Bay),2
(Marine),9151
(Pacific),1
(Poir.) Kunth.,1
(Pos. Approx.),1
(freshwater),1
(inner) St. Catherine's Sound,1
(tributary)<nannbu-gawa River,2
", Chuya River",4
", Skagit River",1
-,380
-CHESAPEAKE BAY,2
.,16
. Western African Regional Sea,1
/,825
0,146
1,15
"1 km north off Izashiki Port, Sata(Marine)",17
"1 km southwest off Kawajiri Fishing Port, Kaimonkawajir(Marine)",20
"1 km southwest off Kawajiri Fishing Port, Kaimonkawajiri(Marine)",940
1 km to Vohiparara,1
1.8 km to Vohiparara,1
1/2 Moon Bay,1
10 Mile Bayou,1
10miles off Tuno,2
120 fathoms deep off Sill,2
1300 Tomkinson River,1
14 Mile Creek,1
15,1
"16km east, off Oki",1
"19.2km north, off Rebun Island",2
1981-02-03/1981-02-04,1
198911**,1
1° Córrego - margem esquerda,8
1° Panamá - Afluente do Rio Careiro,16
1° Paraná (cabeceira) - afluente do rio Carreiro,7
2 Pools,2
20' BELOW HOT SPRING OUTBREAK,1
24 km to Amborompotsy,1
28.170426,3
2nd Creek,23
3 Mile Lake,13
3 Mile Slough,1
30,1
300 fathoms deep near Ali,2
300 fathoms deep off Buka,1
300 fathoms deep off Sika,1
"300 fathoms off Bukana, S",1
31 km S.of the crossing of this road with the Hana river,4
"38.4km west, off Teuri Island",2
4 miles off Kuki,1
"4.5km Off Oshima,Kii-nagashima",1
40 & 17 Cabin Creek and Kiamichi Creek,1
40 Mile Cr.,2
400 fathoms deep off Puer,7
400 fathoms off Puerto Ba,2
400-500 fathoms deep near,1
5,2
5 SHALLOW FRESHWATER SPRINGS,1
"5 mile west off Aokata, Goto Islands(Marine)",1
5 miles off Hinomisaki Cape,1
6,1
6-Mile Creek,1
6.5 km to Vohiparara,1
7,1
"8 km off NNW of Furue Port, Kanoya(Marine)",4
<Anauchi-gawa River<Yoshino-gawa River,2
<Arakawa-gawa River,3
<Mae-gawa River<Kuma-gawa River,4
<Monobe-gawa River,2
<Niyodo-gawa River,8
<Seto Inland Sea,1
<the Bungo Channel<Seto Inland Sea,1
>Nii-gawa River>,2
?,10
? waters of Hawaiian Isla,1
?(<Kako-gawa River),1
?Java Sea,1
"A 2,5 m de altura posado sobre arbusto en el haz de una hoja",1
A waterfall at Phnom Kulen(Freshwater),19
AABEEK,89
AARKELLOOP,26
ABAY RIVER,11
ABBAY RIVER,96
ABEEK,5483
ABITIBI RIVER-MOOSE RIVER,1
ABTSGRACHT,1
AC,526
ACADEMY BAY,1
ACAPULCO BAY,2
ACHELLES BAY,2
ACHTERSTE NEET,273
ADELAIDE RIVER - TIMOR SE,10
ADELAIDE RIVER-TIMOR SEA,20
ADOBE CREEK,4
ADRIATIC SEA,7
AEGEAN SEA,6
AFAR RIVER,3
AFFLUENT TO RIO CONCHOS,3
AFLEIDINGSKANAAL VAN DE LEIE,6973
AKPA-YAFE RIVER SYSTEM-GU,2
AL,754
ALABAMA RIVER,394
ALAFIA RIVER,117
ALAMEDA CREEK,1
ALAPAHA RIVER-SUWANNEE RI,1
ALBANY BROOK,1
ALBANY CREEK,1
ALBANY RIVER,1
ALBEMARLE SOUND,48
ALBERTKANAAL,3126
ALEXANDRIA HARBOR,1
ALGOA BAY,1
ALGODONES LAGOON,1
ALLEGHANY RIVER,7
ALLEGHENY,4
ALLEGHENY RIVER,507
ALLIGATOR CREEK,20
ALLIGATOR LAKE,231
ALMEJAS BAY,3
ALMENDARES R.,1
ALTACAR CREEK,1
ALTAMAHA RIVER-WESTERN CE,2
ALTMAN BAY,24
ALTO RIO PARANÁ,5
AM,424
AMACURO RIVER,2
AMAZON RIVER,24
AMAZONAS,100
AMERICAN RIVER,7
AMGUYEMA RIVER - ARCTIC O,1
AMPANOBE RIVER,1
AMPIYACU R.,2
AMSTERDAM ISLAND,1
AN,543
AN AFFLUENT TO RIO CONCHOS,1
ANA RIVER,1
ANADYR' RIVER BASIN-BERIN,2
ANDAMAN SEA-WESTERN CENTR,1
ANGELINA RIVER,1
ANGLAIZE RIVER,1
ANKAVANA RIVER,2
ANKAVANANA RIVER,1
ANKAVIA RIVER,1
ANTARCTIC,1
ANTIBES,30
ANTITANKKANAAL,104
AOLA BAY,1
AOSHIMA,1
APALACHICOLA RIVER,5142
"APOPKA, LAKE",170
APTOS CREEK,1
ARAB SEA,1
ARABIAN GULF (PERSIAN GUL,26
ARABIAN SEA,80
ARAFURA SEA,18
ARAL SEA,2
ARANSAS RIVER-COPIANO BAY,1
ARCHAGOIL BAY,1
ARCHER RIVER,22
ARCTIC OCEAN,20
AREA 14,10
AREBEEK,1065
ARENA COVE,2
ARIB,1
ARIMA RIVER - CARONI SYST,10
ARIPO RIVER - CARONI SYST,1
ARKANSAS RIVER,2
ARKANSAS RIVER ?,1
ARNOLD RIVER,2
ARROYO CASA QUEMADA,1
ARROYO DE LA INDIA MUERTA,6
ARROYO DE LA RANA,3
ARROYO DEL ENCINO,1
ARROYO DEL ZAPOTILLO,3
ARROYO EL ZACATEL,2
ARROYO TECOLOTE,1
ARROYO TREMENTINA,5
ARTESIAN HOT SPRING,2
ARTHUR RIVER,1
ARUN R.,1
ARUR DALAN,1
ARUWIMI RIVER-CONGO RIVER,3
ASBEEK,288
"ASHBY, LAKE",187
ASIRITA RIVER,4
ASPETUCK RIVER,1
ASTLILLERO (=ESTUARY),3
ASien,1
ATES CREEK,17
ATLANTIC,3
ATLANTIC OCEAN,2833
AUAU CHANNEL,3
AUCILLA RIVER,15
AUGLAIZE RIVER,6
AUKE BAY,1
AUTO RIVER,1
AVALON BAY,1
AVALON HARBOR,2
AVLA BAY,1
AVRIJEVAART,51
AWARA CREEK,1
AWASH RIVER,24
Aa,224
Aabach,422
Aalbach,15
Aalbach (Lößnitz),3
Aan R,13
Aapies,2
Aar,573
Aar (stream),4
Aarhus,1
Aarhus bugt,2
Aarons Creek,9
Aasi (anchorage),7
Abak,1
Abanga,9
Abant Gölü (lake),2
Abary,2
Abary River,21
Abaya Hayk',1
Abb,1
Abbabach,136
Abbadia,4
Abbai,2
Abbai River,1
Abbasanta (pond),15
Abbaye Notre Dame de Rochefort (well),2
Abbaye St-Rémy (well),6
Abbey,1
Abbie Creek - Chattahoochee River,18
"Abbie Creek, Chattahoochee River, Apalachicola River",6
Abbioccolo,2
Abborragylet,3
Abborragölen,12
Abborrasjö,5
Abborrasjön,41
Abborratjärn,12
Abborravattnet,2
Abborregölen,3
Abborresjön,144
Abborretjärn,7
Abborretjärnen,20
Abborretjärnet,11
Abborrflyet,12
Abborrgrubban,2
Abborrgölen,2
Abborrkammaren,6
Abborrsjö,10
Abborrsjön,205
Abborrtjärn,109
Abborrtjärnarna,11
Abborrtjärnen,652
Abborrtjärnen 2,9
Abborrtjärnet,65
Abborrträsket,136
Abborrvattnet,50
Abbortjørna,3
Abborvatnet,29
Abbot,5
Abbott Lake,1
Abbotts Creek,8
Abedani-gawa River(<Fukui-gawa River),2
Abegawa River,1
Abels Sjö,5
