island,reps
Cyprus,1045
Westham,1030
Admiralty Island,1026
Dinagat I.,1024
Isla del Coco,1023
Sao Tome Id.,1010
Koror Id.,1006
Bali,986
North Island,980
Negros I.,957
Mindoro I.,947
Cozumel,945
British West Indies,936
Tutuila,935
Ouvea Atoll,932
Sri Lanka,932
Macquarie,927
Saint Lawrence,918
South Caicos Island,918
Cerralvo Id.,907
Saint Lucia,902
Saba,901
Grizzly Island,895
Navassa Island,891
Japan,871
Santa Cruz,870
Sulawesi Island,866
Barbados,858
Christmas,839
Rongelap Atoll,838
Honshu I.,838
Palmyra Atoll,836
Ishigaki Shima Id.,835
Newfoundland,824
St. John Island,816
Auluptagel I.,812
Espiritu Santo,811
Sibuyan I.,798
Lubang Island,798
São Tomé,791
Isabela Id.,790
Halmahera,789
Socorro I.,776
Busuanga Island,769
Nukuhiva,765
María Magdalena,759
Rapa,757
Batan Island,756
Cebu Island,753
South Island,748
Lamu,740
Britain,727
Tutuila Island,724
Isla de Pascua,722
Malakal Id.,718
Mururoa Atoll,712
Erromango,712
Okinawa,711
Grande Comore I.,703
Hainan Island,702
Key West,700
Clarion I.,698
Santa Cruz Id.,692
Manhattan,687
Montague Island,683
Santa Catalina Id.,668
Cebu I.,667
Cat Island,667
Sand Island,656
San Miguel,654
Kiritimati Atoll,653
Camiguin Id.,652
Dall Island,651
Isla de la Juventud,648
Kwajalein Atoll,647
Bioko Id.,643
Tortola,642
martinique,642
Anguilla,639
Kuiu Island,636
Eniwetok Atoll,635
Floreana Id.,628
Whidbey,621
Exuma,620
Kodiak Island,619
Panay Island,618
kerguelen,613
Kyushu,612
Burias Island,609
Antigua,607
Kupreanof Island,607
Cedros Id.,607
Cebu,605
Marten Island,602
Rossel Island,601
New Britain Island,598
Fergusson Island,591
Panay I.,586
Tutuila I.,581
Leyte I.,578
Saint Paul Island,578
Culion Island,575
Honshu Island,571
Santa Catalina Island,569
Daru Id.,562
Amchitka Island,561
Cayman Brac,559
Saipan Island,557
Efate,554
Sudest Island,548
San Cristobal Id.,548
Santa Cruz I.,546
Camiguin I.,544
Pitcairn,544
Polillo Island,542
Fakfak Div.,542
Sakhalin Island,542
San Clemente,541
chesterfield,538
Taumako,538
Socorro,536
Indonesia,534
Sumatera,532
Pohnpei I.,531
Basilan Id.,531
Leyte Id.,520
Nosy Be,520
Brooks Island,518
Saipan,518
Dominica Id.,517
Marinduque I.,517
Epi,515
Mohotane Island,514
Bimini Islands,512
Babeldaob Id.,508
Corsica,506
Ostrov Sakhalin,505
Principe Id.,504
Cuba Id.,501
Maricaban Island,499
Zanzibar,499
Heron Island,496
Monomoy Island,496
Graham Island,495
Catanduanes Island,493
"Yaeyama Islands, Ishigaki Island",491
Carmen Id.,489
Catanduanes I.,489
Guam Id.,487
Woodlark Island,487
Curaçao,486
Unalaska Island,484
Normanby Island,484
New Georgia,480
Saint Eustatius Id.,480
San Clemente Id.,480
Trinidad Island,479
Shelter Island,477
Nonsuch Island,477
Espanola Id.,475
Victoria,474
Saba Id.,472
Siquijor Island,471
San Clemente Island,471
Jolo Island,468
Masbate Island,467
Grande Terre,466
Adak Island,466
Angaur I.,463
malo,458
Sanga Sanga I.,457
Calvert Island,454
Saint Paul,453
Dinagat Island,450
Bahama Islands,448
San Marcos Id.,446
Onotoa Atoll,445
Isabela I.,444
New Caledonia,444
Oahu Id.,443
Urukthapel I.,440
Rapa Island,440
Guimaras Island,438
Rongerik Atoll,437
Saint Croix Id.,436
grande terre,432
Isabela,431
Big Damalawa Islet,428
Nantucket,428
Madang Province,427
Bougainville,424
Espiritu Santo Id.,416
Sibutu I.,416
Yap,415
Sudan,414
Inagua Island,411
Muskeget Island,410
Ano Nuevo Id.,409
Majuro Atoll,407
San Jose Id.,406
Leyte,405
Saipan I.,403
Clarion Id.,402
South Georgia,400
New Ireland,399
Camiguin Sur Island,399
Santa Fe Id.,395
Hispaniola Id.,393
Forrester Island,390
Southeast Farallon Island,389
Arno Atoll,386
Andros Island,386
Siquijor,386
Lanai,383
Siargao I.,382
Tablas Island,380
Henderson Island,379
Choiseul Island,379
San Juan Island,378
Koror,377
Efate Island,375
Fanning,375
Kayangel Atoll,374
Matuku Island,373
Siquijor Id.,373
Kosrae Island,372
Exuma Island,372
Pratas Reef,372
Chuuk Islands,371
North Male Atoll,371
Etolin Island,370
Bahrain,369
Puerto Rico Id.,367
Jolo Id.,366
Westham Island,364
Santa Maria I.,360
Bohol,360
Guana,357
Aruba,356
New Ireland Island,355
Maumere Bay,354
Panay Id.,353
Charity,352
Santa Catalina,350
Vanua Lava,348
Big Razorback Island,345
Isabel Island,344
Samar I.,341
Emira Island,337
Tinian Island,336
New Providence Island,336
Maria Madre Id.,335
San Salvador Id.,335
Tara Island,335
Viti Levu Id.,333
Kayangel I.,333
Coron Island,332
Great Inagua,330
Philippines,329
San Miguel Island,328
Nias Island,325
Rarotonga,325
"Sulu Archipelago, Basilan Island",325
Misima Island,323
Jolo I.,322
Angel de la Guarda Id.,320
Ngerekebesang Id.,319
Espanola I.,319
Grand Bahama,318
Eilat,317
santo,317
Canton Island,316
Saturna Island,314
Raphael Island,312
Tsushima Id.,311
Martinique,311
luzon,310
Camiguin Norte Island,310
Mallorca,310
Phuket Island,308
Santa Rosa Island,307
Basilan I.,307
Wake,306
Saint George Island,303
Graham,302
Vanua Balavu I.,300
Tumbagaan I.,299
Ulithi Atoll,299
Rose Atoll,297
Tiburon Island,297
Culion I.,297
amsterdam,294
Tanna,294
Flores Island,294
Raivavae,294
Isla Grande de Chiloé,294
San Salvador I.,293
St. Croix Island,292
Mactan Island,292
Seram,291
Polillo Id.,290
Busuanga,289
Tortuga Id.,288
Manus,286
Biliran Island,285
Taravai,285
Marajo Island,284
Minami Tori Shima,281
Marthas Vineyard,280
Cumberland,278
Sariguan Island,277
Angaur,275
Tern,275
Basse-Terre Island,274
Fatuhiva,273
Nuku Hiva,273
Fatu Hiva,273
Zarembo Island,272
Romblon Island,270
Ifaluk Atoll,268
Lombok,268
Fernandina Id.,267
South Georgia Island,266
Saint Martin,264
Santa Magdalena Id.,264
Augulpelu Reef,262
Antigua Island,261
Isla de Culebra,261
Ikishima Id.,261
Fuga I.,260
Groote Eylandt,260
Yap Island,260
Saint John,257
St. Thomas Island,257
Ngerechong Id.,255
Sibuyan Id.,255
Polynesia,253
Shortland Island,253
Pulau Tikus,252
Mahe Island,252
Ngadarak Reef,252
Ascension Island,251
Malaita Id.,251
Nunivak Island,251
Cocos Island,250
Emae,249
sao vicente,249
Bora-bora,249
South Pagai,248
Socorro Id.,247
Heceta Island,246
San Esteban Id.,246
Hinchinbrook Island,245
Guimaras Id.,244
Mota Lava,243
Jenny Lind,243
Floreana,241
Bainbridge,241
Camiguin Island,241
Sibuyan Island,241
Biri Island,241
Clipperton,238
Kayangel,238
Isabel Id.,237
Midway Atoll,237
Little Santa Cruz Island,237
Sardegna,236
Santiago,236
San Cristobal I.,236
tutuba,235
Halmahera Island,234
Busuanga Id.,232
Kodiak,231
Rotuma,231
Sukkwan Island,231
Pinzon Id.,227
Waigeo I.,226
Bongao I.,226
East Sand,225
Bioko Island,225
Tablas Id.,224
Peleng Island,224
Buldir,222
Baffin,222
Dog Island,221
Mauphelia Atoll [Maupihaa],221
Duke Island,220
Tiburon Id.,220
Australia,219
Nggela Sule,219
San Andrés,218
Fernandina I.,218
Virgin Gorda,218
Kandavu Island,218
Green Island,218
Koror Island,218
Marchena Id.,217
Johnston Atoll,217
Kyushu Id.,216
Guadalcanal Id.,215
Ngarchelong,215
Barbuda,215
Tubuai,215
espiritu santo,214
Vella Lavella Island,214
Ticao I.,214
San Jose,214
Oeno Atoll,214
saint paul,214
Jayawijaya Div.,213
Samar,213
Mangaia I.,213
Knight Island,213
KwaZulu-Natal,212
Nosy Be Id.,211
Sipura,210
sumatra,210
Sibutu Island,209
Mangareva,209
Upolu Id.,208
Pinta Id.,208
Nihoa,208
Tongatapu Island,208
Peleliu I.,207
Tiburón,206
Saint Matthew Island,206
Ko Samui Id.,205
Carmen,205
Mangareva Island,205
Cocos Id.,205
Male Atoll,205
Pohnpei,205
One Tree,205
Caluya Id.,205
San Fernando Island,205
Pandanon Island,204
Monserrate Id.,204
mayotte,204
Lopez Island,201
Verde Island,201
Koro I.,201
Jana Island,201
Vavau Island,200
San Pedro Martir Id.,200
Bimini,200
Kosrae,199
Grand Manan Island,199
Mustang Island,198
D'Entrecasteaux Islands,198
Borocay Id.,198
Nggela Sule Island,197
Sicogon Id.,197
Tumindao Island,197
Isla Cedros,197
Hull Island,196
Balicasag Island,196
Rota Island,195
Saint George,195
Bay Farm Island,195
North,195
Great Swan Island,195
San Salvador & Rum Cay,195
West Falkland,195
Anatahan Island,194
Marajó,194
Suemez Island,193
Kure Atoll,192
Trinidad Id.,192
Rarotonga Id.,192
San Benedicto,191
West San Benito Id.,189
Massas Island,189
chausey,189
Rennell,187
Mago I.,185
Langara,185
Oahu*,185
Viwa Island,185
Ua Pou,184
Hiva Oa,184
East Falkland,184
Sergief Island,184
hiva oa,184
Niuafo'ou,183
Shrubby Island,183
Efate Id.,182
Anvers Island,182
Masbate I.,180
nuku hiva,180
St. Vincent,180
Crete,179
Isla Isabela,179
Cat Cay,179
Simulac,179
Mayotte,179
Makuluva I.,178
Navassa,178
Borneo Id.,177
Babeldaob Island,177
Perry Island,177
Clarión,176
St. Helena Island,176
Anegada,175
Makian Island,175
Babelthuap,175
Talisse Island (Talisei Island),175
Tataan,174
Grenada,174
Sorol Atoll,174
Eiao,173
Chusan I.,173
Cobb Island,173
Ngeruktabel Id.,172
Isla Aves,172
Hawkins Island,171
Tahuata,171
Manokwari Div.,170
Laysan Island,170
Louisiade Arch,170
Saboga,170
Nukulau I.,170
Cedros,170
Buka Island,170
Tomahu Island,169
Bering Island,169
Coronados Id.,169
Little Cayman Island,169
Kyushu I.,169
Malaita Island,169
Laysan I.,168
Candaraman Island,168
Albemarle Island (Isabela),168
Ninigo Atoll,167
Isla Espiritu Santo,167
Banda Neira,167
Isla Todos Santos,167
Viti Levu Island,167
Port Moresby,167
Maculabo Island,166
Kirawina Island,166
Idjwi,166
Anjouan Island,166
Polillo I.,165
Andros,165
Unimak Island,165
Santa Fe Island,165
Raiatea Island,164
Pak Thong Chai Dist.,164
Saint John Island,164
Guadalupe I.,164
Ngemelis I.,164
Huahine,163
Enderbury Island,163
Shikoku,163
Ishigaki Island,163
Tutuila Id.,163
Barro Colorado Island,163
lifou,162
Buton Island,162
Tikehau Atoll,162
Peleliu Id.,162
Amot Island,162
Mt. Desert,161
Isla de Santa Margarita,161
Clara Id.,161
Paniai Div.,160
Great Gull Island,160
Masbate Id.,160
Tuxekan Island,160
Natividad Id.,160
Devon Island,160
Camano,159
San Salvador,159
Lion Island,158
Lulu Island,158
Eleuthera Island,158
San Francisco Id.,158
Krankett Island,158
Maripipi Island,158
Isle of Pines Id.,157
Inampulugan Id.,157
Simunul I.,157
Timor Island,157
Pohnpei Id.,157
Kiritimati (Christmas) Atoll,157
South Partida Id.,157
Bora Bora,156
Angaur Island,156
Wrangell,155
Motupore,155
"Coco, I. del",155
Rowa Islands,155
Dmasech Id.,154
Alamagan Island,154
Socotra,154
Fernandina Island,154
Woronkofski Island,154
Marchena,153
Ambon Island,153
Palau Islands,152
Vurosewa Island,152
Shelter,151
Alibijaban Island,151
Johnston,151
Kiriwina,151
Kikaiga Shima Id.,151
Jamaica Id.,151
South Coronado Id.,150
saint-paul et amsterdam,149
Rangiroa Atoll,149
St. Joseph Atoll,149
Sitangkai I.,148
Curlew Bank,148
Avery Island,148
Isla San Martin,148
Anticosti Island,148
Babelthuap Island,147
Arakabesan I.,147
Agattu,147
Jawa,147
Arno Id.,146
Puna Island,146
Pini,146
Pamilacan Island,146
Kruzof Island,144
Great Tobea Island,143
grande-terre,143
Carabao Id.,143
Tablas I.,143
Gillolo Island,143
Apo Id.,143
Vava'u Island,142
Yadua I.,142
San Andrés y Providencia,142
Santiago Island,142
Isla de Roatán,142
Totoya Island,141
Kanaga Island,141
Ureparapara,141
Kerala State,141
Ysabel Island,140
Bonaire Id.,139
Hog,139
Pelsart Id.,139
D'Entrecasteaux Group,139
Clarion Island,138
Fernandina,138
Saint Kitts Island,137
Emirau Island,137
futuna,137
Santa Barbara Island,137
Geelvink Bay Dist.,137
Popof,137
Scilly Atoll [Manuae],137
Howland,136
Ulebsechel Id.,136
Siberut,136
Pan de Azucar Id.,136
Baltra,136
Bequia,135
Southeast Farallon Id.,135
Isla Magdalena,135
ISLA SOCORRO,135
Baltra Id.,135
Eua Island,135
Butauanan Island,135
Kanacea I.,135
Hokkaido I.,134
Pico,134
St. Croix,134
Choiseul,134
Tahuata Island,133
Maria Atoll,133
St. Paul Id.,133
Fakaofo Atoll,133
Tabuaeran (Fanning Island),133
Sangihe I.,132
Tioman Island,132
Kolombangara Island,132
San José,132
de clipperton,131
McKean Island,131
Selayar Island,131
Salsipuedes Id.,131
Fana,131
Iriomote Shima Id.,130
Nossi-Be,130
Muschu Island,130
Makatea Island,130
New Hebrides Group,130
Pacijan Id.,130
Menorca,130
Isla San Jose,129
Ani-jima,129
Ross Island,129
de sao miguel,129
Malolo Island,129
Makira Island,129
Natividad,129
Carriacou Island,129
Baranof,129
Duff Reef,128
con dao,128
San Nicolas,127
Prince Edward Island,127
Siluag I.,127
Providencia,127
Clipperton Island,127
Marajo,126
Robinson Crusoe Island,126
Manado,126
Atata Island,126
Ngemelachel Island,126
Dauphin Island,126
Tuangku,125
Oreor Island,125
Genovesa,125
Taliabu Island,125
guadeloupe,125
Cooper Id.,125
Glacier Island,125
Ducie,124
Frigate Island,124
Isla de Guadalupe,124
Gull,124
Chichi-jima,124
Hong Kong Island,124
Batag Island,123
Hesketh Island,123
Upolu Island,123
Lifuka Island,122
Howland Island,122
Marinduque,122
Aitutaki Island,122
Kiritimati (Christmas Island),122
Masirah Island,122
Gigante South Id.,122
Tuamotu Archipelago,122
Apo Island,122
Vaiatekeue,121
Rimatara,121
Magusaiai Id.,121
Roatan,121
Atata,120
James Island (Santiago or San Salvador),120
Partida,120
Tau,120
Tutuba Island,120
Semirara Island,120
Santa Isabel Island,119
Montserrat,119
Rurutu Island,118
Indefatigable Island (Santa Cruz),118
San Nicolas Id.,118
Santa Inez Id.,118
Sapelo,118
Darwin,117
Ishigaki-shima,117
Island II,117
Bagabag Island,117
Attu Island,117
Prince of Wales,117
Ponson Id.,117
Grande Comore Island,117
Gomomo Island,117
San Cristobal Island,117
Linapacan Island,117
Southern Oman,116
Kouaku,116
South Andaman I.,116
Atiu,116
Baker Island,116
Banda Besar,116
Santa Isabel I.,115
Kenya,115
Maiao I.,115
Busuanga I.,115
Kanton Island,115
Difnein,115
Taka Atoll,115
San Roque Id.,114
Swains Island,114
Gunung Api,114
Santa Margarita Id.,114
Isla Meanguera,114
Tsushima Island,114
Rattlesnake Island,113
Genovesa I.,113
Kahoolawe,113
Vanikolo I.,113
Hokkaido Island,113
Avery Id.,113
Baffin Island,112
Rota,112
Los Negros Island,112
Tenoko,112
Union Island,112
Polong Dako Id.,112
South Todos Santos Id.,112
Española,112
Burias I.,112
San Pedro Nolasco Id.,111
Heron,111
Ascencion,111
Hokkaido Id.,111
Maria Magdalena Id.,111
San Diego Id.,111
Albemarle Island,111
Talampulan Island,111
Espanola Island,111
Peleliu Island,110
Florida Island,110
Vashon,110
Lisianski,110
Tubuai Island,110
Aurapushekaru I.,110
Marinduque Island,110
Sanguisiapo Island,109
Gravina Island,109
Tanzania,109
Basilaki Island,109
Faial,109
Bainbridge Island,109
Makaroa,109
Karimundjawa,108
Tortuga,108
Bonaventure Island,108
Peleliu,108
Taboga Island,108
Keraward Island,108
chypre,107
Great Abaco Island,107
Crooked Island,107
Western Australia,107
Unalaska,107
Tenerife,106
Bikar Atoll,106
Hivaoa,106
Delemmi,106
Warren Island,106
aux cochons,106
Bouro Island,106
South Bimini,106
Ukerewe,106
Ngcheangel Id.,106
Cayman Brac Id.,106
46 Id.,106
Machesi Island (Makesi Island),106
Calagna-an Id.,106
La Digue Island,106
Chol I.,105
Guana Island,105
Quinalasag Island,105
Bird Island,105
Uki Island,105
Basilan Island,105
Santa Maria,105
Maldive Islands,105
Miyake-jima,104
Middle Bass Id.,104
Selinog Island,104
Grande-Terre Island,104
Espiritu Santo I.,104
Vancouver I.,103
Wailangilala Island,103
Rurutu,103
Garukoru I.,103
Lesser Sunda Islands,103
Coronation Island,103
Mare Island,103
eiao,103
Ryu Kyu Ids,102
Shikoku Id.,102
Generale Island,102
San Miguel Id.,102
Ant Atoll,102
Cobia I.,102
Caroline Atoll,101
Simaluc Island,101
Tongoa,101
Singapore Island,101
Apo Reef,101
Rapurapu Island,101
Abaco Islands,101
Nevis,101
Douglas Island,101
D'Arros Island,101
South San Lorenzo Id.,101
Campbell Island,100
North Partida Id.,100
Shumma,100
Block Island,100
Orcas Island,100
Necker,100
High,99
Carp Id.,99
Banks Island,99
Vatoa Island,99
Lapinin Grande Id.,99
Isla Margarita,99
Dry Tortugas,99
Farm Island,99
Calayan Island,98
Sicogon Island,98
Gilgo,98
Nunivak,98
Jarvis,98
East Amatuli,98
Pinzon Island,98
Bugsuk Island,98
Kunghit,98
Awaji Id.,98
Lizard,97
Jaluit Atoll,97
Paradise Id.,97
Tanegashima,97
Vancouver Id.,97
Hatuta'a,97
Vavau Group,97
Basa Island,97
Gorgona,97
Betton Island,97
Key West Id.,96
Noyes Island,96
de norfolk,96
Malinoa Island,96
aésé,96
Poro Id.,95
Great Exuma,95
Nelson,95
Ulebsechel Island,95
Medio Island,95
San Felix Island,95
Makogai I.,95
Pearl Islands,95
San Cristóbal,94
Danzante Id.,94
Ko Miang,94
Isla Plaza,94
Great Inagua Island,94
Komodo,94
Mompog Island,94
Savai'i,93
Sawda Island,93
Marie Galante,93
Amot,93
Gardiner's Island,93
Saint Helena,93
Heard,93
Mavudis Island (Y'Ami Island),93
Akutan Island,92
Mejia Id.,92
Socorro Island,92
Merritt,91
Ross I.,91
Saint Kitts,91
Clark Bank,91
Polillo,91
Pulau Gaya,91
Rice,91
Sicilia,90
Mayaguana Island,90
Morotai Island,90
Madras,90
Futuna,90
Naked Island,90
Eastern Island,90
Boot Key Id.,90
Teraina,90
Mahe I.,89
Deer Island,89
San Esteban,89
Rotuma Island,89
SAN CLEMENTE IS,89
Pulau Ajer,89
Garayamo I.,89
Bering,89
Saint Helena Island,89
Amaknak Island,89
Angel Island,89
Isla de Vieques,88
Spitsbergen,88
Sumilon Id.,88
Jeju Island,88
Babuyan Claro Island,88
Aiktak,88
Tanah Jampea,88
Harat,88
Antigua Id.,88
Rattlesnake Id.,88
Tidore Island,88
Jawa Island,87
Lapinin Chico Id.,87
Matuiloto Island,87
Savo Island,87
Saint Martin Id.,87
Rennell Island,86
Isla Cerralvo,86
Caxisigan Island,86
Yttygran Island,86
Pagbilao Chica Island,86
Uahuka,86
Cedros Island,86
Ticao Island,86
Ossabaw Island,86
Manatee Cay,85
Pulau Siburu,85
Swan Islands,85
Easter Island,85
Ryukyu Islands,85
Sacol Island,85
Terceira,85
Martha's Vineyard,85
Tanega Shima Id.,85
Ellesmere,85
Cox,85
Youth Id.,85
Clarion,84
Gardner-by-Espanola Id.,84
Efate I.,84
Adak,84
South I.,84
North Pagai Island,84
de bornéo,84
Kauai Id.,84
Sulu Archipelago,84
Floreana Island,84
South Male Atoll,84
Tarauru-Roa,84
Aitutaki,84
East Island,84
Uapou,84
ibiza,83
Ngeaur Id.,83
Chincoteague Island,83
Mauke,83
Kiska,83
Clipperton Id.,83
Rasa I.,83
Panapompom Island,82
Middleton Island,82
Alite Reef,82
Biak,82
Farquhar Atoll,81
Maewo,81
Doworra Island,81
Aguiguan Island,81
Asuncion Island,81
Dodepo Island,81
Mandarte,81
Palaui Island,81
North Andros,81
Sint Eustatius,81
Los Negutos Island,80
San Geronimo Id.,80
Ovalau Island,80
Abariringa (Kanton) Atoll,80
Fayal,80
Amak Island,80
Takaroa Atoll,79
Sao Tome I.,79
South Farallon Island,79
GreatHarbor Cay,79
Goat Island,79
Malaita I.,79
Cocoro,79
Tatoosh Island,79
Diego Garcia Island,79
Pilas Island,79
Ngerekebesang Island,79
Hainan I.,78
Manus Island,78
Guadalcanal I.,78
Kent Island,78
Simeulue,78
sao tiago,78
East San Benito Id.,78
New,77
Pinipel Island,77
Tupai Atoll,77
Little Scrub,77
Isla San Esteban,77
Dalaganem Island,77
mavéa,77
Duck,77
Albatross Island,77
Tulagi Island,77
Sigaan Island (Singaan Island),77
Sibi Sibi Island,77
solitaire,77
Buka Buka Island,77
mururoa,77
Teauaone,76
Isla Taboga,76
Kadin Island,76
Atafu Atoll,76
Oman,76
SANTA CRUZ IS,76
Babel Lukes Reef,76
Togian Island,76
Santa Rosa,76
Pohnpei Island (Ponape Island),76
Maratua Island,76
San Salvador Island,75
Netherland Antilles,75
Rey,75
Pinas Island,75
Savaii Id.,75
Ovalau Id.,75
Vanikoro Island,75
Sabtang Island,75
Maffia Island,75
Penrhyn Atoll (Tongareva),75
Morseby,74
Arimasuku Id.,74
guam,74
Swains I.,74
Semirara Id.,74
Moorea Island,74
Bathurst Island,74
Netherlands Antilles?,74
Kendrew,73
Angel de la Guarda,73
Lowrie Island,73
Wrangel Island,73
Evans Island,73
Baker,73
San Juan Bautista Island,73
White Island,73
Wolf,73
Triangle,73
de sao jorge,73
Marquesas Ids,73
Maricaban I.,73
Ilhabela,73
Clipperton I.,72
Salomon Atoll,72
Talajit,72
Mantacao Island,72
Sulade Island,72
San Jose Island,72
Savaii,72
Mirbat,72
Anglesey,72
San Ambrosio Island,72
Saturna,72
Moku O Loe Island,72
Nananu-i-cake I.,72
Barbuda Island,72
Apo I.,71
Reunion,71
Sledge,71
Flores,71
Makatea,71
Verde Island (Isla Verde),71
Chatham Island (San Cristobal),71
Destruction,71
Peleng,70
lubang,70
Eil Malk Island,70
Bristow Id.,70
Ceycen Island,70
Pearl and Hermes Reef,70
semirara,70
Bioko,70
Herschel Island,70
Gorgona Island,69
Andros Id.,69
Sakhalin Id.,69
Makemo Atoll,69
Lapinig Island,69
Kia I.,69
Daphne Id.,69
Baltra I.,69
Saluag I.,69
Mombasa,69
Malapascua Island,69
Siayan Island,69
Miyako Shima Id.,69
Bradford Island,69
Seram Island,69
Santa Barbara,68
Kasa Island,68
Misool,68
Bonoon Id.,68
Tongatapu Id.,68
Tobago Id.,68
Old Providence Island (Isla de Providencia),68
Chatham Island,68
Charles Island (Floreana or Santa Maria),68
Sand,68
West Nalaut Island,68
unknown,67
Tulnalutan Island,67
Anaho Id.,67
Isabela Island,67
New Georgia Island,67
La Touche Island,67
San Juan,67
West Ulong Id.,67
Santa Margarita,67
Great Banda Island [Banda Besar],67
Culion,67
Marakei Atoll,67
Midway,67
Coiba Island,67
Moser Island,67
Atka Island,67
Ngermalk Id.,67
raiatea,66
Shemya Island,66
Ofolanga Island,66
Kalgin Island,66
Eastern Id.,66
Santa Fe,66
St. George's Island,66
Falarik Id.,66
Green Cay,66
Little Inagua,66
Southeast Farallon,66
Takaroa,66
Pulau Putri,66
Merritt Island,66
San Nicolas Island,65
Maria Cleofas,65
Bohol I.,65
Ua Huka,65
Mona,65
Banks Group,65
Baltra Island,65
Mabul Island,65
Narborough Island (Fernandina),65
Sullivans,65
Isla Coronado Sur,65
Klein Curacao,65
Marquesas Islands,65
Miyake-jima Island,65
Sibay Id.,64
Indefatigable Island,64
Palaui I.,64
Ranongga Island,64
Kayoa Island,64
Saint John Id.,64
Balabac Island,63
Glen Island,63
Aasiaat,63
Smith,63
Society Ids,63
Dalupiri Island,63
Ioulomekang Id.,63
Vangunu Island,63
Dimipac Island,63
Eivissa,63
Chenega Island,63
Makura,62
Chamisso Island,62
Anastasia,62
Aunu'u,62
Pearl And Hermes Reef,62
Rabi I.,62
Swan Island,62
Pulau Semakau,62
Trincomalee,62
Little Swan Island,62
Admosin,62
Nauru,62
One Tree I.,61
Motu One,61
Sanibel Island,61
Navutu Ira Id,61
Manda,61
Tuckernuck Island,61
Marcus Island,61
Ellesmere Island,61
Kosciusko Island,61
Malakal I.,61
Egg Island,61
Mitiaro,61
Wolf Id.,61
Sao Miguel Island,61
Emirau,61
Samar Id.,61
Jolo,60
Sonsorol,60
tablas,60
Kangaroo Island,60
Exuma Cays,60
Santa Rosa Id.,60
Magnetic Island,60
Hood Island,60
Kuwait Bay,60
Ponape Island,60
Matuku I.,60
$$$$,60
Lotu Islet,60
Kotelny Island,60
Eleuthera,59
Malhon Island,59
Rendova Island,59
Tauna,59
Hong Kong,59
Mores Island,59
Medny Island,59
Ha'ano,59
Barter Island,59
Saint Catherine,59
Aru Island,59
Acklins,59
Key Largo,59
Isla San Francisco,58
Aitutake,58
Tatoosh,58
Dibatuc Island,58
Nunivak Id.,58
Sicily,58
Olango Id.,58
Malakula Island,58
Great Abaco,58
Ano Nuevo Island,58
Glover's Reef,58
Djibouti,58
Pacific Islands,58
Teomabal Island,58
D'Entrecasteaux Grp,58
San Francisco,57
San Benito,57
SANTA BARBARA IS,57
Patos Id.,57
Sao Tome,57
belep,57
Bairakaseru Island,57
Mahé Island,57
Culebra,57
Pulau Run,57
Sandy Island,57
Bantayan Id.,56
Lola Island,56
Alcatraz Island,56
Moresby,56
Malden Island,56
